Mixture,Treg,Myofibroblasts,Macrophages,Epithelial,CD4+T_cells,NK,Plasma,B_cells,DCs,Endothelial,Tprolif,CD8+T_cells,Fibroblasts,Monocytes,Mast,Myocytes,P-value,Correlation,RMSE
OSF_01N,0.13227179435193,0,0.111947435241243,0.100050696646076,0,0,0.178380103536822,0,0.0572153208784163,0.14282924464864,0,0.0834563888251491,0.152186649789538,0.0416623660821869,0,0,0,0.225923182433942,0.985960993651889
OSF_011N,0.0498968341904516,0,0.0386317676767685,0.73723887073936,0.0238250850036034,0,0,0,0,0.0636877963073691,0,0.0333672939220256,0.0522337024059619,0.00111864975446002,0,0,0,0.747839103824838,0.666840058041455
OSF_013N,0.0581965356552391,0,0.0457272195738013,0.784568263613874,0,0,0,0,0.00718760732079418,0.0186998967338954,0,0.0671505416981813,0.0184699354042142,0,0,0,0,0.720270985861874,0.706841490049597
OSF_024N,0.0414807271676807,0,0.0501423403412333,0.648281374110558,0.0227031165659043,0,0,0.00622585057395479,0,0.0441366992691384,0,0.0302452913737457,0.0476961294115844,0,0,0.109088471186201,0,0.617603985255017,0.798305111880957
OSF_025N,0.0475978454260206,0.00607433282784855,0.0198462009837202,0.666106309334683,0.0457554776038342,0,0.0154649653715817,0.0340135992837212,0,0.0163884050859719,0,0.0354895597781038,0.0202379840596952,0,0,0.0930253202448196,0,0.549941738215566,0.860445615974286
OSF_05N,0.0560269232145627,0,0.0451416483485365,0.850236095068549,0.00705618113333697,0,0,0,0,0,0,0.0354116779669164,0.00612747426809894,0,0,0,0,0.697364721959336,0.750478422284632
OSF_07N,0.0557631756930507,0,0.0566886272328163,0.789286841196462,0.0189401575272375,0,0,0.0038909671054594,0,0,0,0.0520288331960689,0.0230547541253317,0,0,0.000346643923573516,0,0.719191846164095,0.709177438969475
OSF_08N,0.0402541578676967,0,0.0379871275766718,0.770840991605226,0.000593463651218294,0,0,0.00525064725226137,0,0.072952485441183,0,0.0490173818545994,0.0218833005490527,0.00122044420209015,0,0,0,0.660492387825612,0.772702788800138
Normal_0N1,0.0487999137819612,0,0.0460126406003886,0.808010808709424,0.0276362749032199,0,0,0.00286962532908792,0,0,0,0.0392241558495069,0.0274465808264112,0,0,0,0,0.70691934494732,0.727853526831879
Normal_0N2,0.0358093540064901,0,0.114932860246439,0.504498127567966,0.0522078965700593,0,0,0.00205594239896927,0,0.113376667406189,0,0.0471980061232409,0.103314854738766,0,0,0.0266062909418802,0,0.574109373338126,0.819554299283919
