Cell_Type,Normal_Job2,PBS_Job4,Difference,Percent_Diff
Treg,0.042304633894225646,2.2219591815325333e-4,0.04208243797607239,99.47
Myofibroblasts,0,0.018731179050804635,-0.018731179050804635,-Inf
Macrophages,0.0804727504234138,0.006677468723935503,0.0737952816994783,91.7
Epithelial,0.656254468138695,0.12111939053300201,0.535135077605693,81.54
CD4+T_cells,0.0399220857366396,0,0.0399220857366396,100
NK,0,0,0,NA
Plasma,0,1.9110420977443268e-4,-1.9110420977443268e-4,-Inf
B_cells,0.002462783864028595,0,0.002462783864028595,100
DCs,0,0.003180949164841187,-0.003180949164841187,-Inf
Endothelial,0.0566883337030945,0.014808174011409032,0.041880159691685466,73.88
Tprolif,0,0.00490852229184355,-0.00490852229184355,-Inf
CD8+T_cells,0.0432110809863739,0.0018645526266138333,0.04134652835976006,95.69
Fibroblasts,0.06538071778258861,0.0297252294088948,0.03565548837369381,54.54
Monocytes,0,0,0,NA
Mast,0,5.758529332361767e-4,-5.758529332361767e-4,-Inf
Myocytes,0.0133031454709401,0.7979953811274914,-0.7846922356565512,-5898.55
