Cell_Type,PC1,PC2
Myocytes,-0.9113303538490031,0.016571864209471023
Macrophages,0.3190692993151496,0.4980605266906465
Epithelial,0.18713468228322885,-0.8450056059348389
Fibroblasts,0.14409853386487284,0.08993234908611784
Tprolif,0.07803801958263992,-0.10565284353306849
Endothelial,0.054045527512668334,0.09556089698744545
Myofibroblasts,0.04019359591028232,0.08918466804154104
DCs,0.03146735633041102,0.020049468081783615
Treg,-0.011496896504765174,-0.013764224826608908
Plasma,-0.0069332607194865555,0.015397913492194009
Monocytes,-0.006690115590431317,-0.0056295705995494045
Mast,0.0061621390048769275,0.014652372737835897
B_cells,0.0029055230919124648,0.014681802175583743
