Cell_Type,PC1,PC2
Macrophages,0.7951616179075597,0.4328096603675873
Epithelial,0.41084361050393314,-0.882672752877
Fibroblasts,0.35423112272891544,0.06028954253693621
Tprolif,0.18900881918350756,-0.12247081474347193
Endothelial,0.14305235430369093,0.08317959499464801
Myofibroblasts,0.09078764653932088,0.08274559983948661
DCs,0.0675048498366198,0.01525349004225241
Treg,-0.04562993446980729,-0.008506047268458295
Plasma,-0.04114002241512904,0.021045286591335317
Monocytes,-0.021658370483582667,-0.0033819728128652356
Mast,0.01429636744489831,0.013608171059471135
B_cells,0.003188414996594675,0.014847712130649454
