from,to,weight,correlation,pvalue,significant
OSF,AB,0.4152891022776954,-0.4152891022776954,0.15819259744170514,FALSE
OSF,Am,0.3989692612426873,0.3989692612426873,0.1768709675969061,FALSE
OSF,B,0.6309379089851584,-0.6309379089851584,0.020760034841174276,TRUE
AB,Ai,0.5851211573992119,0.5851211573992119,0.02194299935017497,TRUE
AB,Am,0.3670572301989233,0.3670572301989233,0.178358701891967,FALSE
AB,Av,0.583758280966187,0.583758280966187,0.022329215364229427,TRUE
AB,B,0.7106861662957257,0.7106861662957257,0.0029806523560446246,TRUE
AB,Pm,0.7363673581419149,-0.7363673581419149,0.001744659208618326,TRUE
Ai,Am,0.957744849242668,0.957744849242668,2.0769646062344073e-8,TRUE
Ai,Av,0.9883575570760207,0.9883575570760207,5.134849979932669e-12,TRUE
Ai,Pm,0.7068078301845062,-0.7068078301845062,0.0032164161627544667,TRUE
Am,Av,0.9359263473041137,0.9359263473041137,2.94820330708384e-7,TRUE
Am,Pm,0.5114256636819576,-0.5114256636819576,0.05134566696199835,FALSE
Av,Pm,0.7775196794335427,-0.7775196794335427,6.451995629712834e-4,TRUE
