Cell_Type,PC1,PC2
Endothelial,0.43190779394919254,-6.811293042829004e-4
Macrophages,0.41504729744378954,-0.15895331043518451
Fibroblasts,0.3572469286860364,-0.10060122939840117
Tprolif,0.33780142302733496,0.03532947364766824
Monocytes,-0.32544018131592667,-0.32145160973550124
Mast,0.27143120942679977,-0.3248370480764188
Treg,-0.2703133402023487,-0.35758992027681114
Myofibroblasts,0.25313830372496904,-0.38098035465779595
Plasma,-0.20563731468403323,-0.4230724758301296
Epithelial,0.15608161275291982,0.05973565286216934
DCs,0.12292440989298407,-0.30015377956340306
B_cells,-0.031034297287911464,-0.45699761023715596
