"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0097530","BP","GO:0097530","granulocyte migration","18/76","158/18903",1.21624355951253e-21,1.16189822910868e-18,7.53461735918507e-19,"CCL18/CXCL5/CCL3L3/CCL20/S100A8/CCL3/CXCL8/TREM1/S100A9/S100A12/CXCL2/CXCL3/IL1B/TNFAIP6/THBS1/CXCL1/CCL4/IL1A",18
"GO:0071621","BP","GO:0071621","granulocyte chemotaxis","17/76","130/18903",1.58946406170817e-21,1.16189822910868e-18,7.53461735918507e-19,"CCL18/CXCL5/CCL3L3/CCL20/S100A8/CCL3/CXCL8/TREM1/S100A9/S100A12/CXCL2/CXCL3/IL1B/TNFAIP6/THBS1/CXCL1/CCL4",17
"GO:1990266","BP","GO:1990266","neutrophil migration","17/76","130/18903",1.58946406170817e-21,1.16189822910868e-18,7.53461735918507e-19,"CCL18/CXCL5/CCL3L3/CCL20/S100A8/CCL3/CXCL8/TREM1/S100A9/S100A12/CXCL2/CXCL3/IL1B/TNFAIP6/CXCL1/CCL4/IL1A",17
"GO:0030593","BP","GO:0030593","neutrophil chemotaxis","16/76","106/18903",2.41548962486011e-21,1.32429218682955e-18,8.58770127154212e-19,"CCL18/CXCL5/CCL3L3/CCL20/S100A8/CCL3/CXCL8/TREM1/S100A9/S100A12/CXCL2/CXCL3/IL1B/TNFAIP6/CXCL1/CCL4",16
"GO:0097529","BP","GO:0097529","myeloid leukocyte migration","19/76","242/18903",1.07266850857269e-19,4.70472407859981e-17,3.0508950633299e-17,"CCL18/CXCL5/CCL3L3/CCL20/S100A8/CCL3/CXCL8/TREM1/S100A9/S100A12/CXCL2/CXCL3/IL1B/TNFAIP6/THBS1/CXCL1/IL6/CCL4/IL1A",19
"GO:0030595","BP","GO:0030595","leukocyte chemotaxis","18/76","240/18903",2.52107465424798e-18,9.21452786127636e-16,5.9753892243667e-16,"CCL18/CXCL5/CCL3L3/CCL20/S100A8/CCL3/CXCL8/TREM1/S100A9/S100A12/CXCL2/CXCL3/IL1B/TNFAIP6/THBS1/CXCL1/IL6/CCL4",18
"GO:0006959","BP","GO:0006959","humoral immune response","19/76","320/18903",2.06904749526084e-17,6.48203022443862e-15,4.2034333324773e-15,"IGLC3/IGLC2/IGHG4/IGKC/IGHG1/IGHG3/CXCL5/CXCL8/TREM1/S100A9/S100A12/CXCL2/CXCL3/IL1B/FCN1/CXCL1/CFD/IL6/SLC11A1",19
"GO:0032496","BP","GO:0032496","response to lipopolysaccharide","19/76","339/18903",6.04249722543013e-17,1.64679321288785e-14,1.06790391946216e-14,"CXCL5/SOD2/S100A8/CCL3/CXCL8/S100A9/PTGS2/CXCL2/TNIP3/CXCL3/IL1B/CXCL1/IL6/SLC11A1/TNFAIP3/IL1A/JUND/TNIP1/TNFRSF1B",19
"GO:0050900","BP","GO:0050900","leukocyte migration","20/76","398/18903",6.7583852786095e-17,1.64679321288785e-14,1.06790391946216e-14,"CCL18/CXCL5/CCL3L3/CCL20/S100A8/CCL3/CXCL8/TREM1/S100A9/S100A12/CXCL2/CXCL3/IL1B/TNFAIP6/THBS1/CXCL1/IL6/CCL4/IL1A/ABL2",20
"GO:0002237","BP","GO:0002237","response to molecule of bacterial origin","19/76","360/18903",1.83591873996615e-16,4.02616979674577e-14,2.61086970283608e-14,"CXCL5/SOD2/S100A8/CCL3/CXCL8/S100A9/PTGS2/CXCL2/TNIP3/CXCL3/IL1B/CXCL1/IL6/SLC11A1/TNFAIP3/IL1A/JUND/TNIP1/TNFRSF1B",19
"GO:0060326","BP","GO:0060326","cell chemotaxis","18/76","319/18903",3.94979106841651e-16,7.87444710276128e-14,5.10638060615379e-14,"CCL18/CXCL5/CCL3L3/CCL20/S100A8/CCL3/CXCL8/TREM1/S100A9/S100A12/CXCL2/CXCL3/IL1B/TNFAIP6/THBS1/CXCL1/IL6/CCL4",18
"GO:0019221","BP","GO:0019221","cytokine-mediated signaling pathway","19/76","496/18903",6.22197354403326e-14,1.13706566517208e-11,7.3735844368324e-12,"CCL18/CXCL5/CCL3L3/CCL20/IL1RN/CCL3/CXCL8/CD44/EREG/CXCL2/CXCL3/IL1B/CXCL1/IL6/CCL4/TNFAIP3/IL1A/TNFRSF1B/HIF1A",19
