"cluster","CA","LN","LP","NL"
"B_Plasma.cells",0.159779972279972,0.243783520234032,0.142638271794086,0.0497563946406821
"Dendritic.cells",0.0415800415800416,0.0569234519746465,0.0145549256932741,0.00432399512789281
"Endothelial.cells",0.016978516978517,0.0045099951243296,0.239466830090394,0.0880024360535932
"Epithelial.cells",0,0,0.0280373831775701,0.0493300852618758
"Fibroblasts",0.0791753291753292,0.0186494392979035,0.289106787191665,0.515712545676005
"Macrophages",0.13725744975745,0.0731350560702096,0.0726214187222307,0.0397076735688185
"Malignant.cells",0.209156271656272,0.0346172598732326,0,0
"Mast.cells",0.0090956340956341,0.00292540224280839,0.00229814616209591,0.001278928136419
"Myocytes",0.00064968814968815,0.000487567040468064,0.000459629232419182,0.0166869671132765
"T.cells",0.346327096327096,0.56496830814237,0.210816607936265,0.235200974421437
