"cluster","P15","P16","P17","P21","P22","P26","P30","P31","P33","P38","P4","P43","P46","P51","P57","P59","P6","P60","P7","P8","P84","P86","P9"
"B_Plasma.cells",1505,63,31,72,1132,35,18,51,21,630,73,61,942,140,187,623,458,242,23,240,225,283,382
"Dendritic.cells",126,36,5,27,92,280,15,19,5,226,1,7,252,46,21,65,120,103,21,53,34,14,25
"Endothelial.cells",666,640,507,206,271,3,13,18,165,91,19,251,139,40,17,16,124,46,43,45,0,0,117
"Epithelial.cells",152,30,51,33,158,0,0,0,30,264,0,130,12,0,0,0,86,0,0,10,0,0,37
"Fibroblasts",3203,409,495,1714,1447,13,52,25,205,214,8,1500,705,601,47,9,406,24,110,159,1,3,986
"Macrophages",608,173,67,359,357,373,59,39,63,604,2,197,248,355,106,153,426,184,142,178,48,24,130
"Malignant.cells",59,0,0,272,182,83,94,45,0,112,427,1367,427,274,619,89,52,27,43,731,6,26,178
"Mast.cells",11,7,3,4,5,1,1,10,0,35,0,1,3,61,0,18,48,6,11,30,0,0,15
"Myocytes",5,3,0,28,50,0,0,0,0,4,0,10,78,0,0,0,58,0,3,5,0,0,52
"T.cells",319,877,79,417,1108,156,30,316,334,1476,78,366,2405,284,107,4053,1651,1316,140,467,516,734,640
