"cluster","P15","P16","P17","P21","P22","P26","P30","P31","P33","P38","P4","P43","P46","P51","P57","P59","P6","P60","P7","P8","P84","P86","P9"
"B_Plasma.cells",0.226179741508867,0.0281501340482574,0.0250403877221325,0.0229885057471264,0.235735110370679,0.0370762711864407,0.0638297872340425,0.0975143403441683,0.0255164034021871,0.172319474835886,0.120065789473684,0.015681233933162,0.18077144502015,0.0777345918933926,0.169384057971014,0.123955431754875,0.133566637503645,0.124229979466119,0.042910447761194,0.125130344108446,0.271084337349398,0.261070110701107,0.149102263856362
"Dendritic.cells",0.0189359783588819,0.0160857908847185,0.00403877221324717,0.00862068965517241,0.019158683881716,0.296610169491525,0.0531914893617021,0.0363288718929254,0.00607533414337789,0.0618161925601751,0.00164473684210526,0.00179948586118252,0.0483592400690846,0.025541365907829,0.0190217391304348,0.0129327497015519,0.0349956255468067,0.0528747433264887,0.0391791044776119,0.0276329509906152,0.0409638554216867,0.0129151291512915,0.00975800156128025
"Endothelial.cells",0.100090171325518,0.285969615728329,0.409531502423263,0.0657726692209451,0.0564348188254894,0.00317796610169492,0.0460992907801418,0.0344168260038241,0.20048602673147,0.024890590809628,0.03125,0.0645244215938303,0.0266743427365189,0.0222098833981122,0.0153985507246377,0.00318344608038201,0.0361621463983669,0.0236139630390144,0.0802238805970149,0.0234619395203337,0,0,0.0456674473067916
"Epithelial.cells",0.0228434024646829,0.0134048257372654,0.0411954765751212,0.010536398467433,0.0329029571012078,0,0,0,0.0364520048602673,0.0722100656455142,0,0.0334190231362468,0.0023028209556707,0,0,0,0.0250801983085448,0,0,0.00521376433785193,0,0,0.0144418423106948
"Fibroblasts",0.48136459272618,0.182752457551385,0.39983844911147,0.547254150702427,0.301332778009163,0.013771186440678,0.184397163120567,0.0478011472275335,0.249088699878493,0.0585339168490153,0.0131578947368421,0.38560411311054,0.135290731145653,0.333703498056635,0.0425724637681159,0.00179068842021488,0.118401866433362,0.0123203285420945,0.205223880597015,0.0828988529718457,0.00120481927710843,0.00276752767527675,0.384855581576893
"Macrophages",0.0913736098587316,0.0773011617515639,0.0541195476575121,0.114623243933589,0.0743440233236152,0.395127118644068,0.209219858156028,0.0745697896749522,0.0765492102065614,0.165207877461707,0.00328947368421053,0.0506426735218509,0.0475916330838611,0.197112715158245,0.0960144927536232,0.030441703143653,0.124234470691164,0.0944558521560575,0.264925373134328,0.0928050052137643,0.0578313253012048,0.022140221402214,0.0507416081186573
"Malignant.cells",0.0088668470093177,0,0,0.086845466155811,0.0379008746355685,0.0879237288135593,0.333333333333333,0.0860420650095602,0,0.0306345733041575,0.702302631578947,0.351413881748072,0.0819420456726156,0.152137701277068,0.560688405797101,0.017707918822125,0.0151647710702829,0.0138603696098563,0.0802238805970149,0.381126173096976,0.0072289156626506,0.0239852398523985,0.0694769711163154
"Mast.cells",0.00165314096783889,0.0031277926720286,0.0024232633279483,0.00127713920817369,0.00104123281965848,0.00105932203389831,0.00354609929078014,0.0191204588910134,0,0.00957330415754923,0,0.00025706940874036,0.000575705238917674,0.033870072182121,0,0.00358137684042977,0.0139982502187227,0.00308008213552361,0.0205223880597015,0.0156412930135558,0,0,0.00585480093676815
"Myocytes",0.000751427712654043,0.00134048257372654,0,0.00893997445721584,0.0104123281965848,0,0,0,0,0.00109409190371991,0,0.0025706940874036,0.0149683362118595,0,0,0,0.0169145523476232,0,0.00559701492537313,0.00260688216892596,0,0,0.0202966432474629
"T.cells",0.0479410880673279,0.391867739052726,0.0638126009693053,0.133141762452107,0.230737192836318,0.165254237288136,0.106382978723404,0.604206500956023,0.405832320777643,0.403719912472648,0.128289473684211,0.0940874035989717,0.461523699865669,0.157690172126596,0.0969202898550725,0.806406685236769,0.481481481481481,0.675564681724846,0.261194029850746,0.243482794577685,0.621686746987952,0.677121771217712,0.249804839968774
