"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"C1QBP",0,1.30303937932861,1,0.213,0
"IGHA2",8.39442019372319e-10,0.790073498896362,0.223,0.137,1.67888403874464e-05
"SPP1",0.000397354660851198,0.755483768595068,0.426,0.36,1
"TUBA1B",7.69506960660948e-37,0.587970803078205,0.94,0.86,1.5390139213219e-32
"S100B",8.02715524376653e-15,0.534377574591985,0.482,0.341,1.60543104875331e-10
"LTB",2.10721390373707e-11,0.527798888633983,0.406,0.293,4.21442780747414e-07
"PPA1",1.08058113856292e-28,0.463748910397728,0.752,0.558,2.16116227712584e-24
"CORO1A",2.0480394447246e-31,0.460134082091061,0.867,0.722,4.09607888944919e-27
"RPSA",8.47732089713899e-55,0.453402937418679,0.985,0.952,1.6954641794278e-50
"FBP1",8.68900541531252e-10,0.435990010759036,0.516,0.406,1.7378010830625e-05
"ATP5G3",3.90217841402387e-50,0.425677068038654,0.934,0.826,7.80435682804773e-46
"SLC25A5",9.22918633940362e-46,0.421725165506234,0.941,0.84,1.84583726788072e-41
"TUBA1A",4.51725050146936e-19,0.414163989924877,0.732,0.579,9.03450100293872e-15
"COTL1",6.70083725010583e-34,0.408460265462056,0.982,0.956,1.34016745002117e-29
"PSME2",5.93630601063743e-32,0.400384813550337,0.944,0.861,1.18726120212749e-27
"LDHB",2.69439587263149e-37,0.396445343200955,0.76,0.562,5.38879174526298e-33
"GSN",1.8546989558828e-27,0.39331333921788,0.91,0.789,3.70939791176561e-23
"CKLF",1.08193514425866e-24,0.383471375254671,0.8,0.643,2.16387028851733e-20
"STMN1",6.31727755240332e-17,0.380377308510251,0.421,0.278,1.26345551048066e-12
"LSP1",9.33634574427436e-22,0.378986067690974,0.814,0.689,1.86726914885487e-17
"NPM1",5.24930429156212e-41,0.378408994159869,0.959,0.88,1.04986085831242e-36
"PLAC8",3.47059604109854e-09,0.374808996531602,0.281,0.192,6.94119208219709e-05
"COX5A",7.2471704314553e-44,0.373954935808851,0.925,0.812,1.44943408629106e-39
"JAML",3.88074060347334e-26,0.371384288003138,0.551,0.361,7.76148120694667e-22
"ATP5B",1.60034694143075e-39,0.371004657120865,0.908,0.788,3.2006938828615e-35
"ALOX5AP",4.48758808562857e-12,0.370461942265439,0.65,0.53,8.97517617125713e-08
"CHI3L1",0.511056655368406,0.367027259809936,0.213,0.202,1
"YWHAH",2.00248694782625e-23,0.366078822521511,0.789,0.625,4.00497389565249e-19
"IDH2",6.12253393262507e-31,0.365507676797324,0.751,0.566,1.22450678652501e-26
"ATP5A1",2.65810441800375e-35,0.365030407754908,0.78,0.59,5.3162088360075e-31
"RPS4Y1",9.72125047225494e-31,0.360339925325162,0.763,0.568,1.94425009445099e-26
"ARHGDIB",2.39753009997417e-36,0.358631066859294,0.97,0.892,4.79506019994835e-32
"RPL5",1.84183624987976e-38,0.357273113569596,0.987,0.944,3.68367249975952e-34
"ENO1",4.74897903012405e-32,0.356612315796719,0.977,0.933,9.49795806024811e-28
"RANBP1",1.1269229135188e-31,0.352537910832318,0.751,0.557,2.2538458270376e-27
"HMGN2",8.23831901325766e-18,0.349724169681256,0.883,0.76,1.64766380265153e-13
"SLC25A3",1.16289142538437e-41,0.339242074577834,0.938,0.846,2.32578285076875e-37
"ARPC3",4.92946068009101e-53,0.330710149107138,0.995,0.972,9.85892136018202e-49
"PSMB8",4.93048824651106e-35,0.330194378184835,0.814,0.628,9.86097649302213e-31
"TUBB",3.2636954154907e-11,0.329382650305343,0.827,0.755,6.52739083098139e-07
"ARPC1B",2.64078801494983e-43,0.327766396946986,0.982,0.948,5.28157602989966e-39
"ACTG1",1.25296321983754e-29,0.324725787744377,0.995,0.989,2.50592643967509e-25
"RAN",9.69752958799603e-28,0.322260348410144,0.884,0.769,1.93950591759921e-23
