"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IGLC3",5.66080281347497e-07,1.97252975406194,0.566,0.549,0.0113216056269499
"IGLC2",2.4853780509601e-12,1.31451933902538,0.826,0.807,4.97075610192021e-08
"TIMP1",1.76019870025393e-07,1.2599329680643,0.898,0.915,0.00352039740050787
"IGHG4",5.33913262262017e-09,1.23112893956907,0.725,0.71,0.000106782652452403
"CCL18",0.0125358474400171,1.20536087754698,0.347,0.325,1
"IGKC",2.81722321249175e-10,1.18262375224823,0.927,0.924,5.6344464249835e-06
"IGHG1",0.000246929538901768,1.13692656446083,0.553,0.534,1
"IGHG3",2.68402852991593e-10,0.957762900189054,0.721,0.699,5.36805705983186e-06
"CXCL5",0.000262449247033346,0.807723700151111,0.108,0.073,1
"CCL3L3",5.10974477202413e-08,0.80272413068424,0.711,0.672,0.00102194895440483
"SOD2",1.48162301624819e-39,0.802295630607223,0.98,0.966,2.96324603249638e-35
"CCL20",8.02718277905016e-08,0.790919411513653,0.495,0.431,0.00160543655581003
"IL1RN",3.74652470049242e-09,0.788945351021072,0.771,0.748,7.49304940098483e-05
"S100A8",1.28805299589105e-06,0.734980350025469,0.696,0.707,0.025761059917821
"FTH1",1.26084395724913e-39,0.695125095631871,1,1,2.52168791449827e-35
"IGHM",0.319942894796807,0.688044967589586,0.228,0.229,1
"CCL3",1.17700154688813e-09,0.684838893577334,0.822,0.774,2.35400309377626e-05
"CXCL8",3.75836949179108e-17,0.626080045003321,0.911,0.856,7.51673898358216e-13
"CD44",6.28631591215788e-21,0.605611853397532,0.96,0.952,1.25726318243158e-16
"MT2A",0.000677704672804597,0.604601620004817,0.863,0.892,1
"SLC25A37",2.08594255463331e-12,0.597368608297912,0.331,0.251,4.17188510926663e-08
"RNASE1",0.000313302921740526,0.592446434431833,0.442,0.421,1
"TREM1",7.95283437171772e-16,0.590311579093417,0.445,0.344,1.59056687434354e-11
"EREG",2.01591933246092e-14,0.579281295352791,0.631,0.546,4.03183866492183e-10
"MIR3945HG",4.95155269333612e-12,0.57561019650333,0.26,0.174,9.90310538667224e-08
"S100A9",2.6169337472935e-11,0.560191526207169,0.889,0.839,5.23386749458701e-07
"S100A12",5.58948166040399e-09,0.556476528596942,0.203,0.135,0.00011178963320808
"INHBA",2.29014926607563e-08,0.544766176287234,0.382,0.31,0.000458029853215125
"AQP9",1.48675122938131e-13,0.524620506367338,0.3,0.205,2.97350245876263e-09
"PTGS2",3.37165620430926e-08,0.518665056730851,0.518,0.469,0.000674331240861853
"CCL2",0.389325566353418,0.517203825513934,0.271,0.268,1
"CXCL2",1.63410700529599e-15,0.51480230252212,0.822,0.747,3.26821401059198e-11
"TNIP3",4.10958301300493e-08,0.511046729273118,0.233,0.17,0.000821916602600986
"CXCL3",1.05774106353054e-12,0.506764044306964,0.742,0.658,2.11548212706108e-08
"IL1B",3.08610087575512e-05,0.505069184494424,0.785,0.766,0.617220175151023
"C15orf48",1.06654647579598e-13,0.483262321237055,0.95,0.937,2.13309295159197e-09
"SEPP1",0.00702625388886297,0.462907850208105,0.307,0.281,1
"MMP1",0.00562216982871397,0.444410294612815,0.221,0.195,1
"TNFAIP6",0.00446832462989624,0.443358364559901,0.248,0.22,1
"FCN1",2.68136305089751e-08,0.422631318590444,0.264,0.19,0.000536272610179503
"APOBEC3A",3.56822751592986e-05,0.414253311791593,0.206,0.156,0.713645503185972
