"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030833","BP","GO:0030833","regulation of actin filament polymerization","9/117","140/18903",2.17170474966597e-07,0.000282091324262239,0.000230761164771554,"CORO1A/COTL1/GSN/ARPC3/ARPC1B/CAPG/ARPC2/TWF2/CAPZB",9
"GO:0008154","BP","GO:0008154","actin polymerization or depolymerization","10/117","200/18903",4.68830300427286e-07,0.000282091324262239,0.000230761164771554,"CORO1A/COTL1/GSN/ARPC3/ARPC1B/CFL1/CAPG/ARPC2/TWF2/CAPZB",10
"GO:0032271","BP","GO:0032271","regulation of protein polymerization","10/117","201/18903",4.9083545126165e-07,0.000282091324262239,0.000230761164771554,"CORO1A/COTL1/GSN/STMN1/ARPC3/ARPC1B/CAPG/ARPC2/TWF2/CAPZB",10
"GO:0008064","BP","GO:0008064","regulation of actin polymerization or depolymerization","9/117","159/18903",6.39123279255519e-07,0.000282091324262239,0.000230761164771554,"CORO1A/COTL1/GSN/ARPC3/ARPC1B/CAPG/ARPC2/TWF2/CAPZB",9
"GO:0030832","BP","GO:0030832","regulation of actin filament length","9/117","162/18903",7.47862522899837e-07,0.000282091324262239,0.000230761164771554,"CORO1A/COTL1/GSN/ARPC3/ARPC1B/CAPG/ARPC2/TWF2/CAPZB",9
"GO:1902903","BP","GO:1902903","regulation of supramolecular fiber organization","13/117","384/18903",7.52912787176795e-07,0.000282091324262239,0.000230761164771554,"CORO1A/COTL1/GSN/STMN1/ARPC3/ARPC1B/ACTG1/PARK7/CAPG/ARPC2/TWF2/PFDN2/CAPZB",13
"GO:0030041","BP","GO:0030041","actin filament polymerization","9/117","170/18903",1.11952310090424e-06,0.000339413117465338,0.000277652517424586,"CORO1A/COTL1/GSN/ARPC3/ARPC1B/CAPG/ARPC2/TWF2/CAPZB",9
"GO:0110053","BP","GO:0110053","regulation of actin filament organization","11/117","278/18903",1.24884351672894e-06,0.000339413117465338,0.000277652517424586,"CORO1A/COTL1/GSN/STMN1/ARPC3/ARPC1B/ACTG1/CAPG/ARPC2/TWF2/CAPZB",11
"GO:0010950","BP","GO:0010950","positive regulation of endopeptidase activity","9/117","174/18903",1.35886034572422e-06,0.000339413117465338,0.000277652517424586,"PSME2/GSN/HMGB1/HSPD1/LGALS9/CTSH/PSME1/PRELID1/ANP32B",9
"GO:0022613","BP","GO:0022613","ribonucleoprotein complex biogenesis","14/117","489/18903",2.01097635089078e-06,0.000452067483680248,0.000369807966842757,"C1QBP/RPSA/NPM1/RPL5/RAN/NHP2/RPL14/PA2G4/LSM4/RPL7A/EIF3K/RPL10A/SNRPE/SNRPG",14
