,ID,Description,描述,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
hsa04657,hsa04657,IL-17 signaling pathway,IL-17 信号通路,15/53,95/8541,6.95E-18,9.66E-16,6.73E-16,CXCL5/CCL20/S100A8/CXCL8/S100A9/PTGS2/CXCL2/CXCL3/IL1B/MMP1/CXCL1/IL6/FOSB/TNFAIP3/JUND,15
hsa04060,hsa04060,Cytokine-cytokine receptor interaction,细胞因子-细胞因子受体相互作用,16/53,298/8541,1.50E-11,5.20E-10,3.62E-10,CCL18/CXCL5/CCL3L3/CCL20/IL1RN/CCL3/CXCL8/INHBA/CXCL2/CXCL3/IL1B/CXCL1/IL6/CCL4/IL1A/TNFRSF1B,16
hsa04668,hsa04668,TNF signaling pathway,TNF 信号通路,10/53,119/8541,2.22E-09,6.16E-08,4.29E-08,CXCL5/CCL20/PTGS2/CXCL2/CXCL3/IL1B/CXCL1/IL6/TNFAIP3/TNFRSF1B,10
hsa04064,hsa04064,NF-kappa B signaling pathway,NF-kappa B 信号通路,9/53,105/8541,1.28E-08,2.97E-07,2.07E-07,CXCL8/PTGS2/CXCL2/CXCL3/IL1B/CXCL1/CCL4/BCL2A1/TNFAIP3,9
hsa04062,hsa04062,Chemokine signaling pathway,趋化因子信号通路,10/53,193/8541,2.30E-07,4.00E-06,2.79E-06,CCL18/CXCL5/CCL3L3/CCL20/CCL3/CXCL8/CXCL2/CXCL3/CXCL1/CCL4,10
hsa04621,hsa04621,NOD-like receptor signaling pathway,NOD样受体信号通路,8/53,189/8541,1.87E-05,0.000260413,0.000181431,CXCL8/CXCL2/CXCL3/IL1B/NAMPT/CXCL1/IL6/TNFAIP3,8
hsa04620,hsa04620,Toll-like receptor signaling pathway,Toll样受体信号通路,6/53,109/8541,5.31E-05,0.000614607,0.0004282,CCL3L3/CCL3/CXCL8/IL1B/IL6/CCL4,6
hsa04625,hsa04625,C-type lectin receptor signaling pathway,C型凝集素受体信号通路,4/53,105/8541,0.00397843,0.019750065,0.013759985,PTGS2/IL1B/IL6/CLEC4E,4
hsa05205,hsa05205,Proteoglycans in cancer,癌症中的蛋白多糖,5/53,204/8541,0.008383793,0.036417102,0.025372006,CD44/THBS1/CTSL/PLAUR/HIF1A,5
hsa03320,hsa03320,PPAR signaling pathway,PPAR 信号通路,3/53,76/8541,0.011532868,0.045801963,0.031910493,MMP1/OLR1/GK,3
