"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"C1QBP",0,1.30303937932861,1,0.213,0
"IGHA2",8.39442019372319e-10,0.790073498896362,0.223,0.137,1.67888403874464e-05
"S100B",8.02715524376653e-15,0.534377574591985,0.482,0.341,1.60543104875331e-10
"LTB",2.10721390373707e-11,0.527798888633983,0.406,0.293,4.21442780747414e-07
"FBP1",8.68900541531252e-10,0.435990010759036,0.516,0.406,1.7378010830625e-05
"STMN1",6.31727755240332e-17,0.380377308510251,0.421,0.278,1.26345551048066e-12
"PLAC8",3.47059604109854e-09,0.374808996531602,0.281,0.192,6.94119208219709e-05
"JAML",3.88074060347334e-26,0.371384288003138,0.551,0.361,7.76148120694667e-22
"NME1",6.86174071909967e-38,0.320083553161286,0.631,0.395,1.37234814381993e-33
"CAMK1",6.40496727045897e-21,0.295463633713216,0.577,0.418,1.28099345409179e-16
"APEX1",2.2869835105077e-34,0.293170561522572,0.652,0.432,4.5739670210154e-30
"NHP2",1.03394993699105e-34,0.291420505655295,0.711,0.479,2.06789987398209e-30
"PLD4",1.27135759052751e-17,0.286602103473808,0.32,0.187,2.54271518105502e-13
"AXL",3.30464400185167e-13,0.284334328269737,0.605,0.467,6.60928800370333e-09
"PA2G4",2.69652490904858e-31,0.283638288818993,0.639,0.433,5.39304981809715e-27
"CD1A",1.29870913940552e-10,0.282866183400513,0.144,0.072,2.59741827881104e-06
"PPP1R14A",1.00285120089064e-10,0.280761045117948,0.152,0.079,2.00570240178129e-06
"NDRG2",1.67819477440738e-15,0.274666414105581,0.307,0.184,3.35638954881477e-11
"PHB2",1.77838700692821e-33,0.268434058722232,0.652,0.425,3.55677401385643e-29
"CD1C",2.86779310603798e-18,0.262604337189527,0.256,0.128,5.73558621207596e-14
"HIST1H4C",7.55265766753949e-09,0.262125606804746,0.374,0.266,0.00015105315335079
"HMGB2",1.64026549860849e-15,0.259590641349486,0.583,0.419,3.28053099721697e-11
"PHB",2.52946497249776e-31,0.259311747744017,0.658,0.449,5.05892994499553e-27
"CD300A",1.93947649939957e-21,0.256514093293245,0.588,0.403,3.87895299879913e-17
"ECHS1",3.74096105470824e-28,0.255960176150226,0.673,0.472,7.48192210941648e-24
"DUT",1.02206729802189e-22,0.25015423388508,0.56,0.367,2.04413459604378e-18
"SNX17",1.02683345957776e-28,0.249869825260941,0.644,0.438,2.05366691915552e-24
"ABI3",1.84667140205002e-21,0.245129625380219,0.612,0.418,3.69334280410004e-17
"PKIB",8.71109472952812e-15,0.245036558617025,0.397,0.254,1.74221894590562e-10
"ILF2",2.6479159977453e-27,0.245032787347804,0.641,0.434,5.2958319954906e-23
"KIAA0101",5.85587733016658e-16,0.24464157799422,0.17,0.075,1.17117546603332e-11
"MRPL12",9.74443767642342e-29,0.244485547854544,0.54,0.338,1.94888753528468e-24
"PPP1R14B",6.78743835260863e-27,0.243842173561696,0.497,0.301,1.35748767052173e-22
"TOMM22",8.54156765068835e-25,0.243522608477978,0.673,0.478,1.70831353013767e-20
"MDH1",1.57443893733148e-26,0.242921424198118,0.635,0.442,3.14887787466295e-22
"DCTPP1",2.71443895087352e-34,0.241602587322187,0.461,0.245,5.42887790174704e-30
"ISOC2",3.48273038224731e-30,0.237373503254367,0.525,0.315,6.96546076449462e-26
"PRMT1",4.37476909158404e-27,0.237063862689109,0.567,0.36,8.74953818316807e-23
"CD1E",4.31382709669125e-12,0.236776282004752,0.179,0.093,8.62765419338251e-08
"C20orf27",8.53304905246227e-29,0.236202637729832,0.568,0.355,1.70660981049245e-24
"PSMB10",4.90234334744185e-21,0.231535746353111,0.661,0.482,9.80468669488369e-17
"HSD17B10",9.08705767557399e-26,0.230134033477252,0.686,0.479,1.8174115351148e-21
"CCT3",2.53332321265045e-25,0.229399166477673,0.616,0.415,5.06664642530091e-21
