NL,LP,LN,CA
1.540523617,0,0.960636218,0
0.830587289,1.246636206,0.570979982,0.660251354
0,0,1.080158683,0.750150399
0,1.036414622,0.506437797,0
0,1.193253796,1.262808415,0
0,0,0,0
0,0,1.516430747,1.103570091
0.849207169,0,0.765657393,1.174380012
0,0.925217806,1.084200545,0
0,1.780187179,0.400502441,0
0,0,0.582397952,1.238310322
0,1.529194381,0.631504035,0
0,0.885458547,0.709751026,0
0,0,0.778659694,0
1.362223378,0,0,0
0,0,0.471395313,0
0,0.62842788,0,0
0,0,0.500624652,0
0,1.398002625,0.450617914,0
0,0.687642989,0,0
0,0,0.844480304,0
0,0.705419148,1.340097631,1.087405843
0,0.482284587,0.887891846,0
0,0,0.365387759,0.847678994
0,0.837142625,0.803616136,0
0,0,0.959680363,1.206381514
1.300253505,0,0.742739679,0.737523062
0,0,0.832847761,0
0,0,0.761591894,0.758984279
0,1.305719048,1.193360542,0
0,1.179269776,0.623915451,0
0.632950247,1.021594362,0.859205985,0.681987064
0,0,0.957866681,0.763177721
0,1.565608169,0.938773794,0.711277669
1.073649994,1.372651045,0.448092245,0
0,0,0.252091439,0
0,0.614082682,0.872987347,0
0,1.663734822,1.454364788,0
0,0,1.174441822,0
0,0,0.676379387,0.418404036
0,0.770962028,0.393239293,0.510559099
0,0.887135162,0.718270819,0
0,0.998817642,0,0
0.81701973,0,1.22671983,1.128127128
0,0.774727707,0.860424229,0.933922257
1.099479707,1.048650456,0.587351441,0.404069991
0,0,0.351810071,0
0,0,0.927567276,0
0,1.55825741,0.846650765,0.904456274
0,1.165721479,0.857209719,1.358775908
1.098212449,0,0.695807758,1.217319722
0,0.999594721,0.787433306,0
0,1.66347474,0,0
0,0.892801433,0.260592533,0.984279804
0.614238362,1.129542589,0.40028311,0
0,0.731430379,1.243093318,0
0,0,0.813788018,0
0,1.352259376,0.552128876,0.878407523
0,0.723195163,0.683391967,0.75807904
0,0,0,1.257605419
0,0.814558363,0.329753286,0
0,0,0.530908402,0.906914365
0,1.41817182,1.35018074,0
0,1.797266744,1.140510183,1.371040456
0,0,0.815529317,0
0,0,0.322521374,0
0,0,0.82198986,0
0,0.661474096,0.690003737,1.269346495
0,0,0.745367338,0
0,0.933239772,1.431611357,0
0,1.140478006,1.314613473,0
1.021765039,0.665124751,0,0
0,0.675951988,0.626486914,0
0,0,0.57597082,0
0,0.757356477,0.344753009,0
0.684267004,0.45487128,0.349252911,1.020741905
1.126715578,1.078235408,0.667631152,1.127985798
0,1.362331436,0.804654653,0
0,0,0.622463479,0.70562665
0,0.787825166,1.00335393,0
0.86713064,0.995435469,0.596266261,0
0,0,0,0
0.888776383,0,1.117680759,0
1.142751432,0.544317629,0,0.789922034
0.796952557,0.743259805,0,0
0,1.652588922,1.584858258,0
0,1.613128102,0.777488415,0
0.845018657,1.065166295,0.515481928,0
0,0,0,0
0,0.763667061,0.877867371,0.84448871
0,0.601364211,0.693157181,0
0,0.824211374,0.339388968,0
0,0.657102982,0.648050312,0
1.102695566,0.715524797,0,1.036678803
0,0.708545086,0.614054891,0
0.905771337,0.518405519,0.893625328,0.549468754
0.746163319,0,1.090938263,1.021651248
0,0.956201211,0.242570929,0.964161007
0,0.855145564,1.018871922,0
0,1.410590152,0.742508757,0
1.164582765,0.436115273,0.587502362,0
0,0,0.467300799,1.633436675
0.862911344,0.73807357,0.304734538,0
0,0.751035913,0.745857336,1.102628358
0,0,0.925705078,0
1.251989697,0,0.87403042,0
0,0.493003828,0.724618218,0
0,0,0.604637106,0
0,0.668214474,1.101047837,0
0,0.790546802,1.339750861,0
0,0.887093164,0,1.136104576
0,0.62489808,0.839782696,0
2.267321924,0.683246353,0.436163586,0.985962251
0,1.098212449,1.283550724,0
0,1.157203498,1.346094439,0
0,0,0.602166552,0
0,0.682809899,0.727537235,0.838779953
0,1.064668153,0.934771279,0
0,0.726543122,1.613031576,0
0,0.708623604,0.691103464,0
1.264675177,0.718529386,0,0
0.752872926,1.543527128,0,0
0,0,0,1.154667514
1.02829698,0,0.907002418,0
0,1.440225925,0.783644795,0
0,0,0.832329636,0
1.183261497,0.721560404,0.744215349,0.858108776
0.922059311,0.769093552,1.521725888,0.893653767
1.255268607,1.206381514,0,0
0,0.802414383,0.429082833,0
1.519267961,0,0,0
0,0.729367171,0.712599242,1.246018418
0,0,0.542110052,0
0,0.660025434,0.290935369,0
0.583726821,0,0.980881339,1.597178194
0,1.397268927,0.441307594,1.26622796
0.86641107,0,0.632681148,0
0,1.353322738,0.290935369,1.199534498
0,0,0,0
0,1.33330389,0.684575441,0.725606838
0,0,0.825759564,0
0,0.863307528,0.506437797,0
0,0.915182167,1.160353298,0
0,0,0.526658577,0
1.233202142,0.820456542,0.678596578,0
0,0.701193172,0.692972226,0
0.837811623,0,0,0
0,0.988497599,1.08747103,0.828910816
0,0.822347313,1.045729114,1.143042378
0,0,0.295868476,0.956595843
1.170224532,0,0,0
0.833005222,0.955511445,1.237528034,0
0,0.826228832,0.560786151,0
0,1.165949518,0.348135211,1.086233937
0,0.585449595,1.31019848,0
0,0,0,0
0,0.920875129,0,0
0,0.731990097,0.540578624,1.823856291
0,0,1.065103999,0
0,1.291912609,0.546513086,0.839302344
1.553914951,0,0.585943738,0
0,1.082218479,0,0
0,0,1.240786185,0
0,0,1.491615052,0.928677335
0,1.002261158,0.596119821,0
0,0,1.596759454,0
0,0,0,0
1.500749452,0,0.583376514,0
0.990408374,0.517035147,1.549883086,0
