"Site","Genus","Eigengene","r","p_raw","p_adj","is_rescue_genus"
"BO","Bifidobacterium","EG_DB_down",0.839160839160839,0.000642825988627749,0.0572592406145356,TRUE
"BO","Dubosiella","EG_DB_down",0.825174825174825,0.000951362855555526,0.0572592406145356,TRUE
"BO","Candidatus_Arthromitus","EG_DB_down",-0.811188811188811,0.00136331525272704,0.0572592406145356,TRUE
"BO","ASF356","EG_DB_down",-0.79020979020979,0.00222313540999108,0.0700287654147191,TRUE
"BO","Muribaculum","EG_DB_down",0.769230769230769,0.00344645026182744,0.0868505465980514,FALSE
"BO","Coriobacteriaceae_UCG-002","EG_DB_down",0.755244755244755,0.00450843548429436,0.092233470577554,TRUE
"BO","Roseburia","EG_DB_down",-0.748251748251748,0.005124081698753,0.092233470577554,TRUE
"BO","Parasutterella","EG_DB_down",0.713286713286713,0.00920177977763492,0.14343271517579,FALSE
"BO","Faecalibaculum","EG_DB_down",0.706293706293706,0.0102451939411279,0.14343271517579,FALSE
"BO","Clostridium_sensu_stricto_1","EG_DB_down",0.685314685314685,0.0139059688143628,0.175215207060971,TRUE
"BO","Dubosiella","EG_DB_up",-0.678321678321678,0.0153173290532818,0.175453041883046,TRUE
"Lung","Mitochondria","EG_DB_down",0.811188811188811,0.00136331525272704,0.128834054140075,FALSE
"Lung","Faecalibaculum","EG_DB_up",-0.776223776223776,0.00299286368018592,0.128834054140075,TRUE
"Lung","Mitochondria","EG_DB_up",-0.769230769230769,0.00344645026182744,0.128834054140075,FALSE
"Lung","Nocardioides","EG_DB_down",-0.769230769230769,0.00344645026182744,0.128834054140075,TRUE
"Lung","Skermanella","EG_DB_up",0.762237762237762,0.00395044897254282,0.128834054140075,TRUE
"Lung","Staphylococcus","EG_DB_down",0.755244755244755,0.00450843548429436,0.128834054140075,TRUE
"Lung","Solirubrobacter","EG_DB_down",-0.748251748251748,0.005124081698753,0.128834054140075,TRUE
"Lung","Enterococcus","EG_DB_up",-0.72027972027972,0.00823976871233834,0.158312383379467,TRUE
"Lung","Muribaculaceae","EG_DB_down",0.706293706293706,0.0102451939411279,0.158312383379467,TRUE
"Lung","Pseudarthrobacter","EG_DB_down",-0.706293706293706,0.0102451939411279,0.158312383379467,FALSE
"Lung","Alloprevotella","EG_DB_down",0.699300699300699,0.011374198642691,0.158312383379467,TRUE
"Lung","Faecalibaculum","EG_DB_down",0.699300699300699,0.011374198642691,0.158312383379467,TRUE
"Lung","Staphylococcus","EG_DB_up",-0.692307692307692,0.0125930304960939,0.158312383379467,TRUE
"Lung","Pseudomonas","EG_DB_down",0.692307692307692,0.0125930304960939,0.158312383379467,FALSE
"Lung","KD4-96","EG_DB_down",-0.685314685314685,0.0139059688143628,0.163163367421857,FALSE
"Lung","Lachnoclostridium","EG_DB_down",0.671328671328671,0.0168314561868934,0.174255075817249,FALSE
"Lung","Skermanella","EG_DB_down",-0.671328671328671,0.0168314561868934,0.174255075817249,TRUE
"Lung","Enterococcus","EG_DB_down",0.657342657342657,0.020185498509854,0.197369318763017,TRUE
"Oral","Corynebacterium","EG_DB_down",-0.754545454545455,0.00728204100842911,0.194458764356417,TRUE
"Oral","Rodentibacter","EG_DB_up",0.745454545454545,0.0084547288850616,0.194458764356417,FALSE
