"","EG_DB_up","EG_DB_down","pval_EG_DB_up","pval_EG_DB_down"
"Streptococcus",-0.195804195804196,-0.0559440559440559,0.541935885731317,0.862898073694971
"Muribaculaceae",-0.531468531468531,0.65034965034965,0.0753623350534838,0.0220341909323654
"Pseudomonas",-0.125874125874126,0.202797202797203,0.696683109395766,0.527302354166108
"Lactobacillus",0.13986013986014,-0.251748251748252,0.664633161792668,0.429918785032884
"Ralstonia",-0.244755244755245,0.356643356643357,0.443261936450183,0.255137751758957
"Bifidobacterium",-0.657342657342657,0.839160839160839,0.020185498509854,0.000642825988627749
"Candidatus_Arthromitus",0.566433566433566,-0.811188811188811,0.0548421197754076,0.00136331525272704
"Alloprevotella",0.538461538461538,-0.573426573426573,0.0708943175492232,0.0512655897864915
"Lachnospiraceae_NK4A136_group",0.0699300699300699,0.167832167832168,0.829023640531309,0.602099427786538
"Corynebacterium",-0.00699300699300699,-0.0839160839160839,0.982791768902848,0.795414501853898
"Coriobacteriaceae_UCG-002",-0.552447552447552,0.755244755244755,0.0625114832796152,0.00450843548429436
"Akkermansia",-0.286713286713287,0.461538461538462,0.366251460583582,0.130948069507173
"Helicobacter",0.230769230769231,-0.363636363636364,0.470531995381542,0.245265000730777
"Bacteroides",0.20979020979021,-0.27972027972028,0.512840943181826,0.378568669662303
"Prevotellaceae_UCG-001",-0.027972027972028,0.195804195804196,0.931234351201881,0.541935885731317
"Clostridia_UCG-014",-0.391608391608392,0.587412587412587,0.208063463695353,0.0446092964633631
"Alistipes",0.230769230769231,-0.34965034965035,0.470531995381542,0.26523878689279
"Blautia",-0.146853146853147,-0.237762237762238,0.648795709784666,0.456800852639923
"Staphylococcus",-0.167832167832168,0.020979020979021,0.602099427786538,0.948402225236522
"Cutibacterium",-0.104895104895105,0.013986013986014,0.745609480980708,0.965590268918779
"Faecalibacterium",-0.0909090909090909,0.125874125874126,0.778725396245442,0.696683109395766
"Faecalibaculum",-0.538461538461538,0.706293706293706,0.0708943175492232,0.0102451939411279
"Lawsonella",0.041958041958042,-0.132867132867133,0.896985870819554,0.680597508286082
"Prevotellaceae_NK3B31_group",0.293706293706294,-0.251748251748252,0.354147641232922,0.429918785032884
"Ruminococcus_torques_group",0.167832167832168,-0.216783216783217,0.602099427786538,0.498555985524189
"Prevotella",-0.111888111888112,0.272727272727273,0.729194990751066,0.391096770941896
"Romboutsia",0.0979020979020979,-0.356643356643357,0.762121655996299,0.255137751758957
"Colidextribacter",-0.020979020979021,-0.013986013986014,0.948402225236522,0.965590268918779
"Clostridium_sensu_stricto_1",-0.475524475524476,0.685314685314685,0.118175957013032,0.0139059688143628
"Mucispirillum",0.587412587412587,-0.573426573426573,0.0446092964633631,0.0512655897864915
"Escherichia-Shigella",-0.286713286713287,0.510489510489511,0.366251460583582,0.0899137363026392
"Lachnoclostridium",-0.426573426573427,0.503496503496504,0.166699987624945,0.0951573665941248
"Desulfovibrio",-0.027972027972028,0.0769230769230769,0.931234351201881,0.812182698028059
"Rikenellaceae_RC9_gut_group",-0.104895104895105,0.0699300699300699,0.745609480980708,0.829023640531309
"Muribaculum",-0.622377622377622,0.769230769230769,0.0306758950616401,0.00344645026182744
"A2",0.153846153846154,-0.027972027972028,0.633090681246262,0.931234351201881
"Enterococcus",0.111888111888112,-0.104895104895105,0.729194990751066,0.745609480980708
"Turicibacter",-0.524475524475524,0.58041958041958,0.080019375920275,0.0478559768420606
"Haemophilus",0.300699300699301,-0.286713286713287,0.342259528940025,0.366251460583582
"Dolosigranulum",0.202797202797203,-0.251748251748252,0.527302354166108,0.429918785032884
"Parasutterella",-0.573426573426573,0.713286713286713,0.0512655897864915,0.00920177977763492
"Sphingomonas",0.538461538461538,-0.440559440559441,0.0708943175492232,0.15173503571673
"Oscillibacter",0.195804195804196,-0.013986013986014,0.541935885731317,0.965590268918779
"Eubacterium_xylanophilum_group",0.0559440559440559,0.13986013986014,0.862898073694971,0.664633161792668
"Anaerotruncus",0.461538461538462,-0.461538461538462,0.130948069507173,0.130948069507173
"Roseburia",0.643356643356643,-0.748251748251748,0.0240031912007137,0.005124081698753
"Clostridia_vadinBB60_group",0.125874125874126,0.0979020979020979,0.696683109395766,0.762121655996299
"Eubacterium_siraeum_group",0.363636363636364,-0.0769230769230769,0.245265000730777,0.812182698028059
"Parabacteroides",-0.0839160839160839,0.286713286713287,0.795414501853898,0.366251460583582
"Paracoccus",0.0909090909090909,-0.125874125874126,0.778725396245442,0.696683109395766
"Odoribacter",0.104895104895105,-0.125874125874126,0.745609480980708,0.696683109395766
"Eubacterium_coprostanoligenes_group",0.251748251748252,-0.447552447552448,0.429918785032884,0.144586301303347
"Butyricicoccus",0.328671328671329,-0.314685314685315,0.296904115688764,0.319138785503305
"Enterorhabdus",-0.454545454545455,0.503496503496504,0.13765791634773,0.0951573665941248
"ASF356",0.601398601398601,-0.79020979020979,0.0385884529220193,0.00222313540999108
"Dubosiella",-0.678321678321678,0.825174825174825,0.0153173290532818,0.000951362855555526
"Lachnospiraceae_FCS020_group",0.265734265734266,-0.230769230769231,0.403833088314712,0.470531995381542
"Marvinbryantia",-0.356643356643357,0.328671328671329,0.255137751758957,0.296904115688764
"Lachnospiraceae_UCG-001",0.307692307692308,-0.587412587412587,0.33058925941211,0.0446092964633631
"Lachnospiraceae_UCG-006",-0.125874125874126,-0.013986013986014,0.696683109395766,0.965590268918779
"Intestinimonas",0.146853146853147,-0.293706293706294,0.648795709784666,0.354147641232922
"Incertae_Sedis",-0.132867132867133,0.020979020979021,0.680597508286082,0.948402225236522
"Others",0.041958041958042,-0.132867132867133,0.896985870819554,0.680597508286082
