"","EG_DB_up","EG_DB_down","pval_EG_DB_up","pval_EG_DB_down"
"Streptococcus",0.034965034965035,0.153846153846154,0.91409334241076,0.633090681246262
"Muribaculaceae",-0.559440559440559,0.706293706293706,0.0585894753885676,0.0102451939411279
"Pseudomonas",-0.587412587412587,0.692307692307692,0.0446092964633631,0.0125930304960939
"Lactobacillus",-0.405594405594406,0.559440559440559,0.1908358740045,0.0585894753885676
"Rodentibacter",-0.237762237762238,0.391608391608392,0.456800852639923,0.208063463695353
"Ralstonia",-0.440559440559441,0.48951048951049,0.15173503571673,0.106252371759346
"Bifidobacterium",-0.447552447552448,0.594405594405594,0.144586301303347,0.0415214944103186
"Candidatus_Arthromitus",0.041958041958042,0.013986013986014,0.896985870819554,0.965590268918779
"Alloprevotella",-0.538461538461538,0.699300699300699,0.0708943175492232,0.011374198642691
"Lachnospiraceae_NK4A136_group",-0.510489510489511,0.48951048951049,0.0899137363026392,0.106252371759346
"Methyloversatilis",-0.48951048951049,0.629370629370629,0.106252371759346,0.0283196712957601
"Corynebacterium",-0.13986013986014,0.34965034965035,0.664633161792668,0.26523878689279
"Coriobacteriaceae_UCG-002",-0.440559440559441,0.440559440559441,0.15173503571673,0.15173503571673
"Akkermansia",-0.440559440559441,0.531468531468531,0.15173503571673,0.0753623350534838
"Helicobacter",-0.545454545454545,0.615384615384615,0.0666118822668891,0.0331699010901059
"Bacteroides",-0.216783216783217,0.531468531468531,0.498555985524189,0.0753623350534838
"Clostridia_UCG-014",-0.398601398601399,0.510489510489511,0.199335494617809,0.0899137363026392
"Alistipes",-0.433566433566434,0.587412587412587,0.159105769412196,0.0446092964633631
"Blautia",0.027972027972028,0.048951048951049,0.931234351201881,0.879918578878675
"Staphylococcus",-0.692307692307692,0.755244755244755,0.0125930304960939,0.00450843548429436
"Cutibacterium",-0.377622377622378,0.286713286713287,0.226206044935027,0.366251460583582
"Weissella",-0.34965034965035,0.454545454545455,0.26523878689279,0.13765791634773
"Faecalibacterium",0.00699300699300699,-0.013986013986014,0.982791768902848,0.965590268918779
"Faecalibaculum",-0.776223776223776,0.699300699300699,0.00299286368018592,0.011374198642691
"Bacillus",0.230769230769231,-0.167832167832168,0.470531995381542,0.602099427786538
"Pseudarthrobacter",0.468531468531469,-0.706293706293706,0.124454791188834,0.0102451939411279
"Ruminococcus_torques_group",-0.0699300699300699,0.321678321678322,0.829023640531309,0.307909876180653
"Prevotella",-0.258741258741259,0.48951048951049,0.416774768899138,0.106252371759346
"Streptomyces",0.230769230769231,-0.307692307692308,0.470531995381542,0.33058925941211
"Pediococcus",-0.461538461538462,0.636363636363636,0.130948069507173,0.0260968910527031
"Romboutsia",-0.167832167832168,0.195804195804196,0.602099427786538,0.541935885731317
"Colidextribacter",-0.510489510489511,0.384615384615385,0.0899137363026392,0.217020225759977
"Clostridium_sensu_stricto_1",-0.545454545454545,0.552447552447552,0.0666118822668891,0.0625114832796152
"Mucispirillum",-0.41958041958042,0.48951048951049,0.174519008130059,0.106252371759346
"Escherichia-Shigella",-0.328671328671329,0.461538461538462,0.296904115688764,0.130948069507173
"Lachnoclostridium",-0.531468531468531,0.671328671328671,0.0753623350534838,0.0168314561868934
"Desulfovibrio",-0.468531468531469,0.356643356643357,0.124454791188834,0.255137751758957
"Nocardioides",0.636363636363636,-0.769230769230769,0.0260968910527031,0.00344645026182744
"67-14",0.433566433566434,-0.426573426573427,0.159105769412196,0.166699987624945
"Acinetobacter",0.223776223776224,-0.027972027972028,0.484451661455399,0.931234351201881
"Skermanella",0.762237762237762,-0.671328671328671,0.00395044897254282,0.0168314561868934
"Enterococcus",-0.72027972027972,0.657342657342657,0.00823976871233834,0.020185498509854
"Subdoligranulum",-0.188811188811189,0.223776223776224,0.556737056176831,0.484451661455399
"Turicibacter",-0.342657342657343,0.20979020979021,0.27556745095678,0.512840943181826
"Haemophilus",0.0839160839160839,-0.00699300699300699,0.795414501853898,0.982791768902848
"Lactococcus",-0.181818181818182,0.0909090909090909,0.571701238527655,0.778725396245442
"Stenotrophomonas",0.020979020979021,-0.020979020979021,0.948402225236522,0.948402225236522
"Microvirga",0.468531468531469,-0.566433566433566,0.124454791188834,0.0548421197754076
"Fusicatenibacter",0.244755244755245,-0.132867132867133,0.443261936450183,0.680597508286082
