"EG_DB_up","EG_DB_down","rna_sample","Group","Replicate"
-28.7730573142736,37.8201522429203,"WTN1_Lung","WT_Control",1
-34.1055104088041,30.0176972759211,"WTN2_Lung","WT_Control",2
-30.093939283657,37.8214096810735,"WTN3_Lung","WT_Control",3
-42.647274305225,36.6171204993426,"WTS1_Lung","WT_Treated",1
-16.8841685422525,14.4373236043531,"WTS2_Lung","WT_Treated",2
-34.9919670574197,27.9755127924243,"WTS3_Lung","WT_Treated",3
60.6649900284774,-57.2184192271524,"dbN1_Lung","DB_Control",1
62.7058476009951,-56.8712547928262,"dbN2_Lung","DB_Control",2
62.8218247692187,-54.4938249062605,"dbN3_Lung","DB_Control",3
-4.27715915120237,1.07253229370209,"dbS1_Lung","DB_Treated",1
-4.13848651287417,-0.398311236549074,"dbS2_Lung","DB_Treated",2
9.71890017701718,-16.7799382269488,"dbS3_Lung","DB_Treated",3
