"","EG_DB_up","EG_DB_down","pval_EG_DB_up","pval_EG_DB_down"
"Streptococcus",0.545454545454545,-0.472727272727273,0.0826509573441752,0.14199852020632
"Muribaculaceae",0.190909090909091,-0.181818181818182,0.573913168285521,0.5926152128455
"Pseudomonas",0.272727272727273,-0.145454545454545,0.417141437142531,0.669578645642079
"Lactobacillus",0.218181818181818,-0.381818181818182,0.519248247554982,0.24655957577897
"Rodentibacter",0.745454545454545,-0.7,0.0084547288850616,0.0164709788365145
"Ralstonia",0.145454545454545,-0.1,0.669578645642079,0.769874999892137
"Alloprevotella",-0.345454545454545,0.427272727272727,0.298089220903039,0.189943724965427
"Lachnospiraceae_NK4A136_group",-0.318181818181818,0.427272727272727,0.340297614181903,0.189943724965427
"Corynebacterium",0.654545454545455,-0.754545454545455,0.0288645989570018,0.00728204100842911
"Bacteroides",-0.481818181818182,0.418181818181818,0.133433838256829,0.200570217034051
"Prevotellaceae_UCG-001",-0.0272727272727273,0.136363636363636,0.936558448192612,0.689309020586362
"Clostridia_UCG-014",-0.436363636363636,0.436363636363636,0.179664876580011,0.179664876580011
"Alistipes",-0.154545454545455,0.1,0.65003396549758,0.769874999892137
"Staphylococcus",0.109090909090909,-0.2,0.749508596234148,0.555445442105585
"Cutibacterium",0.327272727272727,-0.254545454545455,0.325894941012842,0.450036576888829
"Faecalibacterium",-0.00909090909090909,-0.109090909090909,0.978836500144194,0.749508596234148
"Bacillus",0.154545454545455,-0.145454545454545,0.65003396549758,0.669578645642079
"Romboutsia",-0.0454545454545455,-0.118181818181818,0.894426996905303,0.72928477951978
"Brevibacillus",0.327272727272727,-0.245454545454545,0.325894941012842,0.466922366982016
"Enterococcus",-0.0454545454545455,-0.218181818181818,0.894426996905303,0.519248247554982
"Geobacillus",0.418181818181818,-0.145454545454545,0.200570217034051,0.669578645642079
"Delftia",0,0.154545454545455,1,0.65003396549758
"Others",0.145454545454545,0.0181818181818182,0.669578645642079,0.957685241021619
