"EG_DB_up","EG_DB_down","rna_sample","Group","Replicate"
-0.936267175764335,2.25614358674274,"WTN1_Oral","WT_Control",1
-0.910065985217189,3.02179573162648,"WTN2_Oral","WT_Control",2
-0.329705236291739,4.04660823853895,"WTN3_Oral","WT_Control",3
-3.00547910473819,4.97549260413869,"WTS1_Oral","WT_Treated",1
-1.69789861905478,3.92147312344416,"WTS2_Oral","WT_Treated",2
-1.49077341540836,0.98895897689018,"WTS3_Oral","WT_Treated",3
0.192593982173082,-4.69246352217943,"dbN1_Oral","DB_Control",1
3.09091131351241,-4.69153326566018,"dbN2_Oral","DB_Control",2
4.99636213992145,-3.65800718089827,"dbN3_Oral","DB_Control",3
-0.337126643834463,-2.1746395835219,"dbS1_Oral","DB_Treated",1
-0.0063250781511446,-2.19095004715177,"dbS2_Oral","DB_Treated",2
0.433773822853263,-1.80287866196966,"dbS3_Oral","DB_Treated",3
