"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042026","protein refolding","10/325","17/11892",0.588235294117647,21.5239819004525,14.1941626275066,3.32613815693417e-12,1.22601452464593e-08,1.00099252533419e-08,"Hspb1/Hspd1/Dnaja1/Hspa8/Hspa1b/Dnaja4/Cryab/Hsp90aa1/B2m/Hspa5",10
"GO:0009266","response to temperature stimulus","17/325","111/11892",0.153153153153153,5.60399168399168,8.1685588859927,7.7505014823143e-09,1.3240094005792e-05,1.08100147821228e-05,"Hspb1/Bag3/Dnajb1/Chordc1/Hspd1/Dnaja1/Hspa8/Hspa1b/Hsp90ab1/Dnaja4/Lrp11/Cryab/Ptgs2/Hsp90aa1/Hmgcs2/Pcsk1n/Rbm3",17
"GO:0061077","chaperone-mediated protein folding","11/325","42/11892",0.261904761904762,9.58329670329671,9.34028434391607,1.07759853546869e-08,1.3240094005792e-05,1.08100147821228e-05,"Hsph1/Hspb1/Dnajb1/Chordc1/Hspa8/Hspa1b/Hsp90ab1/Dnajb4/Cd74/Hspa5/Fkbp4",11
"GO:0006457","protein folding","17/325","117/11892",0.145299145299145,5.31660749506903,7.86494220708931,1.75257880012982e-08,1.52829253350441e-05,1.24779060264703e-05,"Hsph1/Hspb1/Dnajb1/Chordc1/Hspd1/Dnaja1/Hspa8/Hspa1b/Hsp90ab1/Dnaja4/Dnajb4/Cryab/Cd74/Hsp90aa1/B2m/Hspa5/Fkbp4",17
"GO:0009408","response to heat","13/325","66/11892",0.196969696969697,7.20727272727273,8.47606659009593,2.07310435906729e-08,1.52829253350441e-05,1.24779060264703e-05,"Hspb1/Bag3/Dnajb1/Chordc1/Dnaja1/Hspa8/Hspa1b/Hsp90ab1/Dnaja4/Lrp11/Cryab/Ptgs2/Hsp90aa1",13
"GO:0001819","positive regulation of cytokine production","28/325","337/11892",0.0830860534124629,3.0401826067108,6.36853468583558,1.58874974084716e-07,8.63987358658874e-05,7.05411616759209e-05,"Hspb1/Hspd1/Ereg/Hspa1b/Cd36/Il1b/Thbs1/Irf7/C5ar1/Adra2a/Ido1/Ptgs2/Isg15/Sulf2/Pde4b/Cd74/Hsp90aa1/Oas1g/Lpl/Nmb/H2-T23/Slc7a5/B2m/Icosl/Bsg/Ulbp1/Tnfrsf1a/Abl2",28
"GO:0051085","chaperone cofactor-dependent protein refolding","7/325","17/11892",0.411764705882353,15.0667873303167,9.7284371025811,1.64077903163649e-07,8.63987358658874e-05,7.05411616759209e-05,"Hsph1/Dnajb1/Hspa8/Hspa1b/Dnajb4/Cd74/Hspa5",7
"GO:0007159","leukocyte cell-cell adhesion","23/325","271/11892",0.0848708487084871,3.10548963951178,5.87701103033578,1.46503651574812e-06,0.000675015574630944,0.000551123605068929,"Hsph1/Hspb1/Hspd1/Il1b/Thbs1/Tfrc/Ido1/Ada/Slc4a2/Lgals1/Erbb2/Cd74/Hsp90aa1/L1cam/H2-T23/Stk10/Ezr/Ywhag/B2m/Icosl/Chst4/Ppara/Abl2",23
"GO:0051084","'de novo' post-translational protein folding","7/325","23/11892",0.304347826086957,11.1363210702341,8.15600932805479,1.79529144394121e-06,0.000735271584707477,0.000600320261781043,"Hsph1/Dnajb1/Hspa8/Hspa1b/Dnajb4/Cd74/Hspa5",7
"GO:0051604","protein maturation","26/325","348/11892",0.0747126436781609,2.73379310344828,5.50236297687427,3.31848998230706e-06,0.00108730073044956,0.00088773818098503,"Hsph1/Hspb1/Dnajb1/Chordc1/Hspd1/Dnaja1/Hspa8/Hspa1b/Serpinh1/Hsp90ab1/Dnaja4/Thbs1/Dnajb4/Gzmb/Cryab/Pgap1/Ctse/Cd74/Hsp90aa1/Cwh43/B2m/Cpe/Hspa5/Pcsk1n/Pigz/Fkbp4",26
"GO:0006458","'de novo' protein folding","7/325","25/11892",0.28,10.2454153846154,7.75651190915899,3.35812945523769e-06,0.00108730073044956,0.00088773818098503,"Hsph1/Dnajb1/Hspa8/Hspa1b/Dnajb4/Cd74/Hspa5",7
"GO:0070841","inclusion body assembly","6/325","17/11892",0.352941176470588,12.9143891402715,8.23986192760594,3.81767124752685e-06,0.00108730073044956,0.00088773818098503,"Dnajb1/Hspa1b/Dnaja4/Psap/Hsp90aa1/Ubd",6
"GO:0050778","positive regulation of immune response","32/325","487/11892",0.0657084188911704,2.40432159216553,5.30424910109188,3.83475569610532e-06,0.00108730073044956,0.00088773818098503,"Hspd1/Ereg/Hspa8/Btnl6/Hspa1b/H2-K1/H2-Q2/Wdfy1/Cd36/Il1b/Irf7/C5ar1/Tfrc/Ido1/Ada/Pde4b/Rnf31/Igtp/Hexim1/C1qa/Cd74/Ddx60/Hsp90aa1/Oas1g/Smpdl3b/H2-T23/Themis/Ezr/Ywhag/B2m/Icosl/Ulbp1",32
"GO:0042742","defense response to bacterium","19/325","209/11892",0.0909090909090909,3.32643356643357,5.68757468204783,4.50788365578857e-06,0.0011551795927042,0.00094315859597947,"H2-K1/Cd36/Sprr2a1/Il1b/C5ar1/Gzmb/Isg15/Zg16/Rnf31/Igtp/Trf/Aqp1/Oas1g/H2-T23/Scd1/Anxa3/Jchain/B2m/Tnfrsf1a",19
"GO:0032103","positive regulation of response to external stimulus","29/325","422/11892",0.0687203791469194,2.51453153481589,5.30998554959122,4.70094788132474e-06,0.0011551795927042,0.00094315859597947,"Hspb1/Hspd1/Ereg/Hspa8/Hspa1b/Wdfy1/Cd36/Il1b/Thbs1/Irf7/C5ar1/Ido1/Creb3/Ptgs2/Lgals1/Rnf31/Igtp/Camk2n1/Ccl7/Hexim1/Cd74/Ddx60/Hsp90aa1/Oas1g/Lpl/Smpdl3b/H2-T23/Ulbp1/Tnfrsf1a",29
"GO:0022600","digestive system process","10/325","64/11892",0.15625,5.71730769230769,6.34262501267651,8.27190306193162e-06,0.0019056396678925,0.00155587966145148,"Cldn2/Tymp/Cd36/Tff3/Htr4/Vil1/Aqp1/Ezr/Fabp2/Lpcat3",10
"GO:0002821","positive regulation of adaptive immune response","12/325","96/11892",0.125,4.57384615384615,5.89311057450342,1.130806901064e-05,0.00232091560645691,0.00189493609357178,"Hspd1/Hspa8/H2-K1/H2-Q2/Il1b/Tfrc/Ada/Cd74/H2-T23/Ywhag/B2m/Ulbp1",12
"GO:0002711","positive regulation of T cell mediated immunity","9/325","53/11892",0.169811320754717,6.21352685050798,6.37606214552399,1.16942216112761e-05,0.00232091560645691,0.00189493609357178,"Hspd1/Hspa8/H2-K1/H2-Q2/Il1b/H2-T23/Ywhag/B2m/Ulbp1",9
"GO:0034605","cellular response to heat","8/325","41/11892",0.195121951219512,7.13966228893058,6.60084317946883,1.24166422742736e-05,0.00232091560645691,0.00189493609357178,"Bag3/Dnajb1/Chordc1/Hspa8/Hspa1b/Hsp90ab1/Ptgs2/Hsp90aa1",8
"GO:0045471","response to ethanol","12/325","97/11892",0.123711340206186,4.52669310071372,5.84581496877453,1.25931394815893e-05,0.00232091560645691,0.00189493609357178,"Hspa8/Cdo1/Fosb/mt-Nd4/Ccl7/Hmgcs2/Tnc/Arc/Slc23a2/mt-Cytb/Aldh1a1/Ppara",12
"GO:0031349","positive regulation of defense response","24/325","332/11892",0.072289156626506,2.64511584800741,5.09597293964647,1.38983414212843e-05,0.00243948983232638,0.00199174727435849,"Hspd1/Ereg/Hspa8/Hspa1b/Wdfy1/Cd36/Il1b/Irf7/Ido1/Ptgs2/Lgals1/Rnf31/Igtp/Camk2n1/Hexim1/Cd74/Ddx60/Hsp90aa1/Oas1g/Lpl/Smpdl3b/H2-T23/Ulbp1/Tnfrsf1a",24
"GO:0007586","digestion","10/325","70/11892",0.142857142857143,5.22725274725275,5.94568997068062,1.8737893719955e-05,0.00313944892053427,0.00256323627489719,"Cldn2/Tymp/Cd36/Tff3/Htr4/Vil1/Aqp1/Ezr/Fabp2/Lpcat3",10
"GO:0014074","response to purine-containing compound","12/325","102/11892",0.117647058823529,4.3047963800905,5.61860358360591,2.11235799928632e-05,0.00338528329798669,0.00276395035238425,"Il1b/Cdo1/Fosb/Ada/Ptgs2/Pklr/Prkaa2/Aqp1/Thbd/Hmgcs2/Ezr/Bsg",12
"GO:0045429","positive regulation of nitric oxide biosynthetic process","7/325","34/11892",0.205882352941176,7.53339366515837,6.39459531078322,3.04121328815731e-05,0.00467079674172826,0.00381352139949199,"Hsp90ab1/Cd36/Il1b/Ptgs2/Hsp90aa1/Dnm2/Ulbp1",7
"GO:0097305","response to alcohol","17/325","201/11892",0.0845771144278607,3.09474167623421,5.02045610242609,3.66714331186051e-05,0.00512898073005671,0.00418761056265018,"Hspa8/Adra2a/Cdo1/Fosb/mt-Nd4/Ccl7/Prkaa2/Btg2/Hmgcs2/Tnc/Arc/Slc23a2/mt-Cytb/Aldh1a1/Inhba/Gramd1b/Ppara",17
"GO:0002819","regulation of adaptive immune response","14/325","144/11892",0.0972222222222222,3.5574358974359,5.1754073257978,3.92396399772433e-05,0.00512898073005671,0.00418761056265018,"Hspd1/Hspa8/H2-K1/H2-Q2/Il1b/Irf7/Tfrc/Ada/Lgals1/Cd74/H2-T23/Ywhag/B2m/Ulbp1",14
