"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_DIGESTION",4.61531085891085e-06,0.00807080481780922,0.610526878385931,-0.504115963926946,-2.1886666257506,68,"Cd36/Ctrb1/Slc46a1/Asah2/Aqp1/Lpcat3/Tymp/Vil1/Fabp2/Slc26a6/Ezr/Apoa4/Strap/Pls1/Enpp7/Cldn15/Mogat2/Rbp4/Abcg5/Neurod1/Muc13/Cck/Slc5a1/Slc2a5/Arx/Copa/Ppp3ca/Comt/Tff2/Sis/Npc1l1/Apoa1"
"GOBP_DEOXYRIBONUCLEOTIDE_CATABOLIC_PROCESS",5.38053654520615e-06,0.00807080481780922,0.610526878385931,-0.72351308210355,-2.34434923111616,20,"Upp1/Ada/Tymp/Dera/Gda/Dpyd/Samhd1"
"GOBP_ORGANIC_ACID_METABOLIC_PROCESS",2.37420467686477e-05,0.0237420467686477,0.575610261071129,-0.260815521348882,-1.46976833947781,476,"Cd36/Dpep1/Tnfrsf1a/Cd74/Slc6a8/Slc46a1/Lta4h/Abhd12/Glud1/Mdh1/Mdh2/Asah2/Iyd/Npl/Hagh/Cyp4f14/Scly/Xbp1/Pklr/Adss/Fabp2/Cyp4v3/Slc5a6/Nags/Otc/Acbd4/Aspa/Acsl5/Dpyd/Abcd1/Aldob/Gclm/Thnsl2/Arg2/Sdhb/Cyp3a13/Bpgm/Ido1/Trib3/Sult1b1/Mfsd2a/Eno1/Pdha1/Ddc/Rdh10/Ptgr1/Aldh1a7/Phgdh/Eif6/Osbpl6/Dhfr/P4hb/Acot12/Oat/Scp2/Asns/Aldh1a3/Apoa4/Slc23a1/Acaa1a/Il1b/Amdhd2/Sirt2/Msra/Sucla2/Tpi1/Pfkfb3/Sephs2/Cs/Cyp4b1/Faah/Alox15/Pex2/Abhd5/Ghr/Malrd1/Odc1/Hpgd/Gnpda1/Them4/Lipf/Alox5/Ephx1/Cbr1/Nos3/Baat/Me1/Gsto1/Cyp2d22/App/Osbpl3/Comt/Gls2/Acot8/Slc27a4/Folr1/Adssl1/Prkar2b/Crym/Serinc3/Aldh3a2/Fmo4/Nos2/Acsbg1/Aldh18a1/Pdk3/Angptl4/Idh3g/Naaa/Osbpl9/Acot6/Ilvbl/Abhd2/Akr1a1/Bco2/Tmem135"
"GOBP_MUSCLE_SYSTEM_PROCESS",5.64950095076155e-05,0.0362688073227859,0.557332238758646,-0.305029220217639,-1.60063880420837,237,"Ada/Tnfrsf1a/Slc6a8/Calm1/Klf15/Map2k3/Npnt/Kcnb2/Ormdl3/Sulf2/Pln/Acta1/Mylpf/Pak1/Ryr3/Ddit3/Arg2/Ednrb/Slc8a3/Eno1/Cryab/Chrm2/Ace2/Il1b/Chrna3/Smad4/Adora2b/Rgs4/Tomm70a/Atp1a1/Tpm4/Ltb4r1/P2rx1/Atp1b1/Rhoa/Nmur2/Nos3/Lmcd1/Gsto1/Mylk/Ppp3ca/Adgrd1/Sumo1/Calm2/Gdnf/Lmod1/Pde4b/Pik3ca/Camk2d/Meis1/Zc3h12a/Gata5/Rgs2/Akap6/Htr2b/Stc1/Rock1/Apbb1/Slmap/Cav1/Pkp2/Col14a1/Tpm1/Adra1a/Cald1/Sulf1/Nmur1/Asb2/Calm3/Parp1/Arhgap42/Fgf13/Scn4b/Tacr3/Becn1/Myl9/Acta2/Vegfb/Ghrl/Des/Smad7/Prkag3/Pik3cg/Gstm7/Jph4"
"GOBP_DIGESTIVE_SYSTEM_PROCESS",7.60593600956415e-05,0.0362688073227859,0.538434096309916,-0.467367626653304,-1.97260419270781,59,"Cd36/Slc46a1/Aqp1/Lpcat3/Tymp/Vil1/Fabp2/Slc26a6/Ezr/Apoa4/Strap/Pls1/Enpp7/Cldn15/Mogat2/Rbp4/Abcg5/Neurod1/Muc13/Slc5a1/Slc2a5/Copa/Ppp3ca/Comt/Tff2/Npc1l1/Apoa1"
"GOBP_DEOXYRIBONUCLEOTIDE_METABOLIC_PROCESS",8.47127805064737e-05,0.0362688073227859,0.538434096309916,-0.600747971857824,-2.12517319243701,28,"Upp1/Ada/Tymp/Dera/Gda/Dpyd/Samhd1/Tbpl1"
"GOBP_HORMONE_METABOLIC_PROCESS",9.71547908237915e-05,0.0362688073227859,0.538434096309916,-0.385021753668655,-1.79963310747692,104,"Iyd/Yipf5/Ace/Enpep/Cyp3a13/Ednrb/Sult1b1/Rdh10/Lrat/Aldh1a7/Slc16a10/P4hb/Scp2/Aldh1a3/Ace2/Hsd17b11/Rbp4/Mme/Atp1a1/Ghr/Pcsk5/Cyp2d22/Ctsk/Adm/Wnt4/Ctsz/Anpep/Crym/Ctsb/Hsd17b6/Ugt2b1/Rdh14/Rdh11/Bco2/Adh7/Bmp5/Scpep1/Plekha1/Bche/Hsd17b4/Sgpl1/Dhrs11/Gcnt4/Furin/Bmp2/Stard3"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN",0.000104700986256409,0.0362688073227859,0.538434096309916,-0.6767843823488,-2.16133313337903,19,"Cd74/B2m/H2-T23/H2-Q2/H2-D1/Gm8909/Tapbp/H2-Eb1/H2-Q7/H2-Q1/Tap1"
"GOBP_INTESTINAL_ABSORPTION",0.000108806421968358,0.0362688073227859,0.538434096309916,-0.627887576291866,-2.16148011522774,25,"Cd36/Slc46a1/Lpcat3/Vil1/Fabp2/Slc26a6/Ezr/Apoa4/Pls1/Enpp7/Cldn15/Mogat2/Abcg5/Slc5a1/Slc2a5/Npc1l1/Apoa1"
"GOBP_DICARBOXYLIC_ACID_METABOLIC_PROCESS",0.000135685041252759,0.0407055123758275,0.518848077743792,-0.462368456159994,-1.93980470862236,57,"Slc46a1/Glud1/Mdh1/Mdh2/Adss/Nags/Aspa/Gclm/Sdhb/Ido1/Dhfr/Oat/Sucla2/Lipf/Me1/Gls2/Acot8/Folr1/Adssl1/Aldh18a1/Asl/Me2/Mthfd2/Slc19a1/Fh1/Gls/Ogdh/Nit2/Mthfd2l/Mthfd1l/Sdhaf3"
"GOBP_LIPOPROTEIN_LOCALIZATION",0.000174102442880253,0.0426948668096858,0.518848077743792,-0.66493985370663,-2.12350724248785,19,"Cd36/Sar1b/Apob/Vmp1/Surf4/Pgrmc1/Cubn/Mia2/Apobec1/Mttp"
"GOBP_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY",0.000178560864550603,0.0426948668096858,0.518848077743792,-0.373669773897928,-1.74317365720638,103,"Grina/Cd74/Dnaja1/Creb3/Ubb/Hspb1/Pmaip1/Xbp1/Ripk3/Ddit3/Slc9a3r1/Eno1/Herpud1/P4hb/Tpt1/App/Serinc3/Tmbim6/Snai1/Styxl1/Hells/Mdm2/Skil/Usp15/Ddx3x/Pink1/Txndc12/Cav1/Bcap31/Hyou1/Snai2/Parp1/Rrm2b"
"GOBP_REGULATION_OF_MUSCLE_SYSTEM_PROCESS",0.000185011089508638,0.0426948668096858,0.518848077743792,-0.357497834174591,-1.71424313709986,124,"Ada/Tnfrsf1a/Calm1/Npnt/Kcnb2/Ormdl3/Pln/Pak1/Slc8a3/Eno1/Chrm2/Ace2/Chrna3/Smad4/Adora2b/Rgs4/Tomm70a/Atp1a1/P2rx1/Atp1b1/Rhoa/Nmur2/Nos3/Lmcd1/Gsto1/Ppp3ca/Adgrd1/Sumo1/Calm2/Pde4b/Camk2d/Zc3h12a/Gata5/Rgs2/Akap6/Stc1/Rock1/Cav1/Pkp2/Tpm1/Adra1a/Calm3/Parp1/Arhgap42/Fgf13/Tacr3/Becn1/Myl9/Ghrl/Smad7/Prkag3/Pik3cg/Gstm7/Jph4"
"GOBP_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY",0.000246545164582782,0.0528311066963104,0.49849310876659,-0.296008541982801,-1.53685078850092,217,"Grina/Cd74/Dnaja1/Asah2/Creb3/Ubb/Rb1/Hspb1/Pmaip1/Xbp1/Slc25a5/Ripk3/Acsl5/Jak2/Ddit3/Gclm/Sh3rf1/Slc9a3r1/Eno1/Herpud1/Prelid1/P4hb/Il1b/Gnai2/Aatf/Tnfsf12/Apaf1/Tpt1/Nos3/App/Wnt4/Ppef2/Serinc3/Tmbim6/Snai1/Styxl1/Gdnf/Hells/Tnfrsf12a/Pdia3/Sp100/Mdm2/Skil/Bmp5/Usp15/Ddx3x/Bak1/Pink1/Mapk8ip2/Txndc12/Ripk1/Cav1/Tmc8/Bcap31/Hyou1/Snai2/Cradd/Ctnna1/Parp1/Rrm2b/Tnfaip3/Dedd2/Becn1/Dbh/Cyld"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION",0.000278677941346176,0.053275858669233,0.49849310876659,-0.435191977110137,-1.87225154985558,64,"Cd74/B2m/Sar1b/Ace/H2-T23/H2-Q2/H2-D1/H2-DMb1/Gm8909/Ext1/H2-DMa/Tapbp/Psmb8/H2-Eb1/H2-Q7/Rab10/H2-Q1"
"GOBP_VESICLE_CARGO_LOADING",0.000292186942446416,0.053275858669233,0.49849310876659,-0.651476014941962,-2.08051003158361,19,"Sec13/Sar1b/Cideb/Surf4/Ap3s1/Rab1a/Mia2/Picalm"
"GOBP_AMINO_ACID_METABOLIC_PROCESS",0.000302053665251212,0.053275858669233,0.49849310876659,-0.332847489352335,-1.6426267282253,150,"Dpep1/Aars/Pepd/Glud1/Iyd/Scly/Adss/Nags/Otc/Aspa/Dpyd/Gclm/Thnsl2/Arg2/Ido1/Ddc/Aldh1a7/Phgdh/Yars2/P4hb/Oat/Asns/Rars/Msra/Sephs2/Sars/Odc1/Nos3/Baat/Yars/Gls2/Tars/Adssl1/Crym/Lars/Serinc3/Nos2/Aldh18a1"
"GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS",0.000324554048225623,0.053275858669233,0.49849310876659,-0.31186506756797,-1.58190697904548,183,"Upp1/Dpep1/Ada/Nudt5/Fut4/Glud1/Npl/Hagh/Cyp4f14/Scly/Dera/Gk5/Galm/Gda/Gpd2/Otc/Dpyd/Abcd1/Aldob/Thnsl2/Arg2/Entpd7/Ido1/Sult1b1/Mfsd2a/Fut10/Eno1/Esd/Aldh3b1/Oat/Scp2/Oxct1/Acaa1a/Mpi/Amdhd2/Tpi1/Faah/Pex2/Gnpda1/Rbks/Nos3"
"GOBP_MONONUCLEAR_CELL_DIFFERENTIATION",0.000337413771571809,0.053275858669233,0.49849310876659,-0.27043960365468,-1.45628232110779,299,"Ada/Cd74/Nfil3/B2m/Themis/Fos/Rb1/Zfpm1/Xbp1/Slc25a5/H2-D1/Casp8/Sox13/Gm8909/Tpd52/Ubd/Ripk3/Rorc/Pik3r2/Runx2/Ndfip1/Plcg2/Entpd7/Sh3rf1/Icosl/Il4ra/Prelid1/Mafb/Il33/Mertk/H2-Eb1/Gpr89/Il1rl1/H2-Q7/Il1b/Tbk1/Tnfsf13b/Rhoa/Socs3/Dock11/Slamf8/Vegfa/Diaph3/Il15/Lyn/App/Ifi205/Nfkbiz/Id2/Wnt4"
"GOBP_REGULATION_OF_SYSTEM_PROCESS",0.000360922492365174,0.0541383738547761,0.49849310876659,-0.273002476339235,-1.45756000858245,271,"Ada/Tnfrsf1a/Calm1/Gch1/Aqp1/Lpcat3/Npnt/Ace/Kcnb2/Tymp/Ormdl3/Pln/Pak1/Ednrb/Slc8a3/Slc9a3r1/Eno1/Apoa4/Ssh1/Chrm2/Ace2/Chrna3/Enpp7/Smad4/Cldn15/Adora2b/Rgs4/Abcg5/Faah/Tomm70a/Neurod1/Atp1a1/Cdk18/P2rx1/Atp1b1/Rhoa/Nmur2/Nos3/Lmcd1/Gsto1/App/Ppp3ca/Adm/Tff2/Adgrd1/Sumo1/Calm2/Apoa1/Rims1/Pde4b/Mdm2/Dvl1/Camk2d/Zc3h12a/Gata5/Rgs2/Gria1/Akap6/Stk39/Stc1/Rock1/Mapk8ip2/S100b/Tshz3/Adrb1/Cyp2j9/Cav1/Bmpr2/Pkp2/Tpm1/Adra1a/Prap1/Cst7/Calm3/Parp1/Arhgap42/Fgf13/Scn4b/Hspb7/Gls/Tacr3/Fabp5/Jam2/Becn1/Dbh/Myl9/Ghrl/Des/Smad7/Prkag3/Pik3cg/Gstm7/Pard3/Jph4/Egr2"
"GOBP_NUCLEOSIDE_METABOLIC_PROCESS",0.000408362580881857,0.0583375115545509,0.49849310876659,-0.592697756044466,-2.04034044055477,25,"Upp1/Ada/Tymp/Dera/Gda/2210016F16Rik/Dpyd/Dhfr"
"GOBP_MUSCLE_CONTRACTION",0.000443047175776406,0.06041552396951,0.49849310876659,-0.308542865659309,-1.57133334639236,189,"Ada/Slc6a8/Calm1/Map2k3/Npnt/Kcnb2/Ormdl3/Sulf2/Pln/Acta1/Mylpf/Ryr3/Ddit3/Arg2/Ednrb/Slc8a3/Eno1/Cryab/Chrm2/Ace2/Chrna3/Adora2b/Atp1a1/Tpm4/Ltb4r1/P2rx1/Atp1b1/Rhoa/Nmur2/Gsto1/Mylk/Adgrd1/Sumo1/Calm2/Gdnf/Lmod1/Pde4b/Pik3ca/Camk2d/Zc3h12a/Rgs2/Htr2b/Stc1/Rock1/Apbb1/Slmap/Cav1/Pkp2/Tpm1/Adra1a/Cald1/Sulf1/Nmur1/Calm3/Arhgap42/Fgf13/Scn4b/Tacr3/Myl9/Acta2/Vegfb/Ghrl/Des/Smad7/Pik3cg/Gstm7/Jph4"
"GOBP_TRICARBOXYLIC_ACID_CYCLE",0.000486318129176575,0.0634327994578141,0.49849310876659,-0.652433010747614,-2.01334029758754,17,"Mdh1/Mdh2/Sdhb/Pdha1/Sucla2/Cs/Sdhaf2/Idh3g"
"GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT",0.000575406723307884,0.0651185833933055,0.477270815362862,-0.401728573051822,-1.76734049106349,74,"Sec13/Sar1b/Yipf5/Cideb/Surf4/Sec16b/Cnih4/P4hb/Arf4/Rab1a/Bet1/Yif1a/Ergic2/Mia2/Stx18/Copa/Lman1/Cope/Trappc3/Arcn1/Mppe1/Rab2a/Atl2/Rnf139/Tmed7/Scfd1/Bcap29"
