"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS",1.65857888930218e-14,4.97573666790655e-11,0.97599468306432,-0.46564143552258,-2.19198974117216,296,"Hsp90ab1/Rrs1/Rrp1b/Srsf10/Rpsa/Xpo1/Krr1/Snu13/Eif3j1/Hsp90aa1/Ddx10/Glul/Ythdc1/Pwp2/Nvl/Brix1/Nol10/Wdr3/Mrps2/Rps3a1/Utp20/Wdr43/Srsf12/Heatr1/Rplp0/Ruvbl1/Ddx47/Ak6/Mettl16/Ptbp2/Bysl/Ncbp1/Eif4b/Nolc1/Sf3a1/Rpl5/Eif3a/Mrm1/Rps24/Tsr1/Utp6/Wdr77/Nip7/Mphosph6/Rpl26/Luc7l/Fbl/Luc7l2/Mcat/Aar2/Npm1/Sf3b1/Dhx30/Surf6/Abt1/Mak16/Rpl24/Gtpbp4/Mpv17l/Bud13/Htatsf1/Ddx51/Rrp8/Ddx52/Nat10/Eif3i/Scaf11/Rps27/Rps19/Exosc1/Cinp/Spata5/Imp3/Eral1/Npm3/Gemin5/Ddx20/Ercc2/Ddx28/Nmd3/Shq1/Rps9/Zfp593/Pno1/Utp23/Strap/Ddx31/Rbm34/Usp39/Eif5/Rps13/Rpl14/Lsm2/Rps8/Mrm2/Ago1/Gar1/Rps7/Grwd1/Rpl7l1/Sfswap/Rps12/Greb1l/Rps6/Nufip1/Nop16/Wdr12/Rps4x/Rrp15/Heatr3/U2af2/Sf1/Rps15a/Tma16/Dicer1/Smn1/Rps23/Coil/Rps11/Eri1/Exosc3/Rrp7a/Rpl35a/Ppan/Rpp25/Snrnp200/Dhx9/Nom1/Tsr2/Snrpb2/Mettl17/Nsa2/Rps5/Rps16/Nhp2/Rbm5/Esf1/Pdcd11/Eif3l/Celf4/Rps19bp1/Setx/Celf1/Rpl38/Snrpb/Rps27a/Dnttip2/Xrcc5/Srsf6/Eif3m/Ago2/Rps27l/Prpf19/Mrto4/Trmt112/Ddx54/Tssc4/Pin4/Rps14/Rps28/Eif2a/Imp4/Riox2/Rpf2/Rpl35/Snrpc/9930104L06Rik/Eif3k/Eif3f/Ddx18/Rpusd4/Pop7/Lsg1/Ybey/Nop56/Rpl7/Rps17"
"GOBP_RESPONSE_TO_HEAT",1.52047331452689e-12,2.28070997179033e-09,0.910119734774459,-0.698806356752941,-2.61608156437886,58,"Bag3/Hspa1b/Dnajb1/Chordc1/Hspb1/Hspa1a/Hsp90ab1/Dnaja4/Dnaja1/Thbs1/Dnajb4/Lrp11/Hsbp1l1/Hsp90aa1/Ano1/Cryab/Scn11a/Fgf1/Mapt"
"GOBP_ORGANIC_ACID_METABOLIC_PROCESS",6.44677908936109e-12,6.44677908936109e-09,0.887074988399873,0.339680219860301,1.88862454301324,476,"Cd36/Dpep1/Abhd6/Glud1/Hagh/Pklr/Ido1/Abhd12/Fabp2/Cyp4f14/Slc6a8/Cyp4b1/Hpgd/Thnsl2/Trib3/Aspa/Aldh3a2/Amdhd2/Crym/Acot4/Cd74/Ilvbl/Acot12/Me2/Abhd2/Scpep1/Npl/Acot8/Lta4h/Asah2/Gclm/Slc23a1/Pdk2/Acox1/Tpi1/Eno1/Ppara/Cyp2d22/Folr1/Cyp4v3/Aldob/Nos2/Btd/Adssl1/Acaa1a/Nags/Gpt/Sdhb/Fahd2a/Iyd/Pdk3/Sult1b1/Slc27a4/Abcd1/Dpyd/Malrd1/Sirt2/Slc5a6/Cyp3a13/Sgpl1/Msra/Aldh1a7/Acsbg1/Ugp2/Pkm/Hsd17b4/Mdh1/Idh3g/Fmo4/Lonp2/Mdh2/Mblac2/Mfsd8/Phgdh/Lipa/Faah/Cs/Ugdh/Nadsyn1/Aco2/Ptgr1/Hadh/Acbd4/Acsf2/Tnfrsf1a/Acsl5/Mccc1/Abcd3/Apoa4/Hadhb/Slc46a1/Cryl1/Sephs2/Fbp1/Scp2/Osbpl6/P4hb/Ptges2/Bpgm/Acox2/Adss/Fah/Bco2/Acbd5/Abhd5/Gnpda1/Slc19a1/Sucla2/Pfkfb1/Pex2/Pgk1/Naaa/Nos3/Eci2/Slc4a4/Alox5/Eif6/Ces2h/Galk1/Psph/Arg2/Afmid/Them4/Dhfr/Otc/Asl/Ogdh/Ptgr2/Cth/Acadvl/Slc25a42/Amacr/Hkdc1/Comt"
"GOBP_RESPONSE_TO_TEMPERATURE_STIMULUS",3.68932197388178e-11,2.76699148041133e-08,0.851339057116899,-0.604464006232103,-2.44643536970544,89,"Bag3/Hspa1b/Dnajb1/Chordc1/Hspb1/Hspd1/Hspa1a/Hsp90ab1/Dnaja4/Dnaja1/Thbs1/Dnajb4/Lrp11/Hsbp1l1/Hsp90aa1/Ano1/Pcsk1n/Cryab/Scn11a/Scn9a/Fgf1/Mapt/Plin1/Adora1/Irak1/Hspb2/Zfp516/Mill2/Eif2ak3/Hikeshi/Nfe2l1"
"GOBP_PROTEIN_FOLDING",4.21803731078488e-10,2.53082238647093e-07,0.814035837847908,-0.517369199960627,-2.20397688256877,129,"Hsph1/Bag3/Hspa1b/Dnajb1/Chordc1/Hspb1/Hspd1/Hspa1a/Hspa8/Hsp90ab1/Dnaja4/Dnaja1/Dnajb4/Lman2l/Nudc/Ahsa1/Hsp90aa1/Ltbp4/Cryab/Fkbp9/Fkbp4/Ahsa2/Anp32e"
"GOBP_CELLULAR_RESPONSE_TO_HEAT",3.32724131041209e-09,1.51514122385273e-06,0.774939030136436,-0.704960752299713,-2.4218393553315,39,"Bag3/Hspa1b/Dnajb1/Chordc1/Hspa1a/Hsp90ab1/Thbs1/Hsbp1l1/Hsp90aa1/Ano1/Fgf1/Mapt/Irak1"
"GOBP_RIBOSOME_BIOGENESIS",3.53532952232304e-09,1.51514122385273e-06,0.774939030136436,-0.45239518363865,-2.0514115393384,209,"Rrs1/Rrp1b/Rpsa/Xpo1/Krr1/Snu13/Ddx10/Glul/Pwp2/Nvl/Brix1/Nol10/Wdr3/Mrps2/Rps3a1/Utp20/Wdr43/Heatr1/Rplp0/Ddx47/Ak6/Mettl16/Bysl/Nolc1/Rpl5/Mrm1/Rps24/Tsr1/Utp6/Nip7/Mphosph6/Rpl26/Fbl/Mcat/Npm1/Dhx30/Surf6/Abt1/Mak16/Rpl24/Gtpbp4/Mpv17l/Ddx51/Rrp8/Ddx52/Nat10/Rps27/Rps19/Exosc1/Cinp/Spata5/Imp3/Eral1/Npm3/Ercc2/Ddx28/Nmd3/Rps9/Zfp593/Pno1/Utp23/Ddx31/Rbm34/Eif5/Rps13/Rpl14/Rps8/Mrm2/Gar1/Rps7/Grwd1/Rpl7l1/Rps12/Greb1l/Rps6/Nop16/Wdr12/Rps4x/Rrp15/Heatr3/Rps15a/Tma16/Rps23/Rps11/Eri1/Exosc3/Rrp7a/Rpl35a/Ppan/Rpp25/Nom1/Tsr2/Mettl17/Nsa2/Rps5/Rps16/Nhp2/Esf1/Pdcd11/Rps19bp1/Rpl38/Rps27a/Dnttip2/Xrcc5/Rps27l/Mrto4/Trmt112/Ddx54/Pin4/Rps14/Rps28/Eif2a/Imp4/Riox2/Rpf2/Rpl35/9930104L06Rik/Ddx18/Rpusd4/Pop7/Lsg1/Ybey/Nop56/Rpl7/Rps17"
"GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS",9.00311814730903e-09,3.37616930524089e-06,0.747739663149885,0.416964710859142,2.09320009182663,183,"Dpep1/Glud1/Hagh/Ido1/Cyp4f14/Upp1/Ada/Thnsl2/Amdhd2/Crym/Acot4/Ilvbl/Abhd2/Npl/Nudt5/Acot8/Dera/Glyctk/Acox1/Tpi1/Eno1/Galm/Ppara/Aldob/Nos2/Gda/Acaa1a/Gpt/Sult1b1/Slc27a4/Abcd1/Dpyd/Pkm/Gk5/Hsd17b4/Lonp2/Gpd2/Hsd17b14/Faah/Aldh3b1/Hadh/Entpd7/Mccc1/Abcd3/Hadhb/Esd/Cryl1/Scp2/Acox2/Fah/Acbd5/Mpi/Gnpda1/Pex2/Pgk1/Nos3/Eci2/Galk1/Arg2/Afmid/Otc/Acadvl/Amacr/Akr1a1/Bckdk/Scarf1"
"GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING",1.09783617328663e-08,3.44984229771187e-06,0.747739663149885,-0.693081687004473,-2.38102972480567,39,"Hsph1/Hspa1b/Dnajb1/Chordc1/Hspb1/Hspa1a/Hspa8/Hsp90ab1/Dnajb4/Fkbp4/Ppid/Pfdn4/Hspa9/Hspa5"
"GOBP_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS",1.14994743257062e-08,3.44984229771187e-06,0.747739663149885,0.348437208205432,1.86446075013257,314,"Cd36/Abhd6/Hagh/Pklr/Ido1/Abhd12/Fabp2/Cyp4f14/Slc6a8/Cyp4b1/Hpgd/Thnsl2/Trib3/Aspa/Aldh3a2/Acot4/Cd74/Ilvbl/Acot12/Me2/Abhd2/Scpep1/Acot8/Asah2/Pdk2/Acox1/Tpi1/Eno1/Ppara/Cyp2d22/Cyp4v3/Aldob/Btd/Acaa1a/Pdk3/Slc27a4/Abcd1/Malrd1/Sirt2/Slc5a6/Cyp3a13/Sgpl1/Aldh1a7/Acsbg1/Pkm/Hsd17b4/Fmo4/Lonp2/Mblac2/Mfsd8/Phgdh/Lipa/Faah/Ptgr1/Hadh/Acbd4/Acsf2/Tnfrsf1a/Acsl5/Mccc1/Abcd3/Apoa4/Hadhb/Cryl1/Fbp1/Scp2/Osbpl6/Ptges2/Bpgm/Acox2/Fah/Bco2/Acbd5/Abhd5/Pfkfb1/Pex2/Pgk1/Naaa/Eci2/Slc4a4/Alox5/Eif6/Ces2h/Galk1/Them4/Ogdh/Ptgr2/Acadvl/Slc25a42/Amacr/Hkdc1/Comt/Akr1a1/Bckdk/Me1/Rdh10"
