"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS",3.85030613083672e-32,1.15509183925102e-28,1.47456250139425,-0.559517108300499,-2.91922621846336,296,"Hsp90ab1/Xpo1/Heatr1/Krr1/Wdr43/Sf3b1/Brix1/Rrp1b/Gtpbp4/Utp6/Wdr3/Nol10/Nufip1/Bms1/Pwp2/Wdr12/Tma16/Mybbp1a/Htatsf1/Nom1/Grwd1/Npm1/Eif3m/Esf1/Sf3a1/Noc2l/Rps4x/Rpf2/Strap/Dicer1/Dkc1/Rplp0/Ncbp1/Dnttip2/Ddx20/Snrnp200/Srfbp1/Eif5/Gnl2/Ddx52/Mrps2/Atr/Rbm34/Wdr36/Eif3a/Rps7/Rpp30/Snu13/Rrs1/Nop58/Lsg1/Spata5/Rcl1/Mettl16/Ddx18/Cinp/Eif3i/Ddx23/Mak16/Prpf39/Scaf11/Setx/Pwp1/Rrp15/Exosc2/Xrcc5/Ptbp2/Rps3a1/Nop56/Ddx46/Aatf/Rps5/Eri1/Ddx31/Pelp1/Rpl5/Ddx10/Wdr77/Nmd3/Suv39h1/Rpl24/Eif2d/Pno1/Srsf10/Riox2/Eif3f/Ddx51/Srsf12/Smn1/Bop1/Utp3/Tsr1/Riok1/Eif2a/Eif3j1/Prpf3/Sf3b4/Exosc8/Dhx9/Exosc1/Gemin5/Rps15a/Ddx54/Usp39/Rps12/Nat10/Ddx28/Sfswap/Fbl/Eif3l/Heatr3/Ddx3x/Znhit6/Rps14/Drosha/Usp16/Rpl7/Crnkl1/Rps6/Ruvbl1/Rpl7l1/C1qbp"
"GOBP_RIBOSOME_BIOGENESIS",1.93672213756118e-21,2.90508320634178e-18,1.19534448258848,-0.550324041667741,-2.75243852899708,209,"Xpo1/Heatr1/Krr1/Wdr43/Brix1/Rrp1b/Gtpbp4/Utp6/Wdr3/Nol10/Bms1/Pwp2/Wdr12/Tma16/Mybbp1a/Nom1/Grwd1/Npm1/Esf1/Noc2l/Rps4x/Rpf2/Dkc1/Rplp0/Dnttip2/Srfbp1/Eif5/Gnl2/Ddx52/Mrps2/Rbm34/Wdr36/Rps7/Rpp30/Snu13/Rrs1/Nop58/Lsg1/Spata5/Rcl1/Mettl16/Ddx18/Cinp/Mak16/Pwp1/Rrp15/Exosc2/Xrcc5/Rps3a1/Nop56/Aatf/Rps5/Eri1/Ddx31/Pelp1/Rpl5/Ddx10/Nmd3/Suv39h1/Rpl24/Pno1/Riox2/Ddx51/Bop1/Utp3/Tsr1/Riok1/Eif2a/Exosc8/Exosc1/Rps15a/Ddx54/Rps12/Nat10/Ddx28/Fbl/Heatr3/Ddx3x/Znhit6/Rps14/Drosha/Usp16/Rpl7/Rps6/Rpl7l1/C1qbp"
"GOBP_CHROMOSOME_ORGANIZATION",1.95240650303069e-17,1.95240650303069e-14,1.07686819261983,-0.457217559874205,-2.39862212057271,308,"Hsp90ab1/Top2a/Topbp1/Dusp1/Gem/Ncapg2/Ncapg/Ncapd2/Ccnb1/Tacc3/Smc4/Hnrnpu/Smc3/Esco2/Pds5b/Hspa1b/Cenpf/Nusap1/Kif4/Bub1/Smarca5/Eml4/Atrx/Zfp365/Rif1/Hspa1a/Mad2l1/Dkc1/Tpx2/Pds5a/Smc6/Prc1/Atr/Nup62/Smchd1/Bub1b/Rrs1/Kif15/Kif23/Brca2/Nup107/Kpnb1/Hmgb1/Cdk5rap2/Cep55/Aurkb/Ncaph/Xrcc5/Cct3/Mcmbp/Top1/Tpr/Cep192/Kif11/Ofd1/Smarcc1/Dscc1/Clasp2/Cdt1/Cenpo/Rpa1/Fbxo5/Cdc20/Itgb3bp/Cct8/Hnrnpc/Ppp2r1b/Ncapd3/Abraxas1/Hus1/Zwint/Plk1/Pcna/Cct2/Nudc/Cdc16/Pum2/Ern2/Nat10/Gen1/Baz1b/Stag2/Anapc7/Upf1/Cdk2/Hnrnpa2b1/Nuf2/Hnrnpd/Spc25/Tal1/Cdc23/Mapt/Mre11a/Mlh1/Parp1/Mis12/Tinf2/Ruvbl1/Nek2/Yy1/Rad51/Xrcc6/Zfp830/Arhgef10/Rpa3/Ripor2/Pogz"
"GOBP_CHROMOSOME_SEGREGATION",1.21553487361197e-14,9.11651155208980e-12,0.986546283587582,-0.460698829082055,-2.34696903431016,246,"Top2a/Mki67/Dusp1/Gem/Ncapg2/Ncapg/Ncapd2/Ccnb1/Tacc3/Smc4/Hnrnpu/Smc3/Esco2/Haus6/Hspa1b/Cenpf/Rad18/Nusap1/Kif4/Bub1/Smarca5/Eml4/Diaph3/Hspa1a/Mad2l1/Tpx2/Smc6/Prc1/Nup62/Bub1b/Rrs1/Kif15/Kif23/Csnk2a2/Kpnb1/Cdk5rap2/Cep55/Aurkb/Ncaph/Haus3/Nup43/Top1/Tpr/Cep192/Kif11/Ccnb2/Ofd1/Smarcad1/Smarcc1/Clasp2/Cdt1/Cenpo/Ttl/Mtcl1/Fbxo5/Cdc20/Itgb3bp/Ppp2r1b/Ncapd3/Abraxas1/Zwint/Plk1/Cenpu/Nudc/Nup37/Cdc16/Pum2/Gen1/Baz1b/Stag2/Anapc7/Washc5/Fmn2/Cenpq/Nuf2/Spc25/Ddx3x/Cdc23/Mre11a/Mlh1/Aspm/Mis12/Nek2/Haus7/Haus5/Ddb1"
"GOBP_PROTON_TRANSMEMBRANE_TRANSPORT",1.73148526849393e-14,1.03889116109636e-11,0.97599468306432,0.621779978230846,2.62066441534609,98,"mt-Co2/mt-Atp6/mt-Atp8/mt-Nd4/Cox5b/mt-Nd1/Slc47a1/mt-Cytb/Atp6v1d/Ndufs6/Atp1a2/Slc17a5/Cox8a/mt-Co3/mt-Nd2/Ndufb6/mt-Co1/Ndufa1/Ndufa3/Sphk2/Atp5j/Atp6v1f/Cox7b/Atp5j2/Ndufb4/Atp6v1e1/Ndufc1/Atp6v1g1/Clcn7/Ndufa7/Slc25a22/Slc9a2/Atp5o/Ghitm/Slc25a13/Cox5a/Atp5d/Uqcrfs1/Ndufb9/Slc11a2/Cox4i1/Ndufb7/Ndufc2/Tmco3/Slc2a9/Atp6v0a2/Ndufa5/Uqcr10"
"GOBP_RRNA_METABOLIC_PROCESS",5.53708857733099e-14,2.76854428866549e-11,0.965327754226083,-0.512964500753263,-2.49653193294398,168,"Heatr1/Krr1/Slfn9/Wdr43/Brix1/Rrp1b/Gtpbp4/Utp6/Wdr3/Nol10/Bms1/Pwp2/Wdr12/Esf1/Rpf2/Dkc1/Srfbp1/Ddx52/Rbm34/Wdr36/Rps7/Rpp30/Snu13/Rrs1/Nop58/Rcl1/Mettl16/Ddx18/Mak16/Pwp1/Rrp15/Exosc2/Top1/Nop56/Eri1/Pelp1/Rpl5/Ddx10/Suv39h1/Ddx51/Nifk/Bop1/Utp3/Tsr1/Riok1/Exosc8/Ncl/Exosc1/Ddx54/Ern2/Nat10/Fbl/Spin1/Mapt/Gtf3c3/Znhit6/Rps14/Drosha/Rpl7/Rps6/Rpl7l1/Nop9/Slfn8/Mrm3/Mphosph6/Nsa2/Polr1b/Mtor/Tfb1m/Rpl14/Nolc1/Rpl26/Exosc10/Ebna1bp2/Ercc6/Tsr2"
"GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS",1.0980137170849e-13,4.70577307322102e-11,0.954541630725724,-0.632700209436555,-2.74451618162536,80,"Heatr1/Krr1/Wdr43/Utp6/Wdr3/Nol10/Bms1/Pwp2/Nom1/Npm1/Rps4x/Dnttip2/Srfbp1/Ddx52/Wdr36/Rps7/Snu13/Rrs1/Nop58/Rcl1/Xrcc5/Rps3a1/Nop56/Aatf/Rps5/Pno1/Utp3/Tsr1/Riok1/Rps15a/Rps12/Nat10/Fbl/Rps14/Rps6/Nop9/Surf6"
"GOBP_MRNA_PROCESSING",1.31886993026515e-13,4.94576223849432e-11,0.943632225232838,-0.426236388114362,-2.21922145197621,289,"Hspa8/Sf3b1/Rrp1b/Ccnb1/Hnrnpu/Eftud2/Cpsf2/Htatsf1/Npm1/Hnrnpll/Mtpap/Ptbp1/Cwc22/Sf3a1/Cmtr2/Lsm11/Rbm3/Strap/Mbnl3/Srrm2/Ncbp1/Ddx20/Snrnp200/Dhx15/Rbmx/Cstf3/Cstf2/Zfp326/Rnpc3/Snu13/Trmt10c/Thoc1/Mettl16/Pus7/Cdk13/Trmt6/Srsf4/Ddx23/Prpf39/Pde12/Trmt2a/Cpsf6/Scaf11/Setx/Srsf7/Ptbp2/Ddx46/Dcps/Zc3h14/Mbnl1/Wdr77/Smu1/Srsf10/Pnn/Srsf12/Smn1/Grsf1/Khsrp/Iws1/Rbm15b/Hnrnpc/Prpf3/Sf3b4/Gpatch1/Ncl/Dhx9/Gemin5/Apobec2/Usp39/Mettl3/Ern2/Dhx8/Zpr1/Cwf19l1/Pabpc1/Upf1/Tsen2/Sfswap/Hnrnpa2b1/Ecd/Rnps1/Larp7/Zcchc8/Ppwd1/Zc3h13/Magoh/Virma/Crnkl1/Dhx40/Cdc40/C1qbp/Zfp830/Ythdc1/Dyrk1a/Prpf40a/Srek1/Rbm41/Prpf38b/Trub1/Fastkd5/Bud31"
"GOBP_CHROMATIN_ORGANIZATION",6.11363365907574e-13,2.03787788635858e-10,0.921426003494898,-0.380452786925687,-2.06040060292915,422,"Top2a/Topbp1/Mki67/Hr/Ncapg2/Nr5a2/Slfn9/Sf3b1/Dnajc2/Hnrnpu/Trim37/Morc4/Chaf1b/Hells/Set/Cbx3/Dek/Mybbp1a/Bub1/Smarca5/Htatsf1/Grwd1/Npm1/Atrx/Mbd1/Hmgn2/Lsm11/Noc2l/Rif1/Chaf1a/Eed/Kat14/Scmh1/Smc6/Bend3/Atr/Huwe1/Ifi205/Smchd1/Ncoa3/Piwil2/Ezh2/Mettl4/Brca2/Crebzf/Pwwp2b/Prmt1/Ep400/Ddx23/Hmgb1/Kdm2b/Rbbp7/Prmt8/Bicra/Mllt3/Pwp1/Tet2/Anp32b/Chd1l/Banp/Top1/Tpr/Mecom/Smarcad1/Suv39h1/Smarcc1/Lbr/Fgf2/Riox2/Vrk1/Phf20/Utp3/Rpa1/Iws1/Kansl1/Rbm15b/Itgb3bp/Hnrnpc/Kmt2e/L3mbtl3/Ncapd3/Pcbp2/Usp15/Abraxas1/Dhx9/Hirip3/Prdm16/Apobec2/Pcna/Mettl3/Rnf20/Ctr9/Pkn1/Gpx1/Tada2a/Wac/Hmgn5/Rela/Baz1b/Rlim/Asf1b/Taf7/Fbl/Asxl1/Cdk2/Psme4/Spin1/Spin4/Mms22l/Sin3a/Zfp729a/Nfat5/Smyd2/Tal1/Map3k7/Jarid2/Tdg/Mre11a/Clock/Rybp/Msl3/Usp16/L3mbtl2/Ruvbl1/Shprh/Yy1/Ddb1/Hipk2/Tada2b/Apbb1/Chtop/Yeats2/Ythdc1/Dyrk1a"
"GOBP_RRNA_PROCESSING",1.43325897682698e-12,4.29977693048094e-10,0.910119734774459,-0.525636969704716,-2.49711269331536,142,"Heatr1/Krr1/Wdr43/Brix1/Rrp1b/Gtpbp4/Utp6/Wdr3/Nol10/Bms1/Pwp2/Wdr12/Esf1/Rpf2/Dkc1/Srfbp1/Ddx52/Rbm34/Wdr36/Rps7/Rpp30/Snu13/Rrs1/Nop58/Rcl1/Mettl16/Ddx18/Mak16/Pwp1/Rrp15/Exosc2/Nop56/Eri1/Pelp1/Rpl5/Ddx10/Suv39h1/Ddx51/Bop1/Utp3/Tsr1/Riok1/Exosc8/Exosc1/Ddx54/Nat10/Fbl/Znhit6/Rps14/Drosha/Rpl7/Rps6/Rpl7l1/Nop9/Mrm3/Mphosph6/Nsa2/Tfb1m/Rpl14/Nolc1/Rpl26/Exosc10/Ebna1bp2/Tsr2"
