"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",3.06469122431898e-08,1.53234561215949e-06,0.719512826338911,-0.434789203793385,-2.11931097615794,138,"Upp1/Cd74/Lap3/B2m/Ifi27l2b/Gch1/H2-D1/Casp8/Gm8909/Jak2/H2-DMa/Samhd1/Mt2/Bpgm/Ido1/Tapbp/Il4ra/Casp7/Psmb8/H2-Eb1/H2-Q7/Stat1/Epsti1/Herc6/Socs3/Zbp1/Peli1/Isoc1/Psmb9/Il18bp/Ube2l6/Ifi35/Tap1/Il15/Ifi44/Psmb2/Nampt/Serping1/Vcam1/Pde4b/Tnfaip2/Psme2/Batf2/Gbp4/Ccl5/Xcl1/Mthfd2/Isg15/Casp3/Ripk1/Tdrd7"
"HALLMARK_ALLOGRAFT_REJECTION",0.000351587908640026,0.00801941465882097,0.49849310876659,-0.362417546185861,-1.71536920574933,110,"Aars/Cd74/B2m/Igsf6/Gzmb/H2-T23/H2-DMb1/Tpd52/Jak2/H2-DMa/Tapbp/Icosl/Il4ra/Rars/H2-Q7/Il1b/Stat1/C2/Cd96/Tap1/Il15/Lyn/Gbp2/Cxcl13/Trat1/Nos2"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.000547796404028866,0.00801941465882097,0.477270815362862,-0.420440630865743,-1.79972143929028,64,"Cd74/Lap3/B2m/Ifi27l2b/Casp8/Il4ra/Psmb8/H2-Q7/Epsti1/Herc6/Psmb9/Ube2l6/Ifi35/Tap1/Il15/Ifi44/Gbp2/Ccrl2/Psme2/Batf2/Tent5a/Trim12c/Oas1g/Isg15/Tdrd7/Ifitm2/Trim21"
"HALLMARK_MTORC1_SIGNALING",0.000641553172705678,0.00801941465882097,0.477270815362862,-0.318376142129008,-1.56208665321574,143,"Cacybp/Nfil3/Lta4h/Map2k3/Psmd14/Xbp1/Egln3/Ppa1/Ddit3/Ube2d3/Psmc6/Trib3/Slc9a3r1/Eno1/Phgdh/Dhfr/Hspa5/Asns/Psmc2/Nufip1/Rab1a/Cops5/Tpi1/Psmd12/Prdx1/Tbk1/Me1/Edem1/Etf1/Atp6v1d/Nampt/Sla/Actr3/Canx"
"HALLMARK_XENOBIOTIC_METABOLISM",0.000824943643943081,0.00824943643943081,0.477270815362862,-0.351844922138066,-1.63925393758613,102,"Upp1/Cd36/Tnfrsf1a/Gch1/Sar1b/Cyp4f14/Enpep/Cndp2/Pgrmc1/Dhrs1/Casp6/Cat/Arg2/Mt2/Ddc/Ptgr1/Man1a/Rbp4/Ephx1/Cbr1/Gsto1/Comt/Id2/Tmbim6/Adh7/Cyb5a/Cyp2e1/Reg1/Asl/Dhps/Pink1/Ccl25/Fbp1/Cyp2j9"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00782914799251455,0.0652428999376212,0.380730400722792,-0.307761244669837,-1.47742805032198,121,"Nfil3/Map2k3/Gch1/Fut4/Fos/Sik1/Tnc/Rcan1/Pnrc1/Icosl/B4galt5/Spsb1/Litaf/Il1b/Pfkfb3/Areg/Socs3/Vegfa/Tap1/Id2/Nampt/Ccrl2/Panx1/Pde4b/Tnfaip2/Ccl4/Zc3h12a/Ccl5/Il18/Il7r/Bmp2/Ier5/Rhob/Slc16a6"
"HALLMARK_COMPLEMENT",0.0107015457788347,0.0764396127059623,0.279865652661932,-0.304058203300627,-1.44762705653798,114,"Cd36/Lap3/Lta4h/Calm1/Cd55/Xpnpep1/Gzmb/Gpd2/Jak2/Dusp6/Casp7/Hspa5/Apoa4/Gnai2/Usp16/Actn2/Gnb4/C2/Psmb9/Me1/Lyn/Gnai3/Serping1/Ctsb/Pik3ca/Usp15/Sh2b3/Ccl5/Csrp1/Pik3r5/Anxa5"
"HALLMARK_MYC_TARGETS_V1",0.0125252525252525,0.077604309321647,0.260820567718869,-0.299632214442754,-1.43280261995181,118,"Psmd14/Rfc4/Psmc6/Ap3s1/Cops5/Tomm70a/Mcm6/Psma6/Odc1/Cnbp/Psmd7/Etf1/Cul1/Eif4e/Psmb2/Psmd1/Ranbp1/Canx/Serbp1/Cdc20/Aimp2/Pgk1/Mrps18b/Mcm5/Slc25a3/Cct3/Ldha/Acp1/Ddx18/Pcna/Pwp1/Nop56/C1qbp/Psmb3/Eif4h/Set/Uba2/Npm1/Rsl1d1/Rad23b/Eif4g2/Eif2s1/Rps5/Cdk4/Dek/Rps2/Cct2"
"HALLMARK_GLYCOLYSIS",0.0139687756778965,0.077604309321647,0.248832632022043,-0.295513566144526,-1.4186322658689,121,"Gmppb/Mdh1/Mdh2/Il13ra1/Egln3/Ext1/Casp6/Aldob/Gpc4/Eno1/B4galt2/Hspa5/Mertk/Ak3/Rars/Mpi/Igfbp3/Tgfbi/Adora2b/Tpi1/Gnpda1/Vegfa/Me1/Fbp2"
"HALLMARK_HYPOXIA",0.0193626462283179,0.0968132311415894,0.208826601974224,-0.29031629638077,-1.38594052040839,117,"Nfil3/Xpnpep1/Plac8/Fos/Pklr/Ext1/Tpd52/Ddit3/Casp6/Aldob/Gpc4/Mt2/Pnrc1/Eno1/Hspa5/Igfbp3/Tgfbi/Adora2b/Tpi1/Pfkfb3/Anxa2/Vegfa/Slc2a5/Map3k1/Adm/Pdk3/Angptl4/Cdkn1c/Ilvbl/Ccng2/Lxn/Pgk1/Noct/Stc1/Fbp1/Cav1/Bgn/Ldha/Pygm"
