"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",8.49966344811471e-16,4.24983172405735e-14,1.02766987054358,0.551811072412522,2.64877358046823,138,"Irf7/Isg15/Xaf1/Herc6/Ido1/Samhd1/Rtp4/Ifi27l2b/Ddx60/Rnf31/Upp1/Lap3/Usp18/Zbp1/Cd74/Ifi44/Tapbp/Il15/B2m/Psmb8/Ifit3/Ccl5/Tap1/Gm8909/Casp7/Ifih1/Stat1/H2-D1/Jak2/Parp12/Cmpk2/Nlrc5/Nampt/Tnfsf10/Xcl1/Ifi35/Il18bp/Ifit1bl1/Ciita/Lgals3bp/Ifi27/Tdrd7/Peli1/Znfx1/Psmb9/Casp8/Mvp/Oasl1/Itgb7/Eif4e3/Batf2/Sppl2a/Cd274/Casp3/Bpgm/Dhx58/H2-DMa/Ube2l6/H2-Eb1/Epsti1/Isoc1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",2.55005422663191e-12,6.37513556657977e-11,0.898671232061694,0.658849792198447,2.77243072169335,64,"Irf7/Isg15/Herc6/Rtp4/Oas1g/Ifi27l2b/Ddx60/Rnf31/Lap3/Usp18/Cd74/Ifi44/Il15/B2m/Psmb8/Ifit3/Trim12c/Tap1/Ifih1/Parp12/Cmpk2/Ifi35/Lgals3bp/Ifi27/Parp9/Tdrd7/Psmb9/Casp8/Oasl1/Batf2/Dhx58/Ncoa7/Ube2l6/Epsti1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1.38838643290513e-07,2.31397738817521e-06,0.690132458796796,-0.491892729453414,-2.08464702066736,121,"Serpinh1/Thbs1/Gem/Col5a1/Col7a1/Inhba/Itga2/Jun/Gadd45b/Sgcd/Ntm/Lgals1/Fap/Igfbp2/Itga5/Loxl2/Bgn/Postn/Fgf2/Col1a2/Tnfrsf12a/Dpysl3/Thbs2/Cald1/Col12a1/Sparc/Col1a1/Colgalt1/Pdlim4/Plod2/Dcn/Col3a1/Edil3/Pvr/Fn1/Tnc/Mmp2/Pfn2/Scg2/Lox/Pcolce/Mylk/Abi3bp/Fbn1/Sfrp1/Col8a2/Igfbp4/Acta2/Pmepa1/Cap2/Col5a3/Thy1/Eln/Col4a1"
"HALLMARK_MYC_TARGETS_V1",5.33485890834382e-07,6.66857363542978e-06,0.659444398037935,-0.481103122981461,-2.03203899126223,118,"Hspd1/Hsp90ab1/Rnps1/Xpo1/Eif3j1/Hnrnpc/Cdk2/Srsf7/G3bp1/Rplp0/Hnrnpa2b1/Ncbp1/Ncbp2/Nolc1/Sf3a1/Etf1/Eef1b2/Rpl34/Fbl/Prps2/Hnrnpu/Npm1/Eprs/Eif4e/Tfdp1/Rps2/Hdgf/Iars/Uba2/Erh/Rack1/Bub3/Rpl14/Dhx15/Lsm2/Ywhae/Hdac2/Hddc2/Xrcc6/Rps3/Rsl1d1/Rps6/Nop16/Pcna/Cstf2/Ube2l3/Ndufab1/Abce1/Smarcc1/Rpl18/Mrpl9/Rad23b/Cnbp/Set/Ssbp1/Tyms/Mcm6/Snrpb2"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",7.61337191882992e-07,7.61337191882992e-06,0.659444398037935,-0.471557611910761,-1.99846655964018,121,"Dusp1/Dnajb4/Gem/Nr4a1/Fosb/Inhba/Ptgs2/Tgif1/Btg2/Il1b/Ldlr/Jun/Nr4a2/Gadd45b/Sik1/Ackr3/Maff/F3/Bhlhe40/Pde4b/Tnfaip8/Nfil3/Ppp1r15a/Ier3/Map3k8/Tnfaip6/Serpinb8/Klf9/Btg3/Ccnl1/Egr2/Klf10/Spsb1/Yrdc/Ier2/Tnc/Rela/Mcl1/Tnf/Dusp4/Cd83/Jag1"
"HALLMARK_APOPTOSIS",0.000251587970801302,0.00209656642334419,0.49849310876659,-0.426733797762879,-1.76704301135241,103,"Hspb1/Ereg/Dnaja1/Btg2/Gsn/Il1b/Jun/Gadd45b/Ier3/Bgn/Plat/Cdk2/Ifngr1/Casp2/Tnfrsf12a/Anxa1/Txnip/Btg3/Gpx1/Dcn/Etf1/Bcl2l11/Timp2/Gstm2/Mmp2/Slc20a1/Rela/Cd14/Mcl1/Cdkn1b/Tnf"
"HALLMARK_PEROXISOME",0.000309529335257178,0.00221092382326556,0.49849310876659,0.432781559048712,1.82113875468537,64,"Cat/Cln8/Acot8/Hsd17b11/Acox1/Acaa1a/Abcd1/Ephx2/Aldh1a7/Hsd17b4/Lonp2/Vps4b/Nr1i2/Mvp/Gstk1/Ugt2b1/Acsl5/Abcd3/Scp2/Ercc3/Isoc1/Pex2/Fabp6/Eci2"
"HALLMARK_BILE_ACID_METABOLISM",0.000489172775077089,0.00305732984423181,0.477270815362862,0.463307674656491,1.8956596231524,56,"Optn/Cat/Hsd17b11/Gclm/Bbox1/Slc23a1/Sult1b1/Abcd1/Ephx2/Aldh1a7/Hsd17b4/Lck/Lonp2/Nr1i2/Gstk1/Acsl5/Abcd3/Scp2/Paox/Apoa1/Isoc1/Amacr/Dhcr24/Pex1/Ar/Pex19/Hsd17b6/Rxra/Npc1/Mlycd/Fdxr"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.000604721206345298,0.00335956225747388,0.477270815362862,0.338290354349778,1.6148394662181,132,"Glud1/Slc25a5/Casp7/Atp1b1/Acaa1a/Uqcrc1/Sdhb/Ndufs8/Ndufa9/Atp6v1d/Maob/Cyb5r3/Mdh1/Idh3g/Mdh2/Atp6v1e1/Cs/Aco2/Hadhb/Aifm1/Htra2/Sucla2/Atp5b/Atp5a1/Uqcrc2/Afg3l2/Ogdh/Oxa1l/Acadvl/Mrps15/Vdac2/Atp5c1/Gpx4/Gpi1/Pdk4/Ldha/Mrps11/Atp5o"
"HALLMARK_XENOBIOTIC_METABOLISM",0.0017374283748062,0.00753188881839514,0.45505986738723,0.357463067340822,1.63181165635906,102,"Cd36/Abhd6/Cyp4f14/Upp1/Cat/Pink1/Sar1b/Enpep/Tmbim6/Pgrmc1/Acox1/Dhps/Man1a/Cndp2/Maoa/Acp2/Ugdh/Aco2/Ptgr1/Tnfrsf1a/Fbp1/Acox2/Fah/Dhrs1/Casp6/Arg2/Asl/Comt/Mt2/Id2/Leap2/Pdk4/Dcxr/Papss2/Cbr1"
