"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_MYC_TARGETS_V1",1.68514553287358e-22,8.4257276643679e-21,1.22950405660873,-0.662655603296801,-3.06564363463663,118,"Hspd1/Hsp90ab1/Xpo1/Mcm5/Etf1/Mcm6/Rfc4/Hnrnpu/Set/Cbx3/Dek/Prps2/Rsl1d1/Npm1/Sf3a1/Cnbp/Mad2l1/Rplp0/Ncbp1/Eprs/Dhx15/Cstf2/Eif4e/Rack1/Iars/Ddx18/Tfdp1/Abce1/Kpnb1/Pwp1/Aimp2/Eef1b2/Srsf7/Tyms/Cct3/Nop56/Rps5/Serbp1/Psmd1/Smarcc1/Cdc20/Eif3j1/Hnrnpc/Canx/Cad/Rpl6/Pcna/Cct2/Psma6/Uba2/Ywhae/Psmd7/Pabpc1/Fbl/Psmd14/Cdk2/Hnrnpa2b1/Rnps1/Hnrnpd/Prdx3/Tomm70a/Rps6/Cul1/C1qbp/Eif2s1/Rps2/Xrcc6/G3bp1"
"HALLMARK_G2M_CHECKPOINT",6.13336016233245e-20,1.53334004058311e-18,1.15122052214226,-0.641798699057792,-2.9764114130308,120,"Xpo1/Hspa8/Top2a/Mki67/Plk4/Mcm5/Mcm6/Slc7a5/Slc7a1/Mt2/Kif20b/Tacc3/Smc4/Hnrnpu/Pds5b/Cenpf/Nusap1/Kif4/Bub1/Atrx/Hmgn2/Chaf1a/Mad2l1/Dkc1/Tpx2/Prc1/Ezh2/Kif15/Kif23/Brca2/E2f4/Hmmr/Tfdp1/Kpnb1/Sqle/Aurkb/Top1/Kif11/Ccnb2/Suv39h1/Orc6/Smarcc1/Cul5/Lbr/Srsf10/Fbxo5/Smad3/Cdc20/Slc12a2/Pbk/Ncl/Hus1/Plk1"
"HALLMARK_E2F_TARGETS",7.19926615986124e-15,1.19987769331021e-13,0.986546283587582,-0.583048264297541,-2.70605717707787,121,"Xpo1/Top2a/Mki67/Plk4/Mcm5/Mcm6/Ncapd2/Tacc3/Smc4/Smc3/Hells/Pds5b/Dek/Kif4/Diaph3/Nup205/Cse1l/Eed/Mad2l1/Smc6/Ipo7/Bub1b/Ezh2/Cdca3/Brca2/Nup107/Hmmr/Rbbp7/Aurkb/Nop56/Ccnb2/Suv39h1/Orc6/Dscc1/Lbr/Pnn/Pold1/Rpa1/Cdc20/Melk/Exosc8/E2f8/Hus1/Pms2/Plk1/Pcna/Asf1b/Mms22l/Hnrnpd/Spc25/Shmt1/Mre11a/Mlh1/Cnot9/Ccp110/Eif2s1/Rrm2/Xrcc6/Rpa3"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.0280157606185e-08,1.28501970077313e-07,0.747739663149885,0.60668392134574,2.36711774977423,64,"Irf7/Isg15/Ncoa7/Ifi27l2b/Il15/Rtp4/Tmem140/Ifit3/Trim25/Trim12c/Mvb12a/Bst2/Usp18/B2m/Oasl1/Ifi27/Ddx60/Trafd1/Oas1g/Lgals3bp/Herc6/Ifitm2/Nub1/Parp12/Ifi35/Helz2/Lap3/Ube2l6/Cmpk2/Psmb8/Psme2/Gmpr/Txnip/Rnf31/Tdrd7/Ifitm1"
"HALLMARK_MYC_TARGETS_V2",5.96298014497219e-08,5.96298014497219e-07,0.704975715167238,-0.682708777334666,-2.52167149207445,37,"Hspd1/Plk4/Mcm5/Wdr43/Cbx3/Mybbp1a/Grwd1/Npm1/Rcl1/Ddx18/Pprc1/Map3k6/Aimp2/Nop56"
"HALLMARK_ADIPOGENESIS",3.9960053751072e-06,3.330004479256e-05,0.610526878385931,0.445612672114314,1.94338731620632,121,"Fah/Cyp4b1/Gpx3/Cox8a/Cd151/Uqcr11/Tst/Slc25a10/Cmbl/Cd36/Acox1/Cox7b/Cdkn2c/Pex14/Cox6a1/Ddt/Hadh/Cavin1/Aldoa/Scp2/Atp5o/Ghitm/Acads/Lpcat3/Ccng2/Gpx4/Cat/Slc27a1/Rtn3/Angptl4/Ndufb7/Lpl/Rab34/Atl2/Sqor/Cmpk1/Ndufa5/Gpat4/Nabp1/Uqcr10"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",6.20979368547108e-06,4.43556691819363e-05,0.610526878385931,0.431441608582441,1.91860013107679,138,"Irf7/Ido1/Isg15/Ccl5/Sppl2a/Ifi27l2b/Gch1/Il15/Zbp1/H2-D1/Tnfsf10/Tapbp/Rtp4/Eif4e3/Vamp8/Ifit3/Samhd1/Trim25/Il18bp/Bst2/St3gal5/Usp18/B2m/Oasl1/Ifi27/Apol6/Cd274/Ddx60/Trafd1/Mvp/Lgals3bp/Gm8909/Herc6/Casp3/Ifitm2/Ptpn6/Parp12/Pnp2/Btg1/Ifi35/Helz2/Nlrc5/Lap3/Ube2l6/Xaf1/Peli1/Cmpk2/Casp7/Xcl1/Oas2/Psmb8/Psme2/Fgl2/Txnip/Rnf31/Cdkn1a/Tdrd7"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",7.4287481591731e-06,4.64296759948319e-05,0.610526878385931,0.433090651269944,1.91319546644827,132,"Cox5b/Pdk4/Atp6v1d/Ndufs6/Cox8a/Cycs/Ndufb6/Uqcr11/Slc25a20/Ndufa1/Ndufa3/Atp5j/Atp6v1f/Cox7b/Gpi1/Atp5j2/Ndufb4/Atp6v1e1/Ndufc1/Mrps15/Atp6v1g1/Cox6a1/Uqcrb/Ndufa7/Hadhb/Atp5o/Cox5a/Atp5d/Gpx4/Uqcrfs1/Cox4i1/Timm10/Ndufb7/Mrpl34/Ndufc2/Cox7a2/Acaa1a/Ndufa5/Uqcr10/Timm13/Mrps11/Casp7/Fdx1/Ndufab1/Cyb5r3/Surf1/Ndufa8/Slc25a5/Ldha/Atp5l/Atp5g3/Cox7c/Atp5g2/Ndufs8/Slc25a4/Bdh2/Mdh1/Htra2"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",2.18749505198303e-05,0.000109589677714955,0.575610261071129,-0.399615000481404,-1.85470244289902,121,"Sik1/Il1b/Dnajb4/Dusp1/Gem/Icosl/Icam1/Socs3/Pde4b/Ptgs2/Egr2/Spsb1/Nr4a1/Fosb/Klf9/Tnfaip8/Tnc/Nr4a2/Ccrl2/Ldlr/Cd83/Fut4/Ccnl1/Nfil3/Tnfaip2/Dusp4/Smad3/Ier3/F3/Tnfsf9/Fos/Rela/Jag1/B4galt5/Jun/Nfat5/Tnfaip3/Ier2/Bhlhe40/Gadd45b/Ccl4/Bmp2/Plek"
"HALLMARK_XENOBIOTIC_METABOLISM",2.19179355429911e-05,0.000109589677714955,0.575610261071129,0.445965665833544,1.89158661848441,102,"Acox2/Pdk4/Abhd6/Cyp2c55/Fah/Hsd17b2/Gch1/Tmbim6/Smox/Pink1/Ugdh/Cd36/Acox1/Pycr1/Ces1d/Dcxr/Entpd5/Cyp4f14/Spint2/Ddt/Sar1b/Pgrmc1/Cat/Leap2/Gabarapl1/Pros1/Dhrs1/Maoa/Atoh8/Jup/Vtn/Adh5/Cbr1/Man1a/Dhrs7/Pts/Acp2/Asl/Cyp2e1/Papss2/Cyp2j9/Tnfrsf1a/Upp1/Enpep/Bcat1/Igfbp4/Aldh2/G6pc/Gstm4/Casp6/Cndp2/Ephx1/Akr1c18/Cyb5a/Gsto1/Cfb/Npc1/Rbp4"
