"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG_RIBOSOME",1.50493627764599e-07,2.25740441646898e-05,0.690132458796796,-0.585481062960422,-2.23620681076037,65,"Rpl21/Rpsa/Rpl36al/Rps3a1/Mrpl13/Rpl9/Rplp0/Rpl15/Rpl5/Rps24/Rpl34/Rpl3/Rpl26/Rpl24/Rps27/Rps19/Rps2/Rpl37a/Rps9/Rplp2/Rps13/Rpl14/Rps8/Rps7/Rps12/Rps3/Rps6/Rps4x/Rps15a/Rpl27a/Rps23/Rps11/Rpl18/Rpl35a/Rplp1/Rps20/Rpl32/Rpl4/Rpl13/Rps26/Rps5/Rps16/Rpl36a/Rpl12/Rpl38/Rps27a/Rpl39/Rps27l/Rpl10a/Rpl8/Rps28/Rpl35/Rpl6/Rpl37/Rpl7/Rps17"
"KEGG_SPLICEOSOME",8.70554393969183e-06,0.000652915795476887,0.593325476396405,-0.51577078910264,-2.00498278845903,71,"Hspa1b/Hspa1a/Hspa8/Srsf10/Snu13/Tra2a/Prpf38b/Hnrnpc/Srsf7/Ncbp1/Ncbp2/Sf3a1/Cdc5l/Hnrnpu/Sf3b1/Ppie/U2surp/Usp39/Thoc1/Dhx15/Lsm2/Magohb/Hnrnpk/Eftud2/U2af2/Rbm8a/Magoh/Snrnp200/Snrpb2/Cdc40/Lsm7/Snrpb/Srsf6/Zmat2/Bcas2/Prpf19/Acin1/Snrnp27/Snrpc"
"KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM",4.34508427165542e-05,0.00217254213582771,0.557332238758646,0.525459322338275,2.09786492322214,50,"Calm1/Pik3r2/Dgka/Inpp5b/Plcb3/Pip5k1b/Plcg2/Plcd1/Inpp5a/Cds1/Calm3/Prkca/Itpr2/Dgkq/Cdipt/Itpka/Prkcb/Pik3ca/Itpk1/Impa1/Pik3c2a"
"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",6.95849846642854e-05,0.0026094369249107,0.538434096309916,0.447604222405592,1.91011649458584,68,"Gzmb/Pik3r2/H2-T23/Prf1/Gm8909/H2-D1/Tnfsf10/Rac1/Chp2/Lck/Plcg2/Map2k2/Ppp3ca/Ppp3cc/Ifngr2/Casp3/Prkca/Ifnar1/Prkcb/Pik3ca/Ptpn6/Pak1/Vav2/Rac2/Csf2/Ptk2b/Cd48/Map2k1/Vav1"
"KEGG_PROTEASOME",0.000233285994765859,0.00699857984297577,0.518848077743792,0.602291601941123,2.02615430790516,24,"Psmb8/Psmb9/Psmd1/Psmc3/Psmd14/Psme2/Psmb3/Psmc6/Psmc2/Psma5/Psmc1/Psmb2/Psmd6/Psmf1/Psmb7"
"KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",0.000699370322070815,0.0174842580517704,0.477270815362862,-0.5848063427105,-1.873921950416,28,"C5ar1/C1qa/C4bp/C1s1/F3/Plat/Thbd/Serpina1b/Vwf/Serpinf2/F13a1/C3"
"KEGG_NON_SMALL_CELL_LUNG_CANCER",0.000869871009207229,0.0175040465934373,0.477270815362862,0.524271811919108,1.89281965914833,32,"Pik3r2/Rb1/Plcg2/Map2k2/Prkca/Rassf1/Prkcb/Pik3ca/Map2k1/Tgfa/Rxra/Erbb2/Casp9/Pik3r5/Mapk3/Nras"
"KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",0.00098356076078789,0.0175040465934373,0.45505986738723,0.42565024842938,1.7665597848633,61,"Plpp1/Pik3r2/Prkce/Pip5k1b/Rac1/Scin/Pla2g6/Hck/Dnm2/Plcg2/Sphk2/Prkca/Pld1/Wasf1/Prkcb/Pik3ca/Pak1/Vav2/Rac2/Map2k1/Vav1/Rps6kb2/Gab2/Ptprc/Cdc42/Cfl1/Lyn/Asap1/Asap2"
"KEGG_PYRUVATE_METABOLISM",0.00106657074012423,0.0175040465934373,0.45505986738723,0.556169367992049,1.93448615874833,27,"Hagh/Pklr/Aldh3a2/Acot12/Me2/Haghl/Pkm/Mdh1/Mdh2"
"KEGG_HISTIDINE_METABOLISM",0.00116693643956249,0.0175040465934373,0.45505986738723,0.642130354281292,1.98852688962688,18,"Acy3/Aspa/Aldh3a2/Maoa/Maob/Aoc1/Aldh3b1/Bud23/Trmt11"
"KEGG_TRYPTOPHAN_METABOLISM",0.00206585081834146,0.0281706929773835,0.431707695803346,0.596791497781827,1.93988054406985,21,"Ido1/Aldh3a2/Cat/Maoa/Maob/Aoc1/Hadh/Afmid/Ogdh"
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS",0.00254577140496501,0.0305072718794854,0.431707695803346,0.491667586850984,1.80790889081568,35,"Pklr/Aldh3a2/Tpi1/Eno1/Galm/Aldob/Fbp2/Pkm/Aldh3b1/Fbp1/Bpgm/Pgk1/Akr1a1/Gpi1/Ldha/Pgam1/Aldh1b1/G6pc"
"KEGG_GLIOMA",0.00264396356288873,0.0305072718794854,0.431707695803346,0.468365656764267,1.77534238813211,40,"Calm1/Pik3r2/Rb1/Pdgfa/Plcg2/Map2k2/Camk2d/Calm3/Prkca/Prkcb/Pik3ca"
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",0.00296034807982072,0.0317180151409363,0.431707695803346,0.602575850489498,1.92720804849714,20,"Tymp/Upp1/Nat2/Dpyd/Cyp3a13/Ugt2b1/Tpmt/Ugt2b38/Ces2h"
"KEGG_CITRATE_CYCLE_TCA_CYCLE",0.00343574323457759,0.0343574323457759,0.431707695803346,0.629328003628739,1.88676361872747,16,"Sdhb/Mdh1/Idh3g/Mdh2/Cs/Aco2/Sucla2/Ogdh"
"KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.00452101212117085,0.0414593698175788,0.407017918923954,0.344277823522128,1.5733919971664,100,"Pik3r2/Gnb5/Gnai2/Gnb1/Ccl5/Stat1/Cxcr3/Jak2/Xcl1/Prkcz/Plcb3/Rac1/Hck/Cxcl16/Gnai3/Rock2/Gnb4/Elmo1/Ccr9/Prkcb/Pik3ca/Cxcr6/Pak1/Vav2/Rac2/Csk/Rock1/Ptk2b/Rhoa/Map2k1/Vav1"
"KEGG_PEROXISOME",0.00477796514896009,0.0414593698175788,0.354819512103747,0.422827479313637,1.66658065914568,47,"Cat/Acot8/Acox1/Nos2/Acaa1a/Abcd1/Ephx2/Hsd17b4/Gstk1/Acsl5/Abcd3/Pxmp4/Scp2/Paox/Acox2/Pex2/Eci2/Amacr/Pex10/Pex1/Pex19/Abcd4/Mpv17/Mlycd/Hmgcl"
"KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.00497512437810945,0.0414593698175788,0.260820567718869,-0.535426147393261,-1.75611165034455,31,"Hsp90ab1/Ccl7/Il1b/Mapk10/Mapk9/Hsp90aa1/Mefv/Traf6/Card6/Rela/Tnf/Hsp90b1"
"KEGG_ARGININE_AND_PROLINE_METABOLISM",0.0053633681952266,0.0418734491315136,0.326351610990907,0.470164258921654,1.70995332281564,33,"Glud1/Lap3/Aldh3a2/Nos2/Nags/Maoa/Maob/Aoc1/Nos3/Arg2/Otc/Asl/Ckm/Acy1/Sat2/Ckmt1/Aldh1b1/Sat1"
"KEGG_DILATED_CARDIOMYOPATHY",0.00558312655086849,0.0418734491315136,0.241698386096655,-0.475928442504969,-1.69379426134923,45,"Itga2/Sgcd/Itga5/Cacna1c/Ttn/Tnnt2/Des/Atp2a2/Prkacb/Tnf/Itga10/Cacng7/Adcy1/Actg1/Cacna2d1/Ryr2/Adcy6/Adcy7/Lama2"
"KEGG_AUTOIMMUNE_THYROID_DISEASE",0.00627825213460573,0.0448446581043266,0.291090917251384,0.596041521205062,1.81820272970713,17,"Gzmb/H2-T23/Prf1/Gm8909/H2-Q1/H2-D1/H2-DMa/H2-Eb1"
"KEGG_INOSITOL_PHOSPHATE_METABOLISM",0.00769230769230769,0.0524475524475525,0.274717458595242,0.445778810496852,1.66398687709073,37,"Tpi1/Inpp5b/Plcb3/Pip5k1b/Plcg2/Plcd1/Inpp5a/Cdipt/Itpka/Pik3ca/Itpk1/Impa1/Pik3c2a"
"KEGG_ALLOGRAFT_REJECTION",0.00979407332998493,0.0638743912825104,0.232056818075608,0.574601737732675,1.75280145907918,17,"Gzmb/H2-T23/Prf1/Gm8909/H2-Q1/H2-D1/H2-DMa/H2-Eb1"
"KEGG_MAPK_SIGNALING_PATHWAY",0.0104449267498644,0.0645645645645646,0.164313492356652,-0.333653727898445,-1.45039661734984,146,"Hspa1b/Hspb1/Hspa1a/Hspa8/Dusp1/Nr4a1/Il1b/Jun/Il1r1/Mapk10/Gadd45b/Mapk9/Mecom/Map3k8/Flnc/Fgf2/Gadd45g/Fgf1/Cacna1c/Mapt/Traf6/Taok3/Fgf13/Pla2g2c/Il1r2/Prkacb/Cacna1g/Pla2g2f/Tgfbr1/Rela/Cd14/Tnf/Nfatc2/Dusp4"
"KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION",0.0107607607607608,0.0645645645645646,0.220823464091113,0.591974946350303,1.73955217650241,15,"Glud1/Aqp1/Atp1a1/Atp1b1/Mdh1/Slc25a10/Slc4a4"
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",0.013106525376464,0.0736615692860721,0.211070537868325,0.419849140733306,1.59144028901299,40,"Plpp1/Lpcat3/Dgka/Pcyt1a/Pla2g12b/Pla2g6/Adprm/Gpd2/Pcyt2/Cds1/Pld1/Phospho1/Dgkq/Cdipt"
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",0.013259082471493,0.0736615692860721,0.204544131818546,0.451930515562862,1.62072757557553,31,"Cyp2d22/Cyp3a13/Maoa/Maob/Fmo4/Aldh3b1/Gstk1/Ugt2b1/Mgst1/Ugt2b38/Gstm7/Cyp3a25/Cyp2c66/Ugt2a3/Ugt1a7c/Adh5/Gsto1"
"KEGG_PRIMARY_IMMUNODEFICIENCY",0.0152983171851096,0.0819552706345159,0.186472629239996,0.498273769345633,1.66263155961487,23,"Ada/Tap2/Tap1/Il7r/Ciita/Lck/Rfxank"
"KEGG_SPHINGOLIPID_METABOLISM",0.0188679245283019,0.0975927130774236,0.167658528065765,0.487923393153727,1.62809459786962,23,"Plpp1/Asah2/Gal3st1/Enpp7/Sgpl1/Smpd2/Sphk2"
"KEGG_GRAFT_VERSUS_HOST_DISEASE",0.0195881466599699,0.0979407332998493,0.16324176812788,0.541703418798046,1.65244634762858,17,"Gzmb/H2-T23/Prf1/Gm8909/H2-Q1/H2-D1/H2-DMa/H2-Eb1"
"KEGG_ECM_RECEPTOR_INTERACTION",0.0251007127362876,0.121455061627198,0.11260357881031,-0.43114715125067,-1.52282758797602,43,"Thbs1/Col5a1/Itga2/Itga5/Sdc3/Col1a2/Thbs2/Reln/Col1a1/Col3a1/Vwf/Fn1/Tnc/Itga10/Col5a3/Col4a1/Lama2/Sdc1/Thbs3/Itga7/Col4a2/Lama1/Sdc2/Hmmr/Lamc2/Lama4"
"KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.0277173913043478,0.129803903388809,0.142470368773132,0.415486651996082,1.51889395232363,34,"Irf7/Isg15/Ifih1/Tbk1/Tradd/Mapk8/Azi2/Casp8/Cyld/Dhx58"
"KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY",0.028556858745538,0.129803903388809,0.135862926377654,0.464466748938218,1.54982486071974,23,"Irf7/Zbp1/Ripk3/Ccl5/Tbk1"
"KEGG_PENTOSE_PHOSPHATE_PATHWAY",0.0305305305305305,0.130986063082888,0.130086070372915,0.544925511845124,1.60129472709295,15,"Dera/Aldob/Fbp2/Fbp1/G6pdx/Rbks/Gpi1"
"KEGG_PPAR_SIGNALING_PATHWAY",0.0313757039420756,0.130986063082888,0.132881872272143,0.413644866322229,1.50439638958432,33,"Cd36/Fabp2/Aqp7/Acox1/Ppara/Acaa1a/Slc27a4/Hmgcs2/Acsl5/Scp2/Acox2/Apoa1/Fabp6"
