"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG_OXIDATIVE_PHOSPHORYLATION",4.68098778270599e-13,7.02148167405898e-11,0.921426003494898,0.655703102853067,2.64258345811422,74,"mt-Co2/mt-Atp6/mt-Atp8/mt-Nd4/Cox5b/mt-Nd1/mt-Cytb/Atp6v1d/Ndufs6/Cox8a/mt-Co3/mt-Nd2/Ndufb6/Uqcr11/mt-Co1/Ndufa1/Ndufa3/Atp5j/Atp6v1f/Cox7b/Atp5j2/Ndufb4/Atp6v1e1/Ndufc1/Atp6v1g1/Cox6a1/Uqcrb/Ndufa7/Atp5o/Cox5a/Atp5d/Uqcrfs1/Ndufb9/Cox4i1/Ndufb7/Ndufa11/Ndufc2/Cox7a2/Atp6v0a2/Ndufa5/Uqcr10/Ndufab1/Ndufa8/Atp5l/Atp5g3/Cox7c/Ppa2/Atp5g2/Ndufs8"
"KEGG_ALZHEIMERS_DISEASE",1.05639862054042e-10,7.92298965405312e-09,0.839088935621274,0.554430188523659,2.37358242686307,106,"mt-Co2/Gapdh/mt-Atp6/mt-Atp8/Cox5b/Itpr2/mt-Cytb/Capn1/Mapk3/Ndufs6/Cox8a/Cdk5/mt-Co3/Cycs/Ndufb6/Psen2/Uqcr11/mt-Co1/Ndufa1/Ndufa3/Atp5j/Cox7b/Ndufb4/Ndufc1/Cox6a1/Uqcrb/Ndufa7/Ern1/Atp5o/Cox5a/Atp5d/Chp1/Uqcrfs1/Casp9/Lrp1/Ndufb9/Casp3/Cox4i1/Ndufb7/Lpl/Ndufc2/Cox7a2/Ndufa5/Uqcr10/Psenen/Casp7/Ndufab1/Mme/Chp2/Ndufa8/Atp5g3/Cox7c/Aph1a/Atp5g2/Ndufs8"
"KEGG_PARKINSONS_DISEASE",4.39034936191302e-10,2.19517468095651e-08,0.814035837847908,0.587825069992312,2.4077588202607,82,"mt-Co2/mt-Atp6/mt-Atp8/mt-Nd4/Cox5b/Ubb/mt-Nd1/mt-Cytb/Ndufs6/Cox8a/mt-Co3/Cycs/mt-Nd2/Ndufb6/Slc6a3/Uqcr11/mt-Co1/Ndufa1/Pink1/Ndufa3/Atp5j/Cox7b/Ndufb4/Ndufc1/Cox6a1/Uqcrb/Ndufa7/Atp5o/Cox5a/Atp5d/Uqcrfs1/Casp9/Ndufb9/Casp3/Cox4i1/Ndufb7/Ndufc2/Cox7a2/Ndufa5/Uqcr10/Ube2l6"
"KEGG_SPLICEOSOME",1.2891788011744e-06,4.83442050440399e-05,0.643551836150722,-0.519887367213563,-2.19032904401254,71,"Hspa8/Sf3b1/Hnrnpu/Eftud2/Hspa1b/Sf3a1/Hspa1a/Ncbp1/Snrnp200/Dhx15/U2surp/Rbmx/Snu13/Thoc1/Srsf4/Ddx23/Srsf7/Ddx46/Srsf10/Hnrnpc/Prpf3/Sf3b4/Usp39/Dhx8/Magoh/Crnkl1/Cdc40/Prpf40a/Prpf38b/Bud31"
"KEGG_CARDIAC_MUSCLE_CONTRACTION",3.26507780214995e-06,8.43519802975853e-05,0.627256739718528,0.637040107780054,2.21347840014521,36,"mt-Co2/Cox5b/mt-Cytb/Atp1a2/Cox8a/mt-Co3/Uqcr11/mt-Co1/Cox7b/Cox6a1/Uqcrb/Cox5a/Uqcrfs1/Tpm2/Cox4i1/Atp1b2/Tpm1/Cox7a2/Uqcr10/Cacng4"
"KEGG_PPAR_SIGNALING_PATHWAY",3.37407921190341e-06,8.43519802975853e-05,0.627256739718528,0.656871457064501,2.23689382831142,33,"Hmgcs2/Fabp6/Aqp7/Acox2/Fabp2/Cd36/Acox1/Rxrb/Scp2/Slc27a1/Angptl4/Lpl/Dbi/Slc27a4/Apoa2/Acaa1a/Rxra/Scd1/Apoc3/Me1/Apoa1"
"KEGG_HUNTINGTONS_DISEASE",1.01893763291651e-05,0.000218343778482108,0.593325476396405,0.449771762390126,1.94101774308249,112,"mt-Co2/mt-Atp6/mt-Atp8/Cox5b/mt-Cytb/Ndufs6/Cox8a/mt-Co3/Cycs/Ndufb6/Uqcr11/mt-Co1/Ndufa1/Ndufa3/Atp5j/Cox7b/Ndufb4/Ndufc1/Cox6a1/Uqcrb/Ndufa7/Atp5o/Cox5a/Atp5d/Uqcrfs1/Casp9/Ndufb9/Casp3/Cox4i1/Bbc3/Ndufb7/Dnal4/Hdac1/Ndufc2/Cox7a2/Creb3l4/Ndufa5/Uqcr10/Ndufab1/Creb3/Hap1/Ndufa8/Slc25a5/Creb3l3/Atp5g3/Cox7c/Atp5g2/Ndufs8"
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",8.10690400135262e-05,0.00152004450025362,0.538434096309916,-0.61813643274659,-2.13685798167007,29,"Yars/Eprs/Lars/Vars/Yars2/Aars/Farsb/Iars/Mars2/Dars/Rars/Cars2/Dars2/Aars2/Sars/Tars/Wars2"
"KEGG_CELL_CYCLE",0.00029528024452052,0.00483226103204754,0.49849310876659,-0.431293764778406,-1.84023971468837,75,"Mcm5/Mcm6/Ccnb1/Smc3/Bub1/Mad2l1/Atr/Bub1b/E2f4/Tfdp1/Cdc25c/Ccnb2/Orc6/Smad3/Cdc20/Plk1/Pcna/Cdc16/Orc3/Stag2/Ywhae/Anapc7/Cdk2/Cdc23/Gadd45b/Cul1/Ywhab/Orc4/Hdac2/Stag1/Orc1/Orc5/Smad4/Cdc27"
"KEGG_RNA_DEGRADATION",0.000322150735469836,0.00483226103204754,0.49849310876659,-0.565699092306655,-1.97485472018583,30,"Hspd1/Hspa9/Zcchc7/Exosc2/Dcps/Cnot7/Exosc8/Exosc1/Cnot9/Eno3/Dcp1b/Mphosph6/Cnot2/Cnot6/Exosc10"
"KEGG_LYSOSOME",0.000367571429867195,0.00501233768000721,0.49849310876659,0.451066108640593,1.83032342757664,78,"Idua/Galc/Ctsl/Ctsw/Mcoln1/Slc17a5/Fuca1/Ctsd/Gnptg/Neu1/Cd63/Ctsz/Ctsa/Psap/Ppt2/Ap1s1/Smpd1/Lipa/Arsg/Lamp1/Slc11a2/Sumf1/Ctss/Atp6v0a2/Hexa/Abcb9/Naga/Cln3"
"KEGG_REGULATION_OF_AUTOPHAGY",0.000471373107097874,0.00589216383872343,0.49849310876659,0.709684174831077,1.97175345786752,15,"Atg4b/Gabarapl2/Ulk3/Gabarap/Atg7/Gabarapl1/Atg4d/Ulk1/Prkaa1/Atg3"
"KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS",0.00405580108381993,0.0467977048133069,0.407017918923954,-0.373569903871036,-1.61672810465944,80,"Socs3/Trim37/Nhlrc1/Mid1/Huwe1/Herc1/Traf6/Fancl/Cul2/Nedd4/Ercc8/Cul5/Rhobtb2/Cdc20/Fbxw8/Birc6/Cdc16/Uba2/Anapc7/Cdc23/Ube3b/Ubox5/Cul1/Ddb1/Uba6/Trip12/Pml/Uba3/Prpf19/Ube2f"
