"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","mmu04612","Antigen processing and presentation","10/188","55/4955",0.181818181818182,4.79206963249516,5.6155714588551,3.2135047836702e-05,0.00890140825076646,0.00794919604381577,"Hspa8/Hspa1b/H2-K1/Hsp90ab1/H2-Q2/Cd74/Hsp90aa1/H2-T23/B2m/Hspa5",10
"Human Diseases","Endocrine and metabolic disease","mmu04940","Type I diabetes mellitus","7/188","38/4955",0.184210526315789,4.85512318029115,4.73711909413238,0.000470106383410713,0.0651097341023837,0.0581447368955355,"Hspd1/H2-K1/H2-Q2/Il1b/Gzmb/H2-T23/Cpe",7
"Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis","13/188","131/4955",0.099236641221374,2.6155189215527,3.72116045517171,0.0012676687544328,0.0995627073464255,0.0889121650253087,"Hspd1/Hspa8/Hspa1b/Hsp90ab1/Cd36/Il1b/Irf7/Calm1/Pik3r2/Jun/Hsp90aa1/Hspa5/Tnfrsf1a",13
"Human Diseases","Infectious disease: viral","mmu05160","Hepatitis C","10/188","88/4955",0.113636363636364,2.99504352030948,3.74970745880866,0.00167131042483442,0.0995627073464255,0.0889121650253087,"Cldn2/Irf7/Cldn4/Rb1/Pik3r2/Oas1g/Ifit1/Ywhag/Tnfrsf1a/Ppara",10
"Human Diseases","Neurodegenerative disease","mmu05020","Prion disease","15/188","170/4955",0.0882352941176471,2.32556320400501,3.49235416330745,0.00181931168215616,0.0995627073464255,0.0889121650253087,"Hspa8/Hspa1b/Il1b/mt-Co2/mt-Atp6/mt-Nd4/Creb3/mt-Atp8/Pik3r2/C1qa/Tubb2a/mt-Nd1/mt-Cytb/Hspa5/mt-Co3",15
"Organismal Systems","Endocrine system","mmu04915","Estrogen signaling pathway","10/188","91/4955",0.10989010989011,2.89630582183774,3.62548941249097,0.00215659293891174,0.0995627073464255,0.0889121650253087,"Hspa8/Hspa1b/Hsp90ab1/Calm1/Creb3/Pik3r2/Jun/Hsp90aa1/Tgfa/Fkbp4",10
"Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis","10/188","96/4955",0.104166666666667,2.74545656028369,3.4293006488729,0.00321278347234972,0.111386402936352,0.099471041953421,"Hsp90ab1/Dusp1/Il1b/Calm1/Prkaa2/Pik3r2/Jun/Hsp90aa1/Thbd/Tnfrsf1a",10
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway","7/188","54/4955",0.12962962962963,3.41656816390859,3.54558521891942,0.00395350500261263,0.111386402936352,0.099471041953421,"Hsp90ab1/Il1b/Fosb/Ptgs2/Ccl7/Jun/Hsp90aa1",7
"Human Diseases","Endocrine and metabolic disease","mmu04932","Non-alcoholic fatty liver disease","10/188","100/4955",0.1,2.63563829787234,3.28115694023761,0.00432512054166541,0.111386402936352,0.099471041953421,"Il1b/mt-Co2/Pklr/Prkaa2/Pik3r2/Jun/mt-Cytb/mt-Co3/Tnfrsf1a/Ppara",10
"Organismal Systems","Endocrine system","mmu03320","PPAR signaling pathway","7/188","55/4955",0.127272727272727,3.35444874274661,3.48663828527996,0.00438801040166549,0.111386402936352,0.099471041953421,"Cd36/Lpl/Hmgcs2/Scd1/Fabp2/Cyp4a10/Ppara",7
"Genetic Information Processing","Folding, sorting and degradation","mmu04141","Protein processing in endoplasmic reticulum","10/188","103/4955",0.0970873786407767,2.55887213385664,3.17470268861794,0.00534351203515268,0.111386402936352,0.099471041953421,"Hsph1/Dnajb1/Dnaja1/Hspa8/Hspa1b/Hsp90ab1/Cryab/Hsp90aa1/Ube2g2/Hspa5",10
"Metabolism","Energy metabolism","mmu00190","Oxidative phosphorylation","8/188","72/4955",0.111111111111111,2.92848699763593,3.27321061523549,0.00552956108916226,0.111386402936352,0.099471041953421,"mt-Co2/mt-Atp6/mt-Nd4/Atp6v0c/mt-Atp8/mt-Nd1/mt-Cytb/mt-Co3",8
"Human Diseases","Immune disease","mmu05332","Graft-versus-host disease","5/188","31/4955",0.161290322580645,4.25102951269732,3.60559619375246,0.00566995651431515,0.111386402936352,0.099471041953421,"H2-K1/H2-Q2/Il1b/Gzmb/H2-T23",5
"Human Diseases","Infectious disease: viral","mmu05168","Herpes simplex virus 1 infection","11/188","121/4955",0.0909090909090909,2.39603481624758,3.0872369348557,0.00584520850438264,0.111386402936352,0.099471041953421,"H2-K1/H2-Q2/Il1b/Irf7/Pilra/Pik3r2/Cd74/Oas1g/H2-T23/B2m/Tnfrsf1a",11
"Metabolism","Glycan biosynthesis and metabolism","mmu00601","Glycosphingolipid biosynthesis - lacto and neolacto series","4/188","20/4955",0.2,5.27127659574468,3.80069889970986,0.00603175467164361,0.111386402936352,0.099471041953421,"St3gal6/B3galt5/B3gnt5/B3galt1",4
"Human Diseases","Neurodegenerative disease","mmu05012","Parkinson disease","13/188","162/4955",0.0802469135802469,2.11501838718151,2.86530047469081,0.00809164002999855,0.14008651801935,0.125101013621688,"Dusp1/mt-Co2/Calm1/mt-Atp6/mt-Nd4/Ubb/mt-Atp8/Tubb2a/mt-Nd1/Ube2g2/mt-Cytb/Hspa5/mt-Co3",13
"Metabolism","Energy metabolism","mmu00910","Nitrogen metabolism","3/188","12/4955",0.25,6.58909574468085,3.84920655762936,0.00917900024948344,0.142778684810821,0.127505190691784,"Glud1/Car3/Car12",3
"Human Diseases","Cancer: specific types","mmu05215","Prostate cancer","7/188","63/4955",0.111111111111111,2.92848699763593,3.05899040970692,0.00927803728012557,0.142778684810821,0.127505190691784,"Hsp90ab1/Creb3/Rb1/Erbb2/Pik3r2/Hsp90aa1/Tgfa",7
"Human Diseases","Infectious disease: viral","mmu05167","Kaposi sarcoma-associated herpesvirus infection","11/188","130/4955",0.0846153846153846,2.23015548281506,2.82239226814814,0.00990180301317593,0.144357864981565,0.128915440891764,"H2-K1/H2-Q2/Irf7/Calm1/Ptgs2/Ubb/Rb1/Pik3r2/Jun/H2-T23/Tnfrsf1a",11
"Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection","11/188","133/4955",0.0827067669172932,2.17985122380419,2.73888510766863,0.0116515954530005,0.152925807735873,0.136566843313434,"H2-K1/H2-Q2/Irf7/Isg15/Rb1/Pik3r2/Jun/Oas1g/H2-T23/Entpd3/B2m",11
"Human Diseases","Cancer: specific types","mmu05219","Bladder cancer","4/188","24/4955",0.166666666666667,4.3927304964539,3.30842909893258,0.0117542502977459,0.152925807735873,0.136566843313434,"Tymp/Thbs1/Rb1/Erbb2",4
"Human Diseases","Endocrine and metabolic disease","mmu04931","Insulin resistance","7/188","67/4955",0.104477611940299,2.75365195300095,2.86978628523195,0.012848502279968,0.152925807735873,0.136566843313434,"Cd36/Creb3/Prkaa2/Pik3r2/Trib3/Tnfrsf1a/Ppara",7
"Environmental Information Processing","Signal transduction","mmu04151","PI3K-Akt signaling pathway","15/188","210/4955",0.0714285714285714,1.88259878419453,2.59530984172543,0.0129316716083793,0.152925807735873,0.136566843313434,"Ereg/Hsp90ab1/Thbs1/Ppp2r3a/Nr4a1/Creb3/Lamc2/Prkaa2/Erbb2/Pik3r2/Hsp90aa1/Lpar3/Tnc/Ywhag/Tgfa",15
"Organismal Systems","Aging","mmu04213","Longevity regulating pathway - multiple species","5/188","38/4955",0.131578947368421,3.46794512877939,3.03257495184082,0.0135273480088667,0.152925807735873,0.136566843313434,"Hspa8/Hspa1b/Cryab/Prkaa2/Pik3r2",5
"Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection","12/188","155/4955",0.0774193548387097,2.04049416609472,2.61348029346136,0.0140923539491857,0.152925807735873,0.136566843313434,"H2-K1/H2-Q2/Il1b/Calm1/Creb3/Ptgs2/Rb1/Gna11/Pik3r2/H2-T23/B2m/Tnfrsf1a",12
"Environmental Information Processing","Signal transduction","mmu04012","ErbB signaling pathway","6/188","53/4955",0.113207547169811,2.98374146928944,2.88317300671827,0.0143540469354971,0.152925807735873,0.136566843313434,"Ereg/Erbb2/Pik3r2/Jun/Tgfa/Abl2",6
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway","13/188","179/4955",0.0726256983240224,1.91415071912516,2.47369705177532,0.0177172167298577,0.181765519784096,0.162321478811562,"Hspb1/Ereg/Hspa8/Hspa1b/Dusp1/Il1b/Ptprr/Nr4a1/Map3k6/Erbb2/Jun/Tgfa/Tnfrsf1a",13
"Metabolism","Amino acid metabolism","mmu00330","Arginine and proline metabolism","4/188","29/4955",0.137931034482759,3.63536316947909,2.82635439683625,0.0226850312391597,0.224419773330258,0.20041286997002,"P4ha1/Smox/Lap3/Amd2",4
"Human Diseases","Endocrine and metabolic disease","mmu04936","Alcoholic liver disease","7/188","77/4955",0.0909090909090909,2.39603481624758,2.45163077214016,0.0259219706999667,0.247599513237613,0.22111299871115,"Il1b/C5ar1/Prkaa2/C1qa/Scd1/Tnfrsf1a/Ppara",7
