"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_AEROBIC_RESPIRATION",2.49107123079825e-29,7.58531189778067e-26,1.40995143033448,-0.726560796249923,-3.14285011651709,120,"Ndufa5/Cox7c/Ndufb7/mt-Co3/Ndufa3/Ndufb9/Uqcr11/Cox5b/Ndufa7/Ndufb10/Ndufb4/Uqcrh/Ndufa13/Cox8a/Atp5l/Ndufa4/Ndufc1/Cox4i1/Atp5j2/Uqcrb/Ndufs6/Uqcr10/Ndufab1/Ndufa8/Cox6a1/Ndufa1/mt-Co2/Cycs/Ndufs2/Ndufa11/Ndufs7/Ndufa10/Uqcc3/Fxn/Uqcc2/Cox7a2/mt-Nd1/Idh3b/Atp5j/Mrps36/mt-Nd6/Cs/mt-Co1/Ndufb6/Snca/Chchd2/mt-Cytb/Atp5d/Ndufs3/mt-Nd2/Cox7b/Park7/Ndufs8/Sdhb/Actn3/Cox5a/Me3/Mdh1/Shmt2/Atp5o/Etfrf1/Slc25a33/mt-Atp6/Atp5c1/Ndufc2/mt-Nd4/Sdhaf4/Ppif/Uqcrfs1/mt-Nd5/Dlat/Mdh2/Cox10/Ndufb5/Ogdh/Coa6"
"GOBP_OXIDATIVE_PHOSPHORYLATION",8.18388413670449e-29,1.24599635981326e-25,1.39518713415833,-0.775448659830626,-3.2173126011768,93,"Ndufa5/Cox7c/Ndufb7/mt-Co3/Ndufa3/Ndufb9/Uqcr11/Cox5b/Ndufa7/Ndufb10/Ndufb4/Uqcrh/Ndufa13/Cox8a/Atp5l/Ndufa4/Ndufc1/Cox4i1/Atp5j2/Uqcrb/Ndufs6/Uqcr10/Ndufab1/Ndufa8/Cox6a1/Ndufa1/mt-Co2/Cycs/Ndufs2/Ndufa11/Ndufs7/Ndufa10/Uqcc3/Fxn/Uqcc2/Cox7a2/mt-Nd1/Atp5j/mt-Nd6/mt-Co1/Ndufb6/Snca/Chchd2/mt-Cytb/Atp5d/Ndufs3/mt-Nd2/Cox7b/Park7/Ndufs8/Sdhb/Actn3/Cox5a/Shmt2/Atp5o/Etfrf1/Slc25a33/mt-Atp6/Atp5c1/Ndufc2/mt-Nd4/Ppif/Uqcrfs1/mt-Nd5"
"GOBP_CELLULAR_RESPIRATION",1.06924520902141e-27,1.08528388715673e-24,1.36517960216169,-0.680989878128936,-3.03183886915621,144,"Ndufa5/Cox7c/Ndufb7/mt-Co3/Ndufa3/Ndufb9/Uqcr11/Cox5b/Ndufa7/Ndufb10/Ndufb4/Uqcrh/Ndufa13/Cox8a/Atp5l/Ndufa4/Ndufc1/Cox4i1/Atp5j2/Uqcrb/Ndufs6/Uqcr10/Ndufab1/Ndufa8/Cox6a1/Ndufa1/mt-Co2/Cycs/Ndufs2/Ndufa11/Ndufs7/Ndufa10/Uqcc3/Fxn/Uqcc2/Cox7a2/mt-Nd1/Idh3b/Atp5j/Mrps36/mt-Nd6/Cs/mt-Co1/Ndufb6/Snca/Nfatc4/Chchd2/mt-Cytb/Atp5d/Ndufs3/mt-Nd2/Cox7b/Park7/Ndufs8/Sdhb/Actn3/Cox5a/Me3/Mdh1/Shmt2/Atp5o/Etfrf1/Slc25a33/mt-Atp6/Atp5c1/Ndufc2/mt-Nd4/Sdhaf4/Ppif/Uqcrfs1/mt-Nd5/Dlat/Abcc9/Mdh2/Cox10/Ndufb5/Ogdh/Coa6"
"GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT",3.24341716289611e-27,2.46905131525466e-24,1.34992572002205,-0.815286984859464,-3.17193131244777,65,"Ndufa5/Cox7c/Ndufb7/mt-Co3/Ndufa3/Ndufb9/Uqcr11/Cox5b/Ndufa7/Ndufb10/Ndufb4/Uqcrh/Cox8a/Ndufa4/Ndufc1/Cox4i1/Uqcrb/Ndufs6/Uqcr10/Ndufab1/Ndufa8/Cox6a1/Ndufa1/mt-Co2/Cycs/Ndufs2/Ndufa11/Ndufs7/Ndufa10/Uqcc3/Cox7a2/mt-Nd1/mt-Nd6/mt-Co1/Ndufb6/Snca/Chchd2/mt-Cytb/Ndufs3/mt-Nd2/Cox7b/Park7/Ndufs8/Sdhb/Cox5a"
"GOBP_ELECTRON_TRANSPORT_CHAIN",1.72361437275404e-25,1.04968115300721e-22,1.31101476274061,-0.784414436639308,-3.15994459627499,78,"Ndufa5/Cox7c/Ndufb7/mt-Co3/Ndufa3/Ndufb9/Uqcr11/Cox5b/Ndufa7/Ndufb10/Ndufb4/Uqcrh/Cox8a/Ndufa4/Ndufc1/Cox4i1/Uqcrb/Ndufs6/Uqcr10/Ndufab1/Ndufa8/Cox6a1/Ndufa1/mt-Co2/Cycs/Ndufs2/Ndufa11/Ndufs7/Ndufa10/Uqcc3/Cox7a2/mt-Nd1/mt-Nd6/mt-Co1/Ndufb6/Snca/Fdx1/Chchd2/mt-Cytb/Ndufs3/mt-Nd2/Cox7b/Park7/Ndufs8/Sdhb/Cox5a/Etfrf1/Ndufc2/mt-Nd4/Uqcrfs1/mt-Nd5"
"GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS",1.59499543769601e-21,8.09460184630727e-19,1.20397524075264,-0.570751785782379,-2.66572041665287,207,"Ndufa5/Cox7c/Ndufb7/mt-Co3/Ndufa3/Ndufb9/Uqcr11/Cox5b/Ndufa7/Ndufb10/Ndufb4/Uqcrh/Ndufa13/Cox8a/Atp5l/Ndufa4/Ndufc1/Cox4i1/Atp5j2/Uqcrb/Ndufs6/Uqcr10/Ndufab1/Ndufa8/Cox6a1/Ndufa1/mt-Co2/Cycs/Pfkm/Ndufs2/Ndufa11/Ndufs7/Ndufa10/Uqcc3/Fxn/Uqcc2/Cox7a2/mt-Nd1/Idh3b/Atp5j/Mrps36/mt-Nd6/Cs/mt-Co1/Ndufb6/Mt3/Snca/Nfatc4/Pygm/Chchd2/mt-Cytb/Atp5d/Ndufs3/mt-Nd2/Cox7b/Tigar/Park7/Inpp5k/Ndufs8/Ppp1r1a/Sdhb/Actn3/Cox5a/Me3/Mdh1/Shmt2/Atp5o/Etfrf1/Slc25a33/mt-Atp6/Gys1/Atp5c1/Ndufc2/mt-Nd4/Sdhaf4/Ppif/Uqcrfs1/mt-Nd5/Dlat/Abcc9/Wdr45b/Mdh2/Cox10/Ndufb5/Ogdh/Coa6"
"GOBP_PROTON_TRANSMEMBRANE_TRANSPORT",4.03652309726387e-21,1.75588754730978e-18,1.18665095279281,-0.68756152536896,-2.90538790593129,104,"Ndufa5/Ndufb7/mt-Co3/Ndufa3/Ndufb9/Cox5b/Atp6v1f/Ndufa7/Atp5g2/Ndufb10/Ndufb4/Uqcrh/Cox8a/Atp5l/Ndufa4/Ndufc1/Cox4i1/Atp5j2/Ndufs6/Uqcr10/Ndufa8/Ucp1/Ndufa1/mt-Co2/Ndufs2/Atp5g1/Slc25a4/Ndufs7/Atp5g3/Ndufa10/Otop1/mt-Nd1/Atp5j/mt-Nd6/Atp1a2/mt-Co1/Ndufb6/Slc25a22/mt-Cytb/Atp5d/Ndufs3/mt-Nd2/Cox7b/Ndufs8/Cox5a/Slc47a1/Atp5o/Slc25a3/mt-Atp6/Atp5c1/Ndufc2/mt-Nd4/Ppif/Uqcrfs1/mt-Nd5"
"GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY",2.15601147197619e-20,8.20631866520939e-18,1.16906996676109,-0.5129381447007,-2.48164844818518,282,"Ndufa5/Cox7c/Ndufb7/mt-Co3/Ndufa3/Ndufb9/Uqcr11/Cox5b/Ndufa7/Ndufb10/Ndufb4/Uqcrh/Ndufa13/Cox8a/Atp5l/Eno3/Ndufa4/Ndufc1/Cox4i1/Atp5j2/Uqcrb/Ndufs6/Uqcr10/Ndufab1/Ndufa8/Cox6a1/Ndufa1/mt-Co2/Cycs/Pfkm/Ndufs2/Slc25a4/Ndufa11/Ndufs7/Uchl1/Ndufa10/Uqcc3/Fxn/Uqcc2/Cox7a2/mt-Nd1/Idh3b/Atp5j/Mrps36/mt-Nd6/Cs/Bpgm/mt-Co1/Ndufb6/Mt3/Snca/Nfatc4/Fdx1/Pygm/Chchd2/Gpi1/mt-Cytb/Atp5d/Ndufs3/mt-Nd2/Fdxr/Cox7b/Tigar/Park7/Inpp5k/Ier3/Ndufs8/Ppp1r1a/Pgls/Sdhb/Actn3/Taldo1/Cox5a/Me3/Mdh1/Shmt2/Atp5o/Etfrf1/Prkaca/Vgf/Gapdh/Slc25a33/Aldoa/mt-Atp6/Gys1/Atp5c1/Ndufc2/mt-Nd4/Sdhaf4/Hk2/Ppif/Ogt/Uqcrfs1/mt-Nd5/Pfkfb1/Dlat/Abcc9/Wdr45b/Mdh2/Cox10/Ndufb5/Ogdh/Coa6/Hdac4/Il10rb/Ghitm/Pink1/Tpi1/Aldoc/Akt2/Ndufa9/Hmgcs2/Coq9/Ppard/mt-Atp8"
"GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS",2.40655210581882e-19,8.14216795802035e-17,1.13308993200902,-0.826225776719769,-3.00242463129337,46,"Ndufa5/Ndufb7/Ndufa3/Ndufb9/Ndufa7/Atp5g2/Ndufb10/Ndufb4/Ndufa13/Atp5l/Ndufc1/Atp5j2/Ndufs6/Ndufab1/Ndufa8/Ndufa1/Ndufs2/Atp5g1/Ndufa11/Ndufs7/Atp5g3/Ndufa10/mt-Nd1/Atp5j/mt-Nd6/Ndufb6/Atp5d/Ndufs3/mt-Nd2/Ndufs8/Sdhb/Atp5o/mt-Atp6/Atp5c1/Ndufc2/mt-Nd4"
"GOBP_ATP_BIOSYNTHETIC_PROCESS",4.79034237144471e-17,1.45865925210491e-14,1.06720998682811,-0.738509003940284,-2.86100998132667,63,"Ndufa5/Ndufb7/Ndufa3/Ndufb9/Ndufa7/Atp5g2/Ndufb10/Ndufb4/Ndufa13/Atp5l/Ndufc1/Atp5j2/Ndufs6/Ndufab1/Ndufa8/Ndufa1/Ndufs2/Atp5g1/Ndufa11/Ndufs7/Atp5g3/Ndufa10/Uqcc3/mt-Nd1/Atp5j/mt-Nd6/Ndufb6/Atp5d/Ndufs3/mt-Nd2/Ndufs8/Sdhb/Tmsb4x/Atp5o/Aldoa/mt-Atp6/Atp5c1/Ndufc2/mt-Nd4"
