"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_AEROBIC_RESPIRATION",1.41009891004298e-24,4.29375118108088e-21,1.28710367230144,0.67040319656955,3.07893856359715,120,"Ndufb7/Ndufa5/Uqcr11/Ndufb9/Cox5b/Ndufb10/Cox7c/Uqcrh/Ndufa11/Ndufa3/Cox4i1/Ndufa13/Ndufa8/Uqcc3/Ndufb4/Ndufa7/mt-Co3/Ndufa10/Ndufs7/Park7/Ndufs2/Ndufs6/Atp5l/Ndufa1/Ndufs3/Atp5j2/Uqcrb/Cox6a1/Uqcr10/Cox8a/Pink1/Uqcc2/Ndufc1/Oxa1l/Ndufa4/Atp5d/Ndufb6/Ndufs8/Fxn/Mrps36/Ndufab1/Chchd2/Cox5a/Atp5o/Cox7a2/Shmt2/Idh2/Ndufc2/Atp5j/Cox10/mt-Co2/Idh3b/Cycs/Mdh1/Ppif/Actn3/Trpv4/Ndufa9/Sdhb/Coq9/Nop53/Me3/Cox7b/Etfrf1/Coa6/Dlat/Uqcrfs1/Ndufb5/Cs/Sdhaf4/Uqcrc1/Atp5c1/mt-Nd1/Snca"
"GOBP_CELLULAR_RESPIRATION",3.86260819397057e-22,5.88082097532019e-19,1.22105375677186,0.617189298408654,2.9259960713531,144,"Ndufb7/Ndufa5/Uqcr11/Ndufb9/Cox5b/Nfatc4/Ndufb10/Cox7c/Uqcrh/Ndufa11/Ndufa3/Cox4i1/Ndufa13/Ndufa8/Uqcc3/Ndufb4/Ndufa7/mt-Co3/Ndufa10/Ndufs7/Park7/Ndufs2/Ndufs6/Atp5l/Ndufa1/Ndufs3/Atp5j2/Uqcrb/Cox6a1/Uqcr10/Cox8a/Pink1/Uqcc2/Ndufc1/Oxa1l/Ndufa4/Atp5d/Ndufb6/Ndufs8/Fxn/Mrps36/Chchd5/Ndufab1/Chchd2/Cox5a/Atp5o/Cox7a2/Coq10a/Shmt2/Idh2/Ndufc2/Atp5j/Cox10/mt-Co2/Idh3b/Il10rb/Cycs/Mdh1/Ppif/Actn3/Trpv4/Ndufa9/Sdhb/Coq9/Nop53/Me3/Cox7b/Etfrf1/Coa6/Dlat/Uqcrfs1/Ndufb5/Cs/Sdhaf4/Uqcrc1/Atp5c1/mt-Nd1/Snca"
"GOBP_OXIDATIVE_PHOSPHORYLATION",1.09561085818207e-21,1.1120450210548e-18,1.20397524075264,0.70094086124539,3.08778055167819,93,"Ndufb7/Ndufa5/Uqcr11/Ndufb9/Cox5b/Ndufb10/Cox7c/Uqcrh/Ndufa11/Ndufa3/Cox4i1/Ndufa13/Ndufa8/Uqcc3/Ndufb4/Ndufa7/mt-Co3/Ndufa10/Ndufs7/Park7/Ndufs2/Ndufs6/Atp5l/Ndufa1/Ndufs3/Atp5j2/Uqcrb/Cox6a1/Uqcr10/Cox8a/Pink1/Uqcc2/Ndufc1/Ndufa4/Atp5d/Ndufb6/Ndufs8/Fxn/Ndufab1/Chchd2/Cox5a/Atp5o/Cox7a2/Shmt2/Ndufc2/Atp5j/mt-Co2/Cycs/Ppif/Actn3/Ndufa9/Sdhb/Coq9/Cox7b/Etfrf1/Coa6/Uqcrfs1/Ndufb5/Uqcrc1/Atp5c1/mt-Nd1/Snca"
"GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT",2.98912778959134e-19,2.27547352982641e-16,1.13308993200902,0.741766144963721,3.05589228477652,65,"Ndufb7/Ndufa5/Uqcr11/Ndufb9/Cox5b/Ndufb10/Cox7c/Uqcrh/Ndufa11/Ndufa3/Cox4i1/Ndufa8/Uqcc3/Ndufb4/Ndufa7/mt-Co3/Ndufa10/Ndufs7/Park7/Ndufs2/Ndufs6/Ndufa1/Ndufs3/Uqcrb/Cox6a1/Uqcr10/Cox8a/Pink1/Ndufc1/Ndufa4/Ndufb6/Ndufs8/Ndufab1/Chchd2/Cox5a/Cox7a2/Ndufc2/mt-Co2/Cycs/Ndufa9/Sdhb/Coq9/Cox7b/Coa6/Uqcrfs1/Ndufb5/Uqcrc1/mt-Nd1/Snca"
"GOBP_ELECTRON_TRANSPORT_CHAIN",4.25924183476548e-19,2.59387827737217e-16,1.13308993200902,0.701265631252551,2.99750757299864,78,"Ndufb7/Ndufa5/Uqcr11/Ndufb9/Cox5b/Ndufb10/Cox7c/Uqcrh/Ndufa11/Ndufa3/Cox4i1/Ndufa8/Uqcc3/Ndufb4/Ndufa7/mt-Co3/Ndufa10/Ndufs7/Park7/Ndufs2/Ndufs6/Ndufa1/Ndufs3/Uqcrb/Cox6a1/Uqcr10/Cox8a/Pink1/Ndufc1/Ndufa4/Ndufb6/Ndufs8/Ndufab1/Chchd2/Cox5a/Cox7a2/Ndufc2/mt-Co2/Cycs/Ndufa9/Fdx1/Sdhb/Coq9/Cox7b/Etfrf1/Coa6/Uqcrfs1/Ndufb5/Uqcrc1/mt-Nd1/Snca/Thap11"
"GOBP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE",3.36003653819818e-17,1.70521854313558e-14,1.06720998682811,-0.431599463559667,-2.18783848383082,438,"Tlr4/Ptprc/Hspa8/Hsp90aa1/Itgb2/Hspd1/C7/Dusp3/Fpr1/Pde4b/Hspa1b/Prkch/App/Il1b/Hc/Ddx3x/Rnf125/Rps6ka3/Anxa1/Tnfaip3/Themis2/Dhx9/Washc4/Tlr8/Jak2/Cd14/Pik3ap1/Hspa1a/Gbp2/Il33/Pvr/Nfam1/Clec4e/Naip2/Cd300lb/H2-DMb1/Fyb/Tax1bp1/Cd36/Ceacam1/Tlr7/Cd300lf/Lcp2/Cd300ld/Pcbp2/H2-Q7/Il18r1/Traf6/Slc11a1/Icosl/Fgr/Erbin/Il18rap/Lamp2/S100a8/Irf4/Adam8/Il1r1/Lyn/Cd177/Tlr5/Slc39a10/Ulbp1/Fpr2/C3/Nfkbiz/Cd55/Ppt1/Ms4a1/Tec/Il4ra/Clec4n/Itch/Laptm5/Lipa/Ifih1/Slc15a3/Tnfsf13b/Ubqln1/H2-Ob/Pira2/Ifi205/Rtn4/Ptpn22/Rif1/Cblb/Gpld1/Tnip3/Klrk1/Braf/Fzd5/Colec12/Lacc1/Vav3/Zdhhc5/Itgam/C5ar1/Becn1/Mfhas1/Treml4/Tyrobp/Kat5/H2-Q2/Serping1/Myd88/Zc3h12a/Ctss/Cd300a/Kmt5b/Cr1l/Ddx60/Ermap/Usp15/Plcg2/Lat2/Prkd1/Smpdl3a/Pak1/Ifi204/Zdhhc3/B2m/Polr3f/Irgm1/Dhx33/Tbk1/Prkaa1/Btnl10/Irgm2/Klhl6/Stx7/Ereg/Cyld/Fbxo38/Klrc1/Xbp1/Ppp2ca/Irak3/Sash3/Cfi/Esr1/Ptpn6/Zc3hav1/Traf3/C1s1/Alpk1/Cfp/Psen1/Med1/Pirb/Ube2n/Rab11fip2/Tomm70a/Oasl1/Fcgr1/Dgkz/Ptprj/Ipo5/Klrc2/Il18/Fcnb/Spi1/Irak1/Nfkbid/Mapk8/Znfx1/Pum2/Trim56/Shb/Rnf115/Mefv/C2/Zbtb1/Ifng/Il6st/Il12b"
"GOBP_CYTOKINE_PRODUCTION",8.96121822465786e-16,3.89812992772617e-13,1.01754479730988,-0.415922186360272,-2.11695541964585,461,"Tlr4/Ptprc/Hsp90aa1/Thbs1/Ptgs2/Hspd1/Lrrk2/Pde4b/Hspa1b/App/Il1b/Zbtb33/Hc/Ddx3x/Rnf125/Anxa1/Tnfaip3/Dhx9/Hgf/Tlr8/Jak2/Cd14/Gpam/Trim16/Hspa1a/Alox5/Il33/Nfam1/Arg2/Hspb1/Clec4e/Naip2/Cybb/Cd36/Ceacam1/Arrdc4/Col3a1/Cd83/Tlr7/Smad4/Rab1a/Zfp131/H2-Q7/Il18r1/Litaf/Traf6/Slc11a1/Ace2/Icosl/Fgr/Fxr1/Erbin/Pla2r1/Irf4/Adam8/Ripk1/Il1r1/Adcy7/Chia1/Lyn/Chil1/Inhbb/Tlr5/Rock2/Plcb1/Cd24a/C3/Cd55/Casp3/Cebpg/Il4ra/Clec4n/Itch/Laptm5/Postn/Ifih1/Ndfip1/Cd84/Pira2/Adam17/Ifi205/Rtn4/Rac1/Ptpn22/Sorl1/Abcd2/Klrk1/Oas2/Fzd5/Kpna2/Zbtb6/Lacc1/Gpr174/Mertk/C5ar1/Epha2/Nrd1/Atp2b1/Adora2b/Yy1/Anxa4/Iqgap1/Tyrobp/Siglec1/Kat5/H2-Q2/Slc7a5/Myd88/Zfp36/Zc3h12a/Vsir/Bcl6b/Clec4a3/Cr1l/Zbtb2/Epx/Il1r2/Ermap/Creb1/Plcg2/Arfgef2/Pik3cg/Il1rl1/B2m/Itgb6/Polr3f/Tmed10/Ccdc88b/Cd40lg/Sptbn1/Irgm1/Dhx33/Runx1/Ripk3/Tbk1/Btnl10/Irgm2/Ereg/Gpnmb/Cyld/Clec12a/Xbp1/Dicer1/Igf2bp2/Irak3/Sash3/Ptpn6/Zc3hav1/Il12rb2/Traf3/Pld4/Tnfrsf1b/Adamts3/Atf2/Cd96/Psen1/Pirb/Zbtb37"
"GOBP_ACTIVATION_OF_IMMUNE_RESPONSE",2.39234462012637e-15,9.10586171035601e-13,1.00731795687447,-0.445768666180066,-2.20009679504377,333,"Tlr4/Ptprc/Hspa8/Hsp90aa1/Hspd1/C7/Dusp3/Fpr1/Pde4b/Hspa1b/Prkch/App/Il1b/Hc/Ddx3x/Rnf125/Rps6ka3/Tnfaip3/Themis2/Washc4/Tlr8/Cd14/Pik3ap1/Hspa1a/Gbp2/Nfam1/Clec4e/Naip2/Cd300lb/Fyb/Tax1bp1/Cd36/Ceacam1/Tlr7/Cd300lf/Lcp2/Cd300ld/Pcbp2/H2-Q7/Traf6/Icosl/Fgr/Erbin/Lamp2/S100a8/Irf4/Lyn/Tlr5/Slc39a10/Fpr2/C3/Nfkbiz/Cd55/Ppt1/Ms4a1/Tec/Clec4n/Itch/Laptm5/Lipa/Ifih1/Slc15a3/Ubqln1/Pira2/Ifi205/Rtn4/Ptpn22/Cblb/Gpld1/Tnip3/Klrk1/Braf/Colec12/Lacc1/Vav3/Zdhhc5/Itgam/C5ar1/Becn1/Mfhas1/Treml4/Tyrobp/Serping1/Myd88/Zc3h12a/Ctss/Cd300a/Cr1l/Ddx60/Ermap/Usp15/Plcg2/Lat2/Prkd1/Smpdl3a/Pak1/Ifi204/Zdhhc3/Irgm1/Dhx33/Tbk1/Btnl10/Irgm2/Klhl6/Cyld/Klrc1/Ppp2ca/Irak3/Cfi/Esr1/Ptpn6/Zc3hav1/Traf3/C1s1/Alpk1/Cfp/Psen1/Ube2n/Rab11fip2/Tomm70a/Oasl1/Dgkz/Ptprj/Ipo5/Klrc2/Fcnb/Irak1/Nfkbid/Mapk8/Znfx1/Pum2/Shb/Rnf115/Mefv/C2/Ifng"
"GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY",4.01021361073813e-15,1.35678893829973e-12,0.996986217533181,0.442326578509033,2.29914043965623,282,"Ndufb7/Ndufa5/Uqcr11/Uchl1/Hmgcs2/Ndufb9/Cox5b/Nfatc4/Ndufb10/Cox7c/Uqcrh/Ndufa11/Ndufa3/Cox4i1/Ndufa13/Slc25a4/Ndufa8/Uqcc3/Inpp5k/Pgls/Fdxr/Ndufb4/Ndufa7/mt-Co3/Ndufa10/Ndufs7/Park7/Ndufs2/Pfkm/Ndufs6/Eno3/Prkaca/Atp5l/Ndufa1/Ndufs3/Atp5j2/Uqcrb/Cox6a1/Uqcr10/Ucp2/Cox8a/Pink1/Bpgm/Uqcc2/Tpi1/Aldoa/Ndufc1/Oxa1l/Ndufa4/Atp5d/Ndufb6/Ndufs8/Galk1/Fxn/Mrps36/Chchd5/Gpi1/Ndufab1/Mt3/Chchd2/Cox5a/Pygm/Atp5o/Cox7a2/Coq10a/Shmt2/Idh2/Ndufc2/Atp5j/Cox10/Gys1/mt-Co2/Idh3b/Khk/Il10rb/Cycs/Mdh1/Ppif/Actn3/Trpv4/Ier3/Ndufa9/Fdx1/Aldoc/Sdhb/Coq9/Pfkfb1/Epm2a/Nop53/Me3/Cox7b/Etfrf1/Coa6/Dlat/Uqcrfs1/Ndufb5/Cs/Sdhaf4"
"GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS",5.52372269279305e-15,1.68197355995548e-12,0.996986217533181,0.491985041432517,2.46039750172347,207,"Ndufb7/Ndufa5/Uqcr11/Ndufb9/Cox5b/Nfatc4/Ndufb10/Cox7c/Uqcrh/Ndufa11/Ndufa3/Cox4i1/Ndufa13/Ndufa8/Uqcc3/Inpp5k/Ndufb4/Ndufa7/mt-Co3/Ndufa10/Ndufs7/Park7/Ndufs2/Pfkm/Ndufs6/Atp5l/Ndufa1/Ndufs3/Atp5j2/Uqcrb/Cox6a1/Uqcr10/Cox8a/Pink1/Uqcc2/Ndufc1/Oxa1l/Ndufa4/Atp5d/Ndufb6/Ndufs8/Fxn/Mrps36/Chchd5/Ndufab1/Mt3/Chchd2/Cox5a/Pygm/Atp5o/Cox7a2/Coq10a/Shmt2/Idh2/Ndufc2/Atp5j/Cox10/Gys1/mt-Co2/Idh3b/Khk/Il10rb/Cycs/Mdh1/Ppif/Actn3/Trpv4/Ndufa9/Sdhb/Coq9/Epm2a/Nop53/Me3/Cox7b/Etfrf1/Coa6/Dlat/Uqcrfs1/Ndufb5/Cs/Sdhaf4/Uqcrc1/Wipi1/Atp5c1/mt-Nd1/Snca"
