"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS",4.3113836237455e-19,1.3128163134305e-15,1.13308993200902,-0.520199241762076,-2.41076628733943,293,"Hsp90aa1/Hsp90ab1/Nop58/Eif5/Sf3b1/Strap/Nol10/Brix1/Ptbp2/Gtpbp4/Rps15a/Tma16/Ythdc1/Dnttip2/Snu13/Rps3a1/Ddx3x/Eif3j1/Rpl26/Nufip1/Shq1/Rpp30/Wdr43/Rps5/Pno1/Rps24/Ddx47/Rpl5/Rpl7/Krr1/Rps7/Rpl14/Rps8/Phf5a/Rps14/Rps4x/Rps27l/Rps25/Rps6/Ddx20/Wdr77/Rps27/Fbl/Rps19/Trmt112/Usp16/Rps12/Rps13/Srsf5/Chd7/Usp39/Nsa2/Snrpd3/Ythdf2/Rplp0/Isg20/Rpsa/Nmd3/Lsm2/Eif3k/Fdxacb1/Dcaf13/Rps11/Nol7/Rps9/Mphosph6/Zfp593/Rpl7l1/Snrpb2/Npm1/Frg1/Ppan/Tssc4/Eif3i/Gnl2/Rps16/Eif3m/Surf6/Rbm34/Luc7l2/Nop56/Rps28/Utp11/C1d/Rpf2/Fau/Eif6/Prpf39/Rps17/Esf1/Rpl35a/Rpl24/Eif3a/Utp3/Rrs1/Nom1/Rpl35/Mettl16/Exosc3/Eif4h/Smn1/Znhit3/Eif3f/C1qbp/Prpf6/Tsr2/Mrps2/Nolc1/Luc7l3/Mettl5/Denr/Ncbp1/Mrps7/Bysl/Nip7/Rrp15/Lsg1/Rpl11/Riok1/Mrm3/Exosc1/Mak16/Utp23/Greb1l/Cinp/Eif4a3/Sf1/Ddx1/Rrp36/Ebna1bp2/Pwp1/Rps23/Luc7l/Rps15/Grwd1/Sfswap/Ddx18/Rps19bp1/Nop16/Wdr3/Rrp8/Clp1/Rpl38/Exosc8/Wdr12/Gar1/Srsf10/Zfp622/Ddx52/Rps27a/Pin4"
"GOBP_CYTOPLASMIC_TRANSLATION",1.57122311820513e-18,2.3921871974673e-15,1.11466447751729,-0.649674604482087,-2.70998529306483,123,"Eif5/Etf1/Rps15a/Rps3a1/Rpl39/Rpl37a/Rpl9/Eif3j1/Cpeb4/Rpl26/Rpl12/Cnbp/Rpl34/Rps5/Rps24/Rpl5/Rpl4/Rpl7/Rps7/Rpl14/Rps8/Rps14/Rps4x/Rps25/Hnrnpd/Rps6/Rps27/Cpeb2/Rpl36a/Rplp1/Hhex/Rps19/Rps12/Rps13/Rpl19/Rpl27a/Rplp2/Ythdf2/Rplp0/Rpl37/Rpsa/Rps20/Eif3k/Rwdd1/Aars/Rpl18/Rps11/Rpl10a/Rpl10/Rps9/Rps3/Sars/Rpl31/Rps2/Eif2b3/Eif3i/Rps16/Eif3m/Rpl6/Rack1/Rps28/Fau/Rps17/Rpl35a/Rpl18a/Rpl24/Eif3a/Rpl35/Eif4h/Eif3f/Rps26/Denr/Ncbp1/Rpl32/Rpl11/Rpl3/Pkm/Rpl13/Drg1/Sh3bgrl/Ncbp2/Rpl15/Rpl21"
"GOBP_RIBOSOME_BIOGENESIS",1.26297006082852e-15,1.28191461174095e-12,1.01754479730988,-0.533619649144195,-2.38793509347863,209,"Nop58/Eif5/Nol10/Brix1/Gtpbp4/Rps15a/Tma16/Dnttip2/Snu13/Rps3a1/Ddx3x/Rpl26/Rpp30/Wdr43/Rps5/Pno1/Rps24/Ddx47/Rpl5/Rpl7/Krr1/Rps7/Rpl14/Rps8/Rps14/Rps4x/Rps27l/Rps25/Rps6/Rps27/Fbl/Rps19/Trmt112/Usp16/Rps12/Rps13/Chd7/Nsa2/Ythdf2/Rplp0/Isg20/Rpsa/Nmd3/Fdxacb1/Dcaf13/Rps11/Nol7/Rps9/Mphosph6/Zfp593/Rpl7l1/Npm1/Frg1/Ppan/Gnl2/Rps16/Surf6/Rbm34/Nop56/Rps28/Utp11/C1d/Rpf2/Fau/Eif6/Rps17/Esf1/Rpl35a/Rpl24/Utp3/Rrs1/Nom1/Rpl35/Mettl16/Exosc3/Znhit3/C1qbp/Tsr2/Mrps2/Nolc1/Mettl5/Mrps7/Bysl/Nip7/Rrp15/Lsg1/Rpl11/Riok1/Mrm3/Exosc1/Mak16/Utp23/Greb1l/Cinp/Eif4a3/Rrp36/Ebna1bp2/Pwp1/Rps23/Rps15/Grwd1/Ddx18/Rps19bp1/Nop16/Wdr3/Rrp8/Rpl38/Exosc8/Wdr12/Gar1/Zfp622/Ddx52/Rps27a/Pin4"
"GOBP_TRANSLATION",1.49420243596547e-14,1.13746160437871e-11,0.97599468306432,-0.437851410491696,-2.09520256167216,423,"Hspb1/Thbs1/Zfp36/Btg2/Eif5/Fxr1/Etf1/Rgs2/Sarnp/Ythdf3/Rps15a/Eif1/Ppp1r15a/Rps3a1/Ddx3x/Mrpl32/Rpl39/Rpl37a/Elavl1/Magoh/Eif4e/Rpl9/Eif3j1/Cpeb4/Rpl26/Eef1e1/Rpl12/Rbm8a/Naca/Cnbp/Rpl34/Rps5/Rps24/Rpl5/Rpl4/Rpl7/Rps7/Rpl14/Zfp706/Mrps18b/Rps8/Rps14/Rps4x/Rchy1/Mrps30/Rps27l/Rps25/Hnrnpd/Rps6/Rps27/Cpeb2/Rpl36a/Rplp1/Hhex/Eef1b2/Rps19/Rps6ka3/Usp16/Rps12/Rps13/Rpl19/Serp1/Rpl27a/Rplp2/Mrpl30/Ccl5/Trmt10c/Eif2s1/Ythdf2/Wt1/Rplp0/Paip2/Rpl37/Rpsa/Rbm3/Rps20/Cops5/Eif3k/Rwdd1/Aars/Rpl18/Rps11/Metap2/Rpl10a/Tars/Rpl10/Eif1ad/Rps9/Ears2/Bzw1/Rars/Yars2/Mrpl48/Tnf/Rps3/Mrpl52/Cnot7/Sars/Mrps14/Rpl31/Larp4/Selenot/Npm1/Mrpl13/Rps2/Eif2b3/Eif3i/Mrps18a/Gars/Rps16/Eif3m/Mrps23/Polr2g/Rpl6/Igf2bp2/Rack1/Abce1/Rps28/Mars2/Iars/Mrrf/Alkbh1/Fau/Mrps22/Mrpl45/Yars/Eif6/Mrpl42/Rps17/Rpl35a/Rpl18a/Eef1g/Rpl24/Eif3a/Rpl35/Mtrf1l/Eif4h/Eif3f/C1qbp/Rps26/Mrps2/Nolc1/Mettl5/Denr/Ncbp1/Mrps7/Dars/Rpl32/Cnot2/Rpl11/Mrps18c/Rnf139/Rpl3/Mrpl10/Pkm/Rpl13/Drg1/Sh3bgrl/Mrpl47/Aurkaip1/Ncbp2/Rpl15/Rpl21/Eif4g2/Mrpl15/Eif4a3/Mrps33/Ddx1"
"GOBP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE",2.12366174171675e-13,1.2933100007055e-10,0.943632225232838,-0.418353986503922,-2.0076928651857,438,"Hspd1/Hsp90aa1/Hspa8/Il1b/Cd300lf/Anxa1/Clec4e/Cd14/Themis2/Nfkbiz/Bcl10/Cd177/Itgam/Adam8/Tnfaip3/Cd300lb/S100a8/Irf4/Ptprc/C5ar1/Myd88/Lcp2/Cd300ld/Fpr1/Ube2n/Ifi205/Ppp2ca/Pvr/Tlr4/Ifi204/Tnip3/Reg3g/Ddx3x/Slc11a1/Wdfy1/Traf6/Plscr1/Cd300a/Fpr2/Cfp/Blnk/Cd19/Ubqln1/Ereg/Fgr/Cblb/Pde4b/Tyrobp/B2m/Lgals3/Ltf/Hspa1b/Spi1/Ywhae/Il15/Il18rap/Sqstm1/Tec/Ywhag/Il33/Cd55/Rps19/Rps6ka3/Itgb2/H2-Ob/Fyb/Ifng/Nfkbid/Fzd5/Ceacam1/Ccl5/Icosl/Tbk1/Nfam1/Cd79b/Shb/Irak2/Lat2/Colec11/Cyba/Bpifb1/Ffar2/Rtn4/Esr1/Hspa1a/Cd160/Shld2/Il4ra/Pirb/Ermap/Irak3/Hmgb2/Ptpn22/Tnf/Rps3/H2-D1/Tax1bp1/Clec4n/Eif2b3/Rnf115/Aim2/Cd79a/Btnl10/Lamp2/Hsp90b1/Jak2/Csnk1a1/Ppp6c/Ctla4/Prnp/Cd1d1/C1s1/Ptpn6/Pik3cd/Polr3f/Stx7/Ulbp1/H2-T23/Exosc3/Tomm70a/Lpxn/Zc3h12a/Siva1/S100a14/Cd5l/Klrc1/Sash3/C1qbp/C2/Fcgr2b/Btnl9/Peli1"
"GOBP_HUMORAL_IMMUNE_RESPONSE",7.80035881028409e-12,3.46844183732253e-09,0.875325132024659,-0.59366086634938,-2.43440368784301,108,"Trem1/Il1b/Cd83/Bst1/Ptprc/Ccl12/Jchain/Reg3g/Slc11a1/Rpl39/Cfp/Blnk/Ccl9/Calca/B2m/Lgals3/Ltf/Pou2af1/Cd55/Ccl7/Rps19/Cxcl13/Ifng/Slpi/Ccl5/Hmgn2/Ythdf2/Ccl3/Cxcl3/Colec11/Ebi3/Kng2/Tnf/Nts/Camp/Adm/Cd37/Alox5/Fau/Ccl4/C1s1/Ptpn6/H2-T23/Cd5l/Lyz2/C1qbp/C2/Fcgr2b/Wfdc12"
"GOBP_ACTIVATION_OF_IMMUNE_RESPONSE",7.97342951108627e-12,3.46844183732253e-09,0.875325132024659,-0.432862209839153,-2.03168512196641,333,"Hspd1/Hsp90aa1/Hspa8/Il1b/Cd300lf/Clec4e/Cd14/Themis2/Nfkbiz/Bcl10/Itgam/Tnfaip3/Cd300lb/S100a8/Irf4/Ptprc/C5ar1/Myd88/Lcp2/Cd300ld/Fpr1/Ube2n/Ifi205/Ppp2ca/Tlr4/Ifi204/Tnip3/Reg3g/Ddx3x/Wdfy1/Traf6/Plscr1/Cd300a/Fpr2/Cfp/Blnk/Cd19/Ubqln1/Fgr/Cblb/Pde4b/Tyrobp/Lgals3/Ltf/Hspa1b/Ywhae/Sqstm1/Tec/Cd55/Rps6ka3/Fyb/Ifng/Nfkbid/Ceacam1/Icosl/Tbk1/Nfam1/Cd79b/Shb/Irak2/Lat2/Colec11/Cyba/Bpifb1/Ffar2/Rtn4/Esr1/Hspa1a/Cd160/Ermap/Irak3/Ptpn22/Tnf/Rps3/Tax1bp1/Clec4n/Eif2b3/Rnf115/Aim2/Cd79a/Btnl10/Lamp2/Hsp90b1/Csnk1a1/Ppp6c/Ctla4/Prnp/C1s1/Ptpn6/Pik3cd/Tomm70a/Lpxn/Zc3h12a/Siva1/S100a14/Cd5l/Klrc1/C1qbp/C2/Fcgr2b/Btnl9/Peli1"
"GOBP_RESPONSE_TO_HEAT",2.5572614795682e-11,9.73357650660647e-09,0.863415391606693,-0.690683733951567,-2.54052112856051,58,"Hspb1/Dnaja1/Bag3/Hsp90aa1/Dnajb1/Thbs1/Hsp90ab1/Dnaja4/Dnajb4/Chordc1/Hikeshi/Sumo1/Ier5/Hspa1b/Cryab/Ywhae"
"GOBP_PROTEIN_FOLDING",3.80187342809702e-11,1.28630050983949e-08,0.851339057116899,-0.547770017072328,-2.31201649798224,132,"Hspb1/Hsph1/Dnaja1/Hspd1/Bag3/Hsp90aa1/Dnajb1/Hspa8/Hsp90ab1/Dnaja4/Dnajb4/Chordc1/Ahsa1/Hspa9/Ppid/Cct8/Ahsa2/Cct2/Selenof/B2m/Tbca/Hspa1b/Ppia/Anp32e/Cryab/Cct3/Fkbp1a/Fkbp4/Pfdn4/Bag2/Tbcc/Hspa4/Bag1/Ppig/Pdia3/Pfdn1/Hspa5/Hspa1a/Ttc1/Erp44/Cdc123/Tbce/Dnajc21"
"GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY",4.55944564119306e-11,1.38835119774329e-08,0.851339057116899,-0.433568343965916,-2.02525299140023,319,"Hspd1/Hspa8/Cd300lf/Clec4e/Clec4d/Cd14/Themis2/Nfkbiz/Bcl10/Itgam/Tnfaip3/Cd300lb/S100a8/Irf4/Ptprc/C5ar1/Myd88/Lcp2/Cd300ld/Fpr1/Ube2n/Ifi205/Ppp2ca/Tlr4/Ifi204/Tnip3/Reg3g/Ddx3x/Cd24a/Wdfy1/Traf6/Plscr1/Cd300a/Fpr2/Blnk/Cd19/Ubqln1/Fgr/Cblb/Pde4b/Tyrobp/Lgals3/Ltf/Hspa1b/Ywhae/Tarm1/Sqstm1/Tec/Rps6ka3/Fyb/Ifng/Nfkbid/Ceacam1/Icosl/Tbk1/Nfam1/Cd79b/Shb/Irak2/Lat2/Colec11/Cyba/Bpifb1/Ffar2/Rtn4/Esr1/Hspa1a/Cd160/Pirb/Ermap/Irak3/Ptpn22/Tnf/Rps3/Tax1bp1/Clec4n/Eif2b3/Rnf115/Aim2/Cd79a/Btnl10/Lamp2/Hsp90b1/Csnk1a1/Ppp6c/Ctla4/Prnp/Ptpn6/Pik3cd"
