"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",4.40314951297961e-22,2.15754326136001e-20,1.21254456769062,-0.655617250574263,-2.87327546034399,132,"Ndufa5/Cox7c/Ndufb7/Ndufa3/Uqcr11/Cox5b/Atp6v1f/Ndufa7/Atp5g2/Ndufb4/Uqcrh/Gpx4/Mrps15/Cox8a/Atp5l/Ndufa4/Ndufc1/Cox4i1/Atp5j2/Uqcrb/Ndufs6/Uqcr10/Ndufab1/Ndufa8/Cox6a1/Mrps11/Ndufa1/Cycs/Ndufs2/Atp5g1/Slc25a4/Ndufs7/Atp5g3/Timm13/Timm10/Fxn/Cox7a2/Idh3b/Atp5j/Cs/Ndufb6/Fdx1/Gpi1/Vdac1/Atp5d/Ndufs3/Cox7b/Ndufs8/Hadhb/Cyb5a/Sdhb/Mrpl15/Isca1/Cox5a/Mdh1/Atp5o/Slc25a3/Atp5c1/Ndufc2/Pdk4/Timm50/Vdac2/Uqcrfs1/Dlat/Mrpl34/Mdh2/Cox10/Pdhx/Prdx3/Ndufb5/Ogdh"
"HALLMARK_MYOGENESIS",5.51774007765391e-12,1.35184631902521e-10,0.887074988399873,-0.551580007740898,-2.37259109841376,119,"Fxyd1/Ak1/Fabp3/Des/Dmpk/Myom1/Tpm2/Eno3/Tnnt2/Cryab/Pfkm/Smtn/Mapre3/Cav3/Gadd45b/Actn2/Tnnt3/Myl4/Csrp3/Pick1/Ncam1/Sgcg/Sh3bgr/Myl7/Hrc/Ckm/Myl1/Tnni2/Atp2a1/Pygm/Pde4dip/Mb/Acta1/Hspb2/Chrnb1/Mylpf/Myom2/Col15a1/Ckmt2/Mybpc3/Actn3/Camk2b/Speg/Itga7/Kcnh2/Casq1/Gpx3/Cdh13/Ryr1"
"HALLMARK_MITOTIC_SPINDLE",5.36851258988993e-05,0.000876857056348688,0.557332238758646,0.413053783139503,1.81223491764405,125,"Sptan1/Myh9/Kif3b/Actn4/Tbcd/Kif11/Mid1/Dock2/Pafah1b1/Prc1/Nin/Rapgef6/Rasa1/Smc4/Top2a/Ect2/Pkd2/Numa1/Rasal2/Bub1/Wasf2/Kif23/Kif3c/Arhgef3/Dst/Myh10/Farp1/Nck2/Kif4/Arf6/Sptbn1/Wasl/Kif20b/Tubgcp6/Ckap5/Cep250/Smc3/Tpx2/Cenpj"
"HALLMARK_G2M_CHECKPOINT",0.00036845060927742,0.00451351996364839,0.49849310876659,0.389607851765493,1.69976320859328,120,"Lbr/Kif11/Chaf1a/Xpo1/Pds5b/Kpna2/Mcm6/Odc1/Pafah1b1/Prc1/Smc4/Top2a/Atrx/Dr1/Numa1/Rasal2/Bub1/Sqle/Kif23/Kpnb1/Hmmr/Cul1/Arid4a/Top1/Mki67/Kif4/Stag1/Prim2/Kif20b/Cul5/Pbk/Ccnt1/Slc7a5/Rad23b/Tpx2/Cdkn1b/Dkc1/Knl1/Plk4/Mcm5/Hmgn2/Ncl/Hnrnpu"
"HALLMARK_PROTEIN_SECRETION",0.000717071763471443,0.00654248897504721,0.477270815362862,0.462570988557674,1.79134818493313,60,"Rab5a/Cln5/Ppt1/Cltc/Tom1l1/Tpd52/Yipf6/Lamp2/Snap23/Tmed10/Rps6ka3/Gla/Dst/Arfgef2/Bet1/Arcn1/Mon2/Cav2/Bnip3/Zw10/Snx2/Stam/Stx7/Atp1a1/Adam10/Ap3s1/Gnas/Vamp4"
"HALLMARK_INFLAMMATORY_RESPONSE",0.000801121098985373,0.00654248897504721,0.477270815362862,0.374669742235922,1.63518583385955,121,"Fpr1/Icam1/Pde4b/Adgre1/Cybb/Ccrl2/Acvr2a/Gpc3/Calcrl/Il7r/Lyn/Cd55/Slc31a1/Cd14/Atp2b1/Icosl/Ahr/Sele/Gnai3/Best1/Tnfsf15/Psen1/Csf3r/Il18/Il18r1/Cxcr6/Slc7a2/Lcp2/Lamp3/Ifnar1/Cd48/Gna15/P2rx7/Aplnr/Slc4a4/Cd55b/Cmklr1/Nampt/Il1r1/Fzd5/Nmur1/Il4ra/Abi1/Il12b"
"HALLMARK_ADIPOGENESIS",0.00115801530567985,0.00810610713975898,0.45505986738723,-0.372398682005698,-1.61097758015359,123,"Ndufa5/Ndufb7/Uqcr11/Gpx4/Cox8a/Uqcr10/Ndufab1/Cox6a1/Sncg/Cavin1/Cs/Pex14/Ephx2/Ndufs3/Cox7b/Slc25a10/Araf/Col15a1/Hadh/Sdhb/Taldo1/Mrpl15/Itih5/Itga7/Atp5o/Gpx3/Mrap/Aldoa/Cd151/Rab34/Preb/Vegfb/Dlat/Ywhag/Fah/Cidea/Mdh2/Prdx3/Elmod3/Ghitm/Qdpr/Coq9/Jagn1/Ppm1b/Rtn3/Tob1/Arl4a/Cdkn2c/Uqcrc1/Echs1/Slc27a1/Acads/Atl2/Lpl/Ddt"
"HALLMARK_P53_PATHWAY",0.0038602586373287,0.0236440841536383,0.326351610990907,-0.356473359717107,-1.54208545350732,123,"Ak1/Ppp1r15a/Fbxw7/Rrad/Tspyl2/Rpl18/Vamp8/Blcap/Fdxr/Hras/Fgf13/Ier3/Ada/Rps27l/Procr/Hint1/Klk8/Cdh13/Abhd4/Trafd1/Ccnd3/Perp/Ndrg1/Coq8a/Bax/Abcc5/Hdac3/Trp63/Sertad3/Csrnp2/Tnfsf9/Cdkn2a/Rhbdf2/Rps12/Tsc22d1/Tprkb/Tob1/Pdgfa/Dcxr/Ier5/Btg2/Tap1/Ralgds/Wrap73/Rap2b/Hexim1/Fuca1/Cd82/Ldhb/Ddit3/Btg1/Jag2/Itgb4/S100a4/Epha2/Rchy1/Tpd52l1/Cdk5r1/Ei24/Rxra/Steap3"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.0129059117402165,0.070265519474512,0.183397180948084,0.376253720903559,1.51177763002894,73,"Dusp3/Cltc/Cab39/Rac1/Sla/Ube2d3/Ppp1ca/Actr2/Vav3/Gna14/Rps6ka3/Ripk1/Smad2/Actr3/Atf1/Plcb1/Pak4/Ppp2r1b/Eif4e"
"HALLMARK_ANDROGEN_RESPONSE",0.0168329177057357,0.0824812967581047,0.160146983509279,0.380285426891164,1.49774526523021,66,"Selenop/Idi1/Plpp1/Pgm3/Dhcr24/Abhd2/Tpd52/Mertk/Insig1/Map7/Rps6ka3/Gnai3/Slc26a2/Ngly1/Hpgd/B2m/Klk1/Xrcc5/Gucy1a1/Gpd1l"
