"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",2.81076120304266e-22,1.3772729894909e-20,1.22105375677186,0.636223424714086,2.96210782707428,132,"Ndufb7/Ndufa5/Uqcr11/Gpx4/Atp5g2/Cox5b/Atp6v1f/Cox7c/Uqcrh/Ndufa3/Cox4i1/Slc25a4/Ndufa8/Atp5g3/Ndufb4/Ndufa7/Mrps11/Ndufs7/Timm13/Ndufs2/Ndufs6/Mrps15/Atp5l/Ndufa1/Vdac1/Ndufs3/Atp5j2/Uqcrb/Cox6a1/Uqcr10/Cox8a/Timm10/Ndufc1/Oxa1l/Ndufa4/Atp5d/Ndufb6/Ndufs8/Fxn/Cyb5a/Gpi1/Atp5g1/Ndufab1/Bax/Mrpl34/Cyb5r3/Cox5a/Atp5o/Cox7a2/Idh2/Ndufc2/Atp5j/Atp6v1g1/Cox10/Pdhx/Idh3b/Cycs/Mdh1/Mrpl15/Vdac2/Isca1/Hadhb/Ndufa9/Fdx1/Sdhb/Slc25a20/Slc25a3/Cox7b/Echs1/Dlat/Uqcrfs1/Ndufb5/Cs"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.21346670489794e-11,2.97299342699996e-10,0.875325132024659,-0.558202949406657,-2.43937318461373,124,"Ptgs2/Nfil3/Klf6/Pde4b/Icam1/Il1b/Socs3/Tnfaip3/Tiparp/Dnajb4/Fos/Mxd1/Fosb/Cd83/Mcl1/Ccnl1/Areg/Dusp1/Egr2/Plek/Rcan1/Tnc/Litaf/Icosl/Sik1/Btg3/Klf9/Jun/Slc2a3/Dusp4/Map3k8/Il7r/Serpinb8/Ifih1/Nfat5/Gch1/Tnfaip6/Tnfaip2/Maff/Nr4a1/Btg2/Gem/Atp2b1/Bmp2/Zfp36/Zc3h12a/Btg1/Nr4a2/Ier2/Tnfaip8/Bhlhe40/Vegfa/B4galt5/Jag1/Sgk1"
"HALLMARK_INFLAMMATORY_RESPONSE",4.54920051086084e-10,7.43036083440605e-09,0.814035837847908,-0.529450939194289,-2.30399949842667,121,"Klf6/Fpr1/Pde4b/Icam1/Il1b/Adgre1/Csf3r/Sele/Cd14/Pvr/Mxd1/Cybb/Gnai3/Lcp2/Acvr2a/Il18r1/Lamp3/Kcnj2/Icosl/Il18rap/Il1r1/Lyn/Il7r/Gpc3/Cd55/Il4ra/Slc7a1/Gch1/Tnfaip6/Aplnr/Fzd5/Slc31a1/Btg2/Tnfsf15/C5ar1/Rgs1/P2ry2/Ptafr/Atp2b1/Adora2b"
"HALLMARK_MYOGENESIS",4.97953007561648e-07,6.09992434263019e-06,0.659444398037935,0.448424153942965,2.05760604370432,119,"Fxyd1/Ak1/Tpm2/Dmpk/Des/Myom1/Tnnt2/Fabp3/Sgcg/Psen2/Pick1/Pfkm/Eno3/Smtn/Gadd45b/Syngr2/Mapre3/Myh11/Kcnh2/Sh3bgr/Tnni2/Ncam1/Tnnt3/Actn2/Myl7/Hspb2/Csrp3/Acta1/Ckm/Gpx3/Myom2/Myl4/Pygm/Atp2a1/Mb/Hrc/Cav3/Foxo4/Casq1/Mylpf/Slc6a8/Actn3/Myl1/Cryab/Itgb5/Pde4dip/Ckmt2/Bag1"
"HALLMARK_MTORC1_SIGNALING",1.01272453894636e-06,9.92470048167436e-06,0.643551836150722,-0.439661124844502,-1.96021175121847,143,"Nfil3/Itgb2/Hspd1/Cacybp/Idi1/Ube2d3/Hspa4/Serpinh1/P4ha1/Acly/Bub1/Rab1a/Actr2/Etf1/Hspa5/Eprs/Dhcr24/Gla/Asns/Actr3/Slc2a3/Insig1/Nup205/Psmd14/Slc7a11/Hmgcr/Sytl2/Canx/Sla/Tcea1/Dapp1/Btg2/Skap2/Nufip1/Serp1/Slc7a5/Cth/Cyb5b/Pno1/Bhlhe40/Psmd12/Edem1/Acaca/Tbk1/Scd1/Plod2/Xbp1/Stc1/Psmc6"
"HALLMARK_ALLOGRAFT_REJECTION",3.11773473155032e-06,2.54615003076609e-05,0.627256739718528,-0.464251446347276,-2.00765277012981,116,"Ptprc/Ccr1/Itgb2/Icam1/Il1b/Jak2/Eif3a/Gbp2/H2-DMb1/Fyb/Abce1/Lcp2/Acvr2a/H2-Q7/Igsf6/Icosl/Fgr/Il18rap/Tpd52/Irf4/Itgal/Lyn/Inhbb/Was/Gcnt1/Il4ra/H2-Ob/Ly75/Ctss/Dars/B2m/Abi1/Cd40lg/St8sia4/Ereg/Il2rb/Aars/Ptpn6/Eif3j1/Cd96/Cfp/Ube2n/Mrpl3/Rars/Il18/Spi1/Ccl4/C2/Ifng/Il12b/Tlr3"
"HALLMARK_G2M_CHECKPOINT",1.60419988571622e-05,0.000112293992000136,0.575610261071129,-0.431981279699515,-1.87816874790369,120,"Hspa8/Lbr/Top1/Xpo1/Odc1/Bub1/Mki67/Ccnt1/Atrx/Rad23b/Top2a/Pafah1b1/Cdc27/Pds5b/Prc1/Smc4/Kif11/Dr1/Slc7a1/Tpx2/Kpna2/Hmmr/Kif5b/Kpnb1/Plk4/Cenpf/Mcm6/Chaf1a/Slc7a5/Rasal2/Pbk/Knl1/Kif23/Nusap1/Stag1/Arid4a/Kmt5a/Cul1/Kif20b/Cul5/Nolc1/Sqle/Ythdc1/Cks2/Srsf10/Pura/Kif4/Ccnb2/Hnrnpu/G3bp1"
"HALLMARK_MITOTIC_SPINDLE",5.20508721022999e-05,0.000318811591626587,0.557332238758646,-0.414147124933897,-1.81165793070667,125,"Myh9/Bub1/Actn4/Mid1/Rapgef6/Nedd9/Sptan1/Top2a/Pafah1b1/Dock2/Cdc27/Prc1/Smc4/Kif3b/Kif11/Rapgef5/Arf6/Nin/Tpx2/Rock1/Rasa1/Wasf2/Ect2/Kif5b/Cenpf/Dst/Rasal2/Wasl/Kif23/Fgd6/Nusap1/Rasa2/Abi1/Sptbn1/Myh10/Cdc42/Farp1/Cenpj/Tbcd/Kif20b/Dlg1/Akap13/Fgd4/Synpo/Prex1/Alms1/Bcl2l11/Pxn/Arhgef3/Arhgef12/Kif4/Ccnb2"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",8.30087892914236e-05,0.000451936741697751,0.538434096309916,-0.525300601836757,-1.97595647415556,53,"Ccr1/Il1b/Socs3/Lepr/Csf3r/Cd14/Cd36/Il13ra1/Il18r1/Jun/Il1r1/Map3k8/Il4ra/Csf2rb2/Ptpn1/Acvrl1/Myd88/Il1r2/Stam2"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.000212417433270509,0.00104084542302549,0.518848077743792,-0.377667250487015,-1.67548052315439,138,"Ptgs2/Fpr1/Pde4b/Icam1/Socs3/Tnfaip3/Jak2/Gbp9/Lcp2/H2-Q7/Rapgef6/Upp1/Irf4/Ripk1/Isoc1/Selp/Casp3/Il4ra/Ifih1/Gch1/Csf2rb2/Tnfaip6/Tnfaip2/Klrk1/Vcam1/Oas2/Arid5b/Ifi44/Ptpn1/Serping1/Myd88/Sppl2a/Casp7/Btg1/Ddx60/B2m/Parp12/St8sia4/Herc6/Pim1/Lap3/Il2rb/Ptpn6/Gbp4/C1s1/Sp110/Oasl1/Fcgr1/Mthfd2/Helz2"
