"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",4.11398716893451e-23,2.01585371277791e-21,1.24623277191648,-0.684652085327291,-2.87752432546625,124,"Klf6/Il1b/Mxd1/Socs3/Fosb/Slc2a3/Ptgs2/Rcan1/Areg/Dnajb4/Cd83/Nfil3/Btg1/Tnfaip8/Zfp36/Btg2/Tnfaip6/Btg3/Tnfaip3/Ccnl1/Bhlhe40/Litaf/Yrdc/Mcl1/Sat1/Egr2/Maff/Ier2/Eif1/Ppp1r15a/Gem/Hes1/Fos/Jun/Map3k8/Plek/Gch1/Ier5/Pde4b/Ier3/Map2k3/F3/Sgk1/Sqstm1/Tnfsf9/Ccl5/Icosl/Cxcl3/Tgif1/Gadd45b/Serpinb8/Bmp2/Tnfaip2/Tsc22d1/Dusp1/Bcl6/Pmepa1/Spsb1/Tnc/Tnf/Id2/Tiparp/Nfkbie/Ccl4/Il15ra/Inhba/Nr4a2/Zc3h12a/Tnfrsf9/B4galt1/B4galt5/Nr4a1/Vegfa"
"HALLMARK_MYC_TARGETS_V1",8.45200969441017e-16,2.07074237513049e-14,1.02766987054358,-0.630776354172403,-2.63376445125959,118,"Hspd1/Hsp90ab1/Etf1/Hnrnpa2b1/Psmd14/Rsl1d1/Hnrnpc/Psma6/Ap3s1/Eif4e/Eif3j1/Ndufab1/Dhx15/Cct2/Cnbp/Rpl34/Rps5/Ppia/Rad23b/Rpl14/Mrps18b/Ywhae/Cct3/Rfc4/Hnrnpd/Rps6/Psmd8/Eef1b2/Fbl/Odc1/Erh/Psmc6/Eif2s1/Snrpd3/Rplp0/Cops5/Lsm2/Rpl18/Psmd7/Pgk1/Psmb2/Rps3/Snrpb2/Slc25a3/Npm1/Rps2/Rpl6/Ube2l3/Rack1/Abce1/Nop56/Prdx3/Iars/Ldha/Pcna/Srsf7/Acp1/Eif4h/Tomm70a/Ranbp1/C1qbp/Hddc2/Nolc1/Ncbp1/Psmb3/Ncbp2/Rnps1/Kpna2/Eif4g2/Dek/Cox5a/Pwp1/Aimp2/Eprs/Canx/Lsm7/Ddx18/Nop16"
"HALLMARK_MTORC1_SIGNALING",3.05229100146639e-14,4.98540863572843e-13,0.965327754226083,-0.578455957836753,-2.4809192421767,143,"Hspd1/Cacybp/Slc2a3/Nfil3/Btg2/Serpinh1/Ube2d3/Bhlhe40/P4ha1/Etf1/Gla/Psmd14/Hspa9/Mthfd2/Actr3/Asns/Ppp1r15a/Cfp/Eef1e1/Rab1a/Gsr/Nufip1/Map2k3/Trib3/Pno1/Ppia/Slc7a5/Sqstm1/Psmd12/Psmc2/Itgb2/Arpc5l/Coro1a/Serp1/Psmc6/Tbk1/Hspa4/Cops5/Pgk1/Prdx1/Egln3/Hspa5/Mllt11/Dapp1/Ppa1/Gbe1/Slc2a1/Hmgcr/Hsp90b1/Skap2/Atp6v1d/Ddit3/Ykt6/Slc7a11/Fgl2/Ldha/Cth/Bub1/Cd9/Sec11a/Psmb5/Me1/Atp5g1/Phgdh"
"HALLMARK_ALLOGRAFT_REJECTION",1.41318203092778e-09,1.73114798788653e-08,0.788186810800237,-0.545083605895678,-2.27028538712231,116,"Ccr1/Il1b/Bcl10/Irf4/Ptprc/Lcp2/Ube2n/Ncf4/Rps3a1/Tpd52/Rpl39/Cfp/Rpl9/Eif3j1/Ereg/Fgr/B2m/Spi1/Igsf6/Gcnt1/Il15/Il18rap/Ccl7/Rps19/Itgb2/Cxcl13/H2-Ob/Fyb/Ifng/Ccl5/Icosl/Aars/Ltb/Rps9/Il4ra/Rars/Tnf/Npm1/Cd79a/Jak2/Abce1/Cd1d1/Ccl4/Ptpn6/Eif3a/Inhba/H2-T23/Was/C2/Fcgr2b/Dars/Prkcb/Ly86/Il18/Lyn/Irf8/Icam1/Inhbb/Mrpl3/Ctss/Eif5a"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",3.71825063138062e-09,3.643885618753e-08,0.774939030136436,-0.518089239410844,-2.19029352184317,132,"Hspa9/Ndufab1/Atp5j/Timm9/Tomm22/Uqcr10/Mrps30/Atp5l/Cox7c/Uqcrh/Ndufc1/Cox6a1/Fdx1/Cycs/Hccs/Cox7a2/Ndufa4/Slc25a3/Cox7b/Uqcrb/Atp5j2/Cyb5a/Ndufa5/Cox4i1/Prdx3/Pdk4/Atp5c1/Ndufa3/Atp6v1d/Mrps22/Sucla2/Ldha/Grpel1/Eci1/Slc25a20/Uqcrfs1/Ndufs2/Tomm70a/Slc25a5/Isca1/Sdhb/Atp5g1/Atp6v1f/Ndufs3/Echs1/Pdp1/Atp5g3/Atp5b/Cox8a/Ndufa7/Ndufb4/Gpx4/Mrpl15/Mdh2/Surf1/Idh3g/Ndufs7/Hadhb/Atp6v1e1/Ndufb5/Cox5a/Ndufc2/Atp6v1g1/Idh3b/Atp5g2/Maob/Vdac2/Ndufa1/Fh1/Timm50/Mdh1/Ndufa8/Fxn/Uqcrc2/Ndufb2/Cox5b/Gpi1"
"HALLMARK_HYPOXIA",7.04830584242617e-09,5.75611643798137e-08,0.761460801445585,-0.529537719778063,-2.20838285674259,117,"Klf6/Mt1/Slc2a3/Nfil3/Btg1/Zfp36/Tnfaip3/Bhlhe40/Wsb1/P4ha1/Maff/Ppp1r15a/Plin2/Ugp2/Fos/Jun/Pim1/Tpd52/Adora2b/Ier3/F3/Aldob/Noct/Isg20/Anxa2/Dcn/Pgk1/Dusp1/Tgfbi/Hspa5/P4ha2/Tiparp/Adm/Gbe1/Slc2a1/Ddit3/Plac8/Ldha"
"HALLMARK_APOPTOSIS",1.10405825075247e-07,7.72840775526729e-07,0.704975715167238,-0.525432055377049,-2.15187504397166,104,"Hspb1/Dnaja1/Il1b/Anxa1/Btg2/Tnfrsf12a/Cd14/Bcl10/Btg3/Emp1/Etf1/Mcl1/Sat1/Jun/Gch1/Ereg/Gsr/Ier3/Pmaip1/Lgals3/Plat/Sqstm1/Nedd9/Slc20a1/Gpx1/Bcap31/Gadd45b/Isg20/Bmp2/Dcn/Hmgb2/Tnf/Bcl2l11/Ddit3/Rock1/Bid/Cth/Ppp3r1"
"HALLMARK_MITOTIC_SPINDLE",3.38972549270402e-07,2.07620686428121e-06,0.674962860011025,0.436921823741845,2.05676401035309,125,"Numa1/Ckap5/Dync1h1/Tsc1/Cep250/Sptan1/Tubgcp6/Myh10/Rfc1/Cdk5rap2/Flna/Pcnt/Rabgap1/Kif3c/Tbcd/Clip2/Sptbn1/Map3k11/Clasp1/Nin/Farp1/Itsn1/Atg4b/Abl1/Tiam1/Cep131/Rasal2/Sos1/Katnb1/Espl1/Incenp/Cep192/Dst/Map1s/Apc/Rab3gap1/Arhgef12/Myh9/Kif22/Prex1/Trio/Nek2/Pkd2/Epb41/Klc1/Kif3b/Stau1/Kif1b/Wasf2"
"HALLMARK_INFLAMMATORY_RESPONSE",7.91085023739671e-07,4.30701846258265e-06,0.659444398037935,-0.486337123330002,-2.03782659779611,121,"Klf6/Il1b/Mxd1/Btg2/Cd14/Tnfaip6/Sele/C5ar1/Csf3r/Lcp2/Fpr1/Pvr/Ptafr/Rgs1/Gch1/Kcnj2/Ereg/Adora2b/Gnai3/Pde4b/Slc7a1/F3/Il15/Il18rap/Msr1/Tnfsf9/Cd55/Ccl7/Fzd5/Ccl5/Icosl/Slc28a2/Irak2/Ffar2/Il10ra/Ebi3/Il4ra/Adm/Ifitm1/Selenos/Il15ra/Cd48/Inhba/Bst2/Tnfrsf9/Emp3/P2ry2/Mefv/Il18/Lyn/Adgre1/Sema4d/Icam1/Rtp4/Rela/Gna15/Lta"
"HALLMARK_IL2_STAT5_SIGNALING",3.37703530996421e-06,1.65474730188246e-05,0.627256739718528,-0.456442496204882,-1.92967343554241,132,"Klf6/Mxd1/Slc2a3/Cd83/Nfil3/Nfkbiz/Bhlhe40/Emp1/Irf4/P4ha1/Il1r2/Maff/Plin2/Plscr1/Pim1/Map3k8/Selp/Spry4/Arl4a/Gsto1/Odc1/Serpinb6a/Cd79b/Gadd45b/Bmp2/Il10ra/Ltb/Tnfrsf4/Umps/Car2/Il4ra/Swap70/S100a1/Capn3/Rnh1/Ctla4/Prnp/Fgl2/Cd48/Drc1/Casp3/Tnfrsf9/Ptrh2/Pdcd2l/Il1rl1/Gata1/Hopx/Irf8/Gpx4/Hk2/Galm/Xbp1/Phtf2/Ikzf4/Il3ra/Tnfrsf8/Smpdl3a/Tnfrsf1b/Icos/Batf3/Fah/Anxa4/Gabarapl1/Plagl1/Ttc39b/Penk/Pnp2/Dcps"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",7.10369529508472e-06,3.16437335871956e-05,0.610526878385931,-0.585649205584029,-2.13007828434288,53,"Ccr1/Il1b/Socs3/Tnfrsf12a/Cd14/Il1r2/Csf3r/Myd88/Jun/Pim1/Map3k8/Ccl7/Cxcl13/Cxcl3/Ltb/Ebi3/Il4ra/Stat3/Tnf/Pdgfc/Il15ra/Ptpn1/Cd9"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",6.2995446843658e-05,0.000257231407944937,0.538434096309916,-0.420063638295498,-1.7896185053562,138,"Socs3/Ptgs2/Btg1/Tnfaip6/Tnfaip3/Irf4/Myd88/Mthfd2/Lcp2/Fpr1/Arid5b/Plscr1/Pim1/Selp/Gch1/Pde4b/B2m/Il15/Arl4a/Upp1/Ccl7/Ube2l6/Ccl5/Lap3/Isg20/Ifi27/Tnfaip2/Il10ra/Psme2/Psmb2/Il4ra/Stat3/H2-D1/Jak2/Vamp8/C1s1/Ptpn6/Fgl2/Il15ra/Ptpn1/Bst2/Epsti1/Casp3/Psmb9/Peli1/Mt2/Irf5/St3gal5/Ripk1/Irf8/Icam1/Rtp4/Ifitm2/Apol6/Txnip/Oas2/Fcgr1/Cd74/Oasl1/Isg15/Zbp1/Serping1"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",9.29270710108442e-05,0.000349610051156289,0.538434096309916,-0.480010878733827,-1.87178341255926,78,"Bag3/Dnaja4/Nabp1/Hspa9/Mthfd2/Asns/Cebpg/Chac1/Eif4e/Nfyb/Rps14/Slc7a5/Serp1/Eif2s1/Tars/Cks1b/Hspa5/Tatdn2/Npm1/Srprb/Hsp90b1/Nop56/Iars/Tspyl2/Sec11a/Vegfa/Nolc1/Cnot2/Spcs1/Exosc1"
"HALLMARK_UV_RESPONSE_UP",9.98885860446541e-05,0.000349610051156289,0.538434096309916,-0.445697237597712,-1.83717469290373,108,"Dnaja1/Dnajb1/Fosb/Btg1/Btg2/Btg3/Eif5/Ppp1r2/Asns/Cebpg/Fos/Gch1/Tchh/Sqstm1/Rfc4/Fkbp4/Grina/Cdo1/Polr2h/Bmp2/Tars/Car2/Bcl2l11/Ykt6/Nptx2/Bid/Grpel1/Casp3/Ap2s1/Mapk8ip2/Nr4a1/Hspa13/Atp6v1f/Ntrk3/Lyn/Polg2/Icam1/Col2a1/Rrad/Gpx3"
"HALLMARK_HEME_METABOLISM",0.000146975562972805,0.000474830665793981,0.518848077743792,-0.42609075393983,-1.79081687705953,124,"Nfe2/Cdr2/Btg2/Picalm/Ypel5/Sdcbp/Asns/Ctse/Slc25a37/Ctsb/Gypa/Rhd/Map2k3/Car1/Rhag/Adipor1/Gclm/Hbq1b/Slc4a1/Lmo2/Klf1/Fbxo34/Car2/P4ha2/Ermap/Kel/Rnf19a/Bach1/Slc2a1/Lamp2/Cdc27/Slc7a11/Cpox/Top1/Tal1/Mpp1/Isca1/Optn/Tspo2/Xk/Tcea1/Dcun1d1/Gata1/Alas2/Myl4/Tent5c/Hmbs/Snca/Tspan5/Pcx/Nudt4/Hagh/Smox/Hdgf/Vezf1/Slc22a4"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.000155046748014361,0.000474830665793981,0.518848077743792,-0.642736778361957,-2.0241097827852,27,"Srxn1/Lsp1/Gsr/Pdlim1/Txn1/Hhex/Cdkn2d/Gclm/Atox1/Prdx1/Msra/Selenos/Prnp/Ndufs2/Mpo/Prdx6/Ndufb4/Gpx4/Gpx3/Ftl1"
"HALLMARK_COMPLEMENT",0.000378829186659817,0.00109191942037241,0.49849310876659,-0.41563095554238,-1.74155698884816,121,"Itgam/Tnfaip3/Msrb1/Serpina1e/Gca/Lcp2/Maff/Plscr1/Pim1/Plek/Ctsb/Serpina1b/Cblb/Gnai3/Lgals3/Ltf/F3/Plat/Cd55/Dusp6/Usp16/Atox1/Ccl5/Lap3/Cxcl3/Fdx1/Hspa5/Hspa1a/Car2/Klkb1/S100a13/Lamp2/Usp14/Jak2/C1s1/Anxa5/Cpq/Csrp1/Ctso/Casp3/Was/C2/Me1/Psmb9/Cdk5r1/Pdp1/Vcpip1/Lyn"
"HALLMARK_P53_PATHWAY",0.00152903772042851,0.00416238046116649,0.45505986738723,-0.395349403934141,-1.65976452298776,123,"Mxd1/Btg1/Btg2/Osgin1/Mdm2/Sat1/Dnttip2/Ppp1r15a/Fos/Jun/Ier5/Tchh/Ier3/Trib3/Hint1/Rchy1/Rps27l/Upp1/Tnfsf9/Rps12/Epha2/Tprkb/Bmp2/Tsc22d1/Rpl18/Rap2b/Rack1/Gpx2/Coq8a/Cyfip2/Vamp8/Ddit3/Tspyl2/Slc7a11/Pcna"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.0018209623302389,0.00469616600956348,0.45505986738723,0.55948619505105,1.92025388483274,27,"Hey1/Notch4/Hdac5/Fzd8/Nkd1/Jag2/Dvl2/Hdac11/Peg12"
