"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG_OXIDATIVE_PHOSPHORYLATION",2.95522154257046e-28,4.25551902130146e-26,1.38026491759359,-0.799785722040966,-3.23484815837741,78,"Ndufa5/Cox7c/Ndufb7/mt-Co3/Ndufa3/Ndufb9/Uqcr11/Cox5b/Atp6v1f/Ndufa7/Atp5g2/Ndufb10/Ndufb4/Uqcrh/Cox8a/Atp5l/Ndufa4/Ndufc1/Cox4i1/Atp5j2/Uqcrb/Ndufs6/Uqcr10/Ndufab1/Ndufa8/Cox6a1/Ndufa1/mt-Co2/Ndufs2/Atp5g1/Ndufa11/Ndufs7/Atp5g3/Ndufa10/Cox7a2/mt-Nd1/Atp5j/mt-Nd6/mt-Co1/Ndufb6/mt-Cytb/Ppa2/Atp5d/Ndufs3/mt-Nd2/Cox7b/Ndufs8/Sdhb/Cox5a/Ppa1/Atp5o/mt-Atp6/Atp5c1/Ndufc2/mt-Nd4/Uqcrfs1/mt-Nd5"
"KEGG_PARKINSONS_DISEASE",1.76330610559607e-25,1.26958039602917e-23,1.31101476274061,-0.771005204795136,-3.13860902206618,81,"Ndufa5/Cox7c/Ndufb7/mt-Co3/Ndufa3/Ndufb9/Uqcr11/Cox5b/Ndufa7/Atp5g2/Ndufb10/Ndufb4/Uqcrh/Cox8a/Ndufa4/Ndufc1/Cox4i1/Uqcrb/Ndufs6/Uqcr10/Ndufab1/Ndufa8/Cox6a1/Ndufa1/mt-Co2/Cycs/Ndufs2/Atp5g1/Slc25a4/Ndufs7/Uchl1/Atp5g3/Ndufa10/Cox7a2/mt-Nd1/Atp5j/mt-Nd6/mt-Co1/Ndufb6/Snca/Ube2l6/mt-Cytb/Vdac1/Atp5d/Ndufs3/mt-Nd2/Cox7b/Park7/Ndufs8/Sdhb/Cox5a/Atp5o/mt-Atp6/Atp5c1/Ndufc2/mt-Nd4/Vdac2/Uqcrfs1/mt-Nd5"
"KEGG_HUNTINGTONS_DISEASE",1.99225337539324e-17,9.56281620188757e-16,1.07686819261983,-0.632997681788339,-2.72832601682468,115,"Ndufa5/Cox7c/Ndufb7/mt-Co3/Ndufa3/Ndufb9/Uqcr11/Cox5b/Ndufa7/Atp5g2/Ndufb10/Ndufb4/Uqcrh/Cox8a/Ndufa4/Ndufc1/Cox4i1/Uqcrb/Ndufs6/Uqcr10/Ndufab1/Ndufa8/Ucp1/Cox6a1/Ndufa1/mt-Co2/Cycs/Ndufs2/Atp5g1/Slc25a4/Ap2s1/Ndufs7/Atp5g3/Ndufa10/Cox7a2/Atp5j/Gpx1/mt-Co1/Ndufb6/mt-Cytb/Vdac1/Atp5d/Ndufs3/Cox7b/Ndufs8/Sdhb/Cox5a/Polr2k/Atp5o/mt-Atp6/Crebbp/Atp5c1/Ndufc2/Vdac2/Polr2e/Grin1/Uqcrfs1/Dnal4"
"KEGG_ALZHEIMERS_DISEASE",7.39034713454131e-17,2.66052496843487e-15,1.05746357275086,-0.642079908319258,-2.7533207559761,110,"Ndufa5/Cox7c/Ndufb7/mt-Co3/Ndufa3/Ndufb9/Uqcr11/Cox5b/Ndufa7/Atp5g2/Ndufb10/Ndufb4/Uqcrh/Cox8a/Ndufa4/Ndufc1/Cox4i1/Uqcrb/Ndufs6/Uqcr10/Ndufab1/Ndufa8/Cox6a1/Ndufa1/mt-Co2/Cycs/Ndufs2/Atp5g1/Ndufs7/Atp5g3/Calml3/Mapk3/Ndufa10/Cox7a2/Atp5j/mt-Co1/Ndufb6/Atp2a1/Snca/mt-Cytb/Atp5d/Ndufs3/Cox7b/Ndufs8/Sdhb/Cox5a/Atp5o/Gapdh/mt-Atp6/Cdk5/Atp5c1/Ndufc2/Psenen/Grin1/Uqcrfs1"
"KEGG_RIBOSOME",1.18794176132263e-13,3.42127227260919e-12,0.943632225232838,-0.687066233707724,-2.67308023990574,65,"Rps28/Rpl38/Rpsa/Rpl37a/Rplp2/Rpl36a/Rpl37/Rpl35a/Rps23/Rps15/Rpl27a/Rplp1/Fau/Rpl18/Rpl28/Mrpl13/Rps9/Rps17/Rpl18a/Rps13/Rpl13/Rpl11/Rps11/Rps24/Rps27l/Rpl34/Rpl14/Rps8/Rps26/Rps16/Rpl8/Rpl35/Rpl3l/Rpl7/Rps19/Rps27/Rpl9/Rpl39/Rps15a/Rps20/Rpl31/Rps27a/Rps12/Rps3a1/Rpl19"
"KEGG_CARDIAC_MUSCLE_CONTRACTION",7.92363638600226e-10,1.90167273264054e-08,0.801215574617779,-0.720621005776391,-2.51259745028606,38,"Cox7c/mt-Co3/Uqcr11/Cox5b/Uqcrh/Cox8a/Tpm2/Cox4i1/Uqcrb/Tnnt2/Uqcr10/Cox6a1/mt-Co2/Tpm1/Cox7a2/Atp1a2/mt-Co1/Atp1b2/mt-Cytb/Cox7b/Cox5a"
"KEGG_LYSOSOME",0.00046944515949331,0.00913001593496672,0.49849310876659,0.434819767873605,1.77282013857645,80,"Hexb/Cln5/Ppt1/Lipa/Cltc/Ap4e1/Ctss/Cd68/Cd164/Man2b1/Hyal1/Asah1/Ap4m1/Arsb/Lamp2/Npc1/Gusb/Nagpa/Gla/Ctso/Laptm4a/Abca2/Laptm4b/Sort1/Lamp3/Ctsk"
"KEGG_GLYCEROLIPID_METABOLISM",0.000507223107498151,0.00913001593496672,0.477270815362862,0.594832157403009,1.92288232417593,27,"Gpam/Plpp1/Dgkq/Aldh3a2/Dgkz/Mboat1/Gla/Dgka/Lipf"
"KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.00203352611286068,0.0313620172764238,0.431707695803346,0.371740976592072,1.58921122017993,107,"Adcy3/Jak2/Rhoa/Ccr6/Akt3/Prkx/Rac1/Adcy9/Cxcr1/Dock2/Lyn/Ccr1/Cxcr2/Was/Adcy7/Vav3/Fgr/Grk6/Gnai3/Gnai1/Pik3cg/Cxcr6/Rap1b/Plcb1/Wasl/Shc1"
"KEGG_N_GLYCAN_BIOSYNTHESIS",0.00217791786641832,0.0313620172764238,0.431707695803346,0.530397755294574,1.75912495756601,30,"Stt3a/Alg10b/Rft1/Mgat3/Mgat2/Alg11/Alg1/B4galt3/Man2a1/Stt3b/Tusc3/Ddost/Man1a"
