"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG_OXIDATIVE_PHOSPHORYLATION",6.19813462533203e-18,8.92531386047813e-16,1.0959292864312,0.695712640616916,2.97826772381206,78,"Ndufb7/Ndufa5/Uqcr11/Atp5g2/Ndufb9/Cox5b/Ndufb10/Atp6v1f/Cox7c/Uqcrh/Ndufa11/Ndufa3/Cox4i1/Ndufa8/Atp5g3/Ndufb4/Ndufa7/mt-Co3/Ndufa10/Ndufs7/Ndufs2/Ndufs6/Atp5l/Ndufa1/Ndufs3/Atp5j2/Uqcrb/Cox6a1/Uqcr10/Cox8a/Ndufc1/Ndufa4/Atp5d/Ndufb6/Ndufs8/Atp5g1/Ndufab1/Cox5a/Atp5o/Cox7a2/Ndufc2/Atp5j/Atp6v1g1/Cox10/mt-Co2/Ppa2/Ndufa9/Sdhb/Cox7b/Uqcrfs1/Ndufb5/Uqcrc1/Atp5c1/mt-Nd1"
"KEGG_PARKINSONS_DISEASE",1.53991344701805e-16,1.108737681853e-14,1.04762648849882,0.66078050182412,2.84920625496188,81,"Ndufb7/Ndufa5/Uqcr11/Uchl1/Atp5g2/Ndufb9/Cox5b/Ndufb10/Cox7c/Uqcrh/Ndufa3/Cox4i1/Slc25a4/Ndufa8/Atp5g3/Ndufb4/Ndufa7/mt-Co3/Ndufa10/Ndufs7/Park7/Ndufs2/Ndufs6/Ndufa1/Vdac1/Ndufs3/Uqcrb/Cox6a1/Uqcr10/Cox8a/Pink1/Ndufc1/Ndufa4/Atp5d/Ndufb6/Ndufs8/Atp5g1/Ndufab1/Cox5a/Atp5o/Cox7a2/Ndufc2/Atp5j/mt-Co2/Cycs/Vdac2/Ndufa9/Sdhb/Cox7b/Uqcrfs1/Ndufb5/Uqcrc1/Atp5c1/mt-Nd1/Snca"
"KEGG_HUNTINGTONS_DISEASE",1.23787688719603e-14,5.94180905854096e-13,0.986546283587582,0.580392042055508,2.66318428482504,115,"Ndufb7/Ndufa5/Uqcr11/Atp5g2/Ndufb9/Cox5b/Ndufb10/Cox7c/Uqcrh/Ap2s1/Ndufa3/Cox4i1/Slc25a4/Ndufa8/Atp5g3/Ndufb4/Ndufa7/mt-Co3/Ndufa10/Ndufs7/Polr2e/Ndufs2/Ndufs6/Ndufa1/Vdac1/Ndufs3/Uqcrb/Cox6a1/Uqcr10/Dnali1/Cox8a/Ndufc1/Ndufa4/Atp5d/Ndufb6/Ndufs8/Atp5g1/Ndufab1/Bax/Dnal4/Gpx1/Cox5a/Atp5o/Taf4/Cox7a2/Ndufc2/Atp5j/mt-Co2/Grin1/Cycs/Vdac2/Ndufa9/Bbc3/Sdhb/Cox7b/Polr2k/Uqcrfs1/Ndufb5/Uqcrc1/Hap1/Atp5c1"
"KEGG_ALZHEIMERS_DISEASE",7.73776127379697e-13,2.78559405856691e-11,0.921426003494898,0.560560237583604,2.55835123148918,110,"Ndufb7/Ndufa5/Uqcr11/Mapk3/Atp5g2/Ndufb9/Cox5b/Ndufb10/Cox7c/Uqcrh/Ndufa3/Cox4i1/Ndufa8/Atp5g3/Ndufb4/Ndufa7/mt-Co3/Ndufa10/Ndufs7/Psen2/Ndufs2/Ndufs6/Ndufa1/Calml3/Ndufs3/Uqcrb/Cox6a1/Uqcr10/Cox8a/Cdk5/Ndufc1/Psenen/Ndufa4/Atp5d/Ndufb6/Ndufs8/Atp5g1/Ndufab1/Cox5a/Atp5o/Atp2a1/Cox7a2/Ndufc2/Atp5j/Capn1/mt-Co2/Grin1/Cycs/Ndufa9/Sdhb/Mapt/Cox7b/Fadd/Uqcrfs1/Ndufb5/Ppp3ca/Uqcrc1/Atp5c1/Snca/Plcb3"
"KEGG_RIBOSOME",1.09281695118676e-08,3.14731281941787e-07,0.747739663149885,0.586272953716239,2.41511405763351,65,"Rpl38/Rps28/Rps15/Rpl37a/Rpl28/Rpl18a/Rpl35a/Fau/Rplp2/Rpl18/Rpl36a/Rps23/Rpl27a/Rpl11/Mrpl13/Rps9/Rpl8/Rplp1/Rpl37/Rpl13/Rpl3l/Rps17/Rpl35/Rpl14/Rps26/Rps24/Rps20/Rps11/Rps13/Rps16/Rps12/Rpl7/Rps8/Rps19/Rpl19/Rpl6/Rps27l/Rpl10a/Rps27a/Rpl12/Rpl32/Rpl31/Rps6/Rps3/Rps3a1/Rps5/Rps25"
"KEGG_LEISHMANIA_INFECTION",3.90235347595721e-05,0.00093656483422973,0.557332238758646,-0.589572028837721,-2.13429482114995,43,"Tlr4/Ptgs2/Itgb2/Il1b/Jak1/Jak2/Fos/H2-DMb1/Itgb1/Traf6/Ncf2/Jun/C3/H2-Ob/Itgam/Myd88/Cr1l"
"KEGG_CARDIAC_MUSCLE_CONTRACTION",6.14884482109224e-05,0.00126490522033898,0.538434096309916,0.57162841165825,2.09382878720454,38,"Uqcr11/Tpm2/Cox5b/Cox7c/Uqcrh/Cox4i1/Tnnt2/mt-Co3/Atp1a2/Uqcrb/Cox6a1/Uqcr10/Cox8a/Tpm1/Cox5a/Cox7a2/mt-Co2/Cox7b/Uqcrfs1/Uqcrc1"
"KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.000123699894650668,0.00222659810371202,0.518848077743792,-0.413405330248215,-1.76778382434483,107,"Ccr1/Cxcr2/Jak2/Prkx/Adcy4/Gnai3/Adcy3/Fgr/Rhoa/Akt3/Adcy7/Lyn/Dock2/Rock2/Plcb1/Was/Rap1b/Ccr6/Crk/Ccr3/Rac1/Rock1/Adcy9/Braf/Vav3/Gnai1/Wasl/Pik3cg/Grk6/Pak1/Shc1/Rac2"
"KEGG_HEMATOPOIETIC_CELL_LINEAGE",0.000185819439757001,0.00297311103611201,0.518848077743792,-0.547651725462345,-1.97176342987452,42,"Il1b/Csf3r/Cd14/Cd36/Mme/Il1r1/Il7r/Cd55/Ms4a1/Il4ra/Itga2/Gypa/Itgam/Kitl/Cr1l/Il1r2"
"KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION",0.000799755675768316,0.0114228437751752,0.477270815362862,-0.553732524941807,-1.9175767304672,35,"Tlr4/Ctnnb1/Cd14/Itgb1/Actg1/Rhoa/Tlr5/Rock2/Was/Ocln/Rock1/Wasl/Cdc42/Tuba1c/Ywhaz/Tubb1"
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",0.000872578343936996,0.0114228437751752,0.477270815362862,-0.379330121081629,-1.66038479036011,125,"Ccr1/Cxcr2/Il1b/Lepr/Csf3r/Hgf/Tnfrsf10b/Il13ra1/Acvr2a/Il18r1/Tgfbr2/Il18rap/Il1r1/Inhbb/Il7r/Ccr6/Il4ra/Ccr3/Tnfsf13b/Csf2rb2/Vegfc/Tgfbr1/Tnfsf15/Kitl/Acvrl1/Bmpr1b/Bmp2/Tnfsf14/Il1r2/Vegfa/Cd40lg/Tnfrsf12a/Ghr/Il22ra1/Il2rb/Il12rb2/Tnfrsf1b/Edar/Ccl3/Il18/Ccl4/Cxcr1/Tnfrsf19/Ifng/Il6st/Il12b/Ccr9"
