"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG_RIBOSOME",1.06263917094827e-16,1.53020040616551e-14,1.05746357275086,-0.744379338226804,-2.79980777752575,65,"Rps15a/Rps3a1/Rpl39/Rpl37a/Rpl9/Rpl26/Rpl12/Rpl34/Rps5/Rps24/Rpl5/Rpl4/Rpl7/Rps7/Rpl14/Rps8/Rps4x/Rps27l/Rps25/Rps6/Rps27/Rpl36a/Rplp1/Rps19/Rps12/Rps13/Rpl19/Rpl27a/Rplp2/Rplp0/Rpl37/Rpsa/Rps20/Rpl18/Rps11/Rpl10a/Rpl10/Rps9/Rps3/Rpl31/Mrpl13/Rps2/Rps16/Rpl6/Rps28/Fau/Rps17/Rpl35a/Rpl18a/Rpl24/Rpl35/Rps26/Rpl32/Rpl11/Rpl3/Rpl13/Rpl15/Rpl21"
"KEGG_PARKINSONS_DISEASE",5.23318934231441e-10,3.76789632646637e-08,0.801215574617779,-0.603367732755029,-2.35655719570769,81,"mt-Co2/Ppid/Ubb/Ndufab1/Atp5j/Ube2g2/mt-Nd6/mt-Co3/Uqcr10/Cox7c/Uqcrh/mt-Nd1/mt-Nd2/Ube2l6/Ndufc1/Cox6a1/mt-Cytb/Cycs/Cox7a2/Ndufa4/Cox7b/Uqcrb/mt-Co1/Ube2l3/Ndufa5/Cox4i1/Atp5c1/Ndufa3/mt-Atp6/mt-Nd4/Uqcrfs1/Ndufs2/Slc25a5/Casp3/Sdhb/Atp5g1/Ndufs3/Ndufb9/mt-Atp8/Atp5g3/Atp5b/Ndufb10/Cox8a/Ndufa7/Ndufb4/Ndufs7/Ndufb5/Cox5a/Ndufa10/Snca/Ndufc2/Uchl1/Atp5g2/Vdac2/Ndufa1/mt-Nd5/Ndufa8/Uqcrc2/Ndufb2/Cox5b"
"KEGG_OXIDATIVE_PHOSPHORYLATION",1.90544928552157e-09,9.14615657050354e-08,0.774939030136436,-0.606173875192246,-2.35559045680702,78,"mt-Co2/Ndufab1/Atp5j/Atp6v1c2/mt-Nd6/mt-Co3/Uqcr10/Atp5l/Cox7c/Uqcrh/mt-Nd1/mt-Nd2/Ndufc1/Cox6a1/mt-Cytb/Cox7a2/Ndufa4/Cox7b/Uqcrb/Atp5j2/mt-Co1/Ppa1/Ndufa5/Cox4i1/Atp5c1/Ndufa3/Atp6v1g3/Atp6v1d/mt-Atp6/mt-Nd4/Uqcrfs1/Ndufs2/Sdhb/Atp5g1/Atp6v1f/Ndufs3/Ndufb9/mt-Atp8/Atp5g3/Atp5b/Ndufb10/Cox8a/Ndufa7/Ndufb4/Ndufs7/Atp6v1e1/Ndufb5/Cox5a/Ndufa10/Ndufc2/Atp6v1g1/Atp5g2/Ndufa1/mt-Nd5/Ndufa8/Uqcrc2/Ndufb2/Cox5b/Atp5d/Atp6v0c"
"KEGG_PROTEASOME",2.17401299371791e-06,7.82644677738448e-05,0.627256739718528,-0.720589748904725,-2.23333589099245,26,"Psmd14/Psma6/Psmd8/Psmd12/Psmc2/Ifng/Psmc6/Psmd6/Psmd7/Psmb1/Psme2/Psmb2/Psmb7/Psma5/Psmb5/Psmd11/Psmb9/Psmb4/Psmb3"
"KEGG_LEISHMANIA_INFECTION",7.90641278861831e-06,0.000194931557603912,0.593325476396405,-0.612654391455383,-2.13236821521429,43,"Il1b/Ptgs2/Ncf2/Itgam/Myd88/Tlr4/Ncf4/Fos/Jun/Traf6/Itgb2/H2-Ob/Ifng/Cyba/Tnf/Jak2/Ptpn6"
"KEGG_SPLICEOSOME",8.12214823349634e-06,0.000194931557603912,0.593325476396405,-0.528857661521529,-2.02136391879404,71,"Hspa8/Sf3b1/Ddx5/Snu13/Hnrnpc/Magoh/Dhx15/Rbm8a/Bud31/Tra2a/Hspa1b/Phf5a/Hnrnpk/Srsf5/Usp39/Snrnp27/Snrpd3/Lsm2/Hspa1a/Rbmx/U2surp/Snrpb2/Thoc1/Syf2/Prpf38b/Srsf7/Lsm8/Bcas2/Prpf6/Ncbp1/Zmat2/Ncbp2/Eif4a3"
"KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",3.17716287132104e-05,0.000653587790671756,0.557332238758646,0.483653927694322,2.0195962150179,65,"Myh11/Adcy6/Calm3/Gna11/Plcb3/Adra1a/Adcy9/Calcrl/Mylk/Prkaca/Ppp1r12b/Prkcq/Npr1/Prkce/Adcy7/Adcy4/Adcy3/Gna12/Mapk3/Plcb2/Arhgef12/Cacna1c/Ednra/Plcb1/Gnas/Itpr2/Cacna1d"
"KEGG_MELANOGENESIS",6.73314551859401e-05,0.00121196619334692,0.538434096309916,0.481385789598602,1.99599287507462,62,"Fzd7/Adcy6/Calm3/Plcb3/Adcy9/Gnao1/Fzd2/Fzd6/Fzd8/Prkaca/Creb3l4/Adcy7/Dvl2/Dvl3/Adcy4/Adcy3/Mapk3/Wnt7a/Plcb2/Plcb1/Gnas/Wnt4"
"KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM",8.66186348126476e-05,0.00138589815700236,0.538434096309916,0.503879885037539,1.99677108393227,51,"Pik3c3/Pik3r2/Calm3/Plcg1/Plcb3/Dgkz/Inppl1/Dgkq/Dgka/Plcd3/Pi4ka/Synj1/Plcb2/Plcb1/Plce1/Itpr2/Dgkh/Pik3ca/Itpk1/Pi4kb"
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",0.000351642894282217,0.00477325173120405,0.49849310876659,-0.409207787671647,-1.71156748686907,125,"Ccr1/Il1b/Cxcr2/Tnfrsf12a/Il1r2/Csf3r/Tnfrsf10b/Ccl12/Ccl9/Il15/Il18rap/Ifnlr1/Tnfsf9/Ccl7/Tnfsf14/Cxcl13/Ifng/Ccl5/Ccl3/Cxcl3/Bmp2/Ccr3/Il10ra/Ltb/Tnfrsf4/Il4ra/Tnf/Bmpr1b/Pdgfc/Edar/Ccl4/Il15ra/Inhba/Tnfrsf17/Tnfrsf9/Vegfa/Il18/Il13ra1/Tgfbr1/Kitl/Inhbb/Tnfsf13b/Tnfrsf1a/Lta/Il3ra/Tnfrsf8/Il20rb/Il1r1"
