"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Neurodegenerative disease","mmu05016","Huntington disease","147/2756","192/4955",0.765625,1.37651374274311,5.9565686197017,6.49668701539986e-10,1.13003352757492e-07,9.90676097642463e-08,"Ndufb7/Ndufa5/Cox7c/Uqcr11/Ndufb9/Uqcrh/Dctn6/Cox5b/Ndufa3/mt-Co3/Ndufb10/Cox4i1/Ap2s1/Ndufa13/Ndufb4/Ndufa7/Ndufa11/Map2k7/Ndufa8/Uqcr10/Cltc/Slc25a4/Cox6a1/Ndufs7/Ndufs2/Uqcrb/Ndufa10/mt-Co2/Ndufs6/Ndufc1/Ndufab1/Cox8a/Ndufa1/Ndufa4/Gpx7/Ndufs3/Slc1a3/Polr2b/Gpx1/Pik3c3/Rcor1/Vdac1/Psmb3/Cycs/Plcb1/Cox7a2/Polr2e/Psmb5/Dctn3/Klc1/Dnah12/Taf4b/Ndufb6/Dnah6/mt-Nd1/Dnali1/Gpx3/Gria1/Cox5a/mt-Nd6/Ndufs8/Bax/Psmd14/Rb1cc1/Cox7b/Mtor/Ndufc2/Sod2/Sdhb/Polr2k/mt-Co1/Creb5/mt-Nd2/mt-Cytb/Vdac2/Casp3/Uqcrfs1/Dnal4/Polr2h/Psmb1/Psmb4/Hip1/Dnah8/Kif5c/Becn1/Kif5b/Ndufb5/Slc25a5/Klc4/Creb1/Ppif/Ndufa9/Sin3a/Tubb4a/Grin1/Taf4/Polr2g/Tubb1/Dlg4/Casp9/Psmc1/Psma6/Ap2a1/Psmc3/Uqcrc1/mt-Atp8/Dnah9/Htt/Mapk9/mt-Nd4/mt-Atp6/Plcb3/Stx1a/Psmd8/Dnah3/Psmd12/Polr2c/Klc3/Bbc3/Creb3l1/Psmd6/Tubb3/Dctn5/Psmd1/Psmc6/Tuba1c/Polr2d/Psmb7/Crebbp/Ern1/Gpx2/Ap2a2/Polr2a/Wipi1/Hap1/Atg2a/Actr1a/Psma5/Psmc2/Psmd7/Polr2j/Ift57/mt-Nd5/Gnaq/Plcb2/Psmb2/Hdac1",147
"Human Diseases","Neurodegenerative disease","mmu05012","Parkinson disease","127/2756","162/4955",0.783950617283951,1.40946128760594,5.93159695598089,6.62776262507282e-10,1.13003352757492e-07,9.90676097642463e-08,"Ndufb7/Ndufa5/Cox7c/Lrrk2/Uqcr11/Ndufb9/Uqcrh/Cox5b/Uchl1/Ndufa3/mt-Co3/Ndufb10/Cox4i1/Ndufa13/Ndufb4/Ndufa7/Ndufa11/Ndufa8/Uqcr10/Slc25a4/Cox6a1/Ndufs7/Ndufs2/Uqcrb/Ndufa10/mt-Co2/Ndufs6/Ndufc1/Ndufab1/Cox8a/Ndufa1/Ndufa4/Calml3/Ndufs3/Park7/Txn1/Gnai3/Vdac1/Psmb3/Cycs/Cox7a2/Dusp1/Psmb5/Klc1/Eif2s1/Slc39a10/Ndufb6/mt-Nd1/Gnal/Hspa5/Cox5a/mt-Nd6/Ndufs8/Bax/Psmd14/Pink1/Ube2l6/Cox7b/Prkaca/Ndufc2/Sdhb/mt-Co1/Slc39a5/mt-Nd2/mt-Cytb/Snca/Vdac2/Casp3/Uqcrfs1/Camk2a/Psmb1/Psmb4/Kif5c/Ubb/Kif5b/Ndufb5/Slc25a5/Mcu/Klc4/Slc39a11/Ppif/Ndufa9/Keap1/Tubb4a/Camk2b/Plcg1/Gnai1/Calml4/Tubb1/Casp9/Psmc1/Calm1/Ube2g2/Psma6/Psmc3/Uqcrc1/mt-Atp8/Mapk9/Calm3/Maoa/mt-Nd4/mt-Atp6/Psmd8/Psmd12/Klc3/Gnas/Psmd6/Ube2l3/Tubb3/Psmd1/Psmc6/Tuba1c/Itpr2/Mapt/Calm2/Rps27a/Psmb7/Ern1/Xbp1/Psma5/Psmc2/Psmd7/Htra2/mt-Nd5/Ddit3/Psmb2/Slc39a2",127
"Metabolism","Energy metabolism","mmu00190","Oxidative phosphorylation","63/2756","72/4955",0.875,1.57315856313498,5.48406589359788,4.92652239427521e-09,5.59981378815949e-07,4.90923635078653e-07,"Ndufb7/Ndufa5/Cox7c/Uqcr11/Ndufb9/Uqcrh/Cox5b/Atp6v1f/Ndufa3/mt-Co3/Ndufb10/Atp6v0c/Cox4i1/Ndufa13/Ndufb4/Ndufa7/Ndufa11/Ndufa8/Uqcr10/Cox6a1/Ndufs7/Ndufs2/Uqcrb/Ndufa10/mt-Co2/Ndufs6/Ndufc1/Ndufab1/Cox8a/Ndufa1/Ndufa4/Ndufs3/Cycs/Cox7a2/Ndufb6/mt-Nd1/Cox5a/mt-Nd6/Ndufs8/Cox7b/Ndufc2/Atp6v1g1/Sdhb/Ppa2/mt-Co1/mt-Nd2/mt-Cytb/Uqcrfs1/Atp6v0a2/Ndufb5/Atp6v1e1/Ndufa9/Atp6v1d/Ppa1/Cox10/Uqcrc1/mt-Atp8/Atp6v1c2/mt-Nd4/mt-Atp6/Atp6v1a/mt-Nd5/Lhpp",63
"Human Diseases","Cardiovascular disease","mmu05415","Diabetic cardiomyopathy","105/2756","134/4955",0.783582089552239,1.4087987132552,5.37029751888173,2.21398942791619e-08,1.88742598729855e-06,1.65466578296894e-06,"Ndufb7/Ndufa5/Cox7c/Uqcr11/Ndufb9/Uqcrh/Cox5b/Ndufa3/mt-Co3/Ndufb10/Cox4i1/Ndufa13/Ndufb4/Ndufa7/Ndufa11/Ndufa8/Uqcr10/Col3a1/Pdk2/Slc25a4/Cox6a1/Ndufs7/Ndufs2/Uqcrb/Ndufa10/mt-Co2/Ndufs6/Ndufc1/Ndufab1/Cox8a/Ndufa1/Agt/Ndufa4/Cd36/Ndufs3/Col1a1/Cybb/Vdac1/Plcb1/Cox7a2/Ncf2/Akt3/Slc2a4/Smad2/Ndufb6/Tgfbr2/mt-Nd1/Cox5a/Mcpt4/mt-Nd6/Ndufs8/Cox7b/Mtor/Ndufc2/Cma1/Ptpa/Sdhb/Pik3r2/mt-Co1/mt-Nd2/mt-Cytb/Vdac2/Rac2/Rac1/Uqcrfs1/Camk2a/Gfpt1/Irs1/Ctsd/Cyba/Ndufb5/Slc25a5/Ppp1ca/Ace3/Ager/Ppif/Mapk13/Parp1/Ndufa9/Agtr1a/Gys1/Camk2b/Tgfbr1/Col1a2/Pdk3/Atp2a3/Ncf4/Uqcrc1/Mmp2/mt-Atp8/Mapk9/G6pdx/mt-Nd4/mt-Atp6/Plcb3/Gsr/Ryr2/Ace/Pdk4/Gapdh/mt-Nd5/Ppp1cb/Agtr1b/Plcb2/Nos3",105
"Genetic Information Processing","Translation","mmu03010","Ribosome","106/2756","138/4955",0.768115942028985,1.38099219620959,5.08127024530951,1.27930246502547e-07,8.72484281147368e-06,7.64888210667857e-06,"Rps28/Rpl38/Rpl37a/Mrpl52/Rps15/Mrpl20/Mrpl41/Rplp2/Mrps11/Mrps15/Mrpl48/Rpl36a/Rpl35a/Rpl18a/Rpl21/Rpl18/Fau/Rpl27a/Rpl28/Mrpl30/Rplp1/Rpl37/Mrpl43/Mrps24/Rps9/Mrpl13/Rpsa/Rps23/Rpl14/Mrps36/Rps24/Rpl11/Mrpl4/Mrpl51/Rpl41/Rps17/Rpl13/Rps13/Rpl35/Rpl7/Rpl8/Rps14/Rps20/Rps11/Rps8/Rps12/Rps26/Rps3a1/Mrpl42/Mrps18a/Mrpl15/Rps27l/Rps16/Mrps18b/Mrpl22/Rps19/Rpl12/Rpl19/Mrps14/Mrps26/Rps15a/Mrpl34/Rps27rt/Mrpl37/Rps5/Rpl34/Rpl6/Mrps5/Rpl9/Rps6/Mrps17/Rpl39/Rps25/Mrps33/Rpl3l/Mrpl9/Mrpl21/Rpl10a/Mrps7/Mrps25/Rpl3/Mrps30/Rps27/Rpl31/Rps3/Mrpl44/Mrpl32/Mrpl55/Rpl26/Rpl10/Rpl4/Rps4x/Rplp0/Rpl32/Mrps18c/Rpl5/Rps7/Rps27a/Mrpl10/Mrpl40/Mrps2/Dap3/Mrps34/Mrpl46/Mrpl45/Rack1",106
"Human Diseases","Neurodegenerative disease","mmu05022","Pathways of neurodegeneration - multiple diseases","209/2756","304/4955",0.6875,1.23605315674891,4.75530555208908,9.45644014386742e-07,4.6832865245585e-05,4.10573660433589e-05,"Ndufb7/Ndufa5/Ptgs2/Cox7c/Il1b/Lrrk2/Uqcr11/Ndufb9/Uqcrh/App/Dctn6/Cox5b/Uchl1/Ndufa3/mt-Co3/Ndufb10/Cox4i1/Ndufa13/Ndufb4/Ndufa7/Mapk3/Ndufa11/Map2k7/Ndufa8/Uqcr10/Slc25a4/Cox6a1/Ndufs7/Ndufs2/Uqcrb/Rab5a/Ndufa10/Ctnnb1/mt-Co2/Ndufs6/Ndufc1/Ndufab1/Cox8a/Ndufa1/Ndufa4/Gpx7/Calml3/Ndufs3/Park7/Frat2/Map1lc3a/Cybb/Gpx1/Pik3c3/Vdac1/Psmb3/Cycs/Plcb1/Cox7a2/Psmb5/Fig4/Dctn3/Klc1/Cacna1d/Rab1a/Dnah12/Eif2s1/Ndufb6/Psen2/Dnah6/mt-Nd1/Dnali1/Lrp5/Tomm40/Hras/Hspa5/Gpx3/Gria1/Cox5a/Casp7/mt-Nd6/Ndufs8/Bax/Psmd14/Pink1/Ube2l6/Rb1cc1/Cox7b/Cdk5/Csnk2b/Mtor/Ndufc2/Map2k2/Sdhb/mt-Co1/Fzd7/Araf/Braf/mt-Nd2/mt-Cytb/Snca/Vdac2/Casp3/Rac1/Uqcrfs1/Ppid/Wnt9a/Dnal4/Camk2a/Psmb1/Psmb4/Hip1/Fus/Dnah8/Kif5c/Becn1/Ubb/Kif5b/Ccs/Prph/Ndufb5/Smcr8/Cacna1c/Slc25a5/Mcu/Cat/Fzd2/Klc4/Map2k3/Ager/Ppif/Mapk13/Fzd5/Ndufa9/Tubb4a/Camk2b/Plcg1/Calml4/Grin1/Tubb1/Dlg4/Casp9/Wnt7a/Atp2a3/Psmc1/Map1lc3b/Calm1/Ube2g2/Sqstm1/Wnt4/Psma6/Chrna7/Axin2/Psmc3/Uqcrc1/Apc/mt-Atp8/Dnah9/Fzd4/Capn1/Htt/Mapk9/Calm3/Psen1/Fzd6/mt-Nd4/mt-Atp6/Plcb3/Stx1a/Psmd8/Dnah3/Psmd12/Klc3/Dkk2/Fadd/Nox4/Ppp3ca/Fzd8/Ryr2/Sigmar1/Psmd6/Chmp2b/Ube2l3/Tubb3/Dctn5/Psmd1/Psmc6/Tuba1c/Itpr2/Mapt/Calm2/Rps27a/Tbk1/Psmb7/Ern1/Gpx2/Wipi1/Xbp1/Hap1/Atg2a/Actr1a/Psma5/Psmc2/Psmd7/Ift57/Prnp/Htra2/mt-Nd5/Ddit3/Gnaq/Ppp3r1/Plcb2/Psmb2/Wnt11",209
"Human Diseases","Neurodegenerative disease","mmu05010","Alzheimer disease","171/2756","243/4955",0.703703703703704,1.26518572273289,4.74521208150975,9.61378465451891e-07,4.6832865245585e-05,4.10573660433589e-05,"Ndufb7/Ndufa5/Ptgs2/Cox7c/Il1b/Uqcr11/Ndufb9/Uqcrh/App/Cox5b/Ndufa3/mt-Co3/Ndufb10/Cox4i1/Ndufa13/Ndufb4/Ndufa7/Mapk3/Ndufa11/Map2k7/Ndufa8/Uqcr10/Slc25a4/Cox6a1/Ndufs7/Ndufs2/Uqcrb/Ndufa10/Ctnnb1/mt-Co2/Ndufs6/Ndufc1/Ndufab1/Cox8a/Mme/Ndufa1/Ndufa4/Calml3/Ndufs3/Frat2/Cybb/Pik3c3/Vdac1/Psmb3/Cycs/Plcb1/Cox7a2/Psmb5/Klc1/Akt3/Psenen/Cacna1d/Eif2s1/Slc39a10/Ndufb6/Psen2/mt-Nd1/Lrp5/Hras/Cox5a/Casp7/mt-Nd6/Ndufs8/Psmd14/Rb1cc1/Cox7b/Cdk5/Csnk2b/Mtor/Ndufc2/Map2k2/Sdhb/Pik3r2/mt-Co1/Fzd7/Araf/Adam17/Slc39a5/Braf/mt-Nd2/mt-Cytb/Snca/Vdac2/Casp3/Uqcrfs1/Ppid/Wnt9a/Lrp1/Irs1/Psmb1/Psmb4/Kif5c/Becn1/Kif5b/Ndufb5/Cacna1c/Slc25a5/Rtn4/Mcu/Fzd2/Klc4/Slc39a11/Ager/Ppif/Fzd5/Ndufa9/Tubb4a/Calml4/Grin1/Tubb1/Casp9/Wnt7a/Atp2a3/Psmc1/Calm1/Wnt4/Psma6/Chrna7/Axin2/Psmc3/Uqcrc1/Apc/mt-Atp8/Fzd4/Capn1/Mapk9/Calm3/Psen1/Fzd6/Aph1c/mt-Nd4/mt-Atp6/Plcb3/Psmd8/Psmd12/Klc3/Dkk2/Fadd/Nox4/Aph1a/Ppp3ca/Fzd8/Psmd6/Tubb3/Psmd1/Psmc6/Tuba1c/Itpr2/Mapt/Calm2/Gapdh/Psmb7/Adam10/Ern1/Rtn3/Wipi1/Xbp1/Atg2a/Psma5/Psmc2/Psmd7/mt-Nd5/Ddit3/Gnaq/Ppp3r1/Apbb1/Bace2/Plcb2/Psmb2/Slc39a2/Wnt11",171
"Organismal Systems","Environmental adaptation","mmu04714","Thermogenesis","105/2756","141/4955",0.74468085106383,1.33885835160424,4.5696159356451,2.11348950243447e-06,9.00874900412692e-05,7.8977765617288e-05,"Ndufb7/Ndufa5/Cox7c/Uqcr11/Ndufb9/Uqcrh/Adcy4/Cox5b/Ndufa3/mt-Co3/Ndufb10/Cox4i1/Ndufa13/Ndufb4/Ndufa7/Rps6ka3/Ndufa11/Ndufa8/Uqcr10/Rps6ka2/Cox6a1/Ndufs7/Ndufs2/Uqcrb/Adcy3/Ndufa10/mt-Co2/Ndufs6/Ndufc1/Ndufab1/Cox8a/Ndufa1/Ndufa4/Ndufs3/Ndufaf8/Adcy7/Cox7a2/Adcy9/Ndufb6/Actg1/Coa3/mt-Nd1/Hras/Cox5a/mt-Nd6/Ndufs8/Cox7b/Prkaca/Mtor/Ndufc2/Tsc2/Ndufaf3/Acsl4/Ndufaf2/Sdhb/mt-Co1/Creb5/Slc25a20/mt-Nd2/mt-Cytb/Uqcrfs1/Npr1/Ndufb5/Rps6/Zfp516/Kdm3a/Map2k3/Rptor/Creb1/Mapk13/Ndufa9/Slc25a29/Ndufaf5/Cpt1a/Acsl5/Cox10/Tsc1/Rps6kb2/Rps6ka1/Adcy6/Uqcrc1/Sirt6/mt-Atp8/Adcy1/Rheb/Coa5/Coa6/mt-Nd4/mt-Atp6/Gnas/Smarcc2/Creb3l1/Smarcd3/Prdm16/Prkaa1/Frs2/Sos1/Smarcc1/mt-Nd5/Arid1a/Fgfr1/Atf2/Actb/Ndufaf1/Mlst8",105
"Human Diseases","Cancer: overview","mmu05208","Chemical carcinogenesis - reactive oxygen species","99/2756","132/4955",0.75,1.34842162554427,4.5419090177558,2.39382770258928e-06,9.06994718425493e-05,7.95142769047199e-05,"Ndufb7/Ndufa5/Cox7c/Uqcr11/Ndufb9/Uqcrh/Cox5b/Ndufa3/mt-Co3/Ndufb10/Cox4i1/Gstm1/Ndufa13/Ndufb4/Ndufa7/Mapk3/Ndufa11/Map2k7/Ndufa8/Fos/Hgf/Uqcr10/Slc25a4/Cox6a1/Ndufs7/Ndufs2/Uqcrb/Ndufa10/mt-Co2/Ndufs6/Ndufc1/Ndufab1/Cox8a/Ndufa1/Ndufa4/Ndufs3/Vdac1/Cox7a2/Ncf2/Akt3/Ndufb6/Jun/mt-Nd1/Hras/Cox5a/mt-Nd6/Ndufs8/Ephx2/Gsta3/Cox7b/Ndufc2/Map2k2/Sod2/Prkd3/Sdhb/Pik3r2/mt-Co1/Gsto1/Araf/Braf/mt-Nd2/mt-Cytb/Vdac2/Rac1/Gstm2/Uqcrfs1/Cyba/Ndufb5/Slc25a5/Cat/Ptpn1/Ppif/Mapk13/Ndufa9/Prkd1/Akr1a1/Keap1/Ptprj/Gstt3/Cyp2e1/Uqcrc1/mt-Atp8/Mapk9/Prkd2/Cbr1/Mgst2/mt-Nd4/mt-Atp6/Gstm7/Nox4/Gstm4/Ahr/Sos1/Vegfa/Slc26a2/Gsta2/Pld1/mt-Nd5/Ephx1",99
"Human Diseases","Neurodegenerative disease","mmu05020","Prion disease","123/2756","170/4955",0.723529411764706,1.30083027405447,4.46796767121378,3.6754870324474e-06,0.000125334107806456,0.000109877717601585,"Hspa8/Ndufb7/Ndufa5/Cox7c/Il1b/Uqcr11/Ndufb9/Uqcrh/Hc/Cox5b/Ndufa3/mt-Co3/Ndufb10/Cox4i1/C7/Ndufa13/Ndufb4/Ndufa7/Mapk3/Ndufa11/Ndufa8/Uqcr10/Slc25a4/Cox6a1/Ndufs7/Ndufs2/Uqcrb/Ndufa10/mt-Co2/Ndufs6/Ndufc1/Ndufab1/Cox8a/Ndufa1/Ndufa4/Ndufs3/Cybb/Vdac1/Psmb3/Cycs/Cox7a2/Ncf2/Psmb5/Klc1/Cacna1d/Eif2s1/Ncam1/Ndufb6/Cav3/mt-Nd1/Hspa5/C1qa/Cox5a/mt-Nd6/Ndufs8/Bax/Psmd14/Cox7b/Csnk2b/Prkaca/Ndufc2/Sdhb/Pik3r2/mt-Co1/Creb5/mt-Nd2/mt-Cytb/Vdac2/Rac2/Casp3/Rac1/Uqcrfs1/Ccl5/Psmb1/Psmb4/Kif5c/Kif5b/Cyba/Ndufb5/Cacna1c/Slc25a5/Mcu/Klc4/Creb1/Ppif/Mapk13/Ndufa9/Tubb4a/Grin1/Tubb1/Casp9/Psmc1/Ncf4/Psma6/Psmc3/Uqcrc1/mt-Atp8/Mapk9/mt-Nd4/mt-Atp6/Psmd8/Psmd12/Klc3/Ppp3ca/Creb3l1/Ryr2/Psmd6/Tubb3/Psmd1/Psmc6/Tuba1c/Itpr2/Psmb7/Psma5/Psmc2/Psmd7/Prnp/mt-Nd5/Ddit3/Cav2/Ppp3r1/Atf2/Psmb2",123
