"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","gene_name"
963043.057548768,0.533623256864863,0.518172010913377,1.02981875830045,0.303095093360975,1,"ENSMUSG00000064351","mt-Co1"
324976.401320305,0.412367332777708,0.494251442492754,0.834327019255494,0.404096730200884,1,"ENSMUSG00000064370","mt-Cytb"
231062.111002584,0.387532807762732,0.498443388737468,0.777486102773543,0.436872030487995,1,"ENSMUSG00000064341","mt-Nd1"
308616.048172187,0.737633335006218,0.594825825042139,1.2400829015014,NA,NA,"ENSMUSG00000064367","mt-Nd5"
185634.171108427,0.481758194258303,0.495677445027939,0.971918732818575,0.331090979623216,1,"ENSMUSG00000064363","mt-Nd4"
219570.231022718,0.516722529010859,0.503780497339422,1.02568982272991,0.305037813042731,1,"ENSMUSG00000064345","mt-Nd2"
373568.482222228,-0.156820380121162,0.901968708390318,-0.173864546144876,0.861971916282913,1,"ENSMUSG00000066108","Muc5b"
129.190565901275,-1.3175200854926,2.08605401288407,-0.631584837859045,NA,NA,"ENSMUSG00000024653","Scgb1a1"
240297.998079299,-3.38097058272431,1.34072664739187,-2.5217448980382,0.0116774359227845,1,"ENSMUSG00000024768","Lipf"
236330.807068166,-3.26973408274241,1.38942928728059,-2.35329290427005,0.0186079699453279,1,"ENSMUSG00000027485","Bpifb1"
79779.5064411519,-0.0834589968665618,0.23046569385318,-0.362131974920875,0.717253410383218,1,"ENSMUSG00000037742","Eef1a1"
106412.118061858,0.726047260468684,0.494998586419275,1.46676633103292,0.142439631661685,1,"ENSMUSG00000064368","mt-Nd6"
22064.0728439806,-0.381796791951572,0.532081930520616,-0.717552636260365,0.473033170466447,1,"ENSMUSG00000021270","Hsp90aa1"
129675.114246589,0.250264249589904,0.544212154243192,0.459865233877279,0.645612956004815,1,"ENSMUSG00000031972","Acta1"
9020.12750798023,0.0157522257623445,0.273679311568933,0.0575572397929573,0.954101310875301,1,"ENSMUSG00000029580","Actb"
18522.9941781785,0.14486172991691,1.30197203169808,0.111263319326434,0.911407541694348,1,"ENSMUSG00000090877","Hspa1b"
28845.5065116418,0.0212044072412816,0.28799117882918,0.0736286692095485,0.94130585831696,1,"ENSMUSG00000015656","Hspa8"
115889.176978712,-3.34577121152627,1.41215155150293,-2.36927205721328,NA,NA,"ENSMUSG00000074264","Amy1"
65.2271266569452,22.6343377123581,4.24843842887255,5.32768406352186,9.94729544659304e-08,0.000485328544839274,"ENSMUSG00000027556","Car1"
102175.154311983,0.158969140475291,0.469860628262158,0.338332541424592,0.735112603608439,1,"ENSMUSG00000059668","Krt4"
38968.6596578877,-0.126887003522635,0.409004638036333,-0.310233654395292,0.756383279674484,1,"ENSMUSG00000034994","Eef2"
25065.9722927238,-0.206717195939966,0.225865801982057,-0.915221313390276,0.360075457802709,1,"ENSMUSG00000023944","Hsp90ab1"
94212.9158911408,0.204067106440819,0.409840275102567,0.497918625468786,0.618541398861107,1,"ENSMUSG00000044041","Krt13"
92035.6656274755,0.0425382199229601,0.629118286732582,0.0676156150918591,0.946091624801753,1,"ENSMUSG00000057003","Myh4"
16583.348732646,0.0211965022789065,0.417570747833435,0.0507614635097992,0.959515598930598,1,"ENSMUSG00000024661","Fth1"
28172.4576060675,-0.0799897815839383,0.31324645606873,-0.255357339354504,0.798447117004222,1,"ENSMUSG00000060126","Tpt1"
28178.8970860279,-0.512948601969185,0.421864185383402,-1.215909337037,0.224019460857494,1,"ENSMUSG00000026879","Gsn"
4167.79957868156,-0.108041253645806,0.724525779433248,-0.149119957788556,0.881458977924499,1,"ENSMUSG00000069516","Lyz2"
73801.8929369626,0.0810510389274652,0.547769247154758,0.147965661359164,0.882369868153764,1,"ENSMUSG00000030730","Atp2a1"
6650.90836149917,-0.723067408113635,1.06076385017669,-0.681647859693932,0.495461644365554,1,"ENSMUSG00000026417","Pigr"
72028.5061567968,-3.18666424886672,1.65023839009543,-1.93103267260825,0.0534790120573199,1,"ENSMUSG00000042459","Bpifa2"
28406.8826905108,-1.78430920518859,0.744722284210959,-2.39593905408522,0.0165778465396319,1,"ENSMUSG00000047517","Dmbt1"
9131.16894605682,-0.19850890004763,0.652000426581883,-0.304461303941646,0.760776469209817,1,"ENSMUSG00000049775","Tmsb4x"
9016.91887934581,-0.0944185649220541,1.42413696840929,-0.0662987950010989,0.947139942565749,1,"ENSMUSG00000091971","Hspa1a"
20502.2834708041,0.147965079160536,0.506907993861542,0.291897308687839,0.77036514128405,1,"ENSMUSG00000069833","Ahnak"
4755.10811518142,0.307550099578503,0.275428036520864,1.11662597411432,0.264154281069046,1,"ENSMUSG00000024140","Epas1"
5534.90134499818,0.564175827255952,0.784028718242799,0.719585665841946,0.471780140192385,1,"ENSMUSG00000069919","Hba-a1"
7418.3208360011,-0.125598054739013,0.344170730343539,-0.364929506392496,0.715164028075584,1,"ENSMUSG00000033161","Atp1a1"
9396.39671279822,0.0643434034867171,0.239600423921515,0.268544614544562,0.7882801381108,1,"ENSMUSG00000020315","Sptbn1"
5395.29033153173,0.592635499139858,0.798622239387507,0.742072371531217,0.458043488307009,1,"ENSMUSG00000052305","Hbb-bs"
65516.2022656843,-3.05048985479878,1.30655764729571,-2.33475335827135,NA,NA,"ENSMUSG00000015519","2310057J18Rik"
173.314752114986,-0.753473364253172,0.834884658108856,-0.902487974757983,0.36679770654627,1,"ENSMUSG00000069515","Lyz1"
52274.9184264651,-0.61413361546493,1.08029733590976,-0.568485726152184,0.569705195228482,1,"ENSMUSG00000027481","Bpifb2"
53219.6175875483,-1.17940456116316,0.940117185491969,-1.25452930694589,0.209649680318944,1,"ENSMUSG00000024028","Tff2"
27105.573970678,0.287796773405051,0.422231615967628,0.681608772345261,0.495486366498621,1,"ENSMUSG00000025428","Atp5a1"
