"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_G2M_CHECKPOINT",5.76531842865844e-10,2.29971947891041e-08,0.801215574617779,0.501389183622789,2.34217221926316,120,"Kpna2/Ccnb2/Tpx2/Pds5b/Mad2l1/Pbk/Knl1/Srsf10/Nusap1/Hmmr/Ccnt1/Kif15/Dr1/Smc4/Top2a/Atrx/Bub1/Mcm6/Fbxo5/Xpo1/Mcm5/Tfdp1/G3bp1/Smad3/Prpf4b/Top1/Mtf2/Cul5/Mki67/Lbr/Hus1/Pafah1b1/Troap/Racgap1/Kif5b/Kif11/Prc1"
"HALLMARK_E2F_TARGETS",9.38661011800169e-10,2.29971947891041e-08,0.788186810800237,0.497118118859379,2.32222051395662,120,"Kpna2/Ccnb2/Rad1/Pds5b/Hells/Mad2l1/E2f8/Cse1l/Timeless/Eif2s1/Hmmr/Mre11a/Cdca3/Smc4/Dek/Top2a/Donson/Tfrc/Ncapd2/Cnot9/Mcm6/Xpo1/Mcm5/Rrm2/Tbrg4/Cdca8/Mki67/Lbr/Anp32e/Hmgb2/Hus1/Cdkn1a/Racgap1/Eed/Smc6/Pole4/Orc6/Ipo7/Mms22l/Rad21/Ung/Brms1l/Asf1a/Dclre1b/Gins4/Exosc8/Asf1b/Mxd3/Cks2/Nup107/Cdk1/Spc25/Tipin/Diaph3/Kif22/Cdc20/Nolc1/Jpt1/Pola2/Ezh2/Cdkn1b/Ppm1d/Kif2c"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",4.78905265318994e-08,7.82211933354357e-07,0.719512826338911,0.463017659958579,2.15819546735428,118,"Sgk1/Rhob/Klf2/Spsb1/Plek/Mcl1/Inhba/Areg/Nfil3/Ccl5/Nfkbia/Ptgs2/Smad3/Tap1/Socs3/Rcan1/Tnfaip2/Pde4b/Icam1/Tsc22d1/Tiparp/Fosb/Cdkn1a/Mxd1/Fjx1/Tnfaip3/Per1/Klf6/Ccnl1/Nampt/Klf10/Bcl6/Nr4a2/Ackr3/Ifih1/Tnfaip6/Maff/Panx1/Tnf/Slc2a3/Nfkbie/Nfat5"
"HALLMARK_HEME_METABOLISM",1.83676307619212e-05,0.000225003476833535,0.575610261071129,0.399369541811014,1.86745623374518,121,"Car1/Ermap/Slc4a1/Gypa/Kel/Nfe2/Synj1/Tcea1/Rhd/Ucp2/Xk/Tfrc/Ctse/Fech/Mark3/Slc25a37/Xpo7/Top1/Usp15/Alas2/Bmp2k/Cpox/Isca1/Picalm/Cast/Gapvd1/Nudt4/Rnf123/Tnrc6b/Rbm5/Trak2/Klf1/Slc7a11/Gclm/Dmtn/Tspan5/Bach1/Lamp2/Epor/Alad/Adipor1/Rnf19a/Slc30a1/Bpgm/Ppp2r5b/Snca/Nnt/Car2/Map2k3/Arhgef12/Ezh1/Cdc27"
"HALLMARK_XENOBIOTIC_METABOLISM",9.88031821713349e-05,0.000968271185279082,0.538434096309916,-0.453527819850939,-1.8468641634986,97,"Fbp1/Cdo1/Pcx/Enpep/Fah/Dhrs7/Pycr1/Rbp4/Cyp17a1/Lcat/Tmbim6/Ces1d/Pts/Acox2/Comt/Ssr3/Id2/Mccc2/Akr1c18/Ephx1/Bphl/Slc6a12/Aldh2/Abcd2/Casp6/Cbr1/Asl/Acp2/Hacl1/Cyb5a/Gsta3/Cndp2/Igfbp4/Cyp2e1/Gstm4/Arg2/Spint2/Ddc"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.000306903213945625,0.00243645994407623,0.49849310876659,-0.530250832284979,-1.89087495092623,46,"Scd1/Cbs/Hmgcs1/Scd2/Fasn/Ldlr/Hmgcr/Dhcr7/Ebp/Mvd/Tm7sf2/Gusb/Anxa5/Trib3/Srebf2/Fdps/Pcyt2/Sqle"
"HALLMARK_MYC_TARGETS_V1",0.000348065706296604,0.00243645994407623,0.49849310876659,0.364737149028495,1.70009511490218,118,"Kpna2/Mad2l1/Eif2s1/Dek/Rfc4/Mcm6/Xpo1/Mcm5/Tfdp1/G3bp1/Eif4e/Lsm2/Ncbp1/Tomm70a/Fam120a/Rsl1d1/Set/Rps2/Eif4g2/Eif3j1/Sf3a1/Vdac1/Ddx18/Stard7/Nop16/Cul1/Ilf2/Etf1/Cdk2/Aimp2/Abce1/Prdx3/Slc25a3/Hdac2/Srsf7/Ube2l3/Srpk1/Pwp1/Cdc20/Nolc1/Psmd1/Kpnb1/Ldha/Psmc6/Ywhae/Dhx15/Snrpd3"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.000608800930605177,0.00372890569995671,0.477270815362862,0.344811783888136,1.64363958365284,133,"Pdk4/Atp1b1/Hccs/Hadhb/Pdp1/Mtrf1/Tomm70a/Mrps22/Supv3l1/Immt/Slc25a20/Acat1/Isca1/Mtrr/Acadvl/Vdac1/Slc25a12/Sucla2/Atp5a1/Uqcrc2/Pmpca/Idh3g/Opa1/Uqcrc1/Idh2/Ndufb5/Cs/Ogdh/Fh1/Dlat/Atp5b/Ndufs2/Mdh1/Hspa9/Pdhx/Oxa1l/Sdhb/Mdh2/Ldhb/Uqcrfs1/Prdx3/Ndufa4/Slc25a3/Nnt/Eci1/Atp5c1/Mrpl15/Maob/Echs1/Bax/Afg3l2/Ldha"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.000714561902572874,0.00389039258067454,0.477270815362862,0.345884211800838,1.64475784694631,132,"Vcam1/Il18bp/Ifi44/Ccl5/Nfkbia/Helz2/Ptgs2/Rtp4/Txnip/Tnfsf10/Dhx58/Tap1/Socs3/St3gal5/Xaf1/Tnfaip2/H2-Q7/Ifit1bl1/Pde4b/Icam1/Jak2/Selp/Il4ra/Cdkn1a/Herc6/Eif4e3/Cmpk2/Tnfaip3/Arid5b/Ddx60/Ccl7/Parp12/Ube2l6/Isg15/Myd88/Nampt/Psmb8/Sspn/Nlrc5/Ifih1/Tnfaip6/Stat1/Gbp9/Ptpn1/St8sia4/Gbp4/Stat3/Rapgef6/Peli1/Fgl2"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.00103688286467683,0.00508072603691645,0.45505986738723,-0.387103389570675,-1.65190236766713,131,"Mest/Serpinh1/Col5a3/Cadm1/Col3a1/Myl9/Thbs2/Oxtr/Nnmt/Pcolce/Lgals1/Sparc/Lox/P3h1/Ppib/Cald1/Nid2/Col8a2/Col5a1/Msx1/Gpx7/Acta2/Magee1/Matn3/Id2/Mylk/Anpep/Pmp22/Col1a1/Thy1/Plod1/Pmepa1/Cdh11/Lama1/Loxl2/Htra1/Mmp2/Foxc2/Matn2/Col4a2"
