"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",9.07119982944608e-16,4.44488791642858e-14,1.01754479730988,-0.651538586589334,-2.62474432437023,118,"Nfil3/Tubb2a/Dusp1/Dnajb4/Fos/Pde4b/Nr4a1/Tap1/Socs3/Jun/Areg/Sgk1/Ptgs2/Nr4a2/Tnfaip3/Bcl6/Klf6/Ifih1/Ppp1r15a/Btg2/Tiparp/Cdkn1a/Ier2/Spsb1/Zfp36/Ackr3/Nfkbia/Icam1/Klf9/Fosb/Tnfaip2/Cd83/Ccnl1/Rcan1/Sik1/Gem/Pnrc1/Nfat5/Mcl1/Ccl5/Litaf/Maff/Smad3/Tnfaip6"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.32311426607416e-14,3.24162995188168e-13,0.986546283587582,-0.618624851495005,-2.53669787495841,132,"Ifi44/Lgals3bp/Pde4b/H2-Q7/Ifit1bl1/Oas2/Tap1/Usp18/Socs3/Rtp4/Il18bp/Herc6/Helz2/Ptgs2/Isg15/Zbp1/Tnfaip3/Ifih1/Ddx60/Dhx58/Cdkn1a/H2-D1/Cmpk2/Selp/Ifit3/Bst2/Psmb8/Nfkbia/Ube2l6/Arid5b/Icam1/Arl4a/Tnfaip2/Vcam1/Gbp9/Sp110/Irf7/H2-Eb1/Il15/Parp12/Jak2/Ccl5/Trim25/Fgl2/Stat1/Tnfaip6/Myd88/Il10ra/Nlrc5/Gbp4/Stat3/B2m/Il4ra/Znfx1/Psmb9/Ifi27/Tdrd7/Gch1/Csf2rb2/Sspn/Oasl1/Cd274/Epsti1/St8sia4/Ifi35/Ogfr/Btg1/Il2rb"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",7.94126590015182e-12,1.29707343035813e-10,0.875325132024659,-0.702148363604883,-2.53503843065561,62,"Ifi44/Gbp2/Ifitm1/Lgals3bp/H2-Q7/Tent5a/Tap1/Usp18/Rtp4/Herc6/Helz2/Parp9/Isg15/Ifih1/Ddx60/Dhx58/Cmpk2/Oas1g/Trim12c/Ifit3/Bst2/Psmb8/Ube2l6/Sp110/Irf7/Il15/Parp12/Trim25/B2m/Il4ra/Psmb9/Ifi27"
"HALLMARK_G2M_CHECKPOINT",1.65403815896746e-07,2.02619674473514e-06,0.690132458796796,-0.510221296531378,-2.06092294466072,120,"Hspa8/Pbk/Top2a/Nusap1/Xpo1/Kpna2/Prc1/Odc1/Smc4/Tpx2/Kif11/Hmmr/Ythdc1/Nek2/Plk4/Ccnt1/Cdc20/Aurka/Bub1/Cenpf/Pds5b/Srsf10/Cdc27/Ccnb2/Smad3/G3bp1/Ccnf/Mad2l1/Knl1/Mki67/Kif20b/Cks1b/Cenpa/Sap30/Top1/Birc5/Dr1/Prpf4b/Kif15/Troap/Katna1/Stag1/Mtf2/Hmgn2/Racgap1/Cdk1"
"HALLMARK_HYPOXIA",3.65983799208661e-07,3.58664123224488e-06,0.674962860011025,-0.50047413913206,-2.02155151805419,120,"Nfil3/P4ha1/Dusp1/P4ha2/Fos/Jun/Hspa5/Wsb1/Tnfaip3/Klf6/Ppp1r15a/Tiparp/Cdkn1a/Slc2a1/Zfp36/Ackr3/Plac8/Cdkn1c/Pnrc1/Col5a1/Adora2b/Maff/Nedd4l/Bgn/Kdm3a/Pklr/Igfbp3/Eno3/Sap30/Pfkfb3/Klf7/Stc1/Ddit4/Noct/Aldoa/Vegfa/Ldha/Pygm/Eno1/Ugp2"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",2.26742626762026e-06,1.85173145188988e-05,0.627256739718528,-0.480503024044506,-1.9688134191314,131,"Thbs1/Serpinh1/Plod2/Fbn1/Jun/Areg/Col5a3/Eln/Tnfaip3/Tpm4/Colgalt1/Edil3/Matn3/Ecm2/Vcam1/Postn/Col3a1/Il15/Gem/Col4a1/Pvr/Col5a1/Glipr1/Itga2/Col1a2/Cdh11/Vegfc/Bgn/Tnfrsf12a/Rhob/Igfbp3/Scg2/Col1a1/Loxl2/Col8a2/Col4a2/Mmp14/Grem1/Rgs4/Spock1/Vegfa/Cdh2/Comp/Fap"
"HALLMARK_E2F_TARGETS",3.47494402091102e-05,0.000243246081463771,0.557332238758646,-0.447207465725051,-1.8063928993204,120,"Top2a/Xpo1/Kpna2/Cdkn1a/Ncapd2/Smc4/Spc25/Hmmr/Plk4/Rad1/Luc7l3/Cdc20/Aurka/Melk/Hells/Pds5b/Timeless/Ccnb2/Dek/Donson/Cse1l/Smc6/Mad2l1/Ipo7/Tbrg4/Mki67/Cks1b/Mlh1/Cdca8/Brms1l/Birc5/Eed/Eif2s1/Ccp110/Rbbp7/Stag1/Rfc2/Racgap1/Cdk1/Tfrc/Pola2/Kif2c/Ung/Diaph3/Tubg1/Anp32e/Nup205/Tk1/Nup107/Bub1b"
"HALLMARK_INFLAMMATORY_RESPONSE",7.04675604881221e-05,0.000428164389146237,0.538434096309916,-0.454795673716264,-1.82484001742005,115,"Ifitm1/Pde4b/Rtp4/Tlr3/Rgs1/Klf6/Btg2/Slc28a2/Cdkn1a/Cd55/Bst2/Sele/Nfkbia/Icam1/Irak2/Irf7/Il15/Calcrl/Pvr/Ccl5/Adora2b/Rnf144b/Tnfaip6/Il10ra/Cd14/Il4ra/Ahr/Acvr2a/Mxd1"
"HALLMARK_ALLOGRAFT_REJECTION",7.86424388227783e-05,0.000428164389146237,0.538434096309916,-0.471376583658147,-1.84585959439372,99,"H2-DMb1/Gbp2/H2-Q7/Tap1/Tlr3/H2-T23/Ube2n/Icam1/Irf7/Il15/Itgal/Jak2/Cxcl13/Ccl5/Il2rg/Tap2/Stat1/Fgr/B2m/Il4ra/Acvr2a/H2-Ob/Tnf/Nos2/Hdac9/Cd79a/Akt1/Ly86/St8sia4/Il2rb/Ccl7/Eif3j1/Tpd52/Ptprc/Irf8/Ifngr2/Thy1/Il1b/Mrpl3/Il18rap/Cd74/Rpl39"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.000152015675998542,0.000744876812392854,0.518848077743792,0.6402726481236,2.05600042457228,27,"Ptch1/Hdac5/Notch4/Fzd1/Jag1/Dvl2/Hdac11/Jag2/Fzd8/Axin2/Psen2/Csnk1e"
