"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG_N_GLYCAN_BIOSYNTHESIS",5.97175894382773e-06,0.000663563230654812,0.610526878385931,-0.67334737258551,-2.20636379175313,31,"Rpn1/Stt3a/Ddost/Dpagt1/Rpn2/Alg5/Dpm3/Mgat4b/Stt3b/Rft1/Alg1/Alg11/Mgat2/B4galt2/Alg8/Mgat3/Man2a1/Alg3/St6gal1/Man1a/Alg6"
"KEGG_LYSOSOME",9.089907269244e-06,0.000663563230654812,0.593325476396405,-0.515049040281971,-2.03723168476358,80,"Ap3m2/Ap1s1/Npc2/Sumf1/Ctsz/Ctsa/Hexb/Arsg/Cln3/Cd164/Gnptg/Gusb/Ap4m1/Hexa/Ctsl/M6pr/Ap3m1/Mcoln1/Ctsb/Asah1/Naga/Ap3d1/Ctsd/Neu1/Ap3s1/Sgsh/Cd68/Acp2/Ctss/Ap1m2/Ctsk/Laptm4b/Fuca1/Gba/Sort1/Ppt1/Man2b1/Acp5/Gm2a/Hyal1"
"KEGG_OOCYTE_MEIOSIS",1.43862118737725e-05,0.000700128977856928,0.593325476396405,0.477819710267987,2.02600321387057,71,"Ccnb2/Ccnb1/Mad2l1/Ppp2ca/Ppp1cb/Adcy2/Bub1/Ywhag/Ccne2/Fbxo5/Prkx/Ppp3cb/Igf1r/Ppp3cc/Rps6ka3/Ywhaz/Adcy4/Ppp2r5e/Ppp3r1/Rps6ka6/Map2k1/Ppp2r5a/Ppp3ca/Camk2b/Cul1/Ppp2r5c/Cdc25c/Cdk2"
"KEGG_MTOR_SIGNALING_PATHWAY",9.23464975516657e-05,0.0033706471606358,0.538434096309916,0.547175508760528,2.04752619335045,39,"Ulk3/Mtor/Prkaa2/Vegfc/Pik3r5/Eif4e/Prkaa1/Rps6ka3/Cab39/Vegfd/Pik3ca/Ddit4/Akt3/Rps6ka6"
"KEGG_PARKINSONS_DISEASE",0.00015667381404226,0.00457487537003399,0.518848077743792,0.43118015167938,1.87551789375611,82,"mt-Atp6/mt-Atp8/mt-Co3/mt-Nd6/mt-Nd5/mt-Co2/mt-Co1/mt-Nd2/mt-Nd4/mt-Cytb/mt-Nd1/Vdac1/Slc18a2/Ube2l6/Atp5a1/Ppid/Uqcrc2/Uqcrc1/Ndufb5/Atp5b/Ndufs2/Pink1/Sdhb/Uqcrfs1/Ndufa4/Snca/Sncaip/Ube2l3/Atp5c1/Apaf1/Ube2g2/Casp9/Ndufs8/Ndufa9/Vdac2/Uchl1/Ndufs7/Ndufab1/Lrrk2/Ndufa10"
"KEGG_WNT_SIGNALING_PATHWAY",0.000269704968253887,0.00656282089417792,0.49849310876659,0.382289867660538,1.72446875900906,100,"Rock2/Ppp2ca/Wnt9a/Mapk10/Smad4/Fzd6/Prkx/Rock1/Smad3/Ppp3cb/Frat2/Nfatc1/Ppp3cc/Mapk8/Apc/Rac1/Fzd4/Ppp2r5e/Csnk1a1/Wif1/Ppp3r1/Peg12/Tcf7/Ppp2r5a/Ppp3ca/Fzd3/Camk2b/Cul1/Wnt10a/Ppp2r5c/Nfat5/Csnk2a1/Senp2"
"KEGG_CELL_CYCLE",0.000402736501536619,0.0083999327463352,0.49849310876659,0.418691664703586,1.79288687659358,75,"Gadd45g/Ccnb2/Ccnb1/Mad2l1/Rbl2/Smad4/Bub1/Ywhag/Ccne2/Mcm6/Mcm5/Tfdp1/Smad3/Cdkn1a/Ywhaz/Cdk6/Stag2/Orc6/Cul1/Rad21/Cdc25c/Cdk2/Orc1"
"KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.000501911381847165,0.00915988271871076,0.477270815362862,0.378346593398199,1.7095048964769,101,"Fgr/Cxcr2/Ppbp/Rock2/Adcy2/Ccl5/Nfkbia/Prkx/Rock1/Pik3r5/Jak2/Ccr1/Hck/Sos1/Pik3ca/Ccl7/Rac1/Akt3/Adcy4/Nras/Ccr9/Map2k1/Stat1/Vav1/Rasgrp2/Gng3/Stat3/Ikbkg/Grk6/Crkl/Gnb1/Cdc42/Gnb4"
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",0.00112698665078893,0.018282227890576,0.45505986738723,0.366380917578661,1.6722325671532,107,"Cxcr2/Ppbp/Bmpr1b/Tnfsf11/Il18rap/Inhba/Kitl/Bmpr2/Ccl5/Tnfsf14/Csf3r/Tnfsf4/Vegfc/Tnfsf10/Il17rb/Ccr1/Vegfd/Il4ra/Ccl7/Acvr2a/Ccr9/Tnfrsf10b/Tnfsf12/Il6ra/Tnf/Il23r/Tnfrsf12a/Tnfrsf1a"
"KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION",0.00154321802505819,0.0225309831658496,0.45505986738723,0.425271998307083,1.7270492948742,57,"Ccnb2/Ccnb1/Mad2l1/Mapk10/Adcy2/Bub1/Prkx/Pik3r5/Igf1r/Rps6ka3/Mapk8/Pik3ca/Akt3/Adcy4/Rps6ka6/Map2k1"
"KEGG_RIBOSOME",0.0020430570340629,0.0253281682675312,0.431707695803346,-0.45262344439827,-1.72950003890667,65,"Rpl38/Rps26/Rpl21/Rps23/Rps17/Rpl11/Rps15/Rpl13/Rpl37/Rpl27a/Rpl28/Rps25/Rpl36a/Rps9/Rpl32/Rpl24/Rpl10/Rpl31/Rpl10a/Rpl19/Rps27l/Rpl35a/Rps24/Rpl7/Rps28/Mrpl13/Rps3/Rpl35/Rpl8/Rps11/Rpl6/Rpl15/Rps12/Rpl18a"
"KEGG_P53_SIGNALING_PATHWAY",0.00208176725486558,0.0253281682675312,0.431707695803346,0.455341461994966,1.73551861374843,42,"Gadd45g/Ccnb2/Thbs1/Ccnb1/Pmaip1/Ccne2/Rrm2/Serpinb5/Ccng2/Cdkn1a/Cdk6/Rrm2b/Mdm4/Tnfrsf10b/Ccng1"
"KEGG_PANCREATIC_CANCER",0.00253235994788018,0.0276542758224895,0.431707695803346,0.452535112056055,1.7685210182498,48,"Mapk10/Smad4/Vegfc/Smad3/Pik3r5/Vegfd/Mapk8/Pik3ca/Rac1/Cdk6/Akt3/Map2k1/Stat1/Arhgef6/Stat3/Ikbkg/Cdc42/Rala/Rb1/Braf/Tgfa/Erbb2/Casp9/Jak1/Rac2"
