"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",1.12664100161618e-07,1.64489586235962e-05,0.704975715167238,-0.717853507664639,-2.34088147113147,37,"Hsp90aa1/Hspa8/Hspa1b/Hspa1a/H2-DMb1/Hsp90ab1/H2-Q7/Tap1/H2-Q2/Hspa5/H2-T23/H2-D1/H2-Eb1/Hspa4/Nfya/Canx/Tap2"
"KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.00036057625283738,0.0263220664571287,0.49849310876659,-0.604412789689748,-1.94282776099499,34,"Isg15/Ifih1/Dhx58/Rnf125/Nfkbia/Mapk10/Irf7/Trim25/Ddx3x/Tbk1/Mapk9/Traf6/Azi2/Tnf/Atg5"
"KEGG_LEISHMANIA_INFECTION",0.000647423608237063,0.0315079489342037,0.477270815362862,-0.569306288553088,-1.87677375348872,39,"H2-DMb1/Fos/Jun/Ptgs2/Nfkbia/H2-Eb1/Jak2/Jak1/Stat1/Myd88/Traf6/H2-Ob/Tnf/Nos2/Irak1"
"KEGG_TYPE_I_DIABETES_MELLITUS",0.00103782095422005,0.0378804648290317,0.45505986738723,-0.710158351634537,-1.93021571731557,17,"Hspd1/H2-DMb1/H2-Q7/H2-Q2/H2-T23/H2-D1/H2-Eb1/Cpe/H2-Ob/Tnf"
"KEGG_PEROXISOME",0.00134993820740628,0.0394181956562634,0.45505986738723,0.506298117629122,1.82049926631206,44,"Far2/Cat/Paox/Pxmp4/Idh2/Hsd17b4/Eci2/Hacl1/Mlycd/Pex14/Acsl5/Acox1/Pex2"
"KEGG_CELL_ADHESION_MOLECULES_CAMS",0.00167998011531981,0.0408795161394486,0.45505986738723,-0.471603907918632,-1.76200463357647,75,"H2-DMb1/H2-Q7/H2-Q2/H2-T23/H2-D1/Selp/Sele/Icam1/Negr1/Vcam1/H2-Eb1/Ncam2/Itgal/Cd6/Pvr/Cntn2/Spn/H2-Ob/Cntn1"
"KEGG_PPAR_SIGNALING_PATHWAY",0.00197297290695643,0.0411505777736627,0.431707695803346,0.543720473249857,1.83414200096478,34,"Adipoq/Cpt1a/Slc27a4/Scd1/Fabp3/Dbi/Ucp1/Plin1/Angptl4/Slc27a1/Acsl5/Hmgcs2/Sorbs1"
"KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.00353107344632768,0.0585928236560317,0.326351610990907,-0.571619659463454,-1.78411823868488,30,"Hsp90aa1/Hsp90ab1/Tnfaip3/Nfkbia/Mapk10/Hsp90b1/Ccl5/Mapk9/Traf6/Tnf"
"KEGG_SPLICEOSOME",0.00361188638975538,0.0585928236560317,0.310776919977249,-0.437323668257036,-1.62126397040791,71,"Hspa8/Hspa1b/Hspa1a/Sf3b1/Hnrnpc/Prpf38b/Sf3a1/Rbm25/Dhx15/Srsf10/Tra2a/Snrnp27/Ncbp2/Ddx5/Prpf40a/Eftud2"
"KEGG_TRYPTOPHAN_METABOLISM",0.00487480611566585,0.0596496603850672,0.310776919977249,0.61227758040846,1.79298915819022,19,"Tph2/Cat/Inmt/Ddc/Aldh2/Aldh7a1/Maob/Acat1/Hadh/Maoa/Echs1"
"KEGG_BASAL_CELL_CARCINOMA",0.00534386617100372,0.0596496603850672,0.303779434551183,0.529623665366357,1.74928735052725,31,"Ptch1/Fzd1/Sufu/Wnt9a/Dvl2/Fzd8/Axin2/Fzd7/Fzd2"
"KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION",0.00535206556280314,0.0596496603850672,0.256635016972443,-0.454591811633963,-1.61215173124523,57,"Hsp90aa1/Hsp90ab1/Ccnb1/Adcy4/Rps6ka3/Mapk10/Bub1/Rps6ka2/Cdc27/Ccnb2/Mad2l1/Mapk9/Adcy7/Prkx/Adcy2/Akt3/Akt1/Cdk1/Anapc10/Akt2"
"KEGG_PROSTATE_CANCER",0.00568656966047834,0.0596496603850672,0.248832632022043,-0.452302148896792,-1.59593562931369,55,"Hsp90aa1/Hsp90ab1/Klk1b9/Cdkn1a/Klk1b11/Nfkbia/Hsp90b1/Klk1b1/Tgfa/Mdm2/Ar/Creb1/Creb5/Akt3/Akt1/Pdgfa/Akt2/Crebbp/Pdgfc/Pik3ca"
"KEGG_PATHWAYS_IN_CANCER",0.00608128151883714,0.0596496603850672,0.22623238004642,-0.335376561794395,-1.44772152058749,201,"Hsp90aa1/Hsp90ab1/Fos/Jun/Ptgs2/Klk1b9/Cdkn1a/Slc2a1/Klk1b11/Nfkbia/Mapk10/Hsp90b1/Col4a1/Klk1b1/Itga2/Kitl/Cul2/Traf5/Jak1/Stat1/Smad3/Smad4/Vegfc/Mapk9/Tgfa/Stat3/Ret/Mdm2/Traf6/Egln3/Cks1b/Mlh1/Ar/Birc5/Nos2/Rassf1/Col4a2/Lama4/Crk/Rac1/Rxrg/Vegfa/Akt3/Fgf14/Akt1/Fgf16/Fgf11/Lamc2/Rhoa/Pdgfa/Ppard/Akt2/Crebbp"
