"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG_RIBOSOME",3.44698315665901e-22,5.03259540872216e-20,1.22105375677186,0.774603917749837,3.13005178916032,65,"Rps27a/Rpl9/Rps13/Rps27/Rpl11/Rplp1/Rpl37a/Rpl35a/Rps9/Fau/Rplp2/Rpl39/Rps23/Rps16/Rpl36a/Rpl34/Rpl26/Rps27l/Mrpl13/Rps19/Rpl31/Rpl14/Rps8/Rps17/Rps3/Rps6/Rps15a/Rpl8/Rpl13/Rps4x/Rpl18a/Rps12/Rps26/Rpl15/Rpl7/Rpl10/Rpl37/Rps5/Rpl12/Rpl27a/Rpl5/Rps11/Rpl18/Rps3a1/Rpl38/Rpl6/Rps20/Rpl35/Rpl10a/Rps25/Rplp0/Rpl3/Rpl32/Rpl28/Rps15"
"KEGG_HUNTINGTONS_DISEASE",1.97981012353655e-08,1.39282845974864e-06,0.73376198835648,0.490269924897469,2.20061732463298,115,"Cox7c/Ndufb2/Ndufc1/Ndufb9/Ndufs6/Casp9/Uqcrh/Atp5g3/Ndufa8/Ndufa1/Polr2k/Atp5g1/Polr2e/Apaf1/Polr2h/Uqcr10/Ndufab1/Ndufa3/Ndufa4/Gpx1/Atp5j/Slc25a5/Uqcr11/Ndufa7/Polr2g/Cox5a/Uqcrb/Cox7a2/Polr2j/Ndufb5/Polr2d/Ndufs3/Sin3a/Ndufb4/Sdhb/Cox8a/Ppid/Creb5/Cox4i1/Cox7b/Ap2s1/Ucp1/Cox6a1/Ndufc2/Cycs/Ndufs8/Ndufb6/Ndufb10/Tfam/Atp5o/Casp3/Plcb2/Polr2c/Taf4/Uqcrfs1/Sdha/Vdac2/Ndufs2/Ndufa9/Ndufs7"
"KEGG_OXIDATIVE_PHOSPHORYLATION",2.86197628715474e-08,1.39282845974864e-06,0.73376198835648,0.550222343763093,2.30192536497014,77,"Cox7c/Ndufb2/Ndufc1/Ndufb9/Ndufs6/Uqcrh/Atp5l/Atp5g3/Ndufa8/Ndufa1/Atp5g1/Atp5j2/Ppa2/Uqcr10/Atp6v1g1/Ndufab1/Ndufa3/Ndufa4/Atp5j/Atp6v1d/Uqcr11/Ndufa7/Cox5a/Uqcrb/Cox7a2/Ndufb5/Ndufs3/Ndufb4/Sdhb/Cox8a/Cox4i1/Ndufa11/Cox7b/Ppa1/Cox6a1/Ndufc2/Ndufs8/Ndufb6/Ndufb10/Atp5o/Atp6v1f/Uqcrfs1/Sdha/Ndufs2/Ndufa9/Ndufs7/Atp6v1e1/mt-Nd6"
"KEGG_PARKINSONS_DISEASE",5.8165559713072e-08,2.12304292952713e-06,0.719512826338911,0.535161091419649,2.26226234686785,82,"Cox7c/Ndufb2/Ndufc1/Ndufb9/Ndufs6/Casp9/Uqcrh/Atp5g3/Ndufa8/Ndufa1/Atp5g1/Apaf1/Uqcr10/Ndufab1/Ndufa3/Ndufa4/Atp5j/Slc25a5/Uqcr11/Ndufa7/Cox5a/Uqcrb/Cox7a2/Ndufb5/Ndufs3/Ndufb4/Sdhb/Cox8a/Ppid/Cox4i1/Cox7b/Cox6a1/Ndufc2/Cycs/Ndufs8/Ndufb6/Ndufb10/Atp5o/Casp3/Uqcrfs1/Park7/Sdha/Vdac2/Ndufs2/Ndufa9/Ndufs7/Slc18a2/mt-Nd6/Atp5c1/Ndufa5/Snca"
"KEGG_ALZHEIMERS_DISEASE",3.07234823900648e-06,8.97125685789893e-05,0.627256739718528,0.447748813430947,1.99556436964848,111,"Cox7c/Ndufb2/Ndufc1/Ndufb9/Ndufs6/Casp9/Uqcrh/Atp5g3/Ndufa8/Ndufa1/Atp5g1/Apaf1/Cdk5/Uqcr10/Ndufab1/Ndufa3/Ndufa4/Psen2/Atp5j/Psenen/Uqcr11/Ndufa7/Cox5a/Casp7/Uqcrb/Cox7a2/Calm2/Ndufb5/Ndufs3/Ndufb4/Sdhb/Cox8a/Gapdh/Cox4i1/Cox7b/Tnf/Cox6a1/Ndufc2/Cycs/Ndufs8/Ndufb6/Cdk5r1/Ndufb10/Atp5o/Casp3/Plcb2"
"KEGG_CELL_CYCLE",0.000535539615003623,0.0130314639650882,0.477270815362862,0.429746228621036,1.78871258056065,75,"Cdk2/Chek2/Ccnb2/Pcna/Ccnb1/Cdkn2c/Espl1/Tfdp1/Rad21/Rbx1/Cdc20/Mad2l1/Cdk1/Cdk7/Bub3/Cdkn1b/Pttg1/Anapc10/Bub1/Ywhae"
"KEGG_RNA_POLYMERASE",0.00103850986107693,0.0216603485310331,0.45505986738723,0.662491151803032,1.91854062209151,16,"Polr2k/Polr2e/Polr2h/Polr1e/Polr2g/Polr2j/Polr2d/Polr3k"
"KEGG_MAPK_SIGNALING_PATHWAY",0.00121286886451738,0.0221348567774422,0.45505986738723,-0.327590271513764,-1.57489305282984,152,"Hspa8/Mapk10/Nr4a1/Srf/Mapk8ip2/Ngf/Flnc/Dusp3/Dusp6/Traf6/Fgf16/Dusp4/Ddit3/Fgfr1/Hspa1a/Pla2g6/Ppp3cc/Map3k11/Mras/Rps6ka3/Jun/Rela/Akt1/Cacng4/Stk3/Pdgfa/Fgfr4/Fgf1/Mapk8ip3/Mapt/Ppp3ca/Cacna1a/Mapk8ip1/Map2k5/Hspb1/Map3k3/Gna12/Prkacb/Pla2g2d/Akt3/Chp1/Map3k14/Ppp5c/Fgf22/Cd14/Map4k4/Rps6ka2/Tnfrsf1a"
"KEGG_PROTEASOME",0.00239114549170012,0.0387896935320242,0.431707695803346,0.573048682416707,1.84716872492009,24,"Psme2/Psma6/Psmb4/Psmb1/Psmb5/Psma5/Psmc2/Psmd14/Psmd6/Psmc1/Psmd8/Psmb3/Psmb7/Psmc6/Psmb8"
"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",0.00459430223372454,0.0670768126123783,0.407017918923954,-0.466163687836088,-1.76325040188623,42,"Mapk10/Socs3/Slc2a4/Slc2a1/Stat3/Nfkbia/Prkcq/Jak2/Rela/Akt1/Stk11/Ppara/Prkaa2/Acsl4/Adipor2/Akt3/Rxrb/Tnfrsf1a"
