"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","mmu04612","Antigen processing and presentation","11/68","55/4955",0.2,14.5735294117647,11.9395341211163,1.04827393515792e-10,1.77158295041689e-08,1.53379028407317e-08,"H2-K1/Hsp90aa1/Hspa8/Hsp90ab1/H2-DMb1/Hspa1b/Hspa1a/Hspa5/Psme2/H2-T23/H2-Q2",11
"Genetic Information Processing","Folding, sorting and degradation","mmu04141","Protein processing in endoplasmic reticulum","9/68","103/4955",0.087378640776699,6.36707595659623,6.49242955107135,9.07396054494392e-06,0.000766749666047761,0.000663831850393265,"Hsph1/Hsp90aa1/Dnaja1/Hspa8/Dnajb1/Hsp90ab1/Hspa1b/Hspa1a/Hspa5",9
"Human Diseases","Endocrine and metabolic disease","mmu04940","Type I diabetes mellitus","5/68","38/4955",0.131578947368421,9.58784829721362,6.26812063505478,0.000148275291063316,0.00835284139656679,0.00723167209045646,"H2-K1/Hspd1/H2-DMb1/H2-T23/H2-Q2",5
"Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis","8/68","131/4955",0.0610687022900763,4.44993264481365,4.72012937408201,0.00037517182775028,0.0158510097224493,0.0137233905413918,"Hsp90aa1/Hspa8/Hspd1/Hsp90ab1/Hspa1b/Hspa1a/Hspa5/Fos",8
"Human Diseases","Immune disease","mmu05332","Graft-versus-host disease","4/68","31/4955",0.129032258064516,9.4022770398482,5.53515911524159,0.00077227165587836,0.0207834037902575,0.0179937286007212,"H2-K1/H2-DMb1/H2-T23/H2-Q2",4
"Cellular Processes","Transport and catabolism","mmu04145","Phagosome","7/68","115/4955",0.0608695652173913,4.43542199488491,4.39660671793783,0.000909215223867631,0.0207834037902575,0.0179937286007212,"H2-K1/Atp6v0c/Tubb2a/H2-DMb1/H2-T23/Thbs1/H2-Q2",7
"Human Diseases","Immune disease","mmu05320","Autoimmune thyroid disease","4/68","33/4955",0.121212121212121,8.83244206773619,5.3246938748784,0.000983829765219288,0.0207834037902575,0.0179937286007212,"H2-K1/H2-DMb1/H2-T23/H2-Q2",4
"Human Diseases","Immune disease","mmu05330","Allograft rejection","4/68","33/4955",0.121212121212121,8.83244206773619,5.3246938748784,0.000983829765219288,0.0207834037902575,0.0179937286007212,"H2-K1/H2-DMb1/H2-T23/H2-Q2",4
"Organismal Systems","Endocrine system","mmu04915","Estrogen signaling pathway","6/68","91/4955",0.0659340659340659,4.80446024563672,4.32044271656909,0.00142577248058695,0.0267728388021327,0.0231792251229925,"Hsp90aa1/Hspa8/Hsp90ab1/Hspa1b/Hspa1a/Fos",6
"Human Diseases","Infectious disease: bacterial","mmu05134","Legionellosis","4/68","40/4955",0.1,7.28676470588235,4.70876187981716,0.00204443737603752,0.0314482565747061,0.0272270798124208,"Hspa8/Hspd1/Hspa1b/Hspa1a",4
"Organismal Systems","Environmental adaptation","mmu04710","Circadian rhythm","3/68","19/4955",0.157894736842105,11.5054179566563,5.41145247084508,0.00204692794273235,0.0314482565747061,0.0272270798124208,"Cry2/Nfil3/Nr1d2",3
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis","5/68","74/4955",0.0675675675675676,4.92348966613672,4.01093161139725,0.00325162335942107,0.0457936956451801,0.0396469865753972,"Hspa8/H2-DMb1/Hspa1b/Hspa1a/Irgm2",5
"Cellular Processes","Cell growth and death","mmu04218","Cellular senescence","6/68","110/4955",0.0545454545454545,3.97459893048128,3.72125265321282,0.00373758086693978,0.0485885512702171,0.0420666996360023,"H2-K1/Ccnb1/Hipk4/H2-T23/H2-Q2/Ccnb2",6
"Cellular Processes","Cell growth and death","mmu04115","p53 signaling pathway","4/68","49/4955",0.0816326530612245,5.9483793517407,4.10590164732905,0.00432120898613091,0.0521631656182945,0.0451615074490373,"Ccnb1/Pmaip1/Thbs1/Ccnb2",4
"Human Diseases","Infectious disease: viral","mmu05162","Measles","5/68","82/4955",0.0609756097560976,4.44314921090387,3.70830846047403,0.00506257769576719,0.0570383753723103,0.0493823368218694,"Hspa8/Hspa1b/Hspa1a/Fos/Oas1g",5
"Human Diseases","Cardiovascular disease","mmu05416","Viral myocarditis","4/68","61/4955",0.0655737704918033,4.77820636451302,3.50211092926777,0.00941294911222278,0.0973195221784627,0.0842567024777722,"H2-K1/H2-DMb1/H2-T23/H2-Q2",4
"Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis","5/68","96/4955",0.0520833333333333,3.79518995098039,3.26200619324679,0.0097895377339282,0.0973195221784627,0.0842567024777722,"Hsp90aa1/Hsp90ab1/Dusp1/Fos/Sumo2",5
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway","7/68","179/4955",0.0391061452513966,2.84957279000986,2.97287789678917,0.0107837879177091,0.0988855223990729,0.0856125045996333,"Hspa8/Hspa1b/Hspa1a/Dusp1/Fos/Nr4a1/Ngf",7
"Human Diseases","Infectious disease: viral","mmu05170","Human immunodeficiency virus 1 infection","6/68","138/4955",0.0434782608695652,3.16815856777494,3.04686736471579,0.0111173072519668,0.0988855223990729,0.0856125045996333,"H2-K1/Ccnb1/Fos/H2-T23/H2-Q2/Ccnb2",6
"Organismal Systems","Endocrine system","mmu04914","Progesterone-mediated oocyte maturation","4/68","65/4955",0.0615384615384615,4.4841628959276,3.33512401979494,0.0117234945146248,0.0990635286485798,0.0857666177648869,"Hsp90aa1/Hsp90ab1/Ccnb1/Ccnb2",4
"Organismal Systems","Immune system","mmu04659","Th17 cell differentiation","4/68","68/4955",0.0588235294117647,4.2863321799308,3.21851868143636,0.0136769529949256,0.110066907435353,0.0952930559546194,"Hsp90aa1/Hsp90ab1/H2-DMb1/Fos",4
"Organismal Systems","Aging","mmu04213","Longevity regulating pathway - multiple species","3/68","38/4955",0.0789473684210526,5.75270897832817,3.46891936006074,0.0148033393702683,0.113716561526152,0.0984528312185309,"Hspa8/Hspa1b/Hspa1a",3
"Human Diseases","Infectious disease: viral","mmu05166","Human T-cell leukemia virus 1 infection","6/68","157/4955",0.0382165605095541,2.78475084301236,2.6804554167101,0.0199589894241043,0.146655183159723,0.126970230203684,"H2-K1/H2-DMb1/Fos/H2-T23/H2-Q2/Ccnb2",6
"Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis","3/68","44/4955",0.0681818181818182,4.9682486631016,3.11854157145543,0.0219272968830875,0.154404715551741,0.133679573103034,"Atp6v0c/H2-DMb1/Fos",3
"Organismal Systems","Immune system","mmu04621","NOD-like receptor signaling pathway","5/68","119/4955",0.0420168067226891,3.06166584280771,2.68509649868274,0.0229942769077149,0.155441311896153,0.134577031165153,"Hsp90aa1/Hsp90ab1/Irgm2/Gbp2/Oas1g",5
"Human Diseases","Infectious disease: viral","mmu05168","Herpes simplex virus 1 infection","5/68","121/4955",0.0413223140495868,3.01105979581915,2.641652176552,0.0245114953243519,0.159324719608288,0.137939184213964,"H2-K1/H2-DMb1/Oas1g/H2-T23/H2-Q2",5
"Cellular Processes","Transport and catabolism","mmu04144","Endocytosis","6/68","167/4955",0.0359281437125748,2.61799929552659,2.50882738097102,0.0261491338100077,0.1636742079219,0.141704857683862,"H2-K1/Hspa8/Hspa1b/Hspa1a/H2-T23/H2-Q2",6
"Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection","5/68","133/4955",0.037593984962406,2.73938522777532,2.3983871176919,0.034974637913677,0.209366909154985,0.181264405932999,"H2-K1/H2-DMb1/Oas1g/H2-T23/H2-Q2",5
"Metabolism","Amino acid metabolism","mmu00350","Tyrosine metabolism","2/68","22/4955",0.0909090909090909,6.62433155080214,3.11844425316916,0.0359268660680153,0.209366909154985,0.181264405932999,"Aox3/Aox4",2
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway","3/68","54/4955",0.0555555555555556,4.04820261437909,2.6564989454893,0.0372901317287194,0.210067742071786,0.181871168782175,"Hsp90aa1/Hsp90ab1/Fos",3
"Human Diseases","Substance dependence","mmu05033","Nicotine addiction","2/68","28/4955",0.0714285714285714,5.20483193277311,2.63176837716691,0.0557920501404408,0.304156660443048,0.263330898795289,"Gabrg2/Slc17a7",2
"Metabolism","Amino acid metabolism","mmu00330","Arginine and proline metabolism","2/68","29/4955",0.0689655172413793,5.02535496957404,2.56429075806651,0.0594063421553572,0.30423247952289,0.263396540975906,"P4ha1/P4ha2",2
"Metabolism","Metabolism of cofactors and vitamins","mmu00760","Nicotinate and nicotinamide metabolism","2/68","29/4955",0.0689655172413793,5.02535496957404,2.56429075806651,0.0594063421553572,0.30423247952289,0.263396540975906,"Aox3/Aox4",2
"Metabolism","Amino acid metabolism","mmu00380","Tryptophan metabolism","2/68","31/4955",0.0645161290322581,4.7011385199241,2.43819508904217,0.0668689330924632,0.328884361972464,0.284739497441124,"Aox3/Aox4",2
"Human Diseases","Infectious disease: viral","mmu05165","Human papillomavirus infection","6/68","211/4955",0.028436018957346,2.0720657931419,1.87716139653654,0.0681121459706286,0.328884361972464,0.284739497441124,"H2-K1/Atp6v0c/Notch4/H2-T23/Thbs1/H2-Q2",6
"Environmental Information Processing","Signaling molecules and interaction","mmu04514","Cell adhesion molecule (CAM) interaction","4/68","117/4955",0.0341880341880342,2.49120160884867,1.92534096096656,0.0759309585585734,0.356453666566636,0.308608281860869,"H2-K1/H2-DMb1/H2-T23/H2-Q2",4
"Metabolism","Amino acid metabolism","mmu00280","Valine, leucine and isoleucine degradation","2/68","35/4955",0.0571428571428571,4.16386554621849,2.21554603291907,0.0826545179285967,0.365660922940123,0.316579684140001,"Aox3/Aox4",2
"Human Diseases","Neurodegenerative disease","mmu05020","Prion disease","5/68","170/4955",0.0294117647058824,2.1431660899654,1.78897433849016,0.0827624177618794,0.365660922940123,0.316579684140001,"Hspa8/Tubb2a/Hspa1b/Hspa1a/Hspa5",5
"Human Diseases","Infectious disease: viral","mmu05171","Coronavirus disease - COVID-19","5/68","171/4955",0.0292397660818713,2.13063295493636,1.77474269602112,0.0843832899092592,0.365660922940123,0.316579684140001,"Rpsa/Rpl21/Fos/Oas1g/C1s2",5
"Human Diseases","Cancer: overview","mmu05203","Viral carcinogenesis","4/68","124/4955",0.032258064516129,2.35056925996205,1.79647208179544,0.0896034020154863,0.374835224533243,0.324522555030338,"H2-K1/Pmaip1/H2-T23/H2-Q2",4
"Human Diseases","Immune disease","mmu05322","Systemic lupus erythematosus","2/68","37/4955",0.0540540540540541,3.93879173290938,2.11634612463396,0.0909363562477099,0.374835224533243,0.324522555030338,"H2-DMb1/C1s2",2
"Human Diseases","Infectious disease: viral","mmu05167","Kaposi sarcoma-associated herpesvirus infection","4/68","130/4955",0.0307692307692308,2.2420814479638,1.69271709557395,0.102208882555019,0.411269075042815,0.356066031958588,"H2-K1/Fos/H2-T23/H2-Q2",4
"Metabolism","Xenobiotics biodegradation and metabolism","mmu00982","Drug metabolism - cytochrome P450","2/68","41/4955",0.0487804878048781,3.5545193687231,1.93729090756681,0.108181781046129,0.425179558065018,0.368109365126362,"Aox3/Aox4",2
"Cellular Processes","Cell growth and death","mmu04210","Apoptosis","3/68","87/4955",0.0344827586206897,2.51267748478702,1.67896627343963,0.116411901507673,0.438637058666434,0.37976051793606,"Pmaip1/Fos/Ngf",3
"Organismal Systems","Nervous system","mmu04721","Synaptic vesicle cycle","2/68","43/4955",0.0465116279069767,3.38919288645691,1.85595546032813,0.117109317403174,0.438637058666434,0.37976051793606,"Atp6v0c/Slc17a7",2
"Human Diseases","Infectious disease: viral","mmu05160","Hepatitis C","3/68","88/4955",0.0340909090909091,2.4841243315508,1.6568845036022,0.119392335495006,0.438637058666434,0.37976051793606,"Ifit1bl1/Ifit1/Oas1g",3
"Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis","2/68","48/4955",0.0416666666666667,3.03615196078431,1.671991497157,0.14018280392926,0.487905493899841,0.422415843363923,"H2-DMb1/Fos",2
"Metabolism","Glycan biosynthesis and metabolism","mmu00541","Biosynthesis of various nucleotide sugars","1/68","11/4955",0.0909090909090909,6.62433155080214,2.20261865758863,0.141148041626772,0.487905493899841,0.422415843363923,"Cmah",1
"Metabolism","Energy metabolism","mmu00910","Nitrogen metabolism","1/68","12/4955",0.0833333333333333,6.07230392156863,2.07497024537757,0.152960730374624,0.487905493899841,0.422415843363923,"Car8",1
"Metabolism","Metabolism of cofactors and vitamins","mmu00830","Retinol metabolism","2/68","51/4955",0.0392156862745098,2.85755478662053,1.57276116507756,0.154466994002758,0.487905493899841,0.422415843363923,"Aox3/Aox4",2
"Cellular Processes","Cell motility","mmu04820","Cytoskeleton in muscle cells","4/68","154/4955",0.025974025974026,1.89266615737204,1.32737876476752,0.159986199601236,0.487905493899841,0.422415843363923,"Fbn1/Col5a3/Tpm4/Thbs1",4
"Environmental Information Processing","Signal transduction","mmu04151","PI3K-Akt signaling pathway","5/68","210/4955",0.0238095238095238,1.73494397759104,1.28368084999194,0.160039942164812,0.487905493899841,0.422415843363923,"Hsp90aa1/Hsp90ab1/Nr4a1/Thbs1/Ngf",5
"Human Diseases","Infectious disease: viral","mmu05164","Influenza A","3/68","101/4955",0.0297029702970297,2.16438555620268,1.39450121946861,0.160545520190273,0.487905493899841,0.422415843363923,"Dnajb1/H2-DMb1/Oas1g",3
"Organismal Systems","Immune system","mmu04662","B cell receptor signaling pathway","2/68","53/4955",0.0377358490566038,2.74972253052164,1.51053834187343,0.164143084080101,0.487905493899841,0.422415843363923,"Fos/Ifitm1",2
"Human Diseases","Substance dependence","mmu05031","Amphetamine addiction","2/68","53/4955",0.0377358490566038,2.74972253052164,1.51053834187343,0.164143084080101,0.487905493899841,0.422415843363923,"Arc/Fos",2
"Metabolism","Metabolism of cofactors and vitamins","mmu00770","Pantothenate and CoA biosynthesis","1/68","13/4955",0.0769230769230769,5.6052036199095,1.96101281142202,0.164613303778331,0.487905493899841,0.422415843363923,"Pank1",1
"Organismal Systems","Immune system","mmu04658","Th1 and Th2 cell differentiation","2/68","55/4955",0.0363636363636364,2.64973262032086,1.45113612779055,0.173926116461092,0.487905493899841,0.422415843363923,"H2-DMb1/Fos",2
"Human Diseases","Infectious disease: bacterial","mmu05133","Pertussis","2/68","55/4955",0.0363636363636364,2.64973262032086,1.45113612779055,0.173926116461092,0.487905493899841,0.422415843363923,"Fos/C1s2",2
"Metabolism","Glycan biosynthesis and metabolism","mmu00603","Glycosphingolipid biosynthesis - globo and isoglobo series","1/68","14/4955",0.0714285714285714,5.20483193277311,1.85830296820201,0.176107900165031,0.487905493899841,0.422415843363923,"B3galt5",1
"Organismal Systems","Excretory system","mmu04966","Collecting duct acid secretion","1/68","14/4955",0.0714285714285714,5.20483193277311,1.85830296820201,0.176107900165031,0.487905493899841,0.422415843363923,"Atp6v0c",1
"Human Diseases","Immune disease","mmu05310","Asthma","1/68","14/4955",0.0714285714285714,5.20483193277311,1.85830296820201,0.176107900165031,0.487905493899841,0.422415843363923,"H2-DMb1",1
"Human Diseases","Drug resistance: antineoplastic","mmu01522","Endocrine resistance","2/68","58/4955",0.0344827586206897,2.51267748478702,1.36680505237576,0.188773449087098,0.514559885414831,0.44549251991692,"Notch4/Fos",2
"Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis","3/68","112/4955",0.0267857142857143,1.95181197478992,1.2017502721499,0.198273750402216,0.524875298306828,0.454423335189344,"Atp6v0c/Hspd1/H2-DMb1",3
"Human Diseases","Cancer: specific types","mmu05210","Colorectal cancer","2/68","60/4955",0.0333333333333333,2.42892156862745,1.31346636748714,0.198769343737497,0.524875298306828,0.454423335189344,"Pmaip1/Fos",2
"Human Diseases","Infectious disease: bacterial","mmu05132","Salmonella infection","4/68","171/4955",0.0233918128654971,1.70450636394909,1.10585625357914,0.206811760785981,0.536868933822603,0.464807111811534,"Hsp90aa1/Tubb2a/Hsp90ab1/Fos",4
"Metabolism","Carbohydrate metabolism","mmu00640","Propanoate metabolism","1/68","17/4955",0.0588235294117647,4.2863321799308,1.60092750194775,0.20966479072362,0.536868933822603,0.464807111811534,"Mlycd",1
"Human Diseases","Cancer: specific types","mmu05215","Prostate cancer","2/68","63/4955",0.0317460317460317,2.31325863678805,1.23733872192701,0.2138814357402,0.539491979702891,0.46707807647899,"Hsp90aa1/Hsp90ab1",2
"Environmental Information Processing","Signal transduction","mmu04350","TGF-beta signaling pathway","2/68","64/4955",0.03125,2.27711397058824,1.21291983813844,0.218944986485757,0.544142687001367,0.471104537484834,"Fbn1/Thbs1",2
"Genetic Information Processing","Translation","mmu03013","Nucleocytoplasmic transport","2/68","66/4955",0.0303030303030303,2.20811051693405,1.16541311761899,0.229103738345366,0.558385945550863,0.483435979019433,"Rnps1/Sumo2",2
"Metabolism","Global and overview maps","mmu01250","Biosynthesis of nucleotide sugars","1/68","19/4955",0.0526315789473684,3.83513931888545,1.46041040305795,0.231284119458937,0.558385945550863,0.483435979019433,"Cmah",1
"Genetic Information Processing","Transcription","mmu03040","Spliceosome","3/68","124/4955",0.0241935483870968,1.76292694497154,1.0148142695987,0.24160621448135,0.559955359577697,0.48479473672563,"Hspa8/Hspa1b/Hspa1a",3
"Metabolism","Metabolism of other amino acids","mmu00410","beta-Alanine metabolism","1/68","20/4955",0.05,3.64338235294118,1.39714890155146,0.241874208574982,0.559955359577697,0.48479473672563,"Mlycd",1
"Metabolism","Glycan biosynthesis and metabolism","mmu00601","Glycosphingolipid biosynthesis - lacto and neolacto series","1/68","20/4955",0.05,3.64338235294118,1.39714890155146,0.241874208574982,0.559955359577697,0.48479473672563,"B3galt5",1
"Organismal Systems","Immune system","mmu04650","Natural killer cell mediated cytotoxicity","2/68","71/4955",0.028169014084507,2.05260977630489,1.05370740956261,0.254629871185094,0.581519570679471,0.503464467919318,"H2-K1/H2-T23",2
"Human Diseases","Cancer: overview","mmu05207","Chemical carcinogenesis - receptor activation","3/68","130/4955",0.0230769230769231,1.68156108597285,0.928836111186983,0.263864807576052,0.594575366404704,0.514767835130825,"Hsp90aa1/Hsp90ab1/Fos",3
"Cellular Processes","Cell growth and death","mmu04215","Apoptosis - multiple species","1/68","23/4955",0.0434782608695652,3.16815856777494,1.22929103121888,0.272789485800901,0.596946241204246,0.516820476657678,"Pmaip1",1
"Human Diseases","Infectious disease: bacterial","mmu05150","Staphylococcus aureus infection","2/68","75/4955",0.0266666666666667,1.94313725490196,0.970748904101468,0.275111186094943,0.596946241204246,0.516820476657678,"H2-DMb1/C1s2",2
"Environmental Information Processing","Signaling molecules and interaction","mmu04080","Neuroactive ligand-receptor interaction","4/68","194/4955",0.0206185567010309,1.50242571255306,0.842044259174548,0.275513649786575,0.596946241204246,0.516820476657678,"Gabrg2/Chrna2/Sctr/Sstr3",4
"Human Diseases","Cancer: specific types","mmu05219","Bladder cancer","1/68","24/4955",0.0416666666666667,3.03615196078431,1.179395847677,0.28281590813779,0.605011246522615,0.523802947783516,"Thbs1",1
"Environmental Information Processing","Signal transduction","mmu04068","FoxO signaling pathway","2/68","78/4955",0.0256410256410256,1.8684012066365,0.911806386438364,0.290465295641685,0.607975161373285,0.526369027909602,"Ccnb1/Ccnb2",2
"Genetic Information Processing","Folding, sorting and degradation","mmu03060","Protein export","1/68","25/4955",0.04,2.91470588235294,1.13203512957363,0.292706096384927,0.607975161373285,0.526369027909602,"Hspa5",1
"Organismal Systems","Endocrine system","mmu04935","Growth hormone synthesis, secretion and action","2/68","79/4955",0.0253164556962025,1.84475055845123,0.892732761266424,0.295577123912346,0.607975161373285,0.526369027909602,"Fos/Sstr3",2
"Organismal Systems","Immune system","mmu04672","Intestinal immune network for IgA production","1/68","26/4955",0.0384615384615385,2.80260180995475,1.08697199675839,0.302461874365824,0.607975161373285,0.526369027909602,"H2-DMb1",1
"Cellular Processes","Cell growth and death","mmu04114","Oocyte meiosis","2/68","81/4955",0.0246913580246914,1.79920116194626,0.855395855296336,0.305786323767629,0.607975161373285,0.526369027909602,"Ccnb1/Ccnb2",2
"Cellular Processes","Cell growth and death","mmu04217","Necroptosis","2/68","81/4955",0.0246913580246914,1.79920116194626,0.855395855296336,0.305786323767629,0.607975161373285,0.526369027909602,"Hsp90aa1/Hsp90ab1",2
"Genetic Information Processing","Folding, sorting and degradation","mmu03050","Proteasome","1/68","27/4955",0.037037037037037,2.69880174291939,1.044000047335,0.312085041852764,0.613283396199035,0.530964759088545,"Psme2",1
"Environmental Information Processing","Signal transduction","mmu04630","JAK-STAT signaling pathway","2/68","83/4955",0.0240963855421687,1.75584691708009,0.8190879566157,0.315970842503155,0.61378244118429,0.531396819212808,"Aox3/Aox4",2
"Human Diseases","Cancer: specific types","mmu05224","Breast cancer","2/68","90/4955",0.0222222222222222,1.61928104575163,0.699324765221526,0.351336238407332,0.674725276032263,0.584159535150947,"Notch4/Fos",2
"Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection","3/68","155/4955",0.0193548387096774,1.41034155597723,0.612212255589612,0.358398922727661,0.680555257763762,0.589206981184446,"H2-K1/H2-T23/H2-Q2",3
"Human Diseases","Neurodegenerative disease","mmu05012","Parkinson disease","3/68","162/4955",0.0185185185185185,1.34940087145969,0.533321466431562,0.384837086327143,0.722638528769858,0.625641578941204,"Tubb2a/Dusp1/Hspa5",3
"Organismal Systems","Nervous system","mmu04723","Retrograde endocannabinoid signaling","2/68","101/4955",0.0198019801980198,1.44292370413512,0.530458010456862,0.405609920084074,0.745861629062618,0.645747533103107,"Gabrg2/Slc17a7",2
"Human Diseases","Immune disease","mmu05321","Inflammatory bowel disease","1/68","38/4955",0.0263157894736842,1.91756965944272,0.669718085066689,0.409679169523516,0.745861629062618,0.645747533103107,"H2-DMb1",1
"Cellular Processes","Cell growth and death","mmu04110","Cell cycle","2/68","102/4955",0.0196078431372549,1.42877739331027,0.516105049188066,0.410444565105464,0.745861629062618,0.645747533103107,"Ccnb1/Ccnb2",2
