"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_CELLULAR_RESPONSE_TO_GLUCOSE_STARVATION",0.00275292498279422,1,0.297232921999731,0.610754640239318,1.71302997051386,20,"Prkaa1/Ifi205/Asns/Prkaa2/Pmaip1/Slc2a1/Upp1/Plin2/Tbl2/Pick1"
"GOBP_POSITIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS",0.00360548964875552,1,0.260820567718869,0.62447770871954,1.70792628437754,18,"Prkaa1/Prkaa2/Pmaip1/Sirt7/Ppargc1a/Pdgfb/Mlst8"
"GOBP_REGULATION_OF_ORGAN_GROWTH",0.00374113684367635,1,0.431707695803346,-0.438193939908996,-1.84540065540492,29,"Arx/Dusp6/Akap6/Rgs2/Foxc1/Col14a1"
"GOBP_ORGANOPHOSPHATE_ESTER_TRANSPORT",0.00385015608740895,1,0.238352921646911,0.460886558672578,1.57153598871423,63,"Slc17a9/Vmp1/Ano3/Lrrc8d/Atp8a2/Pitpna/Calhm2/Abcc5/Dbi/Calhm6/Slc35a1/Vdac2/Lrrc8e/Tnfaip8l3/Mttp/C2cd2l/Scp2/Pla2g10/Xkr9/Etnppl/Apoa4/Osbpl2/Slc35c2/Slc35c1/Serinc5/Ldlr/Abcd1/Pitpnm2/Prelid1/Slc25a5/Apoa1/Kcnn4/Abcd2/Slc35a2"
"GOBP_OXIDATIVE_PHOSPHORYLATION",0.00435066347618012,1,0.229089382980959,0.521039638274439,1.63400274453267,36,"Ndufa3/mt-Co2/mt-Nd6/Ndufa7/Ndufb9/mt-Nd5/mt-Atp6/Uqcc3/Uqcc2/Rhoa/Ndufa1/Cox7c"
"GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS",0.00608329433785681,1,0.200513180400413,0.612249357184935,1.65282088004846,17,"Ndufa3/mt-Nd6/Ndufa7/Ndufb9/mt-Nd5/mt-Atp6/Ndufa1"
"GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT",0.00645746006570749,1,0.191387828756382,0.572099799239259,1.65018821533343,23,"Ndufa3/mt-Co2/mt-Nd6/Ndufa7/Ndufb9/mt-Nd5/Uqcc3/Ndufa1/Cox7c"
"GOBP_NEGATIVE_REGULATION_OF_AXONOGENESIS",0.00883926494533612,1,0.165406383146814,0.59187257383828,1.61875229771345,18,"Ptprs/Plxna3/Rtn4/Sema4f/Thy1/Mt3/Epha7/Spg20/Ephb2/Syngap1"
"GOBP_PHOSPHATIDIC_ACID_METABOLIC_PROCESS",0.0105287786616752,1,0.151812881287453,0.596015612376998,1.60899646101876,17,"Dgkh/Gpat4/Agpat5/Gpat3/Gpam/Pla2g10/Lpcat4/Abhd5"
"GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY",0.0108053915561992,1,0.146151534304949,0.527475571956684,1.58113535160008,28,"Fastkd3/Pet100/mt-Nd6/Acad9/mt-Nd5/Uqcc3/Uqcc2/Ndufaf8/Rab5if/Sdhaf1"
"GOBP_BONE_RESORPTION",0.0111765263995627,1,0.380730400722792,-0.488577422572126,-1.83065742390514,19,"Ctsk/Pdk4/Arap1/Tnfaip3/Ihh/Gpr137/Ltbp3/Tmem119/S1pr1"
"GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR",0.0112954465231204,1,0.146922135732098,0.602731727654297,1.60599448904977,16,"Ifi205/Ubb/Pmaip1/Hic1/Msx1/Rpl37"
"GOBP_MACROMOLECULE_DEACYLATION",0.0119326158165653,1,0.142470368773132,0.591521718841468,1.59686480096706,17,"Prkaa1/Hdac9/Hdac10/Prkaa2/Sirt6/Sirt7/Ppt2"
"GOBP_RESPONSE_TO_PROSTAGLANDIN",0.0119795301232845,1,0.141766537975907,0.580522717366173,1.58771080828643,18,"Prkaa1/Adcy6/Akr1c18/Prkaa2/Ppp1r9b/Ptgdr"
"GOBP_VISUAL_BEHAVIOR",0.0132194665418811,1,0.13525091239264,0.586420424375918,1.58309340879002,17,"Dbh/Hoxa1/B4galt2/Gnat1/Ift20/Atp1a2/Syngap1"
"GOBP_INTERLEUKIN_1_PRODUCTION",0.0139008620689655,1,0.126448470699906,0.479620923389449,1.53505894914379,41,"Ifi205/Ffar4/Usp50/Ager/Gas6/Sirpa/Ghrl/S100a13/Arg2/Aim2/Casp8/Gsdmd/Hk1"
"GOBP_ACID_SECRETION",0.0173799952707496,1,0.11831785640414,0.599029556773246,1.57633817835259,15,"Tff2/Abat/Trpc4/Ghrl/Slc26a6/Agxt"
