"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG_PARKINSONS_DISEASE",0.00789530607830413,0.440331987438313,0.168819300017839,0.497981340342649,1.56530088131326,38,"Ndufa3/mt-Co2/mt-Nd6/Ndufa7/Ndufb9/Ubb/mt-Nd5/mt-Atp6/Apaf1/Ndufa1/Cox7c/Vdac2/mt-Atp8/Ndufb10/Ube2l6/Ndufab1/Slc25a5/Sdhb/Snca/mt-Co1/Slc18a2/Ndufs8"
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",0.0137423043095866,0.440331987438313,0.128489714653408,0.510410120544955,1.5543094406471,31,"Dgkh/Gpat4/Mboat2/Gpat3/Gpam/Gpd1l/Chat/Mboat1/Pla2g2c/Gpd2/Pla2g10/Lpcat4"
"KEGG_GLYCEROLIPID_METABOLISM",0.0146738507394245,0.440331987438313,0.126949802769892,0.561386827708445,1.56944629770812,20,"Dgkh/Gpat4/Mboat2/Gpat3/Aldh7a1/Gpam/Mboat1/Lipc"
"KEGG_OXIDATIVE_PHOSPHORYLATION",0.0169358456707044,0.440331987438313,0.116711254186642,0.523936934284596,1.54437625859021,26,"Ndufa3/mt-Co2/mt-Nd6/Ndufa7/Ndufb9/mt-Nd5/mt-Atp6/Ndufa1/Cox7c"
"KEGG_ARACHIDONIC_ACID_METABOLISM",0.0543095866314864,0.997289091303405,0.0633201262592919,0.459098636303017,1.39805485015091,31,"Alox15/Cyp2j9/Akr1c18/Gpx3/Cbr1/Pla2g2c/Lta4h/Alox5/Pla2g10/Ggt5/Ephx2/Cyp4f18/Pla2g12b/Alox12"
"KEGG_ALZHEIMERS_DISEASE",0.0674976233231224,0.997289091303405,0.055241759405866,0.410020293018171,1.34378560784461,49,"Ndufa3/Ryr3/mt-Co2/Tnfrsf1a/Ndufa7/Ndufb9/mt-Atp6/Apaf1/Ndufa1/Cox7c/Casp8/mt-Atp8/Cdk5r1/Ndufb10/Ndufab1/Atp2a3/Chp2/Adam17/Sdhb/Mme/Snca/mt-Co1/Ndufs8/Ppp3ca/Uqcrh"
"KEGG_TIGHT_JUNCTION",0.149766156462585,0.997289091303405,0.0356313584168532,0.383662543620606,1.24606055889812,46,"Myh4/Prkch/Myl7/Rab13/Cldn5/Prkci/Rhoa/Ctnna3"
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",0.154553611484971,0.997289091303405,0.0360950011612582,0.429453398474099,1.26587302664564,26,"Klrc1/H2-Oa/Rfxank/H2-DMa/H2-Eb1/B2m/Cd74/H2-D1/Gm8909/Psme2/H2-T23/Nfya"
"KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM",0.164444942309847,0.997289091303405,0.034787681875169,0.428564380446107,1.25622610266622,25,"Prkaa1/Itga7/Prkaa2"
"KEGG_P53_SIGNALING_PATHWAY",0.167717528373266,0.997289091303405,0.0348573052682053,0.448889572552179,1.25494230172369,20,"Pmaip1/Apaf1/Ccne2/Casp8/Steap3/Adgrb1"
"KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION",0.16832021895313,0.997289091303405,0.0346769792883295,0.44433749898679,1.25686431400434,21,"Dync1i1/Adcy6/Vamp2/Dync1li2/Dync1li1/Creb3l3/Dync2h1/Rab5a/Creb5/Adcy9/Creb3/Adcy3/Creb3l4/Rab5c/Creb3l1"
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",0.179211892402076,0.997289091303405,0.0340961551503935,0.47681019365062,1.25111727038593,15,"Abat/Aldh7a1/Ivd/Mcee/Bcat1/Acadsb"
"KEGG_PANCREATIC_CANCER",0.180382377389859,0.997289091303405,0.0969823177419894,-0.312780080663445,-1.21692569618922,22,"Tgfa/Vegfc/Map2k1/Cdkn2a/Rad51"
