"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_AEROBIC_RESPIRATION",6.88398061217284e-08,0.000173820510457364,0.704975715167238,0.52680711292085,1.90732766623676,98,"mt-Atp6/mt-Nd6/mt-Nd4/mt-Nd2/mt-Cytb/mt-Co1/mt-Nd1/Snca/Cycs/Cs/mt-Co2/mt-Co3/Idh3b/Ndufab1/Cox7b/Atp5j/Ndufa4/Cox7c/Cox7a2/Ndufc1/Cox8a/Ndufa5/Atp5l/Sdhb/Ndufa3/Ndufa7/Uqcr10/Uqcrb/Atp5j2/Fxn/Rhoa/Atp5c1/Cox6a1/Chchd2/Me3/Ndufb4/Cat/Mrps36/Uqcc2/Ndufa1/Actn3/Mdh2/Etfrf1/Sdhaf4/Ndufs6/Cox5b/Ndufb9/mt-Atp8/Ndufs2/Ndufb6/Mdh1/Uqcrfs1/Ndufa13/Uqcrh/Uqcr11/Ndufs7/Sucla2/Atp5a1/Dlat/Atp5d/Cox5a/Ndufa8/Ndufb10/Ndufa10/Cox4i1/Ppif/Shmt2/Ndufb5/Ndufs8/Atp5o/Ndufc2/Coa6/Ndufb7/Ndufa11/Uqcc3/Ndufs3"
"GOBP_OXIDATIVE_PHOSPHORYLATION",3.8507211985806e-07,0.000390677778307176,0.674962860011025,0.539350332420429,1.92191077278899,81,"mt-Atp6/mt-Nd6/mt-Nd4/mt-Nd2/mt-Cytb/mt-Co1/mt-Nd1/Snca/Cycs/mt-Co2/mt-Co3/Ndufab1/Cox7b/Atp5j/Ndufa4/Cox7c/Cox7a2/Ndufc1/Cox8a/Ndufa5/Atp5l/Sdhb/Ndufa3/Ndufa7/Uqcr10/Uqcrb/Atp5j2/Fxn/Rhoa/Atp5c1/Cox6a1/Chchd2/Ndufb4/Uqcc2/Ndufa1/Actn3/Etfrf1/Ndufs6/Cox5b/Ndufb9/mt-Atp8/Ndufs2/Ndufb6/Uqcrfs1/Ndufa13/Uqcrh/Uqcr11/Ndufs7/Atp5a1/Atp5d/Cox5a/Ndufa8/Ndufb10/Ndufa10/Cox4i1/Ppif/Shmt2/Ndufb5/Ndufs8/Atp5o/Ndufc2/Coa6/Ndufb7/Ndufa11/Uqcc3/Ndufs3"
"GOBP_MUSCLE_CONTRACTION",4.64171617790704e-07,0.000390677778307176,0.674962860011025,0.459314508536336,1.71785013947001,155,"Ghrl/Adgrd1/Rnf207/Abcc9/Kcnma1/Cacna1g/Tmod1/Eef2/Atp1b1/Fgf13/Cryab/Nppa/Kcnj5/Scn4b/Adra1a/Chrnb2/Chrnb1/Comp/Tnni3k/Atp2a2/Fkbp1a/Ctnna3/Cav3/Trdn/Lmod2/Ttn/Myl1/Ryr2/Ank2/Dsp/Tpm1/Adra1b/Smpx/Hrc/Mtor/Adora1/Myl4/Mybpc3/Kcnj3/Pln/Ckmt2/Chrna1/Dapk3/Ppp1r12b/Atp2a1/Mylpf/Rhoa/Csrp3/Tmod4/Myh7/Des/Myl6b/Actn3/Atp2b1/Acta1/Tnnt3/Ndufs6/Dsg2/Ormdl3/Smtn/Slc8a3/Ryr1/Arhgap42/Slmap"
"GOBP_MUSCLE_SYSTEM_PROCESS",1.10377126088063e-06,0.000653182380505192,0.643551836150722,0.429877059677438,1.62434319216801,189,"Ghrl/Adgrd1/Rnf207/Igfbp5/Abcc9/Myoc/Kcnma1/Cacna1g/Tmod1/Eef2/Atp1b1/Fgf13/Cryab/Nppa/Kcnj5/Scn4b/Adra1a/Chrnb2/Chrnb1/Comp/Tnni3k/Atp2a2/Fkbp1a/Ctnna3/Trim72/Cav3/Trdn/Lmod2/Ttn/Myl1/Ryr2/Ank2/Akap6/Dsp/Tpm1/Adra1b/Smpx/Hrc/Mtor/Adora1/Becn1/Myl4/Mybpc3/Kcnj3/Pln/Ckmt2/Chrna1/Pdgfb/Dapk3/Ppp1r12b/Atp2a1/Mylpf/Rhoa/Csrp3/Asb2/Tmod4/Dag1/Myh7/Des/Myl6b/Hdac4/Actn3/Atp2b1/Acta1/Tnnt3/Ndufs6/Dsg2/Ormdl3/Smtn/Slc8a3/Ryr1/Arhgap42/Slmap"
"GOBP_REGULATION_OF_BLOOD_CIRCULATION",1.29343045644593e-06,0.000653182380505192,0.643551836150722,0.487461649799733,1.7819142827641,111,"Ghrl/Rnf207/Abcc9/Glp1r/Npff/Shox2/Cacna1g/Atp1b2/Atp1b1/Fgf13/Nppa/Kcnj5/Scn4b/Adra1a/Popdc2/Bves/Tnni3k/Atp2a2/Fkbp1a/Ctnna3/Cav3/Celf2/Trdn/Ryr2/Ank2/Dsp/Tpm1/Adra1b/Ywhae/Hrc/Adora1/Slc4a3/Myl4/Mybpc3/Kcnj3/Pln/Tbx18/Atp2a1/Rhoa/Csrp3/Myh7/Des/App/Atp2b1/Dsg2/Kcnmb4/Slc8a3/Hopx/Arhgap42"
"GOBP_REGULATION_OF_SYSTEM_PROCESS",3.49101843418929e-06,0.0012496532592823,0.627256739718528,0.412566740780779,1.57230349079565,223,"Inhba/Adipoq/Ghrl/Tenm4/Adgrd1/Rnf207/Igfbp5/Mapk8ip2/Abcc9/Cst7/Glp1r/Npff/Shox2/Cacna1g/Atp1b2/Atp1b1/Fgf13/Nppa/Kcnj5/Scn4b/Fig4/Adra1a/Popdc2/Bves/Tnni3k/Hamp/Atp2a2/Fkbp1a/Ctnna3/Cav3/Celf2/Trdn/Ryr2/Ank2/Akap6/Dsp/Tpm1/Adra1b/Tmem108/Ywhae/Rnf10/Hrc/Adora1/Becn1/Slc4a3/Myl4/Mybpc3/Kcnj3/Pln/Stk39/Pdgfb/Dapk3/Slc9a3r1/Tbx18/Ppp1r12b/Nrd1/Atp2a1/Fto/Kdm5b/Rhoa/Csrp3/Nlgn3/Dag1/Myh7/Des/App/Hdac4/Actn3/Atp2b1/Tnnt3/Dsg2/Ormdl3/Eif2ak3/Kcnmb4/Slc8a3/Hopx/Arhgap42"
"GOBP_STRIATED_MUSCLE_CONTRACTION",4.19487185078785e-06,0.0012496532592823,0.610526878385931,0.491479901904538,1.76813631106185,91,"Adgrd1/Rnf207/Abcc9/Cacna1g/Eef2/Atp1b1/Fgf13/Nppa/Kcnj5/Scn4b/Adra1a/Chrnb1/Tnni3k/Atp2a2/Fkbp1a/Ctnna3/Cav3/Trdn/Ttn/Ryr2/Ank2/Dsp/Tpm1/Adra1b/Smpx/Hrc/Mtor/Adora1/Myl4/Mybpc3/Kcnj3/Pln/Chrna1/Atp2a1/Csrp3/Myh7/Actn3/Tnnt3/Dsg2/Slc8a3/Ryr1"
"GOBP_REGULATION_OF_HEART_CONTRACTION",4.26206977711488e-06,0.0012496532592823,0.610526878385931,0.504440101886552,1.82115892278424,95,"Rnf207/Abcc9/Glp1r/Npff/Shox2/Cacna1g/Atp1b2/Atp1b1/Fgf13/Nppa/Kcnj5/Scn4b/Adra1a/Popdc2/Bves/Tnni3k/Atp2a2/Fkbp1a/Ctnna3/Cav3/Celf2/Trdn/Ryr2/Ank2/Dsp/Tpm1/Adra1b/Ywhae/Hrc/Adora1/Slc4a3/Myl4/Mybpc3/Kcnj3/Pln/Tbx18/Atp2a1/Csrp3/Myh7/Des/Atp2b1/Dsg2/Slc8a3/Hopx"
"GOBP_CARDIAC_MUSCLE_CONTRACTION",4.49792537355352e-06,0.0012496532592823,0.610526878385931,0.523080969042473,1.8298764654082,67,"Rnf207/Abcc9/Cacna1g/Atp1b1/Fgf13/Nppa/Kcnj5/Scn4b/Adra1a/Tnni3k/Atp2a2/Fkbp1a/Ctnna3/Cav3/Trdn/Ttn/Ryr2/Ank2/Dsp/Tpm1/Adra1b/Hrc/Mtor/Adora1/Myl4/Mybpc3/Kcnj3/Pln/Atp2a1/Csrp3/Myh7"
"GOBP_HEART_PROCESS",4.94912181893982e-06,0.0012496532592823,0.610526878385931,0.477567045076754,1.75053560371214,116,"Rnf207/Abcc9/Glp1r/Npff/Shox2/Cacna1g/Atp1b2/Atp1b1/Fgf13/Nppa/Kcnj5/Scn4b/Adra1a/Popdc2/Bves/Tnni3k/Nox4/Atp2a2/Fkbp1a/Ctnna3/Cav3/Celf2/Trdn/Ext2/Ttn/Ryr2/Ank2/Dsp/Tpm1/Adra1b/Ywhae/Hrc/Mtor/Adora1/Slc4a3/Myl4/Mybpc3/Kcnj3/Pln/Tbx18/Atp2a1/Gpx1/Csrp3/Rac1/Myh7/Des/Myl7/Atp2b1/Dsg2/Slc8a3/Hopx"
