"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG_OXIDATIVE_PHOSPHORYLATION",4.67397304327874e-07,5.42180873020334e-05,0.674962860011025,0.553138450215717,1.94851481644233,73,"mt-Atp6/mt-Nd6/mt-Nd4/mt-Nd2/Ppa1/mt-Cytb/mt-Co1/mt-Nd1/Atp6v0a4/Lhpp/mt-Co2/mt-Co3/Ndufab1/Cox7b/Atp5j/Ndufa4/Atp5g1/Cox7c/Cox7a2/Ndufc1/Cox8a/Ndufa5/Atp5l/Sdhb/Ndufa3/Ndufa7/Ppa2/Uqcr10/Uqcrb/Atp5j2/Atp5c1/Cox6a1/Ndufb4/Ndufa1/Ndufs6/Cox5b/Ndufb9/mt-Atp8/Ndufs2/Ndufb6/Uqcrfs1/Atp6v1f/Uqcrh/Uqcr11/Ndufs7/Atp5a1/Atp5d/Cox5a/Ndufa8/Ndufb10/Ndufa10/Cox4i1/Atp5g2/Atp5g3/Ndufb5/Ndufs8/Atp5o"
"KEGG_PARKINSONS_DISEASE",1.05931900105525e-06,6.14405020612047e-05,0.643551836150722,0.540493355942605,1.90702280733535,74,"mt-Atp6/mt-Nd6/mt-Nd4/mt-Nd2/mt-Cytb/mt-Co1/mt-Nd1/Ube2l6/Snca/Cycs/mt-Co2/mt-Co3/Ndufab1/Casp9/Cox7b/Atp5j/Ndufa4/Atp5g1/Cox7c/Cox7a2/Ndufc1/Cox8a/Ndufa5/Sdhb/Ndufa3/Ndufa7/Uqcr10/Uqcrb/Atp5c1/Cox6a1/Ndufb4/Ndufa1/Ndufs6/Cox5b/Ndufb9/mt-Atp8/Slc25a5/Ndufs2/Ndufb6/Uqcrfs1/Uqcrh/Uqcr11/Ndufs7/Atp5a1/Atp5d/Cox5a/Ndufa8/Ndufb10/Ndufa10/Cox4i1/Atp5g2/Vdac2/Slc25a4/Atp5g3/Ndufb5/Ndufs8/Atp5o/Casp3/Ndufc2/Ndufb7/Ndufs3/Vdac1"
"KEGG_ALZHEIMERS_DISEASE",3.9144679389061e-05,0.00151359426971036,0.557332238758646,0.480180944272004,1.72505378585664,90,"mt-Atp6/Gapdh/mt-Cytb/mt-Co1/Casp7/Snca/Cycs/mt-Co2/Atp2a2/mt-Co3/Ndufab1/Casp9/Cox7b/Atp5j/Ndufa4/Atp5g1/Cox7c/Cox7a2/Ndufc1/Cox8a/Psen1/Ndufa5/Sdhb/Ndufa3/Ndufa7/Atp2a1/Uqcr10/Uqcrb/Atp5c1/Cox6a1/Ndufb4/App/Ndufa1/Ndufs6/Cox5b/Eif2ak3/Ndufb9/mt-Atp8/Calml3/Ndufs2/Ndufb6/Uqcrfs1/Uqcrh/Uqcr11/Ndufs7/Atp5a1/Atp5d/Cox5a/Ndufa8/Ndufb10/Ndufa10/Cox4i1/Atp5g2/Atp5g3/Ndufb5/Ndufs8/Chp2/Atp5o/Ppp3ca/Casp3/Ndufc2/Lpl/Ndufb7/Calm1/Ndufs3"
"KEGG_HUNTINGTONS_DISEASE",7.07519093808161e-05,0.00205180537204367,0.538434096309916,0.471247266001401,1.69295947702127,90,"mt-Atp6/mt-Cytb/mt-Co1/Cycs/mt-Co2/Polr2b/mt-Co3/Ndufab1/Casp9/Cox7b/Atp5j/Ndufa4/Atp5g1/Cox7c/Cox7a2/Ndufc1/Cox8a/Polr2h/Ndufa5/Sdhb/Ndufa3/Ndufa7/Dnah3/Uqcr10/Gpx1/Uqcrb/Atp5c1/Polr2k/Cox6a1/Ndufb4/Ndufa1/Ndufs6/Cox5b/Ndufb9/mt-Atp8/Slc25a5/Ndufs2/Ndufb6/Rcor1/Polr2g/Uqcrfs1/Polr2j/Polr2c/Uqcrh/Uqcr11/Ndufs7/Atp5a1/Atp5d/Cox5a/Ndufa8/Ndufb10/Ndufa10/Cox4i1/Atp5g2/Vdac2/Slc25a4/Atp5g3/Ndufb5/Ndufs8/Hdac1/Atp5o/Casp3/Ndufc2/Ndufb7/Ndufs3/Ap2s1/Vdac1"
"KEGG_CARDIAC_MUSCLE_CONTRACTION",0.000172366495468781,0.00399890269487571,0.518848077743792,0.566175504053427,1.81872436880046,35,"mt-Cytb/Atp1b2/mt-Co1/Atp1b1/mt-Co2/Cacng4/Atp2a2/mt-Co3/Ryr2/Cox7b/Cox7c/Cox7a2/Tpm1/Cox8a/Uqcr10/Uqcrb/Cox6a1/Myh7/Cox5b/Uqcrfs1/Tnnt2/Uqcrh/Uqcr11/Cox5a/Cox4i1/Atp1a1/Atp1a2"
"KEGG_RIBOSOME",0.00264469535143932,0.0511307767944936,0.285313392143872,0.478884794269977,1.619678066617,50,"Rps27/Rps27l/Rpl37/Rps13/Rplp2/Rps11/Rpl36a/Rpl31/Rplp1/Rps8/Rps3a1/Rps24/Rps23/Rpl27a/Rpl37a/Rps17/Rps19/Rps9/Rps27a/Mrpl13/Rps16/Rpl35a/Rps28/Rpl7/Rpl38/Rpl13/Rpl18/Rps6/Rpl14/Fau/Rps26/Rpl11/Rpl12/Rpl28/Rpl18a/Rps25/Rpl10a/Rps15/Rpl35/Rpl32/Rpl19"
"KEGG_PYRIMIDINE_METABOLISM",0.0239150603030615,0.396306713593591,0.0937158165018434,0.450955664886909,1.46663638406135,38,"Prim2/Ctps2/Upp2/Nudt2/Polr2b/Rrm2/Polr2h/Tk1/Polr2k/Prim1/Pola2/Txnrd2/Nt5m/Cmpk2/Polr2g/Polr2j/Polr2c/Rrm2b/Uprt/Polr1b/Pold4/Cad/Pnp2/Polr3f"
"KEGG_DILATED_CARDIOMYOPATHY",0.0325896987766012,0.447164790943879,0.0798002089527527,0.436292243391769,1.43053257021036,40,"Actb/Itga7/Cacng4/Atp2a2/Ttn/Ryr2/Itgb7/Adcy3/Tpm1/Itga10/Mybpc3/Pln/Adcy9/Dag1/Myh7/Des"
"KEGG_ECM_RECEPTOR_INTERACTION",0.0406237176856791,0.447164790943879,0.0710949907592617,0.427920067323938,1.40831916531048,41,"Col2a1/Col5a3/Thbs3/Sdc3/Comp/Itga7/Sv2b/Itgb7/Itga10/Vwf"
"KEGG_TRYPTOPHAN_METABOLISM",0.040733864802883,0.447164790943879,0.0733446513857948,0.529123312332826,1.48742133580049,17,"Tdo2/Ido1/Aoc1/Kynu/Maoa/Aldh3a2/Aldh1b1/Cat/Acat3/Ddc/Hadh"
"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",0.0424035577619195,0.447164790943879,0.069818186147199,0.442349366838227,1.42095793129937,35,"Cdh2/Actb/Itga7/Cacng4/Atp2a2/Ctnna3/Ryr2/Itgb7/Dsp/Itga10/Actn2/Dag1/Des/Actn3/Dsg2"
