"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035456","response to interferon-beta","6/32","41/9187",0.146341463414634,42.0137195121951,15.5601766188399,4.48863136127163e-09,4.48863136127163e-06,3.92164634721627e-06,"Ifi203/Ifit1/Irgm2/Gbp2/Oas1g/Ifitm1",6
"GO:0051607","defense response to virus","8/32","174/9187",0.0459770114942529,13.1997126436782,9.60502667371669,1.00615004920023e-07,4.30488611242641e-05,3.76111102454097e-05,"Ifit1bl1/Ifi203/Pmaip1/Ifit1/Irgm2/Gbp2/Oas1g/Ifitm1",8
"GO:0035458","cellular response to interferon-beta","5/32","36/9187",0.138888888888889,39.8741319444444,13.816139591506,1.29146583372792e-07,4.30488611242641e-05,3.76111102454097e-05,"Ifi203/Ifit1/Irgm2/Gbp2/Oas1g",5
"GO:0009615","response to virus","8/32","218/9187",0.036697247706422,10.5355504587156,8.42385802739951,5.69336552706412e-07,0.000142334138176603,0.000124355089143769,"Ifit1bl1/Ifi203/Pmaip1/Ifit1/Irgm2/Gbp2/Oas1g/Ifitm1",8
"GO:0035455","response to interferon-alpha","3/32","14/9187",0.214285714285714,61.5200892857143,13.3972887121407,1.36154482128623e-05,0.00272308964257247,0.00237912042456331,"Ifit1/Oas1g/Ifitm1",3
"GO:0030261","chromosome condensation","3/32","24/9187",0.125,35.88671875,10.1170975380662,7.39358784906325e-05,0.0123226464151054,0.0107661016047763,"Ccnb1/Nusap1/Ncapg",3
"GO:0045071","negative regulation of viral genome replication","3/32","30/9187",0.1,28.709375,8.98710437989871,0.000146218699139687,0.0177788319552742,0.0155330847609238,"Ifi203/Oas1g/Ifitm1",3
"GO:0031640","killing of cells of another organism","3/32","31/9187",0.0967741935483871,27.7832661290323,8.83080971905143,0.000161502359947941,0.0177788319552742,0.0155330847609238,"Hmgn2/Irgm2/Gbp2",3
"GO:0141061","disruption of cell in another organism","3/32","31/9187",0.0967741935483871,27.7832661290323,8.83080971905143,0.000161502359947941,0.0177788319552742,0.0155330847609238,"Hmgn2/Irgm2/Gbp2",3
"GO:0141085","regulation of inflammasome-mediated signaling pathway","3/32","32/9187",0.09375,26.9150390625,8.68173885135392,0.000177788319552742,0.0177788319552742,0.0155330847609238,"Ifi203/Irgm2/Gbp2",3
"GO:0141060","disruption of anatomical structure in another organism","3/32","34/9187",0.0882352941176471,25.3318014705882,8.4031289298414,0.000213480449835695,0.017790037486308,0.0155428748564585,"Hmgn2/Irgm2/Gbp2",3
"GO:0141084","inflammasome-mediated signaling pathway","3/32","34/9187",0.0882352941176471,25.3318014705882,8.4031289298414,0.000213480449835695,0.017790037486308,0.0155428748564585,"Ifi203/Irgm2/Gbp2",3
"GO:1902043","positive regulation of extrinsic apoptotic signaling pathway via death domain receptors","2/32","10/9187",0.2,57.41875,10.553150442016,0.000519823109435132,0.0372801417768355,0.0325710712366037,"Pmaip1/Thbs1",2
"GO:0045069","regulation of viral genome replication","3/32","46/9187",0.0652173913043478,18.7235054347826,7.12427572924364,0.000526398588871738,0.0372801417768355,0.0325710712366037,"Ifi203/Oas1g/Ifitm1",3
"GO:0002753","cytoplasmic pattern recognition receptor signaling pathway","4/32","111/9187",0.036036036036036,10.3457207207207,5.85647211769865,0.000559202126652533,0.0372801417768355,0.0325710712366037,"Ifi203/Irgm2/Gbp2/Oas1g",4
"GO:0061635","regulation of protein complex stability","2/32","11/9187",0.181818181818182,52.1988636363636,10.0447468813737,0.000633958052184698,0.0373163218709904,0.0326026812136022,"Scoc/Irgm2",2
"GO:0140888","interferon-mediated signaling pathway","3/32","49/9187",0.0612244897959184,17.5771683673469,6.87846999218373,0.000634377471806837,0.0373163218709904,0.0326026812136022,"Irgm2/Oas1g/Ifitm1",3
"GO:0048525","negative regulation of viral process","3/32","51/9187",0.0588235294117647,16.8878676470588,6.7263845315777,0.000713668438087698,0.0396482465604277,0.0346400469949,"Ifi203/Oas1g/Ifitm1",3
"GO:0032102","negative regulation of response to external stimulus","5/32","214/9187",0.0233644859813084,6.70779789719626,4.99477207885102,0.0007890401958529,0.0406892637152503,0.0355495672459556,"Ifi203/Pbk/Irgm2/Oas1g/Thbs1",5
"GO:0007076","mitotic chromosome condensation","2/32","13/9187",0.153846153846154,44.1682692307692,9.20801419727869,0.000895163801735508,0.0406892637152503,0.0355495672459556,"Nusap1/Ncapg",2
"GO:0060623","regulation of chromosome condensation","2/32","13/9187",0.153846153846154,44.1682692307692,9.20801419727869,0.000895163801735508,0.0406892637152503,0.0355495672459556,"Ccnb1/Ncapg",2
"GO:0141086","negative regulation of inflammasome-mediated signaling pathway","2/32","13/9187",0.153846153846154,44.1682692307692,9.20801419727869,0.000895163801735508,0.0406892637152503,0.0355495672459556,"Ifi203/Irgm2",2
"GO:0031348","negative regulation of defense response","4/32","139/9187",0.0287769784172662,8.26169064748201,5.1000905079829,0.00129872281280463,0.0564662092523752,0.0493336354520752,"Ifi203/Pbk/Irgm2/Oas1g",4
"GO:0019079","viral genome replication","3/32","69/9187",0.0434782608695652,12.4823369565217,5.65996928213633,0.00172082410915631,0.0717010045481795,0.06264403555262,"Ifi203/Oas1g/Ifitm1",3
"GO:1903900","regulation of viral life cycle","3/32","73/9187",0.0410958904109589,11.7983732876712,5.47613681298798,0.00202357607384493,0.0809273473961485,0.0707049456197929,"Ifi203/Oas1g/Ifitm1",3
"GO:0002832","negative regulation of response to biotic stimulus","3/32","74/9187",0.0405405405405405,11.6389358108108,5.4324082329449,0.00210411103229986,0.0809273473961485,0.0707049456197929,"Ifi203/Irgm2/Oas1g",3
"GO:0042832","defense response to protozoan","2/32","21/9187",0.0952380952380952,27.3422619047619,7.14466416602363,0.00236850799190462,0.0825307840857437,0.0721058429380708,"Irgm2/Gbp2",2
"GO:0002221","pattern recognition receptor signaling pathway","4/32","164/9187",0.024390243902439,7.00228658536585,4.58534701365523,0.00238389744988256,0.0825307840857437,0.0721058429380708,"Ifi203/Irgm2/Gbp2/Oas1g",4
"GO:0039531","regulation of cytoplasmic pattern recognition receptor signaling pathway","3/32","78/9187",0.0384615384615385,11.0420673076923,5.26555451732409,0.00244615695882816,0.0825307840857437,0.0721058429380708,"Ifi203/Irgm2/Gbp2",3
"GO:0009617","response to bacterium","6/32","407/9187",0.0147420147420147,4.2323402948403,3.94344745400405,0.00247592352257231,0.0825307840857437,0.0721058429380708,"Ifi44/Ifit1/Irgm2/Gbp2/Oas1g/B3galt5",6
"GO:0002758","innate immune response-activating signaling pathway","4/32","168/9187",0.0238095238095238,6.83556547619048,4.51302177614363,0.00260197357210336,0.0839346313581729,0.0733323621339826,"Ifi203/Irgm2/Gbp2/Oas1g",4
