"gene_id","gene_name","cluster","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000056749","Nfil3",4,500.936687225714,-1.82869909194951,0.354305701232748,51.649695255525,3.55682068538421e-11,2.89228802066493e-08
"ENSMUSG00000063253","Scoc",4,443.376134711931,-1.60509940691195,0.402503761845667,46.8246451528332,3.78729695245082e-10,2.63974597585822e-07
"ENSMUSG00000079339","Ifit1bl1",4,78.581403172454,-2.01363713290917,0.841953398489697,44.0859523335196,1.4470486865833e-09,8.30605946098817e-07
"ENSMUSG00000090698","Apold1",4,235.72390713318,-2.60259502076946,0.619171435445662,40.1697563801117,9.80780531777669e-09,5.03708233109815e-06
"ENSMUSG00000041431","Ccnb1",4,329.719383089833,-0.646439192737416,0.420795572653959,32.478525091417,4.14876397783306e-07,0.000122677693623318
"ENSMUSG00000039997","Ifi203",4,398.182255873132,-1.50535036810867,0.376861630940183,32.0472012072097,5.11495203315644e-07,0.00014679912335159
"ENSMUSG00000022033","Pbk",4,75.961255405424,-1.07594134380442,0.5983268583048,28.3399797113176,3.08160180970965e-06,0.000668228232425483
"ENSMUSG00000028037","Ifi44",4,169.122612776831,-2.54342495294331,0.715238799211563,27.1190388588429,5.55856592261783e-06,0.00102340540137556
"ENSMUSG00000040132","Svs2",2,21.6074769756272,2.3724816057011,1.41960870619525,26.6115112691785,7.10140768443804e-06,0.00120423033790335
"ENSMUSG00000003038","Hmgn2",4,684.431564533921,-0.286659142478388,0.471681500534512,24.9620138407794,1.57254620859541e-05,0.00233529051932756
"ENSMUSG00000024521","Pmaip1",4,77.2379588279237,-2.62313138877935,0.778111465028538,24.9215890711117,1.6034480917703e-05,0.00233529051932756
"ENSMUSG00000027306","Nusap1",4,259.532777005367,-0.602990380483877,0.44707879473915,24.7705262596302,1.7243792623539e-05,0.00247448424147785
"ENSMUSG00000009394","Syn2",2,76.1348689524798,0.0355580170536273,0.810074485491684,24.057884310024,2.42944364138815e-05,0.00333894521868529
"ENSMUSG00000022602","Arc",4,107.74807767916,-2.58935273217319,0.988611148602399,23.8439544186852,2.69256490532909e-05,0.00359918470495908
"ENSMUSG00000001774","Chordc1",4,1476.82841377778,-1.31239880403392,0.385370232224681,23.516590782649,3.1512038176717e-05,0.0040999262470454
"ENSMUSG00000016756","Cmah",4,146.549652730929,-0.659405121524517,0.458510353854739,22.8701375478873,4.29797459056918e-05,0.00530653734413388
"ENSMUSG00000034459","Ifit1",4,271.899166543796,-1.85458005572793,0.655811885049318,21.5446190423704,8.11271958339561e-05,0.00909930088445683
"ENSMUSG00000069874","Irgm2",4,326.462614802145,-1.30108913876314,0.55799594876313,21.5058272126544,8.26476996304671e-05,0.00916450287493293
"ENSMUSG00000079197","Psme2",2,251.089545931793,-0.0742934256024965,0.521358517443296,21.3647294103327,8.84215403116575e-05,0.00969457741978825
"ENSMUSG00000026387","Sctr",2,23.2438882445495,0.177958431265616,0.862138422135018,20.9501756748689,0.000107814412317242,0.0115610223669411
"ENSMUSG00000032044","Rpusd4",2,138.346717025426,0.14772929990798,0.437266834416068,20.393586005061,0.00014066590822589,0.0140063054333493
"ENSMUSG00000028270","Gbp2",4,341.241672108921,-1.5278108756385,0.544444515339739,19.4022850079739,0.000225724403662382,0.0209573191805575
"ENSMUSG00000066861","Oas1g",4,16.1254809853414,-1.69690121337797,1.16502268687223,19.2605615068301,0.000241493247317415,0.0220232813768536
"ENSMUSG00000041264","Uspl1",4,628.929312806272,-0.942290566436911,0.379716502319335,19.1991073631332,0.000248667204498648,0.0224675424212759
"ENSMUSG00000001622","Csn3",2,60.8298158187307,2.59875294212084,1.40036076652194,19.1699888135575,0.000252140064931288,0.0225723188403624
"ENSMUSG00000061397","Krt79",2,187.416210864603,-1.20052222152081,1.10992117155821,19.0299467057604,0.000269528436250328,0.0236942205489252
"ENSMUSG00000076437","Selenoh",4,253.378421585654,-0.0497254482399431,0.597021340269635,18.4957851364762,0.000347525208268787,0.0291390847509287
"ENSMUSG00000025491","Ifitm1",4,137.641030633564,-2.91203447527149,1.05594403739806,18.4489281490273,0.000355354692084496,0.0291390847509287
"ENSMUSG00000063011","Msln",2,617.705328563455,-1.77304646893544,0.888691150324189,17.7828263767975,0.000487619877827693,0.0386845103076637
"ENSMUSG00000015880","Ncapg",4,110.180338355671,-0.463560416188896,0.569264604885338,17.7284874971866,0.000500358105701043,0.0393749548018611
"ENSMUSG00000040152","Thbs1",4,3504.20377785497,-1.6544968194922,0.704221221916591,17.4808155113786,0.000562737940181818,0.0413797938739442
"ENSMUSG00000031098","Syt8",4,29.6195295933779,-0.533875646577203,0.870253836535877,17.503378385523,0.000556748767072782,0.0413797938739442
"ENSMUSG00000067786","Nnat",2,173.411188810713,2.14188826925623,1.15134306468266,17.3639053848159,0.000594811910350271,0.0429694481275252
"ENSMUSG00000074892","B3galt5",2,129.170769130786,0.394388858251196,0.724900222574571,17.0795823961798,0.000680600275212921,0.0481253440980267
