"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_AXONEME_ASSEMBLY",2.26900948759362e-05,0.0151002581399355,0.575610261071129,-0.66273036043658,-2.29815821503094,27,"Spag16/Dnaaf3/Ttc12/Cfap206/Iqcg/Rsph9/Hydin/Ccdc103/Rsph1"
"GOBP_MICROTUBULE_BUNDLE_FORMATION",2.26900948759362e-05,0.0151002581399355,0.575610261071129,-0.66273036043658,-2.29815821503094,27,"Spag16/Dnaaf3/Ttc12/Cfap206/Iqcg/Rsph9/Hydin/Ccdc103/Rsph1"
"GOBP_INTERMEDIATE_FILAMENT_ORGANIZATION",0.000151442256325057,0.0671898810562167,0.518848077743792,0.78686418836369,1.89558718772778,15,"Krt10/Krt20/Krt25/Krt27/Agfg2/Krt79"
"GOBP_INTERMEDIATE_FILAMENT_BASED_PROCESS",0.000245879690138725,0.0818164668936607,0.49849310876659,0.731749865022583,1.87737431295152,20,"Krt10/Krt20/Krt25/Krt27/Agfg2/Krt79"
"GOBP_CILIUM_MOVEMENT",0.000476402316165746,0.126818296563322,0.49849310876659,-0.462207942472935,-1.86251349138744,53,"Spag16/Celf3/Dnaaf3/Ttc12/Cfap206/Iqcg/Rsph9/Hydin/Ccdc103/Catsperz/Dnah10/Ccdc159/Drc1/Dnah6/Dnah3/Pla2g3/Dnah2/Zmynd12/Dnah9/Ccdc146/Cfap54/Cfap126/Tubb4b"
"GOBP_MOTILE_CILIUM_ASSEMBLY",0.000957692584819707,0.212448138399172,0.477270815362862,-0.625048145888005,-2.06580742853161,22,"Spag16/Dnaaf3/Ttc12/Cfap206/Iqcg/Rsph9"
"GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY",0.00368069933287325,0.589707268445646,0.256635016972443,0.566071841472068,1.66096558774787,43,"Htr7/Ffar4/Drd1/Fpr2/Mc5r/Gabbr2/Adora2b/Adcyap1/Tshr/Adgrb3/Prkar2b/Mrap/P2ry12/Adora1/S1pr1/Npy1r/Sctr/Adgrf3"
"GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY",0.00371702637889688,0.589707268445646,0.260820567718869,0.618673636755779,1.70510081505878,29,"Htr7/Ffar4/Drd1/Mc5r/Adora2b/Adcyap1/Tshr/Adgrb3/Prkar2b/Mrap/S1pr1/Sctr/Adgrf3"
"GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY",0.00398750219084208,0.589707268445646,0.407017918923954,-0.421213577312598,-1.67038128063068,49,"Spag16/Celf3/Ttc12/Cfap206/Iqcg/Rsph9/Catsperz/Dnah10/Ccdc159/Drc1/Dnah6/Dnah3/Pla2g3/Dnah2/Zmynd12/Dnah9/Ccdc146/Cfap54/Cfap126/Tubb4b"
"GOBP_RESPONSE_TO_ETHANOL",0.00487456901676376,0.648805136131257,0.22623238004642,0.59048829605462,1.65460480345152,32,"Gria1/Grin2a/Bglap/Cldn1/Gata3/Cdo1/Bglap2/Bglap3/Car3/Ccl7/Vcam1/Gnrh1/Rbp4/mt-Cytb"
