"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_BILE_ACID_METABOLISM",0.0279816513761468,0.762752646775746,0.184915881971771,-0.538526063667875,-1.63876357348457,17,"Klf1/Aldh8a1/Mlycd/Slc23a1/Idh2/Cyp46a1/Tfcp2l1/Ar"
"HALLMARK_HEME_METABOLISM",0.0408581414969266,0.762752646775746,0.0770757391871296,0.528228128872321,1.45172536928235,30,"Nfe2/Ermap/Ctse/Nnt/Slc4a1/Rhd/Asns/Car1/Gypa/Tent5c/Pcx/Kel/Hebp1/Snca"
"HALLMARK_XENOBIOTIC_METABOLISM",0.0734985818226662,0.762752646775746,0.0573326669871646,0.524327041106475,1.39209520206066,25,"Cyp17a1/Fbp1/Fah/Cdo1/Pcx/Rbp4/Ddt/Aldh2/Mccc2"
"HALLMARK_E2F_TARGETS",0.0762752646775746,0.762752646775746,0.0554741407704174,0.497509073024001,1.37479610833932,31,"Ccnb2/Mxd3/Naa38/Hells/Rad1/Timeless/Cdkn2c/Cks2/Donson/Cdca8/Kpna2/Mki67/Hmmr/Smc4/Cdk1/Brms1l/Ncapd2"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.116848515605176,0.864139392512362,0.0453100651044091,0.528916604633085,1.33548553394338,19,"Cbs/Scd1/Ldlr/Dhcr7/Ebp/Fasn/Gusb/Fdps/Mvd/Hmgcr/Hmgcs1/Tnfrsf12a"
"HALLMARK_G2M_CHECKPOINT",0.129620908876854,0.864139392512362,0.0410264221970887,0.4504527858436,1.28658192131405,37,"Ccnb2/Kif15/Knl1/Cdkn2c/Troap/Cks2/Kpna2/Tpx2/Mnat1/Mki67/Bub1/Hmmr/Smc4/Cdk1/Nusap1/Ccnf/Slc7a5/Pbk/Kif20b"
"HALLMARK_MITOTIC_SPINDLE",0.15809987819732,0.903427875413259,0.0373632355660537,0.472549489599644,1.27446140497361,27,"Ccnb2/Kif15/Cep131/Tpx2/Cyth2/Bub1/Rapgef5/Arl8a/Smc4/Cdk1/Ect2/Nusap1/Cep250/Kif20b"
"HALLMARK_HYPOXIA",0.273382968822708,0.995598285648094,0.026033649526477,0.394063788706173,1.14472020497506,41,"Fbp1/Stc1/Adora2b/Gck/Car12/S100a4/Pklr/Efna1"
"HALLMARK_UV_RESPONSE_DN",0.275945191575742,0.995598285648094,0.0273686825868796,0.461457097367141,1.1651539631599,19,"Adora2b/Scn8a/Ldlr/Prkar2b/Fzd2/Gcnt1/Schip1/Insig1"
"HALLMARK_KRAS_SIGNALING_DN",0.287507331378299,0.995598285648094,0.0253226877800246,0.394240653873354,1.13539230341744,39,"Atp6v1b1/Scgb1a1/Hc/Thnsl2/Fgf22/Tent5c/Sgk1/Klk7/Sox10/Npy4r/Wnt16/Pax3/Slc5a5"
