"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION",0.00848032564450475,0.364654002713704,0.166521148019972,0.512613369313839,1.54836245583719,52,"Gabrq/Gria1/Grin2a/Gabra3/Htr7/Drd1/Fpr2/Nmbr/Gabra4/Mc5r/Gabbr2/Adora2b/Tshr/Gria4/Adora1/Ghr/P2rx2/Oxtr/S1pr1/Npy4r/Grin2c/Npy1r/Sctr"
"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.0376190476190476,0.808809523809524,0.162190534576841,-0.506804285884135,-1.57849785249393,18,"Card11/Cd22/Cd19"
"KEGG_ALZHEIMERS_DISEASE",0.10127189824814,0.890732196040216,0.0475332728011459,0.49350407135656,1.34655597311806,28,"Grin2a/Ndufs6/mt-Atp6/mt-Atp8/mt-Cytb/Snca/Grin2c/mt-Co1/Casp7/Il1b/mt-Co2/mt-Co3/Tnf"
"KEGG_JAK_STAT_SIGNALING_PATHWAY",0.103374397429031,0.890732196040216,0.102976480753546,-0.419753375748308,-1.36608064531724,22,"Csf3r/Il23r/Il2rb"
"KEGG_CELL_ADHESION_MOLECULES_CAMS",0.143769968051118,0.890732196040216,0.0951997347571879,-0.346165170328031,-1.24479104076614,32,"Cldn11/Cntn2/Icos/Cd22/Mag/H2-Eb1/Nlgn3"
"KEGG_INSULIN_SIGNALING_PATHWAY",0.152777777777778,0.890732196040216,0.0393014653454297,0.531965230543369,1.28977529239617,16,"Fbp1/Gck/Prkar2b/Pklr/Fasn"
"KEGG_OXIDATIVE_PHOSPHORYLATION",0.175331927038094,0.890732196040216,0.0355725878820331,0.490718766230425,1.26316745304816,21,"Atp6v1b1/Ndufs6/mt-Atp6/mt-Atp8/mt-Nd2/mt-Cytb/mt-Co1/mt-Co2/mt-Co3"
"KEGG_CALCIUM_SIGNALING_PATHWAY",0.178142466405042,0.890732196040216,0.0343768711554883,0.448420499229134,1.24766234346536,31,"Grin2a/Htr7/Drd1/Cacna1e/Adora2b/Itpka/P2rx2/Oxtr/Grin2c"
"KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",0.225958555652066,0.890732196040216,0.0305805284090173,0.470406972223154,1.21088252149746,21,"Kcnmb4/Adora2b/Myl9/Myl6/Pla2g12b"
"KEGG_HEMATOPOIETIC_CELL_LINEAGE",0.23009281875916,0.890732196040216,0.0649277319696751,-0.372061946306756,-1.17289549916808,19,"Csf3r/Cd22/Fcgr1/Cd19/Epor/H2-Eb1/Cd37"
