"","dbN.1.F","dbN.2.F","dbN.3.F","dbS.1.F","dbS.2.F","dbS.3.F","WTN.1.F","WTN.2.F","WTN.3.F"
"Brevundimonas",6.7389985848103e-05,0,0,0.00245973448345576,0.00090976480894939,0.00380753420041782,0.000269559943392412,0.000134779971696206,0
"Akkermansia",0,0,0.000808679830177236,0.00168474964620257,0.00178583462497473,0.0011793247523418,0.000808679830177236,0.00128040973111396,0.000741289844329133
"Lactococcus",0.00134779971696206,0.00134779971696206,0.000977154794797493,0.000404339915088618,0.000539119886784824,0.00101084978772154,0,0.000101084978772154,0
"Christensenellaceae_R-7_group",0.000134779971696206,0.0012467147381899,0.00336949929240515,0.000101084978772154,0.000741289844329133,0.000101084978772154,6.7389985848103e-05,0,0.000101084978772154
"Mucispirillum",0.0011793247523418,0.0011793247523418,0.0034031942853292,0.00192061459667093,0.00357166924994946,0.0023586495046836,0.00619987869802547,0.00946829301165847,0.0239908349619247
"Parabacteroides",0.00407709414381023,0.00239234449760766,0.00262820944807602,0.00202169957544309,0.00262820944807602,0.00151627468158232,0.00114562975941775,0.0011793247523418,0.00181952961789878
"Lactobacillus",0.23926814475369,0.391670597749174,0.206145966709347,0.317979648224274,0.214165375025271,0.173293348608397,0.128344228047712,0.0356829975065705,0.00704225352112676
"Bacteroides",0.0906732259586226,0.0242603949053171,0.0372329671810769,0.0130399622616079,0.0167464114832536,0.0817103578408249,0.0100748028842914,0.0161735966035447,0.0126356223465193
"Blautia",0,0.00023586495046836,0.000202169957544309,0.000404339915088618,0.00427926410135454,0.000303254936316463,0.000539119886784824,0.000505424893860772,0.000943459801873442
"Muribaculum",0.0011119347664937,0.00148257968865827,0.00262820944807602,0.00256081946222791,0.0033358042994811,0.00323471932070894,0.00606509872632927,0.00768245838668374,0.00316732933486084
"Eubacterium_ventriosum_group",0.000404339915088618,6.7389985848103e-05,0.000168474964620257,0.000168474964620257,0.000269559943392412,0.000505424893860772,0.000741289844329133,0.00148257968865827,0.000471729900936721
"Lachnoclostridium",0,0.000269559943392412,0.000539119886784824,0,0.000842374823101287,0.00023586495046836,0.00232495451175955,0.00185322461082283,0.00181952961789878
"Enterococcus",0.00181952961789878,0.00350427926410135,0.00330210930655705,0.004582519037671,0.00313363434193679,0.00232495451175955,0.000741289844329133,0.000539119886784824,0.000370644922164566
"Odoribacter",0.000539119886784824,0.00161735966035447,0.00151627468158232,0.000471729900936721,0.00178583462497473,0.00121301974526585,0.00242603949053171,0.00835635824516477,0.00390861917918997
"Desulfovibrio",0.00161735966035447,0.00363905923579756,0.0033358042994811,0.00202169957544309,0.00272929442684817,0.00208908956129119,0.0106813127569243,0.0046499090235191,0.0057618437900128
"GCA-900066575",0.000202169957544309,0.000438034908012669,0.000505424893860772,0.000269559943392412,0.000606509872632927,0.000370644922164566,0.00390861917918997,0.000808679830177236,0.00326841431363299
