"Genus","Pattern","Mean_WT","Mean_DB","Mean_Treated"
"Brevundimonas","Full Recovery",0.000134779971696206,2.24633286160343e-05,0.00239234449760766
"Akkermansia","Full Recovery",0.000943459801873442,0.000269559943392412,0.00154996967450637
"Lactococcus","Recovery (U-shape)",3.36949929240515e-05,0.00122425140957387,0.000651436529864995
"Christensenellaceae_R-7_group","Recovery (U-shape)",5.61583215400858e-05,0.00158366466743042,0.000314486600624481
"Mucispirillum","Recovery (Inverted-U)",0.0132196688905362,0.00192061459667093,0.002616977783768
"Parabacteroides","Recovery (U-shape)",0.00138149470988611,0.00303254936316463,0.00205539456836714
"Lactobacillus","Recovery (U-shape)",0.0570231596918031,0.27902823640407,0.235146123952647
"Bacteroides","Recovery (U-shape)",0.0129613406114518,0.0507221960150055,0.0371655771952288
"Blautia","Full Recovery",0.000662668194173013,0.000146011636004223,0.00166228631758654
"Muribaculum","Recovery (Inverted-U)",0.00563829548262462,0.00174090796774266,0.00304378102747265
"Eubacterium_ventriosum_group","Recovery (Inverted-U)",0.000898533144641373,0.000213401621852326,0.000314486600624481
"Lachnoclostridium","Recovery (Inverted-U)",0.00199923624682705,0.000269559943392412,0.000359413257856549
"Enterococcus","Worsening",0.000550351551092841,0.00287530606285239,0.00334703596378911
"Odoribacter","Worsening",0.00489700563829548,0.00122425140957387,0.00115686142372577
"Desulfovibrio","Worsening",0.00703102185681874,0.00286407439854438,0.00228002785452748
"GCA-900066575","Recovery (Inverted-U)",0.00266190444100007,0.000381876586472584,0.000415571579396635
