"Feature","Comparison","Group","Method","EffectSize","EffectSize_type","Z_statistic","P.unadj","P.adj","Significance"
"Lachnospiraceae_UCG-006","DB_Control - DB_Treated","DB_Treated","Dunn",0.8944,"r (|Z|/sqrt(N))",-2.6833,0.00729035809153564,0.0218710742746069,"*"
"Prevotellaceae_Ga6A1_group","DB_Control - DB_Treated","DB_Treated","Dunn",0.7971,"r (|Z|/sqrt(N))",-2.3912,0.01679522311226,0.02519283466839,"*"
"Erysipelotrichaceae","DB_Control - DB_Treated","DB_Treated","Dunn",0.7581,"r (|Z|/sqrt(N))",-2.2743,0.0229483078228747,0.0688449234686239,"ns"
"Prevotellaceae_NK3B31_group","DB_Control - DB_Treated","DB_Treated","Dunn",0.7485,"r (|Z|/sqrt(N))",-2.2454,0.0247396712953285,0.0742190138859855,"ns"
"UCG-010","DB_Control - DB_Treated","DB_Treated","Dunn",0.646,"r (|Z|/sqrt(N))",-1.9379,0.0526323025657406,0.0789484538486109,"ns"
"Parabacteroides","DB_Control - DB_Treated","DB_Treated","Dunn",0.6264,"r (|Z|/sqrt(N))",-1.8791,0.0602287828562387,0.090343174284358,"ns"
"Monoglobus","DB_Control - DB_Treated","DB_Treated","Dunn",0.6264,"r (|Z|/sqrt(N))",-1.8791,0.0602287828562386,0.0903431742843579,"ns"
"Muribaculaceae","DB_Control - WT_Control","WT_Control","Dunn",0.8944,"r (|Z|/sqrt(N))",-2.6833,0.00729035809153564,0.0218710742746069,"*"
"Clostridium_sensu_stricto_1","DB_Control - WT_Control","WT_Control","Dunn",0.8944,"r (|Z|/sqrt(N))",-2.6833,0.00729035809153564,0.0218710742746069,"*"
"Lachnoclostridium","DB_Control - WT_Control","WT_Control","Dunn",0.8944,"r (|Z|/sqrt(N))",-2.6833,0.00729035809153564,0.0218710742746069,"*"
"Anaerofustis","DB_Control - WT_Control","WT_Control","Dunn",0.8603,"r (|Z|/sqrt(N))",-2.5808,0.00985704625920115,0.0295711387776034,"*"
"Mucispirillum","DB_Control - WT_Control","DB_Control","Dunn",0.8447,"r (|Z|/sqrt(N))",2.5342,0.0112701048492832,0.0338103145478497,"*"
"Rikenellaceae_RC9_gut_group","DB_Control - WT_Control","WT_Control","Dunn",0.8233,"r (|Z|/sqrt(N))",-2.47,0.0135117613965884,0.0405352841897653,"*"
"Prevotellaceae_UCG-001","DB_Control - WT_Control","WT_Control","Dunn",0.7984,"r (|Z|/sqrt(N))",-2.3951,0.0166140291573842,0.0498420874721526,"*"
"Bifidobacterium","DB_Control - WT_Control","WT_Control","Dunn",0.795,"r (|Z|/sqrt(N))",-2.3851,0.0170726610937884,0.0512179832813652,"ns"
"Candidatus_Arthromitus","DB_Control - WT_Control","DB_Control","Dunn",0.795,"r (|Z|/sqrt(N))",2.3851,0.0170726610937884,0.0512179832813652,"ns"
"Coriobacteriaceae_UCG-002","DB_Control - WT_Control","WT_Control","Dunn",0.795,"r (|Z|/sqrt(N))",-2.3851,0.0170726610937884,0.0512179832813652,"ns"
"Clostridia_UCG-014","DB_Control - WT_Control","WT_Control","Dunn",0.795,"r (|Z|/sqrt(N))",-2.3851,0.0170726610937884,0.0512179832813652,"ns"
"ASF356","DB_Control - WT_Control","DB_Control","Dunn",0.795,"r (|Z|/sqrt(N))",2.3851,0.0170726610937884,0.0512179832813652,"ns"
"Dubosiella","DB_Control - WT_Control","WT_Control","Dunn",0.7516,"r (|Z|/sqrt(N))",-2.2549,0.0241372154199607,0.0724116462598821,"ns"
"Muribaculum","DB_Control - WT_Control","WT_Control","Dunn",0.7454,"r (|Z|/sqrt(N))",-2.2361,0.0253473186774683,0.0760419560324048,"ns"
"Turicibacter","DB_Control - WT_Control","WT_Control","Dunn",0.7454,"r (|Z|/sqrt(N))",-2.2361,0.0253473186774683,0.0760419560324048,"ns"
"Parasutterella","DB_Control - WT_Control","WT_Control","Dunn",0.7454,"r (|Z|/sqrt(N))",-2.2361,0.0253473186774683,0.0760419560324048,"ns"
"Enterorhabdus","DB_Control - WT_Control","WT_Control","Dunn",0.7454,"r (|Z|/sqrt(N))",-2.2361,0.0253473186774683,0.0760419560324048,"ns"
"Monoglobus","DB_Control - WT_Control","WT_Control","Dunn",0.7266,"r (|Z|/sqrt(N))",-2.1798,0.0292742565895801,0.0878227697687403,"ns"
"Lachnospiraceae_NK4A136_group","DB_Control - WT_Control","WT_Control","Dunn",0.646,"r (|Z|/sqrt(N))",-1.9379,0.0526323025657407,0.078948453848611,"ns"
"Faecalibaculum","DB_Control - WT_Control","WT_Control","Dunn",0.646,"r (|Z|/sqrt(N))",-1.9379,0.0526323025657406,0.0789484538486109,"ns"
"Lachnospiraceae_UCG-001","DB_Treated - WT_Control","DB_Treated","Dunn",0.8447,"r (|Z|/sqrt(N))",2.5342,0.0112701048492832,0.0338103145478497,"*"
"Prevotellaceae_Ga6A1_group","DB_Treated - WT_Control","DB_Treated","Dunn",0.7971,"r (|Z|/sqrt(N))",2.3912,0.01679522311226,0.05038566933678,"ns"
"Eubacterium_nodatum_group","DB_Treated - WT_Control","DB_Treated","Dunn",0.7734,"r (|Z|/sqrt(N))",2.3203,0.020325103649766,0.060975310949298,"ns"
"Prevotellaceae_UCG-003","DB_Treated - WT_Control","DB_Treated","Dunn",0.7525,"r (|Z|/sqrt(N))",2.2576,0.0239676798225893,0.0719030394677678,"ns"
"Lactobacillus","DB_Treated - WT_Control","DB_Treated","Dunn",0.7454,"r (|Z|/sqrt(N))",2.2361,0.0253473186774683,0.0760419560324048,"ns"
"Romboutsia","DB_Treated - WT_Control","DB_Treated","Dunn",0.7454,"r (|Z|/sqrt(N))",2.2361,0.0253473186774683,0.0760419560324048,"ns"
"Anaerotruncus","DB_Treated - WT_Control","DB_Treated","Dunn",0.7454,"r (|Z|/sqrt(N))",2.2361,0.0253473186774683,0.0760419560324048,"ns"
