"","dbN.1.B","dbN.2.B","dbN.3.B","dbS.1.B","dbS.2.B","dbS.3.B","WTN.1.B","WTN.2.B","WTN.3.B"
"Lachnospiraceae_UCG-006",0.000572814879708875,0.000741289844329133,0.00107823977356965,0.00293146438439248,0.00242603949053171,0.00259451445515196,0.00178583462497473,0.00208908956129119,0.00239234449760766
"Prevotellaceae_Ga6A1_group",0,0,0,0.000741289844329133,0.000774984837253184,0.00158366466743042,0,0,0
"Erysipelotrichaceae",6.7389985848103e-05,0,0,0.00107823977356965,0.000640204865556978,0.0011119347664937,0,0.000303254936316463,0.00101084978772154
"Prevotellaceae_NK3B31_group",0.000606509872632927,0.000606509872632927,0.000370644922164566,0.00239234449760766,0.00431295909427859,0.00276298941977222,6.7389985848103e-05,0.000774984837253184,0.00178583462497473
"UCG-010",0.000168474964620257,0.000505424893860772,0.000539119886784824,0.00134779971696206,0.00067389985848103,0.00175213963205068,0.00023586495046836,6.7389985848103e-05,0.000606509872632927
"Parabacteroides",0.000168474964620257,0.0010445447806456,0.000404339915088618,0.00293146438439248,0.00165105465327852,0.00165105465327852,0.00313363434193679,0.00202169957544309,0.0010445447806456
"Monoglobus",0,0,6.7389985848103e-05,0.000539119886784824,0.000202169957544309,0.000808679830177236,0.00138149470988611,0.000303254936316463,0.000539119886784824
"Muribaculaceae",0.0180605162072916,0.0261136195161399,0.0227778152166588,0.0450839005323809,0.0646943864141789,0.047779499966305,0.313060179257362,0.575173529213559,0.144147179729092
"Clostridium_sensu_stricto_1",0.00185322461082283,0.00141518970281016,0.000202169957544309,0.00424556910843049,0.00394231417211402,0.00407709414381023,0.0274277242401779,0.011793247523418,0.00549228384662039
"Lachnoclostridium",0.00138149470988611,0.00256081946222791,0.00283037940562032,0.00535750387492419,0.00434665408720264,0.00491946896691152,0.0161062066176966,0.012433452388975,0.0079857133230002
"Anaerofustis",0,0,0,0.000168474964620257,0,0.000134779971696206,0.00114562975941775,0.000202169957544309,0.000202169957544309
"Mucispirillum",0.0141518970281016,0.0206887256553676,0.0248332097850259,0.013713862120089,0.00977154794797493,0.0128377923040636,0.000707594851405081,0.00219017454006335,0.0116921625446459
"Rikenellaceae_RC9_gut_group",0.000707594851405081,0.000404339915088618,0.000572814879708875,0.000842374823101287,0.000572814879708875,0.000741289844329133,0.00704225352112676,0.00360536424287351,0.000876069816025339
"Prevotellaceae_UCG-001",0.00023586495046836,0.000774984837253184,0.000539119886784824,0.00114562975941775,0.00114562975941775,0.00101084978772154,0.00202169957544309,0.0011119347664937,0.00161735966035447
"Bifidobacterium",0.000471729900936721,0.00259451445515196,0.00023586495046836,0.00202169957544309,0.00411078913673428,0.00192061459667093,0.00923242806119011,0.00808679830177236,0.00832266325224072
"Candidatus_Arthromitus",0.233506300963677,0.0138149470988611,0.132118067255206,0.0245973448345576,0.0747017993126221,0.00535750387492419,3.36949929240515e-05,0.00249342947637981,0.00421187411550644
"Coriobacteriaceae_UCG-002",0.000202169957544309,0.00138149470988611,0,0.000471729900936721,0.00168474964620257,0.000303254936316463,0.0219691353864816,0.0257766695868994,0.00748028842913943
"Clostridia_UCG-014",0.000774984837253184,0.00154996967450637,0.00141518970281016,0.00599770874048116,0.000876069816025339,0.00306624435608869,0.0107823977356965,0.0117258575375699,0.00778354336545589
"ASF356",0.00293146438439248,0.00370644922164566,0.0056944538041647,0.000438034908012669,0.000370644922164566,0.0011793247523418,0,0.000134779971696206,0.000707594851405081
"Dubosiella",0,0.00158366466743042,0,0.00144888469573421,0.000774984837253184,0.000774984837253184,0.00293146438439248,0.00377383920749377,0.00320102432778489
"Muribaculum",0.000134779971696206,0.000336949929240515,0.000202169957544309,0.000101084978772154,0.00107823977356965,0.00067389985848103,0.00862591818855718,0.0157692566884561,0.00495316395983557
"Turicibacter",0.00599770874048116,0.00151627468158232,0.000539119886784824,0.0115910775658737,0.00441404407305074,0.0108497877215446,0.0152301368016713,0.0146910169148864,0.00626726868387358
"Parasutterella",0.000303254936316463,0.000842374823101287,3.36949929240515e-05,0.000336949929240515,0.000438034908012669,0.000707594851405081,0.0143540669856459,0.00619987869802547,0.0011793247523418
