"Genus","Pattern","Mean_WT","Mean_DB","Mean_Treated"
"Lachnospiraceae_UCG-006","Full Recovery",0.00208908956129119,0.000797448165869219,0.00265067277669205
"Prevotellaceae_Ga6A1_group","No Clear Pattern",0,0,0.00103331311633758
"Erysipelotrichaceae","Full Recovery",0.000438034908012669,2.24633286160343e-05,0.000943459801873442
"Prevotellaceae_NK3B31_group","Full Recovery",0.000876069816025339,0.000527888222476807,0.00315609767055282
"UCG-010","Worsening",0.000303254936316463,0.000404339915088618,0.00125794640249792
"Parabacteroides","Full Recovery",0.00206662623267516,0.000539119886784824,0.00207785789698318
"Monoglobus","Recovery (Inverted-U)",0.000741289844329133,2.24633286160343e-05,0.000516656558168789
"Muribaculaceae","Recovery (Inverted-U)",0.344126962733338,0.0223173169800301,0.0525192623042882
"Clostridium_sensu_stricto_1","Recovery (Inverted-U)",0.0149044185367388,0.00115686142372577,0.00408832580811825
"Lachnoclostridium","Recovery (Inverted-U)",0.0121751241098906,0.00225756452591145,0.00487454230967945
"Anaerofustis","Recovery (Inverted-U)",0.000516656558168789,0,0.000101084978772154
"Mucispirillum","Recovery (U-shape)",0.00486331064537143,0.0198912774894984,0.0121077341240425
"Rikenellaceae_RC9_gut_group","Recovery (Inverted-U)",0.00384122919334187,0.000561583215400858,0.000718826515713098
"Prevotellaceae_UCG-001","Recovery (Inverted-U)",0.00158366466743042,0.000516656558168789,0.00110070310218568
"Bifidobacterium","Recovery (Inverted-U)",0.00854729653840106,0.00110070310218568,0.0026843677696161
"Candidatus_Arthromitus","Recovery (U-shape)",0.00224633286160343,0.126479771772581,0.0348855493407013
"Coriobacteriaceae_UCG-002","Recovery (Inverted-U)",0.0184086978008401,0.000527888222476807,0.000819911494485253
"Clostridia_UCG-014","Recovery (Inverted-U)",0.0100972662129074,0.0012467147381899,0.00331334097086506
"ASF356","Recovery (U-shape)",0.000280791607700429,0.00411078913673428,0.000662668194173013
"Dubosiella","Recovery (Inverted-U)",0.00330210930655705,0.000527888222476807,0.000999618123413527
"Muribaculum","Recovery (Inverted-U)",0.00978277961228295,0.000224633286160343,0.000617741536940944
"Turicibacter","Recovery (Inverted-U)",0.0120628074668104,0.0026843677696161,0.00895163645348968
"Parasutterella","Recovery (Inverted-U)",0.00724442347867107,0.000393108250780601,0.000494193229552755
"Enterorhabdus","Recovery (Inverted-U)",0.0027517577554642,0.000628973201248961,0.00207785789698318
"Lachnospiraceae_NK4A136_group","Recovery (Inverted-U)",0.0702877552395714,0.0221376103511018,0.0581463261226048
"Faecalibaculum","Worsening",0.0328863130938742,0.00102208145202956,0.000561583215400858
"Lachnospiraceae_UCG-001","Worsening",0.000471729900936721,0.00161735966035447,0.00332457263517308
"Eubacterium_nodatum_group","Worsening",0.000123548307388189,0.000449266572320686,0.000876069816025339
"Prevotellaceae_UCG-003","Worsening",0,0.000247096614776378,0.000505424893860772
"Lactobacillus","Worsening",0.0479704382595413,0.202057640901229,0.263506076330391
"Romboutsia","Worsening",0.00338073095671317,0.00892917312487364,0.0158478783386122
"Anaerotruncus","Worsening",0.0018307612822068,0.00312240267762877,0.00771615337960779
