"Feature","Comparison","Group","Method","EffectSize","EffectSize_type","Z_statistic","P.unadj","P.adj","Significance"
"Deep_Sea_Euryarchaeotic_Group(DSEG)","DB_Control - WT_Control","WT_Control","Dunn",0.8086,"r (|Z|/sqrt(N))",-2.4259,0.0152698992448009,0.0458096977344026,"*"
"Pedosphaeraceae","DB_Control - WT_Control","DB_Control","Dunn",0.8044,"r (|Z|/sqrt(N))",2.4133,0.0158067746073022,0.0474203238219067,"*"
"Pseudarthrobacter","DB_Control - WT_Control","DB_Control","Dunn",0.7984,"r (|Z|/sqrt(N))",2.3951,0.0166140291573842,0.0498420874721526,"*"
"Lactococcus","DB_Treated - WT_Control","DB_Treated","Dunn",0.795,"r (|Z|/sqrt(N))",2.3851,0.0170726610937884,0.0512179832813652,"ns"
"Enterobacter","DB_Control - DB_Treated","DB_Control","Dunn",0.7621,"r (|Z|/sqrt(N))",2.2862,0.0222431205913499,0.0667293617740498,"ns"
"Ilumatobacter","DB_Control - WT_Control","DB_Control","Dunn",0.7621,"r (|Z|/sqrt(N))",2.2862,0.0222431205913499,0.0667293617740498,"ns"
"Virgisporangium","DB_Control - WT_Control","DB_Control","Dunn",0.7621,"r (|Z|/sqrt(N))",2.2862,0.0222431205913499,0.0667293617740498,"ns"
"Dongia","DB_Control - WT_Control","DB_Control","Dunn",0.7525,"r (|Z|/sqrt(N))",2.2576,0.0239676798225893,0.0719030394677678,"ns"
"IMCC26256","DB_Control - WT_Control","DB_Control","Dunn",0.7235,"r (|Z|/sqrt(N))",2.1706,0.0299617665775788,0.0898852997327364,"ns"
"Ellin6067","DB_Control - WT_Control","DB_Control","Dunn",0.7235,"r (|Z|/sqrt(N))",2.1706,0.0299617665775788,0.0898852997327364,"ns"
"Skermanella","DB_Control - WT_Control","DB_Control","Dunn",0.7076,"r (|Z|/sqrt(N))",2.1229,0.0337629775534036,0.101288932660211,"ns"
"Pseudolabrys","DB_Control - WT_Control","DB_Control","Dunn",0.7076,"r (|Z|/sqrt(N))",2.1229,0.0337629775534036,0.101288932660211,"ns"
"Ruminococcus_gauvreauii_group","DB_Control - DB_Treated","DB_Control","Dunn",0.7015,"r (|Z|/sqrt(N))",2.1046,0.035325368151283,0.105976104453849,"ns"
"Prevotella","DB_Treated - WT_Control","WT_Control","Dunn",0.6957,"r (|Z|/sqrt(N))",-2.087,0.0368884257070499,0.11066527712115,"ns"
"SC-I-84","DB_Control - WT_Control","DB_Control","Dunn",0.6852,"r (|Z|/sqrt(N))",2.0557,0.0398071148012242,0.119421344403672,"ns"
"Cellulomonas","DB_Control - WT_Control","DB_Control","Dunn",0.6747,"r (|Z|/sqrt(N))",2.0241,0.042960146028425,0.128880438085275,"ns"
"Ramlibacter","DB_Control - WT_Control","DB_Control","Dunn",0.6747,"r (|Z|/sqrt(N))",2.0241,0.042960146028425,0.128880438085275,"ns"
"Shuttleworthia","DB_Control - DB_Treated","DB_Control","Dunn",0.6747,"r (|Z|/sqrt(N))",2.0241,0.042960146028425,0.128880438085275,"ns"
"Ensifer","DB_Control - WT_Control","DB_Control","Dunn",0.6747,"r (|Z|/sqrt(N))",2.0241,0.042960146028425,0.128880438085275,"ns"
"Haliangium","DB_Control - WT_Control","DB_Control","Dunn",0.6736,"r (|Z|/sqrt(N))",2.0209,0.0432901998037879,0.129870599411364,"ns"
"Rokubacteriales","DB_Control - WT_Control","DB_Control","Dunn",0.6736,"r (|Z|/sqrt(N))",2.0209,0.0432901998037879,0.129870599411364,"ns"
